Year,Members,Wards,Stakes,Missions,Missionaries
1939,803528,2156,129,35,1088
1940,862664,1919,134,35,1194
1941,892080,1981,139,36,1257
1942,917715,2018,143,37,629
1943,937050,2068,146,38,261
1944,954004,2046,148,38,427
1945,979454,2204,153,38,400
1946,996505,2299,161,39,2297
1947,1016170,2574,169,43,2132
1948,1041970,2774,172,44,2161
1949,1078671,2828,175,46,2363
1950,1111314,2911,180,43,3015
1951,1147157,3080,191,42,1801
1952,1189053,3318,202,43,872
1953,1246362,3283,211,42,1750
1954,1302240,3469,219,42,2022
1955,1357274,3553,224,44,2414
1956,1416731,4064,239,45,2572
1957,1488314,4102,251,45,2518
1958,1555799,4270,273,47,2778
1959,1616088,4509,290,50,2847
1960,1693180,4693,319,58,4706
1961,1823661,5015,345,67,5793
1962,1965786,5225,364,74,5630
1963,2117451,5397,389,77,5781
1964,2234916,5765,400,79,5886
1965,2395932,6034,412,76,7139
1966,2480899,6075,425,75,7021
1967,2614340,6153,448,77,6475
1968,2684073,6497,473,83,7178
1969,2807456,6608,496,88,6967
1970,2930810,6865,537,92,7590
1971,3090953,7077,562,98,8344
1972,3218908,7285,592,101,7874
1973,3306658,7524,630,108,9471
1974,3409987,7773,675,113,9811
1975,3572202,8151,737,134,14446
1976,3742749,8325,798,148,13928
1977,3969220,9160,885,157,14561
1978,4166854,9854,990,166,15860
1979,4404121,10486,1092,175,16590
1980,4639822,12591,1218,188,16600
1981,4920449,13093,1321,186,17800
1982,5162619,13471,1392,180,18260
1983,5351724,13944,1458,177,19450
1984,5641054,14468,1507,180,19720
1985,5919483,15007,1582,188,19890
1986,6166974,15382,1622,193,20798
1987,6394314,16034,1666,205,21001
1988,6721210,16539,1707,222,22619
1989,7308444,17284,1739,228,25609
1990,7761179,18082,1784,256,26255
1991,8089848,18838,1837,267,24861
1992,8404087,20111,1919,276,28716
1993,8689168,21099,1968,295,28774
1994,9024368,21832,2008,303,27912
1995,9338859,22673,2150,307,29015
1996,9692441,23516,2296,309,31227
1997,10071783,24699,2424,318,33726
1998,10404448,25553,2505,331,33229
1999,10752984,25793,2542,333,33915
2000,11068861,25915,2581,334,34503
2001,11394518,26084,2607,333,34684
2002,11721548,26143,2602,335,36196
2003,11985254,26237,2624,337,30467
2004,12275822,26670,2665,338,29548
2005,12560869,27087,2701,341,30587
2006,12868606,27475,2745,344,30653
2007,13193999,27827,2790,348,30384
2008,13508509,28109,2818,348,30312
