weight,rod,damage,count
10,R1,D1,0
10,R2,D1,8
10,R3,D1,2
10,R4,D1,1
10,R5,D1,10
10,R6,D1,17
10,R7,D1,15
10,R8,D1,19
10,R1,D1,3
10,R2,D1,9
10,R3,D1,1
10,R4,D1,2
10,R5,D1,16
10,R6,D1,15
10,R7,D1,18
10,R8,D1,19
10,R1,D1,2
10,R2,D1,10
10,R3,D1,7
10,R4,D1,2
10,R5,D1,7
10,R6,D1,17
10,R7,D1,10
10,R8,D1,18
20,R1,D1,2
20,R2,D1,5
20,R3,D1,2
20,R4,D1,0
20,R5,D1,9
20,R6,D1,12
20,R7,D1,5
20,R8,D1,17
20,R1,D1,1
20,R2,D1,5
20,R3,D1,3
20,R4,D1,0
20,R5,D1,7
20,R6,D1,11
20,R7,D1,15
20,R8,D1,13
20,R1,D1,0
20,R2,D1,9
20,R3,D1,2
20,R4,D1,0
20,R5,D1,13
20,R6,D1,15
20,R7,D1,16
20,R8,D1,18
20,R1,D1,0
20,R2,D1,10
20,R3,D1,9
20,R4,D1,0
20,R5,D1,15
20,R6,D1,18
20,R7,D1,20
20,R8,D1,17
20,R1,D1,3
20,R2,D1,8
20,R3,D1,4
20,R4,D1,2
20,R5,D1,17
20,R6,D1,19
20,R7,D1,18
20,R8,D1,19
20,R1,D1,4
20,R2,D1,14
20,R3,D1,2
20,R4,D1,0
20,R5,D1,11
20,R6,D1,18
20,R7,D1,14
20,R8,D1,19
30,R1,D1,10
30,R2,D1,4
30,R3,D1,3
30,R4,D1,0
30,R5,D1,0
30,R6,D1,7
30,R7,D1,4
30,R8,D1,19
30,R1,D1,1
30,R2,D1,7
30,R3,D1,7
30,R4,D1,2
30,R5,D1,8
30,R6,D1,14
30,R7,D1,16
30,R8,D1,13
30,R1,D1,2
30,R2,D1,10
30,R3,D1,3
30,R4,D1,1
30,R5,D1,13
30,R6,D1,13
30,R7,D1,12
30,R8,D1,14
30,R1,D1,3
30,R2,D1,12
30,R3,D1,7
30,R4,D1,0
30,R5,D1,16
30,R6,D1,18
30,R7,D1,14
30,R8,D1,20
30,R1,D1,5
30,R2,D1,12
30,R3,D1,7
30,R4,D1,6
30,R5,D1,16
30,R6,D1,17
30,R7,D1,18
30,R8,D1,17
30,R1,D1,3
30,R2,D1,13
30,R3,D1,2
30,R4,D1,4
30,R5,D1,6
30,R6,D1,18
30,R7,D1,15
30,R8,D1,19
10,R1,D2,14
10,R2,D2,11
10,R3,D2,13
10,R4,D2,9
10,R5,D2,8
10,R6,D2,5
10,R7,D2,12
10,R8,D2,4
10,R1,D2,5
10,R2,D2,3
10,R3,D2,10
10,R4,D2,3
10,R5,D2,3
10,R6,D2,3
10,R7,D2,9
10,R8,D2,10
10,R1,D2,2
10,R2,D2,1
10,R3,D2,7
10,R4,D2,4
10,R5,D2,7
10,R6,D2,3
10,R7,D2,0
10,R8,D2,2
10,R1,D2,9
10,R2,D2,8
10,R3,D2,10
10,R4,D2,8
10,R5,D2,2
10,R6,D2,2
10,R7,D2,1
10,R8,D2,3
10,R1,D2,10
10,R2,D2,2
10,R3,D2,5
10,R4,D2,7
10,R5,D2,4
10,R6,D2,0
10,R7,D2,0
10,R8,D2,0
10,R1,D2,14
10,R2,D2,2
10,R3,D2,14
10,R4,D2,14
10,R5,D2,5
10,R6,D2,1
10,R7,D2,2
10,R8,D2,2
20,R1,D2,31
20,R2,D2,11
20,R3,D2,13
20,R4,D2,11
20,R5,D2,4
20,R6,D2,5
20,R7,D2,7
20,R8,D2,0
20,R1,D2,7
20,R2,D2,6
20,R3,D2,12
20,R4,D2,8
20,R5,D2,9
20,R6,D2,7
20,R7,D2,6
20,R8,D2,6
20,R1,D2,8
20,R2,D2,6
20,R3,D2,8
20,R4,D2,6
20,R5,D2,4
20,R6,D2,5
20,R7,D2,3
20,R8,D2,3
20,R1,D2,11
20,R2,D2,2
20,R3,D2,9
20,R4,D2,8
20,R5,D2,2
20,R6,D2,1
20,R7,D2,0
20,R8,D2,0
20,R1,D2,10
20,R2,D2,1
20,R3,D2,6
20,R4,D2,11
20,R5,D2,4
20,R6,D2,1
20,R7,D2,2
20,R8,D2,2
20,R1,D2,13
20,R2,D2,2
20,R3,D2,7
20,R4,D2,15
20,R5,D2,3
20,R6,D2,1
20,R7,D2,3
20,R8,D2,4
30,R1,D2,0
30,R2,D2,10
30,R3,D2,19
30,R4,D2,13
30,R5,D2,4
30,R6,D2,4
30,R7,D2,9
30,R8,D2,2
30,R1,D2,7
30,R2,D2,2
30,R3,D2,6
30,R4,D2,9
30,R5,D2,2
30,R6,D2,3
30,R7,D2,5
30,R8,D2,3
30,R1,D2,15
30,R2,D2,6
30,R3,D2,9
30,R4,D2,5
30,R5,D2,3
30,R6,D2,5
30,R7,D2,5
30,R8,D2,4
30,R1,D2,9
30,R2,D2,3
30,R3,D2,4
30,R4,D2,11
30,R5,D2,2
30,R6,D2,2
30,R7,D2,2
30,R8,D2,2
30,R1,D2,0
30,R2,D2,0
30,R3,D2,4
30,R4,D2,8
30,R5,D2,0
30,R6,D2,0
30,R7,D2,0
30,R8,D2,0
30,R1,D2,13
30,R2,D2,3
30,R3,D2,11
30,R4,D2,0
30,R5,D2,0
30,R6,D2,0
30,R7,D2,0
30,R8,D2,4
10,R1,D2,5
10,R2,D2,11
10,R3,D2,7
10,R4,D2,0
10,R5,D2,6
10,R6,D2,12
10,R7,D2,9
10,R8,D2,0
10,R1,D2,5
10,R2,D2,9
10,R3,D2,6
10,R4,D2,3
10,R5,D2,12
10,R6,D2,3
10,R7,D2,6
10,R8,D2,6
10,R1,D2,2
10,R2,D2,5
10,R3,D2,2
10,R4,D2,0
10,R5,D2,5
10,R6,D2,6
10,R7,D2,5
10,R8,D2,4
10,R1,D2,1
10,R2,D2,6
10,R3,D2,2
10,R4,D2,0
10,R5,D2,9
10,R6,D2,0
10,R7,D2,5
10,R8,D2,0
10,R1,D2,9
10,R2,D2,10
10,R3,D2,7
10,R4,D2,4
10,R5,D2,3
10,R6,D2,4
10,R7,D2,0
10,R8,D2,1
10,R1,D2,8
10,R2,D2,10
10,R3,D2,6
10,R4,D2,4
10,R5,D2,10
10,R6,D2,3
10,R7,D2,9
10,R8,D2,2
20,R1,D2,12
20,R2,D2,12
20,R3,D2,10
20,R4,D2,2
20,R5,D2,9
20,R6,D2,6
20,R7,D2,12
20,R8,D2,1
20,R1,D2,4
20,R2,D2,11
20,R3,D2,6
20,R4,D2,1
20,R5,D2,9
20,R6,D2,6
20,R7,D2,2
20,R8,D2,6
20,R1,D2,0
20,R2,D2,2
20,R3,D2,5
20,R4,D2,0
20,R5,D2,5
20,R6,D2,4
20,R7,D2,3
20,R8,D2,2
20,R1,D2,3
20,R2,D2,9
20,R3,D2,11
20,R4,D2,5
20,R5,D2,4
20,R6,D2,2
20,R7,D2,0
20,R8,D2,2
20,R1,D2,11
20,R2,D2,11
20,R3,D2,14
20,R4,D2,3
20,R5,D2,2
20,R6,D2,1
20,R7,D2,1
20,R8,D2,1
20,R1,D2,12
20,R2,D2,6
20,R3,D2,13
20,R4,D2,14
20,R5,D2,8
20,R6,D2,1
20,R7,D2,5
20,R8,D2,1
30,R1,D2,7
30,R2,D2,15
30,R3,D2,11
30,R4,D2,2
30,R5,D2,0
30,R6,D2,10
30,R7,D2,4
30,R8,D2,1
30,R1,D2,7
30,R2,D2,12
30,R3,D2,6
30,R4,D2,7
30,R5,D2,11
30,R6,D2,6
30,R7,D2,3
30,R8,D2,7
30,R1,D2,3
30,R2,D2,6
30,R3,D2,5
30,R4,D2,0
30,R5,D2,7
30,R6,D2,5
30,R7,D2,8
30,R8,D2,6
30,R1,D2,7
30,R2,D2,6
30,R3,D2,5
30,R4,D2,1
30,R5,D2,3
30,R6,D2,0
30,R7,D2,4
30,R8,D2,0
30,R1,D2,11
30,R2,D2,8
30,R3,D2,12
30,R4,D2,6
30,R5,D2,4
30,R6,D2,3
30,R7,D2,2
30,R8,D2,2
30,R1,D2,15
30,R2,D2,7
30,R3,D2,18
30,R4,D2,10
30,R5,D2,13
30,R6,D2,2
30,R7,D2,5
30,R8,D2,1
10,R1,D3,1
10,R2,D3,1
10,R3,D3,0
10,R4,D3,6
10,R5,D3,0
10,R6,D3,2
10,R7,D3,0
10,R8,D3,0
10,R1,D3,4
10,R2,D3,0
10,R3,D3,6
10,R4,D3,11
10,R5,D3,1
10,R6,D3,0
10,R7,D3,0
10,R8,D3,0
10,R1,D3,8
10,R2,D3,0
10,R3,D3,4
10,R4,D3,6
10,R5,D3,1
10,R6,D3,0
10,R7,D3,0
10,R8,D3,0
10,R1,D3,7
10,R2,D3,0
10,R3,D3,0
10,R4,D3,4
10,R5,D3,0
10,R6,D3,0
10,R7,D3,0
10,R8,D3,0
10,R1,D3,1
10,R2,D3,0
10,R3,D3,0
10,R4,D3,0
10,R5,D3,0
10,R6,D3,0
10,R7,D3,0
10,R8,D3,0
10,R1,D3,1
10,R2,D3,0
10,R3,D3,0
10,R4,D3,1
10,R5,D3,0
10,R6,D3,0
10,R7,D3,0
10,R8,D3,0
20,R1,D3,2
20,R2,D3,1
20,R3,D3,0
20,R4,D3,6
20,R5,D3,0
20,R6,D3,0
20,R7,D3,3
20,R8,D3,0
20,R1,D3,5
20,R2,D3,1
20,R3,D3,3
20,R4,D3,11
20,R5,D3,1
20,R6,D3,1
20,R7,D3,1
20,R8,D3,0
20,R1,D3,5
20,R2,D3,1
20,R3,D3,0
20,R4,D3,10
20,R5,D3,0
20,R6,D3,0
20,R7,D3,0
20,R8,D3,0
20,R1,D3,3
20,R2,D3,0
20,R3,D3,0
20,R4,D3,6
20,R5,D3,0
20,R6,D3,0
20,R7,D3,0
20,R8,D3,0
20,R1,D3,0
20,R2,D3,0
20,R3,D3,0
20,R4,D3,1
20,R5,D3,1
20,R6,D3,0
20,R7,D3,0
20,R8,D3,0
20,R1,D3,0
20,R2,D3,0
20,R3,D3,0
20,R4,D3,5
20,R5,D3,0
20,R6,D3,0
20,R7,D3,0
20,R8,D3,0
30,R1,D3,0
30,R2,D3,2
30,R3,D3,0
30,R4,D3,3
30,R5,D3,0
30,R6,D3,0
30,R7,D3,0
30,R8,D3,1
30,R1,D3,2
30,R2,D3,0
30,R3,D3,0
30,R4,D3,9
30,R5,D3,1
30,R6,D3,2
30,R7,D3,1
30,R8,D3,2
30,R1,D3,2
30,R2,D3,2
30,R3,D3,2
30,R4,D3,10
30,R5,D3,0
30,R6,D3,0
30,R7,D3,0
30,R8,D3,0
30,R1,D3,1
30,R2,D3,1
30,R3,D3,0
30,R4,D3,4
30,R5,D3,0
30,R6,D3,0
30,R7,D3,1
30,R8,D3,0
30,R1,D3,0
30,R2,D3,0
30,R3,D3,0
30,R4,D3,0
30,R5,D3,0
30,R6,D3,0
30,R7,D3,0
30,R8,D3,0
30,R1,D3,0
30,R2,D3,0
30,R3,D3,1
30,R4,D3,0
30,R5,D3,0
30,R6,D3,0
30,R7,D3,0
30,R8,D3,0
10,R1,D3,7
10,R2,D3,1
10,R3,D3,4
10,R4,D3,1
10,R5,D3,3
10,R6,D3,1
10,R7,D3,1
10,R8,D3,0
10,R1,D3,6
10,R2,D3,2
10,R3,D3,5
10,R4,D3,3
10,R5,D3,2
10,R6,D3,1
10,R7,D3,0
10,R8,D3,2
10,R1,D3,2
10,R2,D3,2
10,R3,D3,3
10,R4,D3,5
10,R5,D3,0
10,R6,D3,1
10,R7,D3,0
10,R8,D3,0
10,R1,D3,6
10,R2,D3,2
10,R3,D3,6
10,R4,D3,3
10,R5,D3,0
10,R6,D3,0
10,R7,D3,0
10,R8,D3,0
10,R1,D3,6
10,R2,D3,0
10,R3,D3,4
10,R4,D3,3
10,R5,D3,0
10,R6,D3,0
10,R7,D3,1
10,R8,D3,0
10,R1,D3,10
10,R2,D3,0
10,R3,D3,5
10,R4,D3,12
10,R5,D3,1
10,R6,D3,0
10,R7,D3,0
10,R8,D3,0
20,R1,D3,6
20,R2,D3,3
20,R3,D3,5
20,R4,D3,5
20,R5,D3,1
20,R6,D3,1
20,R7,D3,0
20,R8,D3,0
20,R1,D3,6
20,R2,D3,2
20,R3,D3,6
20,R4,D3,7
20,R5,D3,4
20,R6,D3,3
20,R7,D3,3
20,R8,D3,0
20,R1,D3,4
20,R2,D3,8
20,R3,D3,5
20,R4,D3,2
20,R5,D3,1
20,R6,D3,0
20,R7,D3,0
20,R8,D3,0
20,R1,D3,5
20,R2,D3,0
20,R3,D3,0
20,R4,D3,9
20,R5,D3,1
20,R6,D3,0
20,R7,D3,0
20,R8,D3,0
20,R1,D3,5
20,R2,D3,0
20,R3,D3,2
20,R4,D3,9
20,R5,D3,0
20,R6,D3,0
20,R7,D3,0
20,R8,D3,0
20,R1,D3,4
20,R2,D3,0
20,R3,D3,4
20,R4,D3,6
20,R5,D3,0
20,R6,D3,0
20,R7,D3,1
20,R8,D3,0
30,R1,D3,3
30,R2,D3,1
30,R3,D3,4
30,R4,D3,14
30,R5,D3,0
30,R6,D3,3
30,R7,D3,1
30,R8,D3,0
30,R1,D3,6
30,R2,D3,1
30,R3,D3,6
30,R4,D3,10
30,R5,D3,1
30,R6,D3,0
30,R7,D3,0
30,R8,D3,0
30,R1,D3,9
30,R2,D3,4
30,R3,D3,9
30,R4,D3,7
30,R5,D3,0
30,R6,D3,0
30,R7,D3,0
30,R8,D3,0
30,R1,D3,8
30,R2,D3,0
30,R3,D3,5
30,R4,D3,10
30,R5,D3,1
30,R6,D3,1
30,R7,D3,2
30,R8,D3,0
30,R1,D3,4
30,R2,D3,0
30,R3,D3,1
30,R4,D3,6
30,R5,D3,0
30,R6,D3,0
30,R7,D3,0
30,R8,D3,0
30,R1,D3,2
30,R2,D3,0
30,R3,D3,0
30,R4,D3,6
30,R5,D3,1
30,R6,D3,0
30,R7,D3,0
30,R8,D3,0
10,R1,D4,0
10,R2,D4,0
10,R3,D4,0
10,R4,D4,3
10,R5,D4,0
10,R6,D4,0
10,R7,D4,0
10,R8,D4,0
10,R1,D4,7
10,R2,D4,0
10,R3,D4,1
10,R4,D4,5
10,R5,D4,0
10,R6,D4,0
10,R7,D4,0
10,R8,D4,0
10,R1,D4,7
10,R2,D4,0
10,R3,D4,4
10,R4,D4,9
10,R5,D4,0
10,R6,D4,1
10,R7,D4,0
10,R8,D4,0
10,R1,D4,0
10,R2,D4,0
10,R3,D4,0
10,R4,D4,6
10,R5,D4,0
10,R6,D4,0
10,R7,D4,0
10,R8,D4,1
10,R1,D4,0
10,R2,D4,0
10,R3,D4,0
10,R4,D4,0
10,R5,D4,0
10,R6,D4,0
10,R7,D4,0
10,R8,D4,0
10,R1,D4,0
10,R2,D4,0
10,R3,D4,0
10,R4,D4,0
10,R5,D4,0
10,R6,D4,0
10,R7,D4,0
10,R8,D4,0
20,R1,D4,1
20,R2,D4,0
20,R3,D4,0
20,R4,D4,0
20,R5,D4,0
20,R6,D4,0
20,R7,D4,1
20,R8,D4,0
20,R1,D4,1
20,R2,D4,0
20,R3,D4,0
20,R4,D4,1
20,R5,D4,0
20,R6,D4,1
20,R7,D4,0
20,R8,D4,0
20,R1,D4,1
20,R2,D4,1
20,R3,D4,2
20,R4,D4,2
20,R5,D4,0
20,R6,D4,0
20,R7,D4,0
20,R8,D4,1
20,R1,D4,1
20,R2,D4,1
20,R3,D4,0
20,R4,D4,1
20,R5,D4,0
20,R6,D4,0
20,R7,D4,0
20,R8,D4,0
20,R1,D4,0
20,R2,D4,0
20,R3,D4,0
20,R4,D4,0
20,R5,D4,0
20,R6,D4,0
20,R7,D4,0
20,R8,D4,0
20,R1,D4,0
20,R2,D4,0
20,R3,D4,0
20,R4,D4,0
20,R5,D4,0
20,R6,D4,0
20,R7,D4,0
20,R8,D4,0
30,R1,D4,0
30,R2,D4,0
30,R3,D4,0
30,R4,D4,0
30,R5,D4,1
30,R6,D4,5
30,R7,D4,0
30,R8,D4,0
30,R1,D4,0
30,R2,D4,0
30,R3,D4,0
30,R4,D4,2
30,R5,D4,0
30,R6,D4,0
30,R7,D4,0
30,R8,D4,1
30,R1,D4,0
30,R2,D4,2
30,R3,D4,1
30,R4,D4,1
30,R5,D4,1
30,R6,D4,0
30,R7,D4,0
30,R8,D4,0
30,R1,D4,0
30,R2,D4,0
30,R3,D4,0
30,R4,D4,0
30,R5,D4,0
30,R6,D4,0
30,R7,D4,0
30,R8,D4,0
30,R1,D4,0
30,R2,D4,0
30,R3,D4,0
30,R4,D4,0
30,R5,D4,0
30,R6,D4,0
30,R7,D4,0
30,R8,D4,0
30,R1,D4,0
30,R2,D4,0
30,R3,D4,0
30,R4,D4,0
30,R5,D4,0
30,R6,D4,0
30,R7,D4,0
30,R8,D4,0
10,R1,D4,6
10,R2,D4,0
10,R3,D4,4
10,R4,D4,18
10,R5,D4,0
10,R6,D4,0
10,R7,D4,1
10,R8,D4,0
10,R1,D4,7
10,R2,D4,3
10,R3,D4,7
10,R4,D4,14
10,R5,D4,0
10,R6,D4,0
10,R7,D4,0
10,R8,D4,1
10,R1,D4,15
10,R2,D4,2
10,R3,D4,12
10,R4,D4,13
10,R5,D4,1
10,R6,D4,1
10,R7,D4,1
10,R8,D4,1
10,R1,D4,13
10,R2,D4,2
10,R3,D4,7
10,R4,D4,15
10,R5,D4,0
10,R6,D4,0
10,R7,D4,0
10,R8,D4,0
10,R1,D4,2
10,R2,D4,0
10,R3,D4,5
10,R4,D4,11
10,R5,D4,1
10,R6,D4,0
10,R7,D4,0
10,R8,D4,0
10,R1,D4,0
10,R2,D4,0
10,R3,D4,2
10,R4,D4,2
10,R5,D4,1
10,R6,D4,0
10,R7,D4,0
10,R8,D4,0
20,R1,D4,0
20,R2,D4,0
20,R3,D4,3
20,R4,D4,13
20,R5,D4,0
20,R6,D4,1
20,R7,D4,0
20,R8,D4,0
20,R1,D4,9
20,R2,D4,1
20,R3,D4,5
20,R4,D4,12
20,R5,D4,0
20,R6,D4,0
20,R7,D4,0
20,R8,D4,0
20,R1,D4,16
20,R2,D4,1
20,R3,D4,8
20,R4,D4,18
20,R5,D4,0
20,R6,D4,1
20,R7,D4,0
20,R8,D4,0
20,R1,D4,12
20,R2,D4,0
20,R3,D4,0
20,R4,D4,6
20,R5,D4,0
20,R6,D4,0
20,R7,D4,0
20,R8,D4,0
20,R1,D4,0
20,R2,D4,0
20,R3,D4,0
20,R4,D4,6
20,R5,D4,0
20,R6,D4,0
20,R7,D4,0
20,R8,D4,0
20,R1,D4,0
20,R2,D4,0
20,R3,D4,1
20,R4,D4,0
20,R5,D4,0
20,R6,D4,0
20,R7,D4,0
20,R8,D4,0
30,R1,D4,0
30,R2,D4,0
30,R3,D4,2
30,R4,D4,4
30,R5,D4,0
30,R6,D4,0
30,R7,D4,0
30,R8,D4,0
30,R1,D4,6
30,R2,D4,0
30,R3,D4,1
30,R4,D4,1
30,R5,D4,0
30,R6,D4,0
30,R7,D4,0
30,R8,D4,0
30,R1,D4,6
30,R2,D4,0
30,R3,D4,2
30,R4,D4,12
30,R5,D4,0
30,R6,D4,0
30,R7,D4,0
30,R8,D4,0
30,R1,D4,2
30,R2,D4,1
30,R3,D4,2
30,R4,D4,8
30,R5,D4,0
30,R6,D4,0
30,R7,D4,0
30,R8,D4,0
30,R1,D4,0
30,R2,D4,0
30,R3,D4,0
30,R4,D4,2
30,R5,D4,0
30,R6,D4,0
30,R7,D4,0
30,R8,D4,0
30,R1,D4,0
30,R2,D4,0
30,R3,D4,0
30,R4,D4,0
30,R5,D4,0
30,R6,D4,0
30,R7,D4,0
30,R8,D4,0
