date,road,home,start_eastern,TV
11/14/23,Memphis,L.A. Lakers,10:30 PM,I
11/15/23,Dallas,Washington,7:00 PM,
11/15/23,New York,Atlanta,7:30 PM,
11/15/23,Boston,Philadelphia,7:30 PM,ESPN
11/15/23,Milwaukee,Toronto,7:30 PM,
11/15/23,Orlando,Chicago,8:00 PM,
11/15/23,Minnesota,Phoenix,9:00 PM,
11/15/23,Sacramento,L.A. Lakers,10:00 PM,ESPN
11/15/23,Cleveland,Portland,10:00 PM,
11/16/23,Brooklyn,Miami,7:30 PM,NBA TV
11/16/23,Oklahoma City,Golden State,10:00 PM,NBA TV
11/17/23,Milwaukee,Charlotte,7:00 PM,I
11/17/23,New York,Washington,7:00 PM,I
11/17/23,Philadelphia,Atlanta,7:30 PM,I
11/17/23,Detroit,Cleveland,7:30 PM,I
11/17/23,Boston,Toronto,7:30 PM,I
11/17/23,Sacramento,San Antonio,7:30 PM,ESPN
11/17/23,Orlando,Chicago,8:00 PM,I
11/17/23,Denver,New Orleans,8:00 PM,I
11/17/23,Phoenix,Utah,10:00 PM,ESPN
11/17/23,L.A. Lakers,Portland,10:00 PM,I
11/17/23,Houston,LA Clippers,10:30 PM,I
11/18/23,New York,Charlotte,6:00 PM,
11/18/23,Minnesota,New Orleans,7:00 PM,
11/18/23,Miami,Chicago,8:00 PM,
11/18/23,Dallas,Milwaukee,8:00 PM,NBA TV
11/18/23,Memphis,San Antonio,8:00 PM,
11/18/23,Oklahoma City,Golden State,8:30 PM,
11/19/23,Philadelphia,Brooklyn,3:00 PM,
11/19/23,Orlando,Indiana,5:00 PM,
11/19/23,Denver,Cleveland,6:00 PM,
11/19/23,Detroit,Toronto,6:00 PM,
11/19/23,Sacramento,Dallas,7:30 PM,
11/19/23,Boston,Memphis,8:00 PM,
11/19/23,Phoenix,Utah,8:00 PM,NBA TV
11/19/23,Oklahoma City,Portland,9:00 PM,
11/19/23,Houston,L.A. Lakers,9:30 PM,
11/20/23,Boston,Charlotte,7:00 PM,
11/20/23,Denver,Detroit,7:00 PM,
11/20/23,Milwaukee,Washington,7:00 PM,
11/20/23,Miami,Chicago,8:00 PM,
11/20/23,New York,Minnesota,8:00 PM,
11/20/23,Sacramento,New Orleans,8:00 PM,
11/20/23,LA Clippers,San Antonio,8:00 PM,
11/20/23,Houston,Golden State,10:00 PM,
11/21/23,Toronto,Orlando,7:00 PM,I
11/21/23,Indiana,Atlanta,7:30 PM,I
11/21/23,Cleveland,Philadelphia,7:30 PM,TNT
11/21/23,Portland,Phoenix,9:00 PM,I
11/21/23,Utah,L.A. Lakers,10:00 PM,TNT
11/22/23,Washington,Charlotte,7:00 PM,
11/22/23,Denver,Orlando,7:00 PM,
11/22/23,Brooklyn,Atlanta,7:30 PM,
11/22/23,Milwaukee,Boston,7:30 PM,ESPN
11/22/23,Miami,Cleveland,7:30 PM,
11/22/23,Toronto,Indiana,7:30 PM,
11/22/23,Memphis,Houston,8:00 PM,
11/22/23,Philadelphia,Minnesota,8:00 PM,
11/22/23,Sacramento,New Orleans,8:00 PM,
11/22/23,Chicago,Oklahoma City,8:00 PM,
11/22/23,LA Clippers,San Antonio,8:00 PM,
11/22/23,Golden State,Phoenix,10:00 PM,ESPN
11/22/23,Utah,Portland,10:00 PM,
11/22/23,Dallas,L.A. Lakers,10:30 PM,
11/24/23,Boston,Orlando,2:30 PM,NBA TV
11/24/23,Phoenix,Memphis,5:00 PM,NBA TV
11/24/23,Miami,New York,7:30 PM,ESPN
11/24/23,Chicago,Toronto,7:30 PM,I
11/24/23,Detroit,Indiana,8:00 PM,I
11/24/23,Denver,Houston,8:00 PM,I
11/24/23,Washington,Milwaukee,8:00 PM,I
11/24/23,Sacramento,Minnesota,8:00 PM,I
11/24/23,San Antonio,Golden State,10:00 PM,ESPN
11/24/23,New Orleans,LA Clippers,10:30 PM,I
11/25/23,Philadelphia,Oklahoma City,5:00 PM,
11/25/23,Miami,Brooklyn,6:00 PM,
11/25/23,Atlanta,Washington,7:00 PM,
11/25/23,L.A. Lakers,Cleveland,7:30 PM,
11/25/23,New Orleans,Utah,9:30 PM,
11/25/23,Dallas,LA Clippers,10:30 PM,NBA TV
11/26/23,Portland,Milwaukee,3:30 PM,
11/26/23,Atlanta,Boston,6:00 PM,
11/26/23,Phoenix,New York,6:00 PM,
11/26/23,Charlotte,Orlando,6:00 PM,
11/26/23,Minnesota,Memphis,6:00 PM,
11/26/23,Chicago,Brooklyn,7:30 PM,
11/26/23,Toronto,Cleveland,7:30 PM,
11/26/23,San Antonio,Denver,8:00 PM,
11/27/23,Washington,Detroit,7:00 PM,
11/27/23,Portland,Indiana,7:00 PM,
11/27/23,L.A. Lakers,Philadelphia,7:00 PM,NBA TV
11/27/23,New Orleans,Utah,9:00 PM,
11/27/23,Denver,LA Clippers,10:30 PM,NBA TV
11/28/23,Chicago,Boston,7:30 PM,I
11/28/23,Toronto,Brooklyn,7:30 PM,I
11/28/23,Atlanta,Cleveland,7:30 PM,I
11/28/23,Milwaukee,Miami,7:30 PM,TNT
11/28/23,Charlotte,New York,7:30 PM,I
11/28/23,Oklahoma City,Minnesota,8:00 PM,I
11/28/23,Houston,Dallas,8:30 PM,I
11/28/23,Golden State,Sacramento,10:00 PM,TNT
11/29/23,L.A. Lakers,Detroit,7:00 PM,NBA TV
11/29/23,Washington,Orlando,7:00 PM,
11/29/23,Phoenix,Toronto,7:30 PM,
11/29/23,Utah,Memphis,8:00 PM,
11/29/23,Philadelphia,New Orleans,8:00 PM,
11/29/23,Houston,Denver,9:00 PM,
11/29/23,LA Clippers,Sacramento,10:00 PM,NBA TV
11/30/23,Portland,Cleveland,7:00 PM,
11/30/23,Charlotte,Brooklyn,7:30 PM,
11/30/23,Indiana,Miami,7:30 PM,NBA TV
11/30/23,Detroit,New York,7:30 PM,
11/30/23,Milwaukee,Chicago,8:00 PM,
11/30/23,Utah,Minnesota,8:00 PM,
11/30/23,L.A. Lakers,Oklahoma City,8:00 PM,
11/30/23,Atlanta,San Antonio,8:00 PM,
11/30/23,LA Clippers,Golden State,10:00 PM,
12/1/23,Washington,Orlando,7:00 PM,
12/1/23,Philadelphia,Boston,7:30 PM,
12/1/23,New York,Toronto,7:30 PM,
12/1/23,Memphis,Dallas,7:30 PM,ESPN
12/1/23,San Antonio,New Orleans,8:00 PM,
12/1/23,Denver,Phoenix,10:00 PM,ESPN
12/2/23,Golden State,LA Clippers,4:00 PM,
12/2/23,Minnesota,Charlotte,5:00 PM,
12/2/23,Orlando,Brooklyn,7:00 PM,
12/2/23,Cleveland,Detroit,7:00 PM,
12/2/23,Indiana,Miami,8:00 PM,
12/2/23,New Orleans,Chicago,8:00 PM,
12/2/23,Atlanta,Milwaukee,8:00 PM,
12/2/23,Oklahoma City,Dallas,9:00 PM,
12/2/23,Memphis,Phoenix,9:00 PM,
12/2/23,Portland,Utah,9:30 PM,
12/2/23,Denver,Sacramento,10:00 PM,NBA TV
12/2/23,Houston,L.A. Lakers,10:30 PM,
12/11/23,Miami,Charlotte,7:00 PM,
12/11/23,Indiana,Detroit,7:00 PM,
12/11/23,Cleveland,Orlando,7:00 PM,
12/11/23,Washington,Philadelphia,7:00 PM,
12/11/23,Denver,Atlanta,7:30 PM,
12/11/23,Toronto,New York,7:30 PM,
12/11/23,San Antonio,Houston,8:00 PM,
12/11/23,Dallas,Memphis,8:00 PM,NBA TV
12/11/23,Chicago,Milwaukee,8:00 PM,
12/11/23,Minnesota,New Orleans,8:00 PM,
12/11/23,Utah,Oklahoma City,8:00 PM,
12/11/23,Brooklyn,Sacramento,10:00 PM,
12/11/23,Portland,LA Clippers,10:30 PM,
12/12/23,Cleveland,Boston,7:30 PM,
12/12/23,L.A. Lakers,Dallas,7:30 PM,TNT
12/12/23,Denver,Chicago,8:00 PM,
12/12/23,Golden State,Phoenix,10:00 PM,TNT
12/12/23,Sacramento,LA Clippers,10:30 PM,
12/13/23,Philadelphia,Detroit,7:00 PM,
12/13/23,New Orleans,Washington,7:00 PM,
12/13/23,Charlotte,Miami,7:30 PM,
12/13/23,Atlanta,Toronto,7:30 PM,
12/13/23,Memphis,Houston,8:00 PM,
12/13/23,Indiana,Milwaukee,8:00 PM,
12/13/23,L.A. Lakers,San Antonio,8:00 PM,NBA TV
12/13/23,Brooklyn,Phoenix,9:00 PM,
12/13/23,New York,Utah,9:00 PM,
12/14/23,Cleveland,Boston,7:30 PM,NBA TV
12/14/23,Chicago,Miami,7:30 PM,
12/14/23,Minnesota,Dallas,8:30 PM,
12/14/23,Brooklyn,Denver,9:00 PM,
12/14/23,Utah,Portland,10:00 PM,
12/14/23,Oklahoma City,Sacramento,10:00 PM,
12/14/23,Golden State,LA Clippers,10:30 PM,NBA TV
12/15/23,New Orleans,Charlotte,7:00 PM,
12/15/23,Detroit,Philadelphia,7:00 PM,
12/15/23,Indiana,Washington,7:00 PM,
12/15/23,Orlando,Boston,7:30 PM,
12/15/23,Atlanta,Toronto,7:30 PM,
12/15/23,L.A. Lakers,San Antonio,7:30 PM,ESPN
12/15/23,Houston,Memphis,8:00 PM,
12/15/23,New York,Phoenix,10:00 PM,ESPN
12/16/23,Detroit,Milwaukee,6:00 PM,
12/16/23,Philadelphia,Charlotte,7:00 PM,
12/16/23,Atlanta,Cleveland,7:30 PM,NBA TV
12/16/23,Chicago,Miami,8:00 PM,
12/16/23,Indiana,Minnesota,8:00 PM,
12/16/23,Brooklyn,Golden State,8:30 PM,
12/16/23,Oklahoma City,Denver,9:00 PM,
12/16/23,Dallas,Portland,9:00 PM,
12/16/23,Utah,Sacramento,10:00 PM,NBA TV
12/16/23,New York,LA Clippers,10:30 PM,
12/17/23,Orlando,Boston,3:00 PM,
12/17/23,New Orleans,San Antonio,3:30 PM,
12/17/23,Houston,Milwaukee,7:00 PM,
12/17/23,Washington,Phoenix,8:00 PM,
12/17/23,Golden State,Portland,9:00 PM,
12/18/23,Houston,Cleveland,7:00 PM,
12/18/23,LA Clippers,Indiana,7:00 PM,
12/18/23,Chicago,Philadelphia,7:00 PM,
12/18/23,Detroit,Atlanta,7:30 PM,
12/18/23,Minnesota,Miami,7:30 PM,
12/18/23,Charlotte,Toronto,7:30 PM,
12/18/23,Memphis,Oklahoma City,8:00 PM,
12/18/23,Dallas,Denver,9:00 PM,NBA TV
12/18/23,Brooklyn,Utah,9:00 PM,
12/18/23,Washington,Sacramento,10:00 PM,
12/18/23,New York,L.A. Lakers,10:30 PM,
12/19/23,Memphis,New Orleans,7:30 PM,TNT
12/19/23,San Antonio,Milwaukee,8:00 PM,
12/19/23,Boston,Golden State,10:00 PM,TNT
12/19/23,Phoenix,Portland,10:00 PM,
12/20/23,Utah,Cleveland,7:00 PM,
12/20/23,Charlotte,Indiana,7:00 PM,
12/20/23,Miami,Orlando,7:00 PM,
12/20/23,Minnesota,Philadelphia,7:00 PM NBA TV,
12/20/23,New York,Brooklyn,7:30 PM,
12/20/23,Denver,Toronto,7:30 PM,
12/20/23,L.A. Lakers,Chicago,8:00 PM,
12/20/23,Atlanta,Houston,8:00 PM,
12/20/23,LA Clippers,Dallas,8:30 PM,
12/20/23,Boston,Sacramento,10:00 PM NBA TV,
12/21/23,Utah,Detroit,7:00 PM NBA TV,
12/21/23,New Orleans,Cleveland,7:30 PM,
12/21/23,San Antonio,Chicago,8:00 PM,
12/21/23,Indiana,Memphis,8:00 PM,
12/21/23,Orlando,Milwaukee,8:00 PM,
12/21/23,LA Clippers,Oklahoma City,8:00 PM,
12/21/23,L.A. Lakers,Minnesota,9:00 PM,
12/21/23,Washington,Portland,10:00 PM NBA TV,
12/22/23,Toronto,Philadelphia,7:00 PM,
12/22/23,Denver,Brooklyn,7:30 PM NBA TV,
12/22/23,Atlanta,Miami,8:00 PM,
12/22/23,Dallas,Houston,8:00 PM,
12/22/23,Washington,Golden State,10:00 PM,ESPN
12/22/23,Phoenix,Sacramento,10:00 PM,
12/23/23,Milwaukee,New York,12:30 PM NBA TV,
12/23/23,Boston,LA Clippers,3:30 PM,
12/23/23,Denver,Charlotte,7:00 PM,
12/23/23,Orlando,Indiana,7:00 PM,
12/23/23,Houston,New Orleans,7:00 PM,
12/23/23,Memphis,Atlanta,7:30 PM,
12/23/23,Detroit,Brooklyn,7:30 PM,
12/23/23,Utah,Toronto,7:30 PM,
12/23/23,Cleveland,Chicago,8:00 PM,
12/23/23,L.A. Lakers,Oklahoma City,8:00 PM,
12/23/23,San Antonio,Dallas,8:30 PM,
12/23/23,Portland,Golden State,8:30 PM,
12/23/23,Minnesota,Sacramento,10:00 PM,
12/25/23,Milwaukee,New York,12:00 PM,ESPN
12/25/23,Golden State,Denver,2:30 PM ABC/ESPN,
12/25/23,Boston,L.A. Lakers,5:00 PM ABC/ESPN,
12/25/23,Philadelphia,Miami,8:00 PM,ESPN
12/25/23,Dallas,Phoenix,10:30 PM,ESPN
12/26/23,Brooklyn,Detroit,7:00 PM,
12/26/23,Orlando,Washington,7:00 PM,
12/26/23,Atlanta,Chicago,8:00 PM,
12/26/23,Indiana,Houston,8:00 PM NBA TV,
12/26/23,Memphis,New Orleans,8:00 PM,
12/26/23,Minnesota,Oklahoma City,8:00 PM,
12/26/23,Utah,San Antonio,8:00 PM,
12/26/23,Sacramento,Portland,10:00 PM,
12/26/23,Charlotte,LA Clippers,10:30 PM NBA TV,
12/27/23,Philadelphia,Orlando,7:00 PM,
12/27/23,Toronto,Washington,7:00 PM NBA TV,
12/27/23,Milwaukee,Brooklyn,7:30 PM,
12/27/23,Phoenix,Houston,8:00 PM,
12/27/23,New York,Oklahoma City,8:00 PM,
12/27/23,Cleveland,Dallas,8:30 PM,
12/28/23,Detroit,Boston,7:30 PM,NBA TV
12/28/23,Indiana,Chicago,8:00 PM,
12/28/23,Dallas,Minnesota,8:00 PM,
12/28/23,Utah,New Orleans,8:00 PM,
12/28/23,Memphis,Denver,9:00 PM,
12/28/23,Miami,Golden State,10:00 PM,NBA TV
12/28/23,San Antonio,Portland,10:00 PM,
12/28/23,Charlotte,L.A. Lakers,10:30 PM,
12/29/23,New York,Orlando,7:00 PM,
12/29/23,Brooklyn,Washington,7:00 PM,
12/29/23,Sacramento,Atlanta,7:30 PM,
12/29/23,Toronto,Boston,7:30 PM,
12/29/23,Milwaukee,Cleveland,7:30 PM,NBA TV
12/29/23,Philadelphia,Houston,8:00 PM,
12/29/23,Oklahoma City,Denver,9:00 PM,
12/29/23,Charlotte,Phoenix,9:00 PM,
12/29/23,San Antonio,Portland,10:00 PM,
12/29/23,Memphis,LA Clippers,10:30 PM,NBA TV
12/30/23,Miami,Utah,5:00 PM,
12/30/23,Toronto,Detroit,6:00 PM,
12/30/23,New York,Indiana,7:00 PM,
12/30/23,Philadelphia,Chicago,8:00 PM,
12/30/23,L.A. Lakers,Minnesota,8:00 PM,
12/30/23,Dallas,Golden State,8:30 PM,
12/31/23,Atlanta,Washington,3:00 PM,
12/31/23,L.A. Lakers,New Orleans,7:00 PM,
12/31/23,Brooklyn,Oklahoma City,7:00 PM,
12/31/23,Boston,San Antonio,7:00 PM,
12/31/23,Sacramento,Memphis,8:00 PM,
12/31/23,Orlando,Phoenix,8:00 PM,
1/1/24,Minnesota,New York,3:00 PM,NBA TV
1/1/24,Cleveland,Toronto,7:30 PM,
1/1/24,Detroit,Houston,8:00 PM,
1/1/24,Indiana,Milwaukee,8:00 PM,
1/1/24,Charlotte,Denver,9:00 PM,
1/1/24,Portland,Phoenix,9:00 PM,
1/1/24,Dallas,Utah,9:00 PM,
1/1/24,Miami,LA Clippers,10:30 PM,
1/2/24,Chicago,Philadelphia,7:00 PM,NBA TV
1/2/24,San Antonio,Memphis,8:00 PM,
1/2/24,Brooklyn,New Orleans,8:00 PM,
1/2/24,Boston,Oklahoma City,8:00 PM,
1/2/24,Orlando,Golden State,10:00 PM,NBA TV
1/2/24,Charlotte,Sacramento,10:00 PM,
1/3/24,Washington,Cleveland,7:00 PM,
1/3/24,Milwaukee,Indiana,7:00 PM,
1/3/24,Oklahoma City,Atlanta,7:30 PM,
1/3/24,Chicago,New York,7:30 PM,ESPN
1/3/24,Brooklyn,Houston,8:00 PM,
1/3/24,Toronto,Memphis,8:00 PM,
1/3/24,New Orleans,Minnesota,8:00 PM,
1/3/24,Portland,Dallas,8:30 PM,
1/3/24,LA Clippers,Phoenix,9:00 PM,
1/3/24,Detroit,Utah,9:00 PM,
1/3/24,Miami,L.A. Lakers,10:00 PM,ESPN
1/3/24,Orlando,Sacramento,10:00 PM,
1/4/24,Milwaukee,San Antonio,7:30 PM,TNT
1/4/24,Denver,Golden State,10:00 PM,TNT
1/5/24,Utah,Boston,7:00 PM,
1/5/24,Atlanta,Indiana,7:00 PM,
1/5/24,Oklahoma City,Brooklyn,7:30 PM,
1/5/24,Washington,Cleveland,7:30 PM,
1/5/24,New York,Philadelphia,7:30 PM,ESPN
1/5/24,Charlotte,Chicago,8:00 PM,
1/5/24,Minnesota,Houston,8:00 PM,
1/5/24,LA Clippers,New Orleans,8:00 PM,
1/5/24,Portland,Dallas,8:30 PM,
1/5/24,Orlando,Denver,9:00 PM,
1/5/24,Miami,Phoenix,9:00 PM,
1/5/24,Detroit,Golden State,10:00 PM,
1/5/24,Memphis,L.A. Lakers,10:00 PM,ESPN
1/5/24,Toronto,Sacramento,10:00 PM,
1/6/24,Boston,Indiana,7:00 PM,
1/6/24,New York,Washington,7:00 PM,
1/6/24,Utah,Philadelphia,7:30 PM,
1/6/24,Milwaukee,Houston,8:00 PM,
1/7/24,San Antonio,Cleveland,1:00 PM,
1/7/24,Portland,Brooklyn,3:00 PM,
1/7/24,Atlanta,Orlando,6:00 PM,
1/7/24,New Orleans,Sacramento,6:00 PM,
1/7/24,Minnesota,Dallas,7:30 PM,
1/7/24,Detroit,Denver,8:00 PM,
1/7/24,Memphis,Phoenix,8:00 PM,
1/7/24,Toronto,Golden State,8:30 PM,
1/7/24,LA Clippers,L.A. Lakers,9:30 PM,
1/8/24,Chicago,Charlotte,7:00 PM,
1/8/24,Boston,Indiana,7:00 PM,
1/8/24,Oklahoma City,Washington,7:00 PM,
1/8/24,Houston,Miami,7:30 PM,
1/8/24,Utah,Milwaukee,8:00 PM,
1/8/24,Phoenix,LA Clippers,10:30 PM,NBA TV
1/9/24,Sacramento,Detroit,7:00 PM,
1/9/24,Minnesota,Orlando,7:00 PM,
1/9/24,Portland,New York,7:30 PM,
1/9/24,Memphis,Dallas,8:30 PM,NBA TV
1/9/24,Toronto,L.A. Lakers,10:30 PM,
1/10/24,Minnesota,Boston,7:00 PM,
1/10/24,Sacramento,Charlotte,7:00 PM,
1/10/24,San Antonio,Detroit,7:00 PM,
1/10/24,Washington,Indiana,7:00 PM,
1/10/24,Philadelphia,Atlanta,7:30 PM,ESPN
1/10/24,Oklahoma City,Miami,7:30 PM,
1/10/24,Houston,Chicago,8:00 PM,
1/10/24,Denver,Utah,9:00 PM,
1/10/24,New Orleans,Golden State,10:00 PM,ESPN
1/10/24,Toronto,LA Clippers,10:30 PM,
1/11/24,Brooklyn,Cleveland,2:00 PM,NBA TV
1/11/24,Boston,Milwaukee,7:30 PM,TNT
1/11/24,Portland,Oklahoma City,8:00 PM,
1/11/24,New York,Dallas,8:30 PM,
1/11/24,Phoenix,L.A. Lakers,10:00 PM,TNT
1/12/24,Sacramento,Philadelphia,7:00 PM,
1/12/24,Indiana,Atlanta,7:30 PM,
1/12/24,Houston,Detroit,7:30 PM,ESPN
1/12/24,Orlando,Miami,8:00 PM,
1/12/24,Golden State,Chicago,8:00 PM,
1/12/24,LA Clippers,Memphis,8:00 PM,
1/12/24,Portland,Minnesota,8:00 PM,
1/12/24,New Orleans,Denver,9:00 PM,
