id,race,ses,schtyp,prog,read,write,math,science,socst,gender
36,african-amer,low,public,general,44,49,44,35,51,female
135,white,low,public,academic,63,60,65,54,66,female
59,white,middle,public,academic,65,67,63,55,71,female
78,white,middle,public,academic,39,54,54,53,41,female
64,white,high,public,vocational,50,52,45,58,36,female
63,white,low,public,general,52,65,60,56,51,female
79,white,middle,public,academic,60,62,49,50,51,female
193,white,middle,private,academic,44,49,48,39,51,female
92,white,high,public,general,52,67,57,63,61,female
160,white,middle,public,academic,55,65,55,50,61,female
32,asian,high,public,vocational,50,67,66,66,56,female
23,asian,low,public,academic,65,65,64,58,71,female
158,white,middle,public,general,52,54,55,53,51,female
25,asian,middle,public,general,47,44,42,42,36,female
188,white,high,private,academic,63,62,56,55,61,female
52,african-amer,low,public,academic,50,46,53,53,66,female
124,white,low,public,vocational,42,54,41,42,41,female
175,white,high,private,general,36,57,42,50,41,female
184,white,middle,private,vocational,50,52,53,55,56,female
30,asian,high,public,academic,41,59,42,34,51,female
179,white,middle,private,academic,47,65,60,50,56,female
31,asian,middle,private,general,55,59,52,42,56,female
145,white,middle,public,vocational,42,46,38,36,46,female
187,white,middle,private,general,57,41,57,55,52,female
118,white,middle,public,general,55,62,58,58,61,female
137,white,high,public,academic,63,65,65,53,61,female
