Month,Flow
1933-07,523.86
1933-08,182.36
1933-09,170.75
1933-10,105.62
1933-11,163.67
1933-12,80.42
1934-01,76.46
1934-02,117.23
1934-03,138.47
1934-04,283.17
1934-05,563.5
1934-06,693.76
1934-07,291.66
1934-08,115.53
1934-09,94.01
1934-10,108.17
1934-11,101.37
1934-12,60.31
1935-01,32.28
1935-02,71.36
1935-03,97.41
1935-04,294.49
1935-05,265.33
1935-06,566.34
1935-07,484.22
1935-08,288.83
1935-09,111.85
1935-10,74.47
1935-11,55.78
1935-12,56.63
1936-01,32.56
1936-02,32
1936-03,101.94
1936-04,416.26
1936-05,424.75
1936-06,512.53
1936-07,152.06
1936-08,89.2
1936-09,81.55
1936-10,52.1
1936-11,33.41
1936-12,28.23
1937-01,28.6
1937-02,31.15
1937-03,43.61
1937-04,189.44
1937-05,134.79
1937-06,504.04
1937-07,325.64
1937-08,167.35
1937-09,93.45
1937-10,94.58
1937-11,93.45
1937-12,64.85
1938-01,46.16
1938-02,43.32
1938-03,54.93
1938-04,351.13
1938-05,348.3
1938-06,948.61
1938-07,634.3
1938-08,214.64
1938-09,140.17
1938-10,111.85
1938-11,70.51
1938-12,52.39
1939-01,41.91
1939-02,44.46
1939-03,62.01
1939-04,311.48
1939-05,211.53
1939-06,532.36
1939-07,637.13
1939-08,146.4
1939-09,100.24
1939-10,88.91
1939-11,67.39
1939-12,54.37
1940-01,43.61
1940-02,43.04
1940-03,52.39
1940-04,453.07
1940-05,472.89
1940-06,407.76
1940-07,200.77
1940-08,156.88
1940-09,139.32
1940-10,175.28
1940-11,76.74
1940-12,77.59
1941-01,61.16
1941-02,56.07
1941-03,67.68
1941-04,311.48
1941-05,134.79
1941-06,238.71
1941-07,165.37
1941-08,107.04
1941-09,142.43
1941-10,145.55
1941-11,103.36
1941-12,67.39
1942-01,46.16
1942-02,43.04
1942-03,56.63
1942-04,174.43
1942-05,382.28
1942-06,1005.25
1942-07,838.18
1942-08,416.26
1942-09,286
1942-10,239.56
1942-11,95.99
1942-12,73.91
1943-01,66.26
1943-02,70.51
1943-03,82.4
1943-04,739.07
1943-05,362.45
1943-06,611.64
1943-07,608.81
1943-08,260.8
1943-09,122.61
1943-10,73.06
1943-11,79.57
1943-12,59.75
1944-01,55.22
1944-02,63.15
1944-03,71.36
1944-04,202.47
1944-05,93.45
1944-06,348.3
1944-07,286
1944-08,237.01
1944-09,158.01
1944-10,97.41
1944-11,71.92
1944-12,62.3
1945-01,50.69
1945-02,67.68
1945-03,93.73
1945-04,169.05
1945-05,214.07
1945-06,792.87
1945-07,583.33
1945-08,160.27
1945-09,122.05
1945-10,151.78
1945-11,53.52
1945-12,99.96
1946-01,88.07
1946-02,80.99
1946-03,158.86
1946-04,266.46
1946-05,259.38
1946-06,747.56
1946-07,498.38
1946-08,154.61
1946-09,203.03
1946-10,155.18
1946-11,100.81
1946-12,99.96
1947-01,85.52
1947-02,77.02
1947-03,325.64
1947-04,662.61
1947-05,699.42
1947-06,773.05
1947-07,450.24
1947-08,179.25
1947-09,213.51
1947-10,280.62
1947-11,202.47
1947-12,123.74
1948-01,102.51
1948-02,78.44
1948-03,94.29
1948-04,722.08
1948-05,1526.28
1948-06,1693.34
1948-07,654.12
1948-08,390.77
1948-09,178.68
1948-10,109.87
1948-11,87.78
1948-12,50.12
1949-01,57.48
1949-02,59.18
1949-03,67.96
1949-04,260.51
1949-05,232.2
1949-06,436.08
1949-07,182.08
1949-08,137.9
1949-09,72.21
1949-10,53.8
1949-11,71.64
1949-12,43.32
1950-01,48.14
1950-02,56.07
1950-03,77.02
1950-04,331.31
1950-05,319.98
1950-06,688.1
1950-07,693.76
1950-08,258.53
1950-09,139.32
1950-10,83.53
1950-11,105.62
1950-12,95.14
1951-01,95.14
1951-02,79.85
1951-03,86.37
1951-04,620.14
1951-05,860.83
1951-06,951.44
1951-07,1141.17
1951-08,472.89
1951-09,758.89
1951-10,492.71
1951-11,302.99
1951-12,184.63
1952-01,149.8
1952-02,143.28
1952-03,110.15
1952-04,1260.1
1952-05,549.35
1952-06,654.12
1952-07,699.42
1952-08,410.59
1952-09,250.04
1952-10,175.56
1952-11,139.04
1952-12,80.42
1953-01,62.58
1953-02,84.95
1953-03,109.02
1953-04,265.89
1953-05,591.82
1953-06,1919.88
1953-07,849.5
1953-08,373.78
1953-09,256.83
1953-10,162.26
1953-11,126.86
1953-12,69.94
1954-01,71.92
1954-02,92.03
1954-03,120.06
1954-04,336.97
1954-05,634.3
1954-06,1019.4
1954-07,750.4
1954-08,393.6
1954-09,801.37
1954-10,413.43
1954-11,302.99
1954-12,137.05
1955-01,96.56
1955-02,105.06
1955-03,79.29
1955-04,622.97
1955-05,603.15
1955-06,792.87
1955-07,733.41
1955-08,248.34
1955-09,123.18
1955-10,146.96
1955-11,95.71
1955-12,89.76
1956-01,88.07
1956-02,97.41
1956-03,100.24
1956-04,622.97
1956-05,413.43
1956-06,747.56
1956-07,518.2
1956-08,297.33
1956-09,199.35
1956-10,148.66
1956-11,136.2
1956-12,61.73
1957-01,64.28
1957-02,62.86
1957-03,136.77
1957-04,351.13
1957-05,583.33
1957-06,538.02
1957-07,233.33
1957-08,110.72
1957-09,116.67
1957-10,109.3
1957-11,128.84
1957-12,79.29
1958-01,65.69
1958-02,78.15
1958-03,96.28
1958-04,450.24
1958-05,436.08
1958-06,594.65
1958-07,481.39
1958-08,241.54
1958-09,133.09
1958-10,112.7
1958-11,101.66
1958-12,68.53
1959-01,73.62
1959-02,90.61
1959-03,137.62
1959-04,319.98
1959-05,311.48
1959-06,730.57
1959-07,591.82
1959-08,238.43
1959-09,163.95
1959-10,190.86
1959-11,135.92
1959-12,168.2
1960-01,102.79
1960-02,114.68
1960-03,126.01
1960-04,625.8
1960-05,385.11
1960-06,464.4
1960-07,365.29
1960-08,192.84
1960-09,86.08
1960-10,60.6
1960-11,52.67
1960-12,55.22
1961-01,74.19
1961-02,62.86
1961-03,110.44
1961-04,201.9
1961-05,200.48
1961-06,741.9
1961-07,190.01
1961-08,150.08
1961-09,102.51
1961-10,107.6
1961-11,135.07
1961-12,71.08
1962-01,99.11
1962-02,113.83
1962-03,99.96
1962-04,430.42
1962-05,261.08
1962-06,407.76
1962-07,274.39
1962-08,156.59
1962-09,135.92
1962-10,93.45
1962-11,101.37
1962-12,55.5
1963-01,41.63
1963-02,50.4
1963-03,158.86
1963-04,239.84
1963-05,155.46
1963-06,385.11
1963-07,767.39
1963-08,273.82
1963-09,165.09
,
Monthly river flows in cms, S. Sask River at Sasktoon. Oct 1911-Oct 1963
