country,region,oil,log_income,log_mortality
Zambia             ,Africa,no oil exports,5.736572297479192,5.556828061699537
Bolivia            ,Americas,no oil exports,5.298317366548036,4.100989104940769
Cameroon           ,Africa,no oil exports,4.605170185988092,4.919980925828125
Congo              ,Africa,no oil exports,5.638354669333745,5.19295685089021
Egypt              ,Africa,no oil exports,5.3471075307174685,4.736198448394496
El_Salvador        ,Americas,no oil exports,5.765191102784844,4.063885354737392
Ghana              ,Africa,no oil exports,5.37989735354046,4.154184562578117
Honduras           ,Americas,no oil exports,5.648974238161206,3.6712245188752153
Ivory_Coast        ,Africa,no oil exports,5.958424693029782,4.927253685157205
Jordan             ,Asia,no oil exports,5.811140992976701,3.0587070727153796
South_Korea        ,Asia,no oil exports,5.840641657373398,4.060443010546419
Liberia            ,Africa,no oil exports,5.2832037287379885,5.0701612734102826
Moroco             ,Africa,no oil exports,5.631211781821365,5.003946305945459
Papua_New_Guinea   ,Asia,no oil exports,6.1675164908883415,2.3223877202902252
Paraguay           ,Americas,no oil exports,5.849324779946859,3.653252276470785
Philippines        ,Asia,no oil exports,5.438079308923196,4.21803603456465
Syria              ,Asia,no oil exports,5.811140992976701,3.077312260546414
Thailand           ,Asia,no oil exports,5.3471075307174685,3.295836866004329
Turkey             ,Asia,no oil exports,6.075346031088684,5.030437921392435
South_Vietnam      ,Asia,no oil exports,4.867534450455582,4.605170185988092
Afganistan         ,Asia,no oil exports,4.31748811353631,5.991464547107982
Bangladesh         ,Asia,no oil exports,4.605170185988092,4.822697998516666
Burma              ,Asia,no oil exports,4.290459441148391,5.298317366548036
Burundi            ,Africa,no oil exports,4.219507705176107,5.0106352940962555
Cambodia           ,Asia,no oil exports,4.812184355372417,4.605170185988092
Central_African_Rep,Africa,no oil exports,4.804021044733257,5.247024072160486
Chad               ,Africa,no oil exports,4.248495242049359,5.075173815233827
Dahomey            ,Africa,no oil exports,4.394449154672439,4.696837374513915
Ethiopia           ,Africa,no oil exports,4.3694478524670215,4.4331949212482815
Guinea             ,Africa,no oil exports,4.3694478524670215,5.375278407684165
India              ,Asia,no oil exports,4.532599493153256,4.104294893075269
Kenya              ,Africa,no oil exports,5.1298987149230735,4.007333185232471
Madagascar         ,Africa,no oil exports,4.787491742782046,4.624972813284271
Malawi             ,Africa,no oil exports,4.867534450455582,4.999237249143887
Mali               ,Africa,no oil exports,3.912023005428146,4.787491742782046
Mauritania         ,Africa,no oil exports,5.159055299214529,5.231108616854587
Niger              ,Africa,no oil exports,4.248495242049359,5.298317366548036
Pakistan           ,Asia,no oil exports,4.624972813284271,4.822697998516666
Rwanda             ,Africa,no oil exports,4.110873864173311,4.8895969657192
Sierra_Leone       ,Africa,no oil exports,4.997212273764115,5.135798437050262
Somalia            ,Africa,no oil exports,4.442651256490317,5.062595033026967
Sri_Lanka          ,Asia,no oil exports,5.087596335232384,3.8088822465086327
Sudan              ,Africa,no oil exports,4.8283137373023015,4.8629083820668
Tanzania           ,Africa,no oil exports,4.787491742782046,5.090678001769792
Togo               ,Africa,no oil exports,5.075173815233827,4.844187086458591
Uganda             ,Africa,no oil exports,4.897839799950911,5.075173815233827
Upper_Volta        ,Africa,no oil exports,4.406719247264253,5.19295685089021
Southern_Yemen     ,Asia,no oil exports,4.564348191467836,4.382026634673881
Yemen              ,Asia,no oil exports,4.343805421853684,3.912023005428146
Zaire              ,Africa,no oil exports,4.770684624465665,4.6443908991413725
