bird_name,count,Year,Transect,Temp,ObservCond,Bay
Long-tailed Duck,1,1988,101,4.5,Excellent,Uyak
Pigeon Guillemot,0,1988,101,4.5,Excellent,Uyak
Red-breasted Merganser,0,1988,101,4.5,Excellent,Uyak
Red-necked Grebe,0,1988,101,4.5,Excellent,Uyak
Surf Scoter,0,1988,101,4.5,Excellent,Uyak
White-winged Scoter,0,1988,101,4.5,Excellent,Uyak
Barrow's Goldeneye,0,1989,101,2.7,Excellent,Uyak
Black Scoter,0,1989,101,2.7,Excellent,Uyak
Common Merganser,0,1989,101,2.7,Excellent,Uyak
Common Murre,17,1989,101,2.7,Excellent,Uyak
Cormorant,0,1989,101,2.7,Excellent,Uyak
Harlequin Duck,0,1989,101,2.7,Excellent,Uyak
Horned Grebe,0,1989,101,2.7,Excellent,Uyak
Loon,0,1989,101,2.7,Excellent,Uyak
Marbled Murrelet,0,1989,101,2.7,Excellent,Uyak
Long-tailed Duck,0,1989,101,2.7,Excellent,Uyak
Pigeon Guillemot,0,1989,101,2.7,Excellent,Uyak
Red-breasted Merganser,0,1989,101,2.7,Excellent,Uyak
Red-necked Grebe,0,1989,101,2.7,Excellent,Uyak
Surf Scoter,0,1989,101,2.7,Excellent,Uyak
White-winged Scoter,0,1989,101,2.7,Excellent,Uyak
Barrow's Goldeneye,0,1990,101,2.2,Excellent,Uyak
Black Scoter,0,1990,101,2.2,Excellent,Uyak
Common Merganser,0,1990,101,2.2,Excellent,Uyak
Common Murre,5,1990,101,2.2,Excellent,Uyak
Cormorant,0,1990,101,2.2,Excellent,Uyak
Harlequin Duck,2,1990,101,2.2,Excellent,Uyak
Horned Grebe,3,1990,101,2.2,Excellent,Uyak
Loon,1,1990,101,2.2,Excellent,Uyak
Marbled Murrelet,5,1990,101,2.2,Excellent,Uyak
Long-tailed Duck,1,1990,101,2.2,Excellent,Uyak
Pigeon Guillemot,0,1990,101,2.2,Excellent,Uyak
Red-breasted Merganser,0,1990,101,2.2,Excellent,Uyak
Red-necked Grebe,0,1990,101,2.2,Excellent,Uyak
Surf Scoter,0,1990,101,2.2,Excellent,Uyak
White-winged Scoter,0,1990,101,2.2,Excellent,Uyak
Barrow's Goldeneye,0,1991,101,2.5,Average,Uyak
Black Scoter,0,1991,101,2.5,Average,Uyak
Common Merganser,0,1991,101,2.5,Average,Uyak
Common Murre,5,1991,101,2.5,Average,Uyak
Cormorant,1,1991,101,2.5,Average,Uyak
Harlequin Duck,0,1991,101,2.5,Average,Uyak
Horned Grebe,0,1991,101,2.5,Average,Uyak
Loon,0,1991,101,2.5,Average,Uyak
Marbled Murrelet,0,1991,101,2.5,Average,Uyak
Long-tailed Duck,0,1991,101,2.5,Average,Uyak
Pigeon Guillemot,0,1991,101,2.5,Average,Uyak
Red-breasted Merganser,0,1991,101,2.5,Average,Uyak
Red-necked Grebe,0,1991,101,2.5,Average,Uyak
Surf Scoter,0,1991,101,2.5,Average,Uyak
White-winged Scoter,0,1991,101,2.5,Average,Uyak
Barrow's Goldeneye,0,1992,101,3,Excellent,Uyak
Black Scoter,0,1992,101,3,Excellent,Uyak
Common Merganser,0,1992,101,3,Excellent,Uyak
Common Murre,15,1992,101,3,Excellent,Uyak
Cormorant,0,1992,101,3,Excellent,Uyak
Harlequin Duck,0,1992,101,3,Excellent,Uyak
Horned Grebe,0,1992,101,3,Excellent,Uyak
Loon,0,1992,101,3,Excellent,Uyak
Marbled Murrelet,4,1992,101,3,Excellent,Uyak
Long-tailed Duck,0,1992,101,3,Excellent,Uyak
Pigeon Guillemot,0,1992,101,3,Excellent,Uyak
Red-breasted Merganser,0,1992,101,3,Excellent,Uyak
Red-necked Grebe,0,1992,101,3,Excellent,Uyak
Surf Scoter,0,1992,101,3,Excellent,Uyak
White-winged Scoter,10,1992,101,3,Excellent,Uyak
Barrow's Goldeneye,0,1993,101,3,Excellent,Uyak
Black Scoter,0,1993,101,3,Excellent,Uyak
Common Merganser,0,1993,101,3,Excellent,Uyak
Common Murre,20,1993,101,3,Excellent,Uyak
Cormorant,2,1993,101,3,Excellent,Uyak
Harlequin Duck,0,1993,101,3,Excellent,Uyak
Horned Grebe,0,1993,101,3,Excellent,Uyak
Loon,1,1993,101,3,Excellent,Uyak
Marbled Murrelet,2,1993,101,3,Excellent,Uyak
Long-tailed Duck,11,1993,101,3,Excellent,Uyak
Pigeon Guillemot,0,1993,101,3,Excellent,Uyak
Red-breasted Merganser,0,1993,101,3,Excellent,Uyak
Red-necked Grebe,0,1993,101,3,Excellent,Uyak
Surf Scoter,0,1993,101,3,Excellent,Uyak
White-winged Scoter,0,1993,101,3,Excellent,Uyak
Barrow's Goldeneye,0,1994,101,3,Excellent,Uyak
Black Scoter,0,1994,101,3,Excellent,Uyak
Common Merganser,0,1994,101,3,Excellent,Uyak
Common Murre,9,1994,101,3,Excellent,Uyak
Cormorant,1,1994,101,3,Excellent,Uyak
Harlequin Duck,0,1994,101,3,Excellent,Uyak
Horned Grebe,0,1994,101,3,Excellent,Uyak
Loon,0,1994,101,3,Excellent,Uyak
Marbled Murrelet,1,1994,101,3,Excellent,Uyak
Long-tailed Duck,11,1994,101,3,Excellent,Uyak
Pigeon Guillemot,0,1994,101,3,Excellent,Uyak
Red-breasted Merganser,0,1994,101,3,Excellent,Uyak
Red-necked Grebe,0,1994,101,3,Excellent,Uyak
Surf Scoter,0,1994,101,3,Excellent,Uyak
White-winged Scoter,2,1994,101,3,Excellent,Uyak
Barrow's Goldeneye,0,1995,101,3,Excellent,Uyak
Black Scoter,0,1995,101,3,Excellent,Uyak
Common Merganser,0,1995,101,3,Excellent,Uyak
Common Murre,63,1995,101,3,Excellent,Uyak
Cormorant,1,1995,101,3,Excellent,Uyak
Harlequin Duck,2,1995,101,3,Excellent,Uyak
Horned Grebe,0,1995,101,3,Excellent,Uyak
Loon,0,1995,101,3,Excellent,Uyak
Marbled Murrelet,0,1995,101,3,Excellent,Uyak
Long-tailed Duck,0,1995,101,3,Excellent,Uyak
Pigeon Guillemot,1,1995,101,3,Excellent,Uyak
Red-breasted Merganser,0,1995,101,3,Excellent,Uyak
Red-necked Grebe,0,1995,101,3,Excellent,Uyak
Surf Scoter,0,1995,101,3,Excellent,Uyak
White-winged Scoter,0,1995,101,3,Excellent,Uyak
Barrow's Goldeneye,0,1996,101,3,Excellent,Uyak
Black Scoter,0,1996,101,3,Excellent,Uyak
Common Merganser,0,1996,101,3,Excellent,Uyak
Common Murre,27,1996,101,3,Excellent,Uyak
Cormorant,4,1996,101,3,Excellent,Uyak
Harlequin Duck,2,1996,101,3,Excellent,Uyak
Horned Grebe,0,1996,101,3,Excellent,Uyak
Loon,0,1996,101,3,Excellent,Uyak
Marbled Murrelet,0,1996,101,3,Excellent,Uyak
Long-tailed Duck,0,1996,101,3,Excellent,Uyak
Pigeon Guillemot,0,1996,101,3,Excellent,Uyak
Red-breasted Merganser,0,1996,101,3,Excellent,Uyak
Red-necked Grebe,0,1996,101,3,Excellent,Uyak
Surf Scoter,0,1996,101,3,Excellent,Uyak
White-winged Scoter,10,1996,101,3,Excellent,Uyak
Barrow's Goldeneye,0,1997,101,3,Good,Uyak
Black Scoter,0,1997,101,3,Good,Uyak
Common Merganser,0,1997,101,3,Good,Uyak
Common Murre,13,1997,101,3,Good,Uyak
Cormorant,0,1997,101,3,Good,Uyak
Harlequin Duck,0,1997,101,3,Good,Uyak
Horned Grebe,0,1997,101,3,Good,Uyak
Loon,1,1997,101,3,Good,Uyak
Marbled Murrelet,4,1997,101,3,Good,Uyak
Long-tailed Duck,0,1997,101,3,Good,Uyak
Pigeon Guillemot,0,1997,101,3,Good,Uyak
Red-breasted Merganser,0,1997,101,3,Good,Uyak
Red-necked Grebe,0,1997,101,3,Good,Uyak
Surf Scoter,0,1997,101,3,Good,Uyak
White-winged Scoter,0,1997,101,3,Good,Uyak
Barrow's Goldeneye,0,1999,101,3,Fair,Uyak
Black Scoter,0,1999,101,3,Fair,Uyak
Common Merganser,0,1999,101,3,Fair,Uyak
Common Murre,3,1999,101,3,Fair,Uyak
Cormorant,3,1999,101,3,Fair,Uyak
Harlequin Duck,0,1999,101,3,Fair,Uyak
Horned Grebe,0,1999,101,3,Fair,Uyak
Loon,0,1999,101,3,Fair,Uyak
Marbled Murrelet,0,1999,101,3,Fair,Uyak
Long-tailed Duck,6,1999,101,3,Fair,Uyak
Pigeon Guillemot,0,1999,101,3,Fair,Uyak
Red-breasted Merganser,0,1999,101,3,Fair,Uyak
Red-necked Grebe,0,1999,101,3,Fair,Uyak
Surf Scoter,0,1999,101,3,Fair,Uyak
White-winged Scoter,21,1999,101,3,Fair,Uyak
Barrow's Goldeneye,0,2000,101,2.3,Good,Uyak
Black Scoter,0,2000,101,2.3,Good,Uyak
Common Merganser,0,2000,101,2.3,Good,Uyak
Common Murre,30,2000,101,2.3,Good,Uyak
Cormorant,4,2000,101,2.3,Good,Uyak
Harlequin Duck,0,2000,101,2.3,Good,Uyak
Horned Grebe,0,2000,101,2.3,Good,Uyak
Loon,2,2000,101,2.3,Good,Uyak
Marbled Murrelet,9,2000,101,2.3,Good,Uyak
Long-tailed Duck,58,2000,101,2.3,Good,Uyak
Pigeon Guillemot,0,2000,101,2.3,Good,Uyak
Red-breasted Merganser,0,2000,101,2.3,Good,Uyak
Red-necked Grebe,0,2000,101,2.3,Good,Uyak
Surf Scoter,0,2000,101,2.3,Good,Uyak
White-winged Scoter,7,2000,101,2.3,Good,Uyak
Barrow's Goldeneye,0,2001,101,3.8,Average,Uyak
Black Scoter,0,2001,101,3.8,Average,Uyak
Common Merganser,0,2001,101,3.8,Average,Uyak
Common Murre,12,2001,101,3.8,Average,Uyak
Cormorant,4,2001,101,3.8,Average,Uyak
Harlequin Duck,0,2001,101,3.8,Average,Uyak
Horned Grebe,0,2001,101,3.8,Average,Uyak
Loon,0,2001,101,3.8,Average,Uyak
Marbled Murrelet,0,2001,101,3.8,Average,Uyak
Long-tailed Duck,0,2001,101,3.8,Average,Uyak
Pigeon Guillemot,0,2001,101,3.8,Average,Uyak
Red-breasted Merganser,0,2001,101,3.8,Average,Uyak
Red-necked Grebe,0,2001,101,3.8,Average,Uyak
Surf Scoter,0,2001,101,3.8,Average,Uyak
White-winged Scoter,0,2001,101,3.8,Average,Uyak
Barrow's Goldeneye,0,2002,101,3.55,Good,Uyak
Black Scoter,0,2002,101,3.55,Good,Uyak
Common Merganser,0,2002,101,3.55,Good,Uyak
Common Murre,7,2002,101,3.55,Good,Uyak
Cormorant,1,2002,101,3.55,Good,Uyak
Harlequin Duck,0,2002,101,3.55,Good,Uyak
Horned Grebe,0,2002,101,3.55,Good,Uyak
Loon,0,2002,101,3.55,Good,Uyak
Marbled Murrelet,3,2002,101,3.55,Good,Uyak
Long-tailed Duck,7,2002,101,3.55,Good,Uyak
Pigeon Guillemot,0,2002,101,3.55,Good,Uyak
Red-breasted Merganser,0,2002,101,3.55,Good,Uyak
Red-necked Grebe,0,2002,101,3.55,Good,Uyak
Surf Scoter,0,2002,101,3.55,Good,Uyak
White-winged Scoter,0,2002,101,3.55,Good,Uyak
Barrow's Goldeneye,0,2003,101,4.9,Excellent,Uyak
Black Scoter,0,2003,101,4.9,Excellent,Uyak
Common Merganser,0,2003,101,4.9,Excellent,Uyak
Common Murre,27,2003,101,4.9,Excellent,Uyak
Cormorant,5,2003,101,4.9,Excellent,Uyak
Harlequin Duck,0,2003,101,4.9,Excellent,Uyak
Horned Grebe,0,2003,101,4.9,Excellent,Uyak
Loon,0,2003,101,4.9,Excellent,Uyak
Marbled Murrelet,8,2003,101,4.9,Excellent,Uyak
Long-tailed Duck,0,2003,101,4.9,Excellent,Uyak
Pigeon Guillemot,1,2003,101,4.9,Excellent,Uyak
Red-breasted Merganser,0,2003,101,4.9,Excellent,Uyak
Red-necked Grebe,0,2003,101,4.9,Excellent,Uyak
Surf Scoter,0,2003,101,4.9,Excellent,Uyak
White-winged Scoter,0,2003,101,4.9,Excellent,Uyak
Barrow's Goldeneye,0,2004,101,4.4,Good,Uyak
Black Scoter,0,2004,101,4.4,Good,Uyak
Common Merganser,0,2004,101,4.4,Good,Uyak
Common Murre,10,2004,101,4.4,Good,Uyak
Harlequin Duck,0,2004,101,4.4,Good,Uyak
Horned Grebe,0,2004,101,4.4,Good,Uyak
Loon,0,2004,101,4.4,Good,Uyak
Marbled Murrelet,0,2004,101,4.4,Good,Uyak
Long-tailed Duck,19,2004,101,4.4,Good,Uyak
Pigeon Guillemot,0,2004,101,4.4,Good,Uyak
Red-breasted Merganser,0,2004,101,4.4,Good,Uyak
Red-necked Grebe,0,2004,101,4.4,Good,Uyak
Surf Scoter,0,2004,101,4.4,Good,Uyak
White-winged Scoter,0,2004,101,4.4,Good,Uyak
Barrow's Goldeneye,0,2005,101,4.6,Excellent,Uyak
Black Scoter,0,2005,101,4.6,Excellent,Uyak
Common Merganser,0,2005,101,4.6,Excellent,Uyak
Common Murre,2,2005,101,4.6,Excellent,Uyak
Harlequin Duck,1,2005,101,4.6,Excellent,Uyak
Horned Grebe,0,2005,101,4.6,Excellent,Uyak
Marbled Murrelet,0,2005,101,4.6,Excellent,Uyak
Long-tailed Duck,18,2005,101,4.6,Excellent,Uyak
Pigeon Guillemot,2,2005,101,4.6,Excellent,Uyak
Red-breasted Merganser,0,2005,101,4.6,Excellent,Uyak
Red-necked Grebe,1,2005,101,4.6,Excellent,Uyak
Surf Scoter,0,2005,101,4.6,Excellent,Uyak
White-winged Scoter,0,2005,101,4.6,Excellent,Uyak
Barrow's Goldeneye,0,1986,102,4.5,Excellent,Uyak
Black Scoter,0,1986,102,4.5,Excellent,Uyak
Common Merganser,0,1986,102,4.5,Excellent,Uyak
Common Murre,7,1986,102,4.5,Excellent,Uyak
Cormorant,2,1986,102,4.5,Excellent,Uyak
Harlequin Duck,0,1986,102,4.5,Excellent,Uyak
Horned Grebe,0,1986,102,4.5,Excellent,Uyak
Loon,0,1986,102,4.5,Excellent,Uyak
Marbled Murrelet,1,1986,102,4.5,Excellent,Uyak
Long-tailed Duck,0,1986,102,4.5,Excellent,Uyak
Pigeon Guillemot,0,1986,102,4.5,Excellent,Uyak
Red-breasted Merganser,0,1986,102,4.5,Excellent,Uyak
Red-necked Grebe,0,1986,102,4.5,Excellent,Uyak
Surf Scoter,0,1986,102,4.5,Excellent,Uyak
White-winged Scoter,0,1986,102,4.5,Excellent,Uyak
Barrow's Goldeneye,0,1987,102,4.8,Good,Uyak
Black Scoter,0,1987,102,4.8,Good,Uyak
Common Merganser,0,1987,102,4.8,Good,Uyak
Common Murre,11,1987,102,4.8,Good,Uyak
Cormorant,0,1987,102,4.8,Good,Uyak
Harlequin Duck,0,1987,102,4.8,Good,Uyak
Horned Grebe,0,1987,102,4.8,Good,Uyak
Loon,1,1987,102,4.8,Good,Uyak
Marbled Murrelet,0,1987,102,4.8,Good,Uyak
Long-tailed Duck,1,1987,102,4.8,Good,Uyak
Pigeon Guillemot,0,1987,102,4.8,Good,Uyak
Red-breasted Merganser,0,1987,102,4.8,Good,Uyak
Red-necked Grebe,0,1987,102,4.8,Good,Uyak
Surf Scoter,0,1987,102,4.8,Good,Uyak
White-winged Scoter,0,1987,102,4.8,Good,Uyak
Barrow's Goldeneye,0,1988,102,4,Excellent,Uyak
Black Scoter,0,1988,102,4,Excellent,Uyak
Common Merganser,0,1988,102,4,Excellent,Uyak
Common Murre,8,1988,102,4,Excellent,Uyak
Cormorant,1,1988,102,4,Excellent,Uyak
Harlequin Duck,0,1988,102,4,Excellent,Uyak
Horned Grebe,0,1988,102,4,Excellent,Uyak
Loon,0,1988,102,4,Excellent,Uyak
Marbled Murrelet,0,1988,102,4,Excellent,Uyak
Long-tailed Duck,0,1988,102,4,Excellent,Uyak
Pigeon Guillemot,0,1988,102,4,Excellent,Uyak
Red-breasted Merganser,0,1988,102,4,Excellent,Uyak
Red-necked Grebe,0,1988,102,4,Excellent,Uyak
Surf Scoter,0,1988,102,4,Excellent,Uyak
White-winged Scoter,0,1988,102,4,Excellent,Uyak
Barrow's Goldeneye,0,1989,102,2.7,Excellent,Uyak
Black Scoter,0,1989,102,2.7,Excellent,Uyak
Common Merganser,0,1989,102,2.7,Excellent,Uyak
Common Murre,9,1989,102,2.7,Excellent,Uyak
Cormorant,0,1989,102,2.7,Excellent,Uyak
Harlequin Duck,0,1989,102,2.7,Excellent,Uyak
Horned Grebe,0,1989,102,2.7,Excellent,Uyak
Loon,0,1989,102,2.7,Excellent,Uyak
Marbled Murrelet,2,1989,102,2.7,Excellent,Uyak
Long-tailed Duck,0,1989,102,2.7,Excellent,Uyak
Pigeon Guillemot,0,1989,102,2.7,Excellent,Uyak
Red-breasted Merganser,0,1989,102,2.7,Excellent,Uyak
Red-necked Grebe,0,1989,102,2.7,Excellent,Uyak
Surf Scoter,0,1989,102,2.7,Excellent,Uyak
White-winged Scoter,0,1989,102,2.7,Excellent,Uyak
Barrow's Goldeneye,0,1990,102,2.2,Excellent,Uyak
Black Scoter,0,1990,102,2.2,Excellent,Uyak
Common Merganser,0,1990,102,2.2,Excellent,Uyak
Common Murre,5,1990,102,2.2,Excellent,Uyak
Cormorant,0,1990,102,2.2,Excellent,Uyak
Harlequin Duck,0,1990,102,2.2,Excellent,Uyak
Horned Grebe,0,1990,102,2.2,Excellent,Uyak
Loon,0,1990,102,2.2,Excellent,Uyak
Marbled Murrelet,4,1990,102,2.2,Excellent,Uyak
Long-tailed Duck,0,1990,102,2.2,Excellent,Uyak
Pigeon Guillemot,0,1990,102,2.2,Excellent,Uyak
Red-breasted Merganser,0,1990,102,2.2,Excellent,Uyak
Red-necked Grebe,0,1990,102,2.2,Excellent,Uyak
Surf Scoter,0,1990,102,2.2,Excellent,Uyak
White-winged Scoter,0,1990,102,2.2,Excellent,Uyak
Barrow's Goldeneye,0,1991,102,2.5,Average,Uyak
Black Scoter,0,1991,102,2.5,Average,Uyak
Common Merganser,0,1991,102,2.5,Average,Uyak
Common Murre,2,1991,102,2.5,Average,Uyak
Cormorant,0,1991,102,2.5,Average,Uyak
Harlequin Duck,0,1991,102,2.5,Average,Uyak
Horned Grebe,0,1991,102,2.5,Average,Uyak
Loon,0,1991,102,2.5,Average,Uyak
Marbled Murrelet,0,1991,102,2.5,Average,Uyak
Long-tailed Duck,0,1991,102,2.5,Average,Uyak
Pigeon Guillemot,0,1991,102,2.5,Average,Uyak
Red-breasted Merganser,0,1991,102,2.5,Average,Uyak
Red-necked Grebe,0,1991,102,2.5,Average,Uyak
Surf Scoter,0,1991,102,2.5,Average,Uyak
White-winged Scoter,0,1991,102,2.5,Average,Uyak
Barrow's Goldeneye,0,1992,102,3.5,Excellent,Uyak
Black Scoter,0,1992,102,3.5,Excellent,Uyak
Common Merganser,0,1992,102,3.5,Excellent,Uyak
Common Murre,9,1992,102,3.5,Excellent,Uyak
Cormorant,0,1992,102,3.5,Excellent,Uyak
Harlequin Duck,0,1992,102,3.5,Excellent,Uyak
Horned Grebe,0,1992,102,3.5,Excellent,Uyak
Loon,1,1992,102,3.5,Excellent,Uyak
Marbled Murrelet,3,1992,102,3.5,Excellent,Uyak
Long-tailed Duck,1,1992,102,3.5,Excellent,Uyak
Pigeon Guillemot,0,1992,102,3.5,Excellent,Uyak
Red-breasted Merganser,0,1992,102,3.5,Excellent,Uyak
Red-necked Grebe,0,1992,102,3.5,Excellent,Uyak
Surf Scoter,0,1992,102,3.5,Excellent,Uyak
White-winged Scoter,0,1992,102,3.5,Excellent,Uyak
Barrow's Goldeneye,0,1993,102,3,Excellent,Uyak
Black Scoter,0,1993,102,3,Excellent,Uyak
Common Merganser,0,1993,102,3,Excellent,Uyak
Common Murre,68,1993,102,3,Excellent,Uyak
Cormorant,0,1993,102,3,Excellent,Uyak
Harlequin Duck,0,1993,102,3,Excellent,Uyak
Horned Grebe,0,1993,102,3,Excellent,Uyak
Loon,0,1993,102,3,Excellent,Uyak
Marbled Murrelet,2,1993,102,3,Excellent,Uyak
Long-tailed Duck,5,1993,102,3,Excellent,Uyak
Pigeon Guillemot,0,1993,102,3,Excellent,Uyak
Red-breasted Merganser,0,1993,102,3,Excellent,Uyak
Red-necked Grebe,0,1993,102,3,Excellent,Uyak
Surf Scoter,0,1993,102,3,Excellent,Uyak
White-winged Scoter,0,1993,102,3,Excellent,Uyak
Barrow's Goldeneye,0,1994,102,3,Excellent,Uyak
Black Scoter,0,1994,102,3,Excellent,Uyak
Common Merganser,0,1994,102,3,Excellent,Uyak
Common Murre,2,1994,102,3,Excellent,Uyak
Cormorant,0,1994,102,3,Excellent,Uyak
Harlequin Duck,0,1994,102,3,Excellent,Uyak
Horned Grebe,0,1994,102,3,Excellent,Uyak
Loon,0,1994,102,3,Excellent,Uyak
Marbled Murrelet,13,1994,102,3,Excellent,Uyak
Long-tailed Duck,0,1994,102,3,Excellent,Uyak
Pigeon Guillemot,0,1994,102,3,Excellent,Uyak
Red-breasted Merganser,0,1994,102,3,Excellent,Uyak
Red-necked Grebe,0,1994,102,3,Excellent,Uyak
Surf Scoter,0,1994,102,3,Excellent,Uyak
White-winged Scoter,2,1994,102,3,Excellent,Uyak
Barrow's Goldeneye,0,1995,102,3,Excellent,Uyak
Black Scoter,0,1995,102,3,Excellent,Uyak
Common Merganser,0,1995,102,3,Excellent,Uyak
Common Murre,11,1995,102,3,Excellent,Uyak
Cormorant,0,1995,102,3,Excellent,Uyak
Harlequin Duck,0,1995,102,3,Excellent,Uyak
Horned Grebe,0,1995,102,3,Excellent,Uyak
Loon,0,1995,102,3,Excellent,Uyak
Marbled Murrelet,0,1995,102,3,Excellent,Uyak
Long-tailed Duck,0,1995,102,3,Excellent,Uyak
Pigeon Guillemot,0,1995,102,3,Excellent,Uyak
Red-breasted Merganser,0,1995,102,3,Excellent,Uyak
Red-necked Grebe,0,1995,102,3,Excellent,Uyak
Surf Scoter,0,1995,102,3,Excellent,Uyak
White-winged Scoter,0,1995,102,3,Excellent,Uyak
Barrow's Goldeneye,0,1996,102,3.5,Good,Uyak
Black Scoter,0,1996,102,3.5,Good,Uyak
Common Merganser,0,1996,102,3.5,Good,Uyak
Common Murre,73,1996,102,3.5,Good,Uyak
Cormorant,0,1996,102,3.5,Good,Uyak
Harlequin Duck,0,1996,102,3.5,Good,Uyak
Horned Grebe,0,1996,102,3.5,Good,Uyak
Loon,0,1996,102,3.5,Good,Uyak
Marbled Murrelet,2,1996,102,3.5,Good,Uyak
Long-tailed Duck,0,1996,102,3.5,Good,Uyak
Pigeon Guillemot,0,1996,102,3.5,Good,Uyak
Red-breasted Merganser,0,1996,102,3.5,Good,Uyak
Red-necked Grebe,0,1996,102,3.5,Good,Uyak
Surf Scoter,0,1996,102,3.5,Good,Uyak
White-winged Scoter,0,1996,102,3.5,Good,Uyak
Barrow's Goldeneye,0,1997,102,3,Excellent,Uyak
Black Scoter,0,1997,102,3,Excellent,Uyak
Common Merganser,0,1997,102,3,Excellent,Uyak
Common Murre,1,1997,102,3,Excellent,Uyak
Cormorant,0,1997,102,3,Excellent,Uyak
Harlequin Duck,0,1997,102,3,Excellent,Uyak
Horned Grebe,0,1997,102,3,Excellent,Uyak
Loon,0,1997,102,3,Excellent,Uyak
Marbled Murrelet,13,1997,102,3,Excellent,Uyak
Long-tailed Duck,0,1997,102,3,Excellent,Uyak
Pigeon Guillemot,0,1997,102,3,Excellent,Uyak
Red-breasted Merganser,0,1997,102,3,Excellent,Uyak
Red-necked Grebe,0,1997,102,3,Excellent,Uyak
Surf Scoter,0,1997,102,3,Excellent,Uyak
White-winged Scoter,0,1997,102,3,Excellent,Uyak
Barrow's Goldeneye,0,1999,102,3,Average,Uyak
Black Scoter,0,1999,102,3,Average,Uyak
Common Merganser,0,1999,102,3,Average,Uyak
Common Murre,6,1999,102,3,Average,Uyak
Cormorant,0,1999,102,3,Average,Uyak
Harlequin Duck,0,1999,102,3,Average,Uyak
Horned Grebe,0,1999,102,3,Average,Uyak
Loon,0,1999,102,3,Average,Uyak
Marbled Murrelet,0,1999,102,3,Average,Uyak
Long-tailed Duck,0,1999,102,3,Average,Uyak
Pigeon Guillemot,0,1999,102,3,Average,Uyak
Red-breasted Merganser,0,1999,102,3,Average,Uyak
Red-necked Grebe,0,1999,102,3,Average,Uyak
Surf Scoter,0,1999,102,3,Average,Uyak
White-winged Scoter,0,1999,102,3,Average,Uyak
Barrow's Goldeneye,0,2000,102,2.5,Good,Uyak
Black Scoter,0,2000,102,2.5,Good,Uyak
Common Merganser,0,2000,102,2.5,Good,Uyak
Common Murre,15,2000,102,2.5,Good,Uyak
Cormorant,0,2000,102,2.5,Good,Uyak
Harlequin Duck,0,2000,102,2.5,Good,Uyak
Horned Grebe,0,2000,102,2.5,Good,Uyak
Loon,0,2000,102,2.5,Good,Uyak
Marbled Murrelet,3,2000,102,2.5,Good,Uyak
Long-tailed Duck,0,2000,102,2.5,Good,Uyak
Pigeon Guillemot,0,2000,102,2.5,Good,Uyak
Red-breasted Merganser,0,2000,102,2.5,Good,Uyak
Red-necked Grebe,0,2000,102,2.5,Good,Uyak
Surf Scoter,0,2000,102,2.5,Good,Uyak
White-winged Scoter,0,2000,102,2.5,Good,Uyak
Barrow's Goldeneye,0,2001,102,3.9,Average,Uyak
Black Scoter,0,2001,102,3.9,Average,Uyak
Common Merganser,0,2001,102,3.9,Average,Uyak
Common Murre,7,2001,102,3.9,Average,Uyak
Cormorant,0,2001,102,3.9,Average,Uyak
Harlequin Duck,0,2001,102,3.9,Average,Uyak
