"hard.work" "good.luck" "ability" "who.you.know" "performance" "office.politics" "adaptability" "service"
"77" 4 2 3 2 5 5 5 2
"78" 5 5 6 5 6 6 6 6
"79" 5 2 4 2 6 3 5 4
"81" 4 3 3 6 4 6 4 5
"82" 6 1 5 3 6 4 6 6
"83" 4 2 4 4 4 5 4 5
"84" 4 5 4 5 5 6 5 5
"85" 6 1 6 1 6 1 6 1
"86" 2 6 3 6 2 3 4 2
"87" 5 3 6 5 5 4 5 4
"88" 4 3 4 2 4 3 4 3
"89" 5 3 4 6 6 4 6 3
"90" 4 4 5 5 4 5 4 5
"91" 5 3 5 3 5 3 6 4
"92" 4 2 5 2 5 3 5 3
"93" 6 2 3 2 6 2 5 5
"94" 5 2 4 2 5 2 4 4
"95" 4 4 4 2 4 2 4 3
"96" 3 5 3 6 3 6 3 3
"97" 1 5 1 6 2 6 1 2
"98" 2 6 2 6 2 6 2 3
"99" 4 2 5 6 3 5 3 4
"100" 4 3 5 1 5 2 5 4
"101" 4 4 5 6 5 4 6 4
"102" 5 4 5 5 5 3 5 4
"104" 4 3 4 4 4 3 3 4
"105" 2 5 3 6 3 5 5 1
"106" 3 4 2 5 3 5 5 6
"107" 4 3 4 4 4 4 4 3
"108" 3 1 3 6 5 6 3 6
"109" 3 3 3 5 3 5 3 3
"110" 5 2 4 3 5 3 5 3
"111" 5 2 4 2 5 3 4 5
"112" 5 2 6 3 5 1 5 4
"113" 4 5 4 4 5 4 4 4
"114" 5 1 6 1 6 2 5 1
"115" 5 1 5 2 6 1 3 1
"116" 6 1 4 1 6 2 6 6
"117" 4 3 3 6 5 6 6 1
"118" 6 1 6 1 6 1 6 1
"119" 4 2 4 4 6 6 6 5
"120" 5 2 3 3 5 2 5 5
"121" 6 3 4 4 4 6 5 3
"122" 4 5 4 4 4 5 5 1
"123" 4 4 4 5 3 6 3 4
"124" 6 2 2 6 4 5 3 5
"125" 2 6 4 6 3 6 4 5
"126" 1 3 2 6 3 4 4 5
"127" 4 2 4 5 4 5 4 5
"128" 3 4 4 6 4 6 4 4
"129" 6 1 5 5 6 6 6 3
"130" 4 2 4 5 3 5 4 2
"131" 1 1 2 6 2 6 1 1
"132" 6 1 4 2 6 5 6 2
"133" 6 6 5 1 6 2 6 1
"134" 4 3 3 3 3 4 4 1
"135" 4 4 2 6 2 4 4 1
"136" 6 2 4 1 6 2 6 1
"137" 4 2 4 3 5 3 3 1
"138" 4 1 3 1 4 1 3 1
"139" 3 5 3 6 4 5 3 2
"140" 4 3 5 4 5 3 4 4
"141" 4 1 5 6 4 2 5 5
"142" 1 4 2 5 2 5 2 2
"143" 6 1 3 3 6 2 4 4
"144" 2 2 3 4 3 4 4 3
"145" 4 4 4 5 5 1 3 3
"146" 5 3 5 4 5 5 5 5
"147" 5 2 4 3 5 3 4 4
"148" 4 3 4 6 4 5 4 4
"149" 1 3 3 5 3 5 4 3
"150" 6 1 3 4 6 2 4 1
"151" 4 4 4 4 4 4 4 4
"152" 5 2 5 3 6 2 5 3
"153" 5 1 5 3 6 4 6 4
"154" 4 2 4 4 5 2 5 3
"155" 4 4 5 6 5 3 4 3
"156" 5 5 4 6 5 5 5 4
"157" 2 2 2 5 2 4 4 3
"158" 5 3 5 4 5 4 5 1
"159" 6 2 5 2 6 2 4 3
"160" 6 4 4 3 5 3 5 3
"161" 4 5 5 6 5 5 5 2
"162" 5 3 6 4 6 5 5 5
"163" 5 3 5 5 6 5 4 4
"164" 6 2 6 3 6 5 6 4
"165" 5 4 3 2 6 3 5 4
"166" 6 1 4 4 6 5 5 4
