recipe,batch,temp,breakang
R3,B4,195C,38
R3,B4,205C,30
R3,B4,215C,36
R3,B4,225C,35
R3,B5,175C,21
R3,B5,185C,25
R3,B5,195C,31
R3,B5,205C,35
R3,B5,215C,33
R3,B5,225C,23
R3,B6,175C,24
R3,B6,185C,33
R3,B6,195C,30
R3,B6,205C,30
R3,B6,215C,37
R3,B6,225C,35
R3,B7,175C,20
R3,B7,185C,21
R3,B7,195C,31
R3,B7,205C,24
R3,B7,215C,30
R3,B7,225C,33
R3,B8,175C,24
R3,B8,185C,23
R3,B8,195C,21
R3,B8,205C,24
R3,B8,215C,21
R3,B8,225C,35
R3,B9,175C,24
R3,B9,185C,18
R3,B9,195C,21
R3,B9,205C,26
R3,B9,215C,28
R3,B9,225C,28
R3,B10,175C,26
R3,B10,185C,28
R3,B10,195C,27
R3,B10,205C,27
R3,B10,215C,35
R3,B10,225C,35
R3,B11,175C,28
R3,B11,185C,25
R3,B11,195C,26
R3,B11,205C,25
R3,B11,215C,38
R3,B11,225C,28
R3,B12,175C,24
R3,B12,185C,30
R3,B12,195C,28
R3,B12,205C,35
R3,B12,215C,33
R3,B12,225C,28
R3,B13,175C,28
R3,B13,185C,29
R3,B13,195C,43
R3,B13,205C,28
R3,B13,215C,33
R3,B13,225C,37
R3,B14,175C,19
R3,B14,185C,22
R3,B14,195C,27
R3,B14,205C,25
R3,B14,215C,25
R3,B14,225C,35
R3,B15,175C,21
R3,B15,185C,28
R3,B15,195C,25
R3,B15,205C,25
R3,B15,215C,31
R3,B15,225C,25
