incomegp,house,children,singpar,agegp,bankacc,bsocacc,manage,ccarduse,cigbuy,xmasbuy,locintrn,prodebt
1,1,0,0,4,NA,NA,5,1,0,1,4.670000076,2.9400000570000002
3,1,0,0,1,1,1,4,1,0,1,6,3.3499999050000002
2,1,3,0,2,0,1,4,1,0,1,5.170000076,3.0599999430000002
1,1,1,0,3,NA,NA,3,NA,1,1,3.5,2.9400000570000002
1,1,0,0,4,1,1,5,1,1,1,4.670000076,2.9400000570000002
1,2,1,0,3,0,0,5,1,1,1,4.329999924,2.410000086
2,1,2,0,2,1,0,3,1,1,1,2.329999924,3.289999962
2,1,2,0,2,1,1,5,1,1,1,5.329999924,2.880000114
4,1,3,0,2,0,0,4,NA,1,1,4.170000076,3.819999933
2,2,2,1,1,0,1,3,1,0,0,5,2.589999914
2,1,3,0,1,0,1,4,2,0,1,4,3.819999933
1,2,0,0,4,1,0,5,1,1,1,3,2.410000086
2,2,1,0,1,0,1,2,1,0,1,6,3.710000038
2,3,0,0,3,1,1,4,3,0,1,5.5,2.119999886
5,1,0,0,2,1,0,4,1,1,0,4.5,3.410000086
4,2,3,0,1,1,0,5,1,1,1,2.829999924,2.3499999050000002
1,2,2,0,2,1,0,5,1,0,1,5,2.9400000570000002
5,2,2,0,2,1,0,1,1,1,1,3.329999924,4.7100000380000004
1,1,1,1,2,0,0,4,NA,1,1,4.170000076,3.180000067
1,3,6,0,2,0,0,4,1,0,1,4.829999924,NA
1,1,1,0,2,0,0,1,1,1,1,3,3.410000086
1,NA,0,0,4,0,1,5,NA,0,1,2.829999924,2.75999999
1,2,0,0,3,1,0,4,2,0,1,3.670000076,3.119999886
1,1,2,0,1,NA,NA,2,1,1,1,5,4.409999847
1,1,2,0,4,NA,NA,2,1,1,1,2,4.760000229
2,2,4,0,2,0,1,3,2,1,1,3.670000076,NA
5,2,0,0,2,1,0,5,3,0,1,5.5,4.059999943
3,2,2,0,2,1,1,5,3,0,1,5.829999924,3.529999971
3,2,0,0,2,1,0,4,3,1,0,4.170000076,2.710000038
5,2,1,0,2,1,1,2,1,0,1,3.329999924,4.349999905
5,2,2,0,2,1,1,4,3,0,1,4.670000076,4.1199998860000004
3,2,0,0,3,0,1,5,1,0,1,4,2.119999886
3,3,0,0,4,1,1,2,3,1,1,4.5,2.470000029
2,3,0,0,4,1,1,5,2,0,1,4.329999924,3.410000086
1,3,0,0,4,1,0,5,1,1,1,6,3.3499999050000002
2,3,0,0,4,0,1,4,1,1,1,5.170000076,3.0599999430000002
3,3,0,0,3,1,0,4,1,0,0,4.329999924,2.589999914
1,3,0,0,4,1,0,5,NA,1,1,4.329999924,3.880000114
2,3,0,0,4,1,0,4,3,0,1,3.670000076,4
2,3,0,0,4,1,1,5,1,0,0,4.670000076,3.880000114
5,2,1,0,2,1,1,4,3,1,1,5.329999924,4.650000095
2,3,0,0,4,0,1,5,1,0,1,2.5,2.3499999050000002
2,3,0,0,4,1,1,4,3,0,1,NA,3.24000001
3,2,0,0,4,1,1,4,3,0,1,4.670000076,2.9400000570000002
2,3,0,0,4,1,1,4,1,0,1,NA,3.0599999430000002
4,2,2,0,2,1,1,4,2,0,1,4.329999924,3.529999971
5,2,2,0,2,1,1,4,3,0,1,4,5
5,3,1,0,3,1,1,5,3,0,1,5.170000076,2.470000029
2,2,0,0,1,1,1,4,1,1,0,3.670000076,3.589999914
3,2,0,0,3,1,NA,5,1,0,1,3.170000076,2.819999933
4,2,3,0,2,1,1,5,3,0,1,4.329999924,3.9400000570000002
2,2,0,0,3,1,1,5,2,0,1,2.5,1.350000024
4,2,0,0,1,1,0,5,1,0,1,4.329999924,2.819999933
5,2,2,0,2,1,1,4,2,0,1,5.670000076,2.9400000570000002
2,3,0,0,4,1,1,5,2,0,1,5.170000076,4.650000095
1,3,0,0,4,1,1,4,1,0,1,4.329999924,NA
2,2,3,0,2,1,1,5,1,0,1,3.329999924,3.9400000570000002
3,2,1,0,2,1,1,5,1,1,1,4,3.819999933
2,2,1,0,2,1,0,4,1,1,1,3.5,4.179999828
2,1,1,1,3,0,1,3,1,0,1,3.5,3.3499999050000002
3,2,3,0,1,0,1,3,1,1,1,4,2.289999962
1,2,0,0,4,0,1,5,1,1,1,4.5,2.880000114
5,2,2,0,2,1,1,2,1,0,1,4.5,4.059999943
2,2,3,0,2,1,1,4,2,0,NA,5,NA
1,1,0,0,3,0,1,4,1,0,1,3.829999924,NA
3,1,3,0,2,0,1,4,1,1,1,4.170000076,3.0599999430000002
4,1,0,0,2,1,0,4,1,0,1,4.5,2.819999933
2,2,0,0,3,0,1,3,1,1,1,5.170000076,2.180000067
5,1,0,0,3,1,1,5,3,0,1,4.329999924,2.289999962
2,2,4,0,2,1,0,3,2,0,1,3.170000076,2.710000038
1,1,1,1,1,NA,NA,2,1,1,1,4.170000076,3.589999914
1,2,0,0,2,1,1,5,NA,0,1,6.5,2.589999914
4,1,1,0,1,0,1,2,NA,1,1,4.670000076,3.410000086
3,2,3,0,2,1,0,2,1,1,1,2.829999924,3.529999971
5,2,1,0,1,1,0,3,2,1,1,4.170000076,3.6500000950000002
2,2,0,0,3,1,0,5,1,1,1,4.5,3.9400000570000002
2,2,3,0,2,1,0,4,1,1,1,5.329999924,3.180000067
2,2,0,0,3,1,1,3,NA,1,1,2.329999924,3.180000067
2,1,2,0,2,1,0,4,NA,1,1,NA,NA
4,2,0,0,2,1,0,3,3,0,0,4.170000076,3.9400000570000002
5,2,0,0,3,1,1,5,3,0,1,4.670000076,3.710000038
3,2,1,0,1,1,0,4,1,1,1,3.329999924,4.059999943
3,2,2,0,1,1,0,3,1,1,1,5.329999924,3.6500000950000002
2,1,0,0,3,0,0,4,1,1,1,4,3.3499999050000002
5,2,0,0,3,1,0,4,3,0,1,5.170000076,3.529999971
1,2,0,0,1,1,1,5,1,0,1,3.5,4.8800001140000004
1,1,2,0,2,0,0,5,1,1,1,4.170000076,3.3499999050000002
4,2,2,0,2,1,0,4,1,0,1,5.829999924,2.3499999050000002
3,1,0,0,1,1,0,4,1,0,0,3.170000076,3.9400000570000002
3,2,0,0,2,1,0,5,1,0,1,6,2.6500000950000002
3,1,0,0,1,1,1,5,3,0,1,5.829999924,4.239999771
NA,1,0,0,4,0,0,5,NA,1,1,3.329999924,NA
3,3,0,0,3,1,1,4,1,0,NA,4.170000076,2.589999914
1,1,2,0,2,0,1,2,1,1,1,4,3.410000086
2,2,1,0,2,1,1,5,1,1,1,5.170000076,4.53000021
1,1,0,0,2,0,0,3,1,1,1,4.5,3.180000067
3,1,2,0,2,0,1,4,1,1,1,4,2.710000038
1,1,1,1,1,0,1,4,1,1,1,3.170000076,2.6500000950000002
1,2,1,1,3,1,0,5,1,0,1,NA,NA
3,3,2,0,3,1,1,5,1,1,1,4,2.289999962
3,2,0,0,3,1,0,NA,2,0,1,4.670000076,NA
3,1,1,0,2,1,0,3,2,0,1,6.170000076,2.180000067
2,2,1,0,2,0,1,3,1,1,1,1.5,3.710000038
3,2,2,0,3,1,0,3,1,0,1,4.170000076,3.3499999050000002
2,1,0,0,2,0,0,2,1,1,0,6.170000076,2.710000038
4,2,1,0,2,1,0,4,2,1,1,4.5,3.180000067
5,2,2,0,2,1,0,4,2,0,1,3.170000076,4
2,1,2,1,2,0,0,5,2,1,NA,4,2.710000038
1,1,0,0,3,0,0,4,1,1,0,4.329999924,1.75999999
3,2,2,0,1,1,1,5,2,0,1,4.5,4.409999847
5,2,1,0,2,1,1,4,3,0,1,4.829999924,3.180000067
5,2,2,0,2,1,1,5,3,1,1,4.170000076,3.3499999050000002
4,2,0,0,1,1,1,4,1,0,1,5.329999924,1.940000057
2,2,1,1,2,1,0,3,3,1,1,3.329999924,3.410000086
3,3,2,0,2,1,1,5,1,0,1,4.329999924,2.9400000570000002
3,3,2,0,2,1,0,5,2,1,1,4,2.710000038
4,2,3,0,2,1,1,1,3,0,1,3.829999924,3.9400000570000002
4,2,2,0,2,1,1,5,1,0,1,4.5,3.819999933
3,3,3,0,2,1,1,4,1,0,1,3.670000076,2.819999933
NA,2,2,0,2,1,1,4,2,1,1,4.5,3.6500000950000002
4,2,1,0,3,1,1,5,1,0,0,2.5,2.880000114
4,2,0,0,1,1,1,4,2,0,0,3.5,4.2899999620000004
5,2,0,0,3,1,0,4,2,0,1,3.329999924,2.6500000950000002
3,2,3,0,2,1,0,5,1,1,1,4.670000076,NA
5,2,0,0,3,1,1,5,1,NA,NA,5.170000076,3.289999962
5,3,0,0,4,1,1,4,2,0,1,4.670000076,3.119999886
4,2,3,0,2,1,1,5,3,0,1,4.670000076,4.239999771
3,3,0,0,4,1,1,5,1,0,1,4.829999924,2.470000029
2,3,0,0,4,1,0,5,3,0,1,3.5,3.289999962
2,1,0,0,4,1,1,3,1,0,1,3.829999924,3
5,3,0,0,4,1,0,5,1,0,1,4.5,2.289999962
2,3,0,0,4,1,1,4,3,1,NA,2.670000076,NA
4,2,2,0,2,1,1,4,3,0,1,5.329999924,3.75999999
2,3,0,0,4,1,1,4,1,0,1,5.829999924,1.879999995
5,3,0,0,4,1,0,4,2,0,1,3.670000076,4.239999771
5,2,0,0,3,1,1,5,3,0,1,4.670000076,3.289999962
2,3,0,0,4,1,1,5,1,0,1,5,2.589999914
5,3,0,0,4,1,NA,5,3,0,1,5,3.6500000950000002
4,3,0,0,3,1,1,4,1,0,NA,3.670000076,2.180000067
3,2,0,0,2,1,1,5,2,0,1,5.170000076,1.879999995
1,3,0,0,4,1,1,5,1,0,1,4.670000076,3
5,3,2,0,3,1,1,5,2,0,1,3.829999924,3.710000038
2,1,0,0,4,1,1,5,1,0,1,5,2.24000001
2,3,0,0,4,1,1,4,2,0,1,NA,2.3499999050000002
5,2,3,0,3,1,1,4,3,0,1,3.329999924,4.820000172
2,2,0,0,2,1,1,5,2,0,1,4.829999924,2.75999999
3,2,2,0,2,1,0,5,2,0,1,4,4
4,2,2,0,2,1,1,5,1,0,0,5.829999924,2.6500000950000002
3,3,0,0,4,1,1,4,1,0,0,5.670000076,2.24000001
4,3,2,0,2,1,0,4,1,0,1,5,2.710000038
2,3,0,0,4,1,1,5,1,0,1,3.5,NA
3,2,0,0,2,1,1,4,3,0,0,4,3.75999999
3,2,0,0,3,1,1,5,2,0,1,5.329999924,3
2,NA,0,0,4,1,1,4,1,1,0,NA,NA
5,2,1,0,2,1,1,2,1,1,1,6,NA
3,2,0,0,3,1,NA,5,3,0,1,5.170000076,2.9400000570000002
4,2,2,0,2,1,1,5,3,0,1,5.170000076,3.180000067
1,2,0,0,4,1,1,5,1,0,1,5,3
4,2,1,0,2,1,1,5,2,0,1,4.329999924,2
1,3,0,0,4,0,1,5,1,0,1,3.5,3.119999886
5,2,1,1,2,1,0,4,2,1,1,5.170000076,3.6500000950000002
1,3,0,0,1,1,0,4,1,0,0,4.5,2.880000114
5,3,4,0,3,1,0,4,2,0,1,4.670000076,3.6500000950000002
3,3,0,0,3,NA,1,4,1,0,1,5.329999924,3.289999962
3,3,0,0,4,1,1,5,1,0,1,4.5,2.470000029
2,2,1,0,2,1,1,5,1,1,1,4.829999924,2.119999886
1,3,0,0,4,1,1,4,NA,0,1,3.5,3.180000067
5,2,2,0,2,1,1,5,3,0,1,3.829999924,2.710000038
1,3,2,1,4,1,1,4,1,1,1,5,2.6500000950000002
4,2,0,0,4,1,1,5,3,0,1,4.5,2.529999971
1,2,3,0,2,1,1,5,2,NA,1,3.170000076,2.3499999050000002
4,2,3,0,2,1,1,4,1,1,0,5,2.6500000950000002
2,2,0,0,3,1,1,5,2,0,0,4.5,2.819999933
4,2,0,0,2,1,1,4,2,1,0,4.5,2.470000029
NA,2,0,0,4,1,1,3,1,0,0,4.170000076,3.6500000950000002
2,3,0,0,4,1,1,5,1,0,0,5.329999924,2.470000029
4,2,3,0,2,1,1,5,3,0,1,5.5,2.119999886
5,2,0,0,3,1,1,5,1,0,0,4.670000076,3.119999886
3,2,1,0,1,1,NA,4,1,0,1,4.670000076,3.0599999430000002
5,3,0,0,3,1,1,1,1,0,1,5.329999924,3.6500000950000002
2,3,0,0,3,1,NA,4,2,0,1,5,2.529999971
4,2,1,0,1,1,1,4,1,0,1,6.329999924,2.470000029
3,2,0,0,1,1,NA,5,3,NA,NA,5,4
2,1,2,0,3,0,0,4,NA,1,1,4,3.589999914
1,1,3,1,2,NA,NA,3,1,0,1,5.170000076,3
3,2,2,0,2,0,1,5,1,0,1,3,3.880000114
3,2,0,0,4,1,NA,4,3,0,1,4.5,2.9400000570000002
2,2,0,0,NA,1,NA,5,2,1,NA,5,2.589999914
2,2,0,0,4,1,1,5,2,0,1,4,3.0599999430000002
5,2,0,0,2,1,1,4,2,1,1,5,3.180000067
1,2,0,0,4,1,NA,NA,1,0,1,NA,NA
4,2,1,0,3,1,NA,4,2,1,1,4.329999924,3.529999971
4,2,1,0,2,1,1,5,2,0,1,3.329999924,2.3499999050000002
5,2,2,0,2,1,0,4,2,0,1,5.170000076,3.529999971
1,3,0,0,4,1,1,5,3,0,1,5.5,2.819999933
5,2,0,0,1,1,NA,4,2,0,1,4.670000076,2.75999999
2,1,0,0,4,1,NA,5,2,1,1,2.329999924,2.529999971
2,3,2,0,3,1,1,4,1,NA,NA,4.670000076,2.589999914
1,3,0,0,4,1,NA,4,1,NA,NA,4.670000076,3
4,3,0,0,4,1,1,4,3,0,NA,3.670000076,2.3499999050000002
2,3,0,0,4,1,1,5,3,0,0,4.329999924,3.180000067
3,2,0,0,4,0,1,5,1,0,1,4.329999924,3.6500000950000002
5,2,4,0,2,1,1,5,3,0,1,6.5,2.880000114
3,3,0,0,4,1,0,4,1,0,1,1.830000043,3.470000029
5,2,3,0,2,1,1,5,3,1,1,4,3.119999886
4,2,2,0,1,1,1,5,1,0,1,5.170000076,2.819999933
4,2,2,0,2,1,1,5,2,0,1,3.829999924,3.410000086
2,3,0,0,3,0,1,5,3,1,1,5.170000076,2.589999914
4,2,0,0,1,1,1,4,2,0,1,4.5,3.589999914
5,3,0,0,3,1,1,5,2,0,1,5.670000076,4.409999847
NA,3,0,0,4,1,1,5,1,0,0,3.670000076,3.470000029
5,2,0,0,3,1,1,5,3,0,1,3.829999924,3.710000038
3,3,0,0,2,1,NA,4,1,0,0,4.329999924,3.710000038
4,2,1,0,3,1,1,4,2,0,1,4.670000076,3.6500000950000002
1,3,0,0,4,1,NA,4,3,0,1,4,3.180000067
3,2,0,0,1,1,1,4,1,0,1,4.329999924,3.819999933
4,2,0,0,2,1,1,5,3,0,1,4.670000076,4.059999943
4,3,0,0,4,1,1,5,2,0,1,5,2.819999933
4,2,1,0,2,1,1,4,2,1,1,4,4
2,3,0,0,4,1,1,5,1,0,0,3.329999924,3.289999962
3,3,0,0,4,1,0,4,2,0,1,4.5,4.1199998860000004
2,1,1,0,2,0,1,5,1,0,1,6.5,2.119999886
2,1,0,0,4,1,0,4,2,0,1,5.5,3.24000001
3,2,2,0,2,1,1,4,2,0,1,6,3.3499999050000002
2,1,2,0,3,1,0,3,1,1,1,4.670000076,3.410000086
3,1,1,0,1,1,0,4,1,0,1,5,3.710000038
5,2,0,0,2,1,NA,4,2,0,1,4.670000076,3.410000086
5,2,0,0,4,1,1,3,3,0,1,2.670000076,3.24000001
3,2,5,0,2,1,NA,3,1,0,1,3.670000076,2.880000114
1,2,0,0,3,1,1,5,1,NA,1,5.670000076,2.410000086
2,2,3,1,2,1,NA,5,3,1,1,5.829999924,3.0599999430000002
1,1,1,0,3,NA,NA,4,1,1,1,4.329999924,2.75999999
5,2,0,0,2,1,1,2,3,0,1,4.170000076,4.760000229
2,1,2,0,1,NA,1,1,1,1,0,4.170000076,3.0599999430000002
2,2,0,0,2,1,1,5,1,1,1,4.670000076,2.119999886
2,1,0,0,3,1,NA,4,1,1,1,5.170000076,2.6500000950000002
1,1,3,0,1,1,1,4,1,1,1,4.170000076,3.410000086
3,3,1,0,3,1,NA,5,1,0,1,5.829999924,NA
4,3,0,0,4,NA,1,3,1,0,1,5.5,2.9400000570000002
3,2,0,0,4,1,1,5,2,NA,NA,3.5,3.6500000950000002
2,3,4,0,2,1,NA,1,2,1,NA,3.329999924,3.6500000950000002
1,1,1,0,4,0,0,2,1,0,1,4.170000076,2.710000038
4,2,2,0,2,1,1,4,3,NA,1,5.5,3.589999914
2,1,4,1,2,NA,NA,4,1,0,1,4.329999924,NA
1,1,0,0,3,0,0,5,1,1,NA,3.5,NA
NA,1,1,1,1,NA,NA,4,1,1,1,6,3.529999971
3,2,3,0,1,1,NA,4,1,0,1,4.670000076,1.879999995
3,2,1,1,2,1,1,3,3,0,1,4,3.24000001
5,2,2,0,2,1,1,5,1,0,1,3.329999924,3.0599999430000002
2,1,2,0,2,1,NA,3,1,1,1,5.670000076,NA
5,2,0,0,2,1,NA,2,1,1,1,3.670000076,4.409999847
5,2,2,0,2,1,NA,3,3,0,1,6.670000076,4.590000153
5,1,1,0,3,NA,NA,4,3,0,1,4.329999924,4.059999943
2,2,1,0,2,1,1,5,1,1,1,5,1.409999967
4,2,0,0,3,1,NA,4,1,0,1,5.170000076,2.3499999050000002
1,1,0,0,3,0,0,1,NA,1,1,3.5,4.059999943
1,1,1,0,3,1,1,5,1,1,1,4.829999924,1.940000057
1,2,2,1,2,0,1,5,1,0,1,5,3
1,2,2,1,3,1,NA,4,1,1,1,6.829999924,2.470000029
3,2,2,0,2,1,NA,4,1,1,1,4.170000076,2.880000114
2,1,3,0,2,NA,NA,3,1,1,1,4.170000076,4.179999828
1,1,2,1,2,0,0,4,1,1,1,3.670000076,NA
2,3,0,0,3,1,NA,5,1,0,1,4.829999924,2.75999999
1,1,0,0,3,NA,NA,3,NA,NA,1,2.329999924,3.6500000950000002
4,2,2,0,2,1,1,5,2,0,1,4.170000076,3.880000114
4,2,2,0,2,1,1,4,1,0,1,3.829999924,3.24000001
3,1,0,0,2,1,0,4,3,0,1,4.829999924,3.0599999430000002
NA,2,1,0,1,0,1,4,2,0,1,NA,NA
5,2,0,0,3,1,1,4,2,0,1,4.170000076,4.46999979
4,2,0,0,3,1,0,5,1,0,1,5,2.470000029
1,2,2,1,2,1,0,4,1,0,1,4.170000076,2.75999999
4,2,2,0,3,1,1,5,3,0,1,5.329999924,2.710000038
2,2,2,0,1,1,1,5,1,0,1,2.329999924,2.529999971
3,1,0,0,2,1,1,NA,NA,0,1,NA,NA
4,2,0,0,2,1,0,4,1,1,1,4.170000076,3.470000029
4,2,0,0,1,1,1,5,2,0,0,5.829999924,3.529999971
3,1,2,0,1,1,NA,5,1,0,1,5.670000076,NA
1,1,0,0,4,NA,NA,4,NA,0,1,2.670000076,3.6500000950000002
5,2,0,0,2,1,1,4,1,0,1,3.670000076,3.710000038
2,2,0,0,2,1,NA,4,2,1,0,4.5,4.590000153
2,2,0,0,3,1,1,4,NA,0,1,3.5,3.470000029
1,3,0,0,4,1,1,4,2,0,1,4.5,3
1,1,1,0,2,1,1,5,1,0,1,4.829999924,2.819999933
5,2,0,0,1,1,1,4,2,1,1,7,3
2,1,1,0,2,1,0,5,1,1,1,5.170000076,2.9400000570000002
2,2,1,0,3,1,0,4,3,1,1,4.170000076,3.529999971
5,2,1,0,3,1,1,4,3,1,1,4.670000076,4.760000229
3,2,1,0,3,1,1,5,2,0,1,5.329999924,2.180000067
4,3,0,0,3,1,1,4,1,0,0,3.670000076,2.470000029
4,2,0,0,3,1,1,4,2,0,1,4,3.3499999050000002
5,2,3,0,2,1,0,5,3,0,1,6,3.819999933
3,2,1,0,2,0,1,4,1,1,1,4.829999924,3.410000086
5,3,1,0,3,1,0,3,3,1,1,4.670000076,NA
5,2,0,0,1,0,1,4,2,0,1,3.170000076,4.820000172
3,1,2,0,2,1,0,4,3,0,1,3.5,4.8800001140000004
1,2,0,0,2,1,1,4,3,1,1,5,3.410000086
2,2,0,0,3,1,1,4,2,0,0,4.5,2.289999962
2,1,0,0,4,1,0,3,1,0,1,3.670000076,2.410000086
4,2,2,0,2,1,0,4,3,0,1,3.329999924,5.46999979
5,2,0,0,3,1,1,5,3,0,1,5.670000076,3.410000086
4,2,0,0,1,0,1,4,1,0,1,5,2.819999933
4,3,2,0,3,1,1,4,3,0,1,3.829999924,3
NA,2,1,0,3,0,0,4,1,1,1,2.170000076,3.880000114
4,2,1,0,2,1,1,5,2,0,1,4.829999924,2.119999886
5,2,0,0,2,1,1,4,1,0,1,4.829999924,2.529999971
5,2,1,0,2,1,0,5,2,1,1,5.670000076,3
3,2,2,0,2,1,1,5,2,0,1,2.5,3
4,2,1,0,2,1,1,5,3,0,1,4.670000076,3.289999962
4,2,2,0,2,1,1,3,2,0,1,5,3.24000001
1,2,0,0,1,1,0,5,3,0,0,6,3.470000029
4,2,2,0,1,1,0,4,1,0,1,4.670000076,4.349999905
1,1,0,0,4,NA,NA,5,1,NA,NA,3.5,1.590000033
2,1,0,0,3,1,0,3,3,0,1,4.5,NA
5,2,2,0,2,1,1,3,1,0,1,4,NA
2,1,0,0,4,1,0,4,NA,0,1,6.170000076,3.24000001
5,2,0,0,1,1,1,4,3,0,1,6.170000076,4
2,1,2,0,1,1,0,5,1,1,1,4.5,3.0599999430000002
5,2,0,0,3,1,0,5,2,1,1,4.829999924,1.820000052
1,3,0,0,3,1,0,5,1,0,0,2.5,3
5,2,0,0,3,1,1,5,3,1,1,4.329999924,3.75999999
3,2,1,0,3,1,0,4,1,1,1,5,4.409999847
NA,1,3,1,2,0,0,5,1,0,1,5.670000076,3.6500000950000002
1,1,4,1,2,1,1,4,1,0,1,3.5,3.589999914
3,3,0,0,4,0,1,5,1,1,1,3.5,2.819999933
1,1,2,0,2,0,0,4,1,1,1,4.329999924,3.24000001
2,1,2,0,2,1,0,5,NA,1,1,4.5,3.3499999050000002
5,3,0,0,2,1,1,5,1,0,0,4.329999924,2.410000086
2,2,0,0,3,1,0,4,2,1,1,4.170000076,3.3499999050000002
5,2,0,0,3,1,0,2,1,0,NA,5.329999924,3.6500000950000002
1,1,0,0,3,0,0,3,NA,1,1,2.829999924,3.3499999050000002
3,2,2,0,3,1,1,5,1,0,1,6,3
1,2,0,0,2,0,1,3,1,0,1,3.670000076,1.879999995
4,2,3,0,2,1,1,3,2,1,1,5.329999924,2.710000038
2,3,3,0,2,1,1,4,2,0,1,5,3.180000067
2,3,0,0,4,1,0,4,3,0,1,4,2.180000067
NA,3,0,0,4,0,1,5,NA,1,1,3.829999924,3.880000114
5,2,2,0,2,1,1,4,1,1,1,3.329999924,3.819999933
1,1,0,0,3,1,0,4,NA,NA,1,5,NA
1,2,2,0,2,0,1,3,1,1,1,4.670000076,2.880000114
NA,2,2,0,2,1,0,NA,1,1,1,4.329999924,3.410000086
NA,3,0,0,2,1,1,4,2,0,1,3.170000076,NA
2,1,0,0,3,1,0,4,1,1,0,3.170000076,2.6500000950000002
5,1,2,0,2,1,0,4,1,1,1,4.5,3.410000086
4,2,0,0,2,1,1,5,2,1,1,NA,3.9400000570000002
3,2,0,0,1,0,1,5,1,0,1,3,2.710000038
2,1,3,0,2,1,0,4,2,0,1,4.670000076,3.410000086
1,1,0,0,4,0,0,2,2,0,1,2.829999924,NA
2,2,0,0,3,1,1,5,3,NA,1,6,3.289999962
4,1,0,0,3,1,0,5,3,0,1,4.670000076,3.589999914
1,1,2,1,1,1,0,5,NA,1,1,3.829999924,3.289999962
5,3,0,0,3,1,0,4,2,0,1,4,3.289999962
5,3,2,0,3,1,0,4,1,0,1,4.5,3.119999886
2,2,2,0,2,1,0,5,1,1,1,4.670000076,2.819999933
2,2,1,0,2,1,0,3,1,1,1,3.670000076,3.529999971
1,3,0,0,3,1,0,5,1,0,1,4.170000076,3.470000029
1,1,2,1,3,1,0,4,1,1,1,2.670000076,NA
1,1,0,0,3,1,0,5,1,1,0,4,2.6500000950000002
3,2,1,0,2,1,0,3,3,1,1,4.329999924,3.529999971
2,2,0,0,3,1,0,4,1,0,1,3.670000076,NA
5,2,2,0,1,1,1,3,2,1,1,2.829999924,3.9400000570000002
5,2,2,0,2,1,1,5,1,1,1,5.170000076,2.0599999430000002
4,3,0,0,4,1,1,5,3,1,1,5,2.880000114
2,2,2,0,2,NA,NA,4,1,0,1,5.829999924,2.75999999
3,2,0,0,2,1,0,4,1,NA,NA,4.5,4.1199998860000004
1,1,0,0,4,0,0,4,1,0,1,4,2.470000029
1,1,0,0,4,0,0,5,1,0,1,4,3.3499999050000002
5,2,3,0,2,1,1,3,1,0,1,4.5,3
1,1,3,0,1,1,NA,4,2,0,1,2.829999924,3.880000114
5,2,0,0,1,1,1,4,3,0,0,3.5,3.289999962
NA,2,2,0,2,0,1,4,2,0,1,3.5,3.6500000950000002
5,2,0,0,2,1,1,3,2,0,1,4.670000076,NA
NA,2,2,0,3,1,1,4,1,1,1,3.329999924,4.409999847
3,2,0,0,1,1,0,4,1,0,1,4.329999924,3.710000038
