price,Overall.Qual,Overall.Cond,Year.Built,Full.Bath,Bedroom.AbvGr
159000,7,6,2007,1,3
152000,7,5,2006,1,3
143500,6,5,2004,1,3
193000,7,5,2004,2,3
203000,8,5,2004,2,3
184900,7,5,2003,2,2
159000,7,5,2004,1,3
142000,5,5,2004,1,3
153000,5,5,2003,2,3
224243,7,5,2008,2,2
220000,7,5,1996,2,4
257000,8,5,2005,2,2
189000,7,5,2001,2,3
171500,6,6,1992,2,3
120000,6,6,1980,1,3
145000,6,5,1990,2,2
184000,7,5,1994,2,3
162000,6,7,1986,2,3
160000,6,7,1981,2,4
82000,4,4,1950,1,2
76000,6,3,1928,1,2
110000,5,5,1962,1,3
135000,5,6,1977,1,3
141000,5,6,1961,1,3
122000,5,5,1961,1,2
124100,5,5,1965,2,3
129000,5,8,1963,1,3
131400,5,6,1961,1,3
62383,5,5,1965,1,3
123000,5,6,1962,1,3
275000,8,8,1980,2,2
235000,7,8,1991,2,3
280750,7,5,2004,2,3
164500,6,5,2009,2,2
173733,6,5,2009,2,2
222000,6,5,2008,2,2
195000,6,5,2008,1,1
172500,6,5,1999,2,3
180000,6,5,2000,2,2
156000,7,5,1999,2,3
172500,8,5,1999,2,3
318750,8,9,1977,2,2
211500,8,5,1981,1,1
241600,7,5,1981,1,2
180500,8,5,1976,2,4
150000,4,4,1976,2,3
154000,6,6,1968,1,4
185000,6,6,1970,2,2
185750,6,7,1968,2,3
200000,7,6,1973,2,3
206000,7,6,1974,2,3
162000,6,6,1972,1,3
256900,6,7,1967,2,5
197900,6,5,1967,1,3
163000,5,5,1969,2,3
113000,6,5,1969,1,3
230000,7,7,1977,1,4
167900,6,5,1977,2,2
213250,7,5,1998,2,3
227000,8,6,2001,2,3
130000,5,6,1967,1,2
143000,5,5,1967,1,3
117500,5,6,1965,1,2
168500,7,5,1974,2,4
172500,6,5,1971,2,3
161500,6,5,1967,2,3
141500,4,7,1960,1,2
118000,5,7,1959,1,3
127500,6,6,1959,1,2
140000,4,5,1957,1,3
177625,5,6,1956,2,3
110000,5,5,1958,2,4
167000,6,6,1964,1,3
153000,5,6,1961,1,3
145100,5,5,1964,1,3
154000,5,6,1966,1,3
177500,5,6,1965,2,4
158000,6,6,1964,1,3
124500,5,6,1959,1,3
174500,6,6,1961,1,4
122000,5,5,1955,1,2
82500,4,7,1940,1,2
110000,5,4,1950,1,3
149500,6,4,1953,1,2
175000,6,5,1967,1,2
167000,6,5,1953,1,3
128900,5,6,1956,1,2
140000,6,8,1950,1,3
147000,5,7,1950,1,3
124000,5,5,1967,2,4
187500,6,6,1961,2,3
159000,6,5,1963,1,3
256000,6,8,1966,2,2
205000,7,6,1965,2,3
193500,6,6,1968,2,4
110000,6,3,1968,1,2
104900,4,4,1920,2,4
150000,5,7,1956,1,3
156500,6,3,1957,1,3
176000,7,6,1960,1,3
149500,6,8,1959,2,3
139000,6,6,1958,2,3
155000,6,7,1958,1,3
120000,5,5,1956,1,3
153000,5,5,1955,1,3
144000,4,5,1956,1,3
176000,6,5,1962,1,3
153000,5,6,1954,1,3
135000,5,4,1958,2,4
131000,6,7,1954,1,3
123000,5,6,1953,1,3
126000,5,5,1951,1,2
115000,4,5,1955,1,2
164900,5,7,1951,1,2
113000,5,6,1945,1,2
145500,5,8,1952,1,2
102900,5,5,1953,1,2
95000,3,5,1900,2,3
152500,7,7,1948,1,3
129900,5,6,1950,1,3
132000,6,6,1948,1,2
99900,3,5,1958,1,2
135000,5,7,1916,2,3
149000,5,7,1939,2,4
114000,4,8,1900,1,2
109500,5,8,1924,1,2
125000,5,7,1925,1,3
142900,4,5,1915,2,3
156500,7,9,1910,2,4
59000,2,5,1940,1,2
105000,4,6,1920,1,2
106000,5,7,1920,1,2
78500,3,5,1890,1,1
190000,6,5,1969,2,6
154000,6,7,1963,1,3
163000,6,4,1967,1,3
200000,5,5,1969,2,6
143500,6,9,1958,1,2
135000,6,6,1957,1,3
153000,5,7,1957,1,2
157500,6,5,1960,2,3
113500,6,6,1958,1,2
133000,5,7,1949,1,3
92900,3,4,1950,2,2
128500,6,5,1950,1,3
90000,4,5,1949,2,2
138000,5,4,1950,1,3
128000,5,6,1958,1,3
139000,5,6,1958,1,3
118900,5,7,1952,1,2
138000,5,5,1959,1,3
132500,5,5,1959,1,3
133500,4,7,1949,2,4
135000,6,7,1948,1,3
144750,6,5,1964,1,4
145000,5,7,1978,1,2
127000,6,6,1963,1,3
109500,5,5,1962,1,2
115000,6,8,1926,1,3
110000,5,6,1910,1,2
128900,6,8,1935,1,3
103500,6,5,1910,2,4
66500,5,6,1941,1,3
130000,5,8,1910,1,3
129000,5,8,1910,2,3
150000,5,6,1939,1,3
107500,5,4,1892,2,4
94550,4,6,1920,2,4
124500,5,5,1952,2,4
135000,7,8,1946,1,3
103000,5,5,1910,1,3
93000,4,4,1953,1,2
129500,5,7,1950,1,3
93000,5,4,1954,2,3
80000,4,6,1920,1,2
45000,2,4,1940,1,1
37900,3,6,1910,1,2
91300,5,8,1938,1,2
99500,5,8,1923,1,2
113000,4,5,1920,2,2
87500,4,4,1910,2,3
110000,5,7,1947,1,2
106000,5,5,1898,2,2
265979,7,7,1880,1,4
160000,6,7,1900,2,3
119000,6,7,1917,1,3
168000,8,9,1882,1,4
58500,4,3,1910,1,2
143000,7,9,1920,1,3
85000,5,4,1910,1,2
124900,5,6,1890,1,2
119000,6,6,1920,1,3
146500,6,7,1910,1,4
34900,4,5,1920,1,2
44000,3,3,1900,1,2
223500,5,6,1923,1,3
149000,6,6,1923,1,3
205000,7,7,1925,2,3
137000,5,7,1930,2,3
121000,6,6,1916,1,2
128000,4,6,1936,1,3
134900,6,9,1937,1,2
117000,5,8,1925,1,3
132500,6,6,1939,1,4
93000,5,5,1924,1,3
119000,6,7,1926,1,2
100000,5,5,1924,1,2
141500,5,6,1936,1,3
133000,4,7,1935,1,3
60000,2,3,1936,1,1
105000,5,7,1931,1,2
115000,5,6,1925,1,2
150000,5,6,1938,2,3
126500,5,5,1925,1,2
214500,6,6,1916,2,5
167500,7,8,1910,1,3
155000,6,6,1915,2,3
155000,7,8,1915,1,4
179900,7,8,1915,2,3
104000,6,6,1912,1,5
62500,5,1,1922,2,4
149000,6,5,1927,2,4
103000,4,5,1925,1,2
123000,6,7,1915,1,3
97500,7,5,1902,2,6
135000,6,6,1927,1,3
70000,4,6,1923,1,1
116000,6,7,1915,1,3
88750,4,9,1946,1,2
179000,5,5,1987,3,3
179000,5,5,1987,3,3
159900,5,5,1978,2,2
61000,1,1,1922,0,1
103600,6,6,1925,2,3
63000,5,3,1934,2,4
175000,5,6,1963,2,3
139000,5,6,1963,1,3
172500,6,5,1978,2,3
113500,5,6,1967,1,3
130000,5,7,1967,1,3
149900,6,5,1978,1,3
134900,5,5,1982,1,2
137000,5,6,1982,1,2
139000,5,5,1962,1,3
165000,5,5,1961,2,4
148000,6,5,1960,1,3
165000,5,5,1956,1,4
63900,2,2,1947,1,2
161500,4,5,1957,1,5
143000,5,8,1968,1,1
135000,4,6,1956,1,3
82500,4,5,1940,1,1
190000,5,5,1955,1,2
139600,3,5,1955,2,4
122000,4,5,1954,1,2
127500,6,5,1956,1,3
121500,5,5,1956,1,2
60000,5,3,1958,1,3
154400,6,7,1946,1,3
113000,4,6,1941,1,2
125000,5,6,1954,1,3
84000,4,3,1957,1,3
139500,5,5,1984,2,2
131000,5,4,1949,1,3
105000,6,5,1939,1,2
108000,4,5,1940,1,4
162000,7,6,1990,1,1
156500,6,5,1983,1,2
316600,8,8,1983,1,1
271900,7,7,1990,2,3
213000,7,5,1993,2,3
239900,7,5,1993,2,3
239500,8,5,1995,2,3
131000,5,7,1880,1,4
118964,5,5,1979,2,4
153337,5,5,1979,0,2
147983,5,5,1979,2,6
118858,5,5,1979,2,4
118858,5,5,1979,2,4
142953,5,5,1979,2,6
148325,5,5,1979,0,2
113722,5,5,1979,2,4
269500,7,5,2000,4,6
269500,7,5,2000,4,6
269500,7,5,2000,4,6
323262,9,5,2009,1,1
297000,8,5,2007,2,3
295493,8,5,2008,2,3
332000,9,5,2008,2,3
239900,8,5,2008,2,3
212000,8,5,2007,2,3
272500,8,5,2007,2,3
239000,9,5,2007,2,2
220000,7,5,2006,2,3
200000,7,5,2007,2,2
221800,8,5,2008,2,2
194500,7,5,2007,2,2
237000,8,5,2005,2,3
173000,6,5,2005,2,3
275000,7,5,1989,2,2
233500,7,5,1992,2,3
185000,5,5,1967,2,3
152000,5,5,1996,1,3
143000,5,7,1994,1,3
231500,6,5,1997,2,3
212000,7,6,1996,2,3
207000,7,5,1998,2,3
145000,5,5,1994,1,3
138000,5,5,1994,1,3
197900,7,5,1998,2,3
204000,7,5,1999,2,3
192000,7,5,1999,2,3
200000,6,5,1998,2,3
195000,7,5,2002,2,3
227000,7,5,2002,2,3
230000,7,5,2001,2,3
187100,7,5,2001,2,3
203000,7,5,2002,2,3
201000,7,5,2001,2,3
124000,5,5,1978,2,3
140000,5,5,1978,1,3
134900,5,7,1979,1,2
150500,5,7,1977,2,3
136500,5,8,1978,1,3
143500,5,7,1977,1,3
133500,5,6,1972,1,3
123000,5,5,1972,1,2
133900,5,8,1972,1,2
133000,5,7,1972,1,2
250000,7,5,2002,2,3
254750,8,5,2003,2,4
236500,8,5,2001,2,3
261500,8,5,2001,2,3
313000,9,5,2000,2,3
198500,7,5,2002,2,3
211000,7,5,2001,2,3
220000,8,5,1999,2,2
203000,7,5,1996,2,3
279500,8,5,2002,2,3
210000,7,5,1997,2,3
219500,7,5,1997,2,3
191000,7,5,1996,2,2
178000,7,5,2001,2,3
213000,7,5,2000,2,3
144000,6,5,2003,1,1
140000,6,5,2003,1,1
293200,8,5,2007,2,3
190000,7,5,2004,2,3
190000,7,5,2004,2,3
173500,6,5,2005,2,3
170000,6,5,2007,2,3
108000,4,5,1949,2,2
167000,5,7,1964,1,3
100000,4,6,1938,1,2
198500,7,5,2003,3,4
159500,6,6,1977,1,3
127000,4,6,1960,1,3
125000,6,6,1976,1,3
320000,9,5,2007,2,3
145500,6,5,2005,1,2
118000,5,9,1947,1,2
85000,4,5,1959,1,3
120000,5,5,1950,1,3
98000,4,3,1945,2,4
99900,5,8,1922,1,2
82000,3,3,1952,1,2
119900,5,5,1959,2,6
103500,5,5,1956,1,2
112000,4,3,1956,1,3
110000,6,8,1920,1,3
122000,5,6,1941,1,3
117000,5,5,1941,2,3
160000,5,4,1938,1,3
159434,5,5,1932,1,3
60000,2,5,1920,1,1
139500,6,7,1940,2,3
197000,7,3,1920,2,5
105000,6,6,1935,1,3
135000,4,3,1928,2,4
147500,6,8,1916,1,3
137450,6,6,1925,2,3
155000,7,9,1936,1,3
177000,6,6,1928,1,3
145000,7,7,1928,2,3
137000,7,8,1918,1,3
234000,7,9,1926,1,3
205000,5,6,1940,1,2
177500,6,7,1942,1,3
160000,5,7,1940,1,2
155000,5,4,1960,1,2
163500,5,7,1921,1,2
154900,5,6,1921,1,3
205000,7,6,1940,2,5
144800,5,6,1954,1,2
174500,7,7,1941,1,3
193000,6,6,1960,2,3
158000,5,7,1949,2,3
158500,6,8,1950,1,3
224000,6,5,1954,1,3
115000,6,6,1980,1,2
137000,6,6,1980,1,2
121000,6,6,1980,1,2
124000,6,6,1980,1,2
208000,6,6,1986,2,3
315000,7,9,1971,2,3
222000,6,9,1988,2,3
147000,5,7,1920,1,3
123000,5,6,1900,2,5
78000,5,5,1920,1,3
85000,3,2,1915,1,2
75000,4,6,1925,1,2
230000,8,5,2007,2,2
57625,2,4,1910,1,1
251000,8,5,2000,2,3
239686,7,5,2003,1,1
240000,7,5,2004,2,3
215000,6,5,2001,2,3
156450,6,6,1977,1,2
173000,6,7,1977,1,2
126000,5,5,1977,2,4
173000,7,5,1990,2,3
152000,5,5,1991,2,2
137500,6,6,1958,1,3
375000,7,5,1965,2,3
315500,9,5,2007,2,2
224500,7,5,2009,2,3
410000,9,5,2008,2,3
316500,9,5,2008,2,3
201000,8,5,2007,2,3
175000,6,5,1988,2,3
204000,6,8,1980,2,3
213500,7,5,1987,2,3
220000,8,5,2001,2,2
170000,7,5,2003,2,3
315000,9,5,2006,2,2
425000,9,5,2007,2,2
139500,5,7,1968,1,3
115000,5,4,1960,1,3
162000,6,5,1998,2,2
165000,6,5,1999,2,2
91000,4,5,1973,1,2
130000,5,6,1968,1,3
86000,4,8,1970,1,1
160000,5,5,1969,2,3
80000,4,4,1970,1,1
97000,4,6,1970,1,3
88000,4,4,1970,1,3
131900,5,8,1972,1,2
131250,6,5,1993,1,2
165500,5,6,1978,1,1
112000,5,5,1985,1,3
149000,5,6,1992,1,2
143000,5,5,1993,1,1
130000,5,5,1992,1,3
196000,6,5,1977,2,2
173000,5,7,1969,1,4
176500,6,8,1958,1,3
237500,6,7,1970,2,4
206900,6,5,1969,2,4
187500,6,5,1997,2,3
