i,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
11,2,2,2,6,5,1,2,4,5,1,0,3,5,4,5,8,5,6,4,8,7,9,7,5,6,5,6,6,7,7,8,6,8,7,9,7,8,7,7,6,7,7,7,8,8,8,8,7,6,8,7,8,8,7,7,7,5,8,6,8,10,8,8,7,8,8,10,7,9,9
12,3,3,5,6,6,4,5,7,6,4,3,0,6,5,6,8,6,7,4,8,7,9,8,6,7,6,7,7,8,8,7,6,8,7,9,5,10,8,6,5,6,6,7,9,6,7,9,6,7,6,7,6,8,6,6,8,8,8,7,7,8,6,8,7,7,7,8,7,8,8
13,7,7,7,8,6,6,5,7,5,6,5,6,0,2,0,4,4,1,8,5,5,6,2,4,5,5,1,3,2,2,5,5,5,6,5,6,8,4,7,6,7,7,6,8,6,8,6,7,3,7,8,6,8,7,7,4,7,7,3,6,8,6,10,6,6,8,8,7,8,7
14,6,6,6,8,5,5,4,6,7,5,4,5,2,0,2,6,4,3,8,5,3,8,4,4,5,4,3,5,4,4,7,5,6,5,7,6,9,6,5,4,6,6,5,7,5,6,5,6,3,5,6,5,7,6,6,6,6,6,3,5,7,5,9,5,4,7,7,5,6,5
15,7,7,7,8,6,6,5,7,5,6,5,6,0,2,0,4,4,1,8,5,5,6,2,4,5,5,1,3,2,2,5,5,5,6,5,6,8,4,7,6,7,7,6,8,6,8,6,7,3,7,8,6,8,7,7,4,7,7,3,6,8,6,10,6,6,8,8,7,8,7
16,9,9,9,10,9,9,9,9,7,9,8,8,4,6,4,0,5,5,10,3,5,3,4,5,4,6,5,4,4,5,6,4,3,4,1,5,5,3,7,7,8,8,5,9,6,7,7,8,5,5,6,6,9,8,9,5,9,3,6,7,6,6,7,4,6,9,6,7,4,6
17,6,6,6,8,7,5,6,5,6,5,5,6,4,4,4,5,0,3,7,3,3,4,4,0,1,1,3,3,2,3,4,1,4,3,4,2,6,2,3,4,4,4,4,7,4,4,5,4,3,4,5,4,7,3,5,4,5,5,3,5,7,5,7,4,5,6,7,4,6,6
18,7,7,7,8,6,6,5,7,5,6,6,7,1,3,1,5,3,0,7,4,4,5,1,3,4,4,0,2,1,1,4,4,4,5,4,5,7,3,6,5,6,6,5,7,5,7,5,6,2,6,7,5,7,6,7,4,7,7,3,6,8,6,10,6,6,8,8,7,8,7
19,3,3,5,3,6,4,5,7,5,4,4,4,8,8,8,10,7,7,0,9,8,9,8,7,8,7,7,7,8,8,8,7,8,8,9,7,8,8,8,7,8,8,8,9,8,9,10,8,8,8,7,8,8,8,9,9,8,10,9,10,11,9,9,9,9,10,11,9,10,10
20,8,8,8,10,7,8,7,8,8,8,8,8,5,5,5,3,3,4,9,0,2,3,3,3,2,4,4,4,3,4,6,2,4,3,2,3,5,3,5,5,6,6,4,6,3,5,4,6,2,4,5,3,6,6,8,6,8,3,4,5,4,4,6,4,4,8,4,6,4,4
21,7,7,8,9,6,7,6,7,8,7,7,7,5,3,5,5,3,4,8,2,0,5,5,3,4,3,4,6,3,4,7,2,3,2,4,3,6,5,4,5,6,6,3,7,2,5,5,6,4,2,3,2,5,5,7,7,7,4,4,5,5,3,7,3,2,8,5,5,4,3
22,9,9,9,10,10,9,10,9,7,9,9,9,6,8,6,3,4,5,9,3,5,0,4,4,3,5,5,3,4,5,5,3,4,5,2,4,2,2,6,6,7,7,6,7,6,4,5,7,5,6,7,6,7,5,7,5,7,5,7,8,5,7,5,6,7,7,5,7,6,7
23,8,8,7,9,7,7,6,8,6,7,7,8,2,4,2,4,4,1,8,3,5,4,0,4,3,5,1,1,2,2,4,5,5,6,3,6,6,2,6,4,6,6,6,6,6,6,4,6,1,7,8,6,8,7,8,4,8,6,4,6,7,7,9,7,7,8,7,7,7,7
24,6,6,6,8,7,5,6,5,6,5,5,6,4,4,4,5,0,3,7,3,3,4,4,0,1,1,3,3,2,3,4,1,4,3,4,2,6,2,3,4,4,4,4,7,4,4,5,4,3,4,5,4,7,3,5,4,5,5,3,5,7,5,7,4,5,6,7,4,6,6
25,7,7,6,9,8,6,7,6,7,6,6,7,5,5,5,4,1,4,8,2,4,3,3,1,0,2,4,2,3,4,4,2,5,4,3,3,5,1,3,3,4,4,5,6,5,3,4,4,2,5,6,5,8,4,6,4,6,4,4,5,6,6,6,5,6,6,6,4,5,6
26,6,6,6,8,7,5,6,5,7,5,5,6,5,4,5,6,1,4,7,4,3,5,5,1,2,0,4,4,3,4,5,2,3,2,5,3,6,3,3,4,4,4,3,6,3,4,4,4,4,4,5,4,7,2,5,5,5,4,4,5,7,4,7,4,5,6,7,4,6,6
27,7,7,7,8,6,6,5,7,5,6,6,7,1,3,1,5,3,0,7,4,4,5,1,3,4,4,0,2,1,1,4,4,4,5,4,5,7,3,6,5,6,6,5,7,5,7,5,6,2,6,7,5,7,6,7,4,7,7,3,6,8,6,10,6,6,8,8,7,8,7
28,7,7,6,8,8,6,7,7,5,6,6,7,3,5,3,4,3,2,7,4,6,3,1,3,2,4,2,0,3,3,3,4,5,6,3,5,5,1,5,3,5,5,6,7,7,5,5,5,2,7,8,7,9,6,7,3,7,6,5,7,8,8,8,7,8,7,8,6,7,8
29,8,8,8,9,7,7,6,7,6,7,7,8,2,4,2,4,2,1,8,3,3,4,2,2,3,3,1,3,0,1,4,3,3,4,3,4,6,2,5,6,6,6,5,7,4,6,5,6,3,5,6,4,7,5,7,4,7,6,3,5,7,5,9,5,5,8,7,6,7,6
30,8,8,8,9,7,7,6,6,6,7,7,8,2,4,2,5,3,1,8,4,4,5,2,3,4,4,1,3,1,0,3,4,4,5,4,5,7,3,6,6,5,5,4,6,5,7,4,5,3,6,7,5,6,6,6,3,6,7,2,6,8,6,10,6,6,7,8,7,8,7
31,9,9,7,9,10,8,9,7,7,8,8,7,5,7,5,6,4,4,8,6,7,5,4,4,4,5,4,3,4,3,0,5,6,7,5,4,7,3,3,4,2,2,6,6,6,5,6,2,5,6,7,6,7,5,5,2,7,8,5,5,8,7,8,8,8,4,8,5,8,7
32,6,6,7,8,7,6,7,6,6,6,6,6,5,5,5,4,1,4,7,2,2,3,5,1,2,2,4,4,3,4,5,0,3,2,3,1,5,3,4,5,5,5,3,8,3,5,6,5,4,3,4,3,6,4,6,5,6,4,4,6,6,4,6,3,4,7,6,5,5,5
33,8,8,9,9,8,8,8,8,7,8,8,8,5,6,5,3,4,4,8,4,3,4,5,4,5,3,4,5,3,4,6,3,0,1,2,4,5,4,6,7,7,7,2,8,3,7,6,7,6,3,4,4,7,5,8,6,8,3,6,7,7,4,8,3,5,9,7,7,5,6
34,7,7,8,9,7,7,7,7,8,7,7,7,6,5,6,4,3,5,8,3,2,5,6,3,4,2,5,6,4,5,7,2,1,0,3,3,6,5,5,6,6,6,1,7,2,6,5,6,5,2,3,3,6,4,7,7,7,2,5,6,6,3,7,2,4,8,6,6,4,5
35,9,9,9,10,9,9,9,9,7,9,9,9,5,7,5,1,4,4,9,2,4,2,3,4,3,5,4,3,3,4,5,3,2,3,0,4,4,2,6,6,7,7,4,8,5,6,6,7,4,4,5,5,8,7,9,5,9,3,6,7,6,6,7,4,6,9,6,7,4,6
36,7,7,8,8,8,7,8,7,7,7,7,5,6,6,6,5,2,5,7,3,3,4,6,2,3,3,5,5,4,5,4,1,4,3,4,0,6,4,3,4,4,4,4,7,2,4,7,4,5,2,3,2,5,3,5,6,7,5,5,5,5,3,5,4,4,6,5,5,5,5
37,8,8,8,9,9,8,9,8,7,8,8,10,8,9,8,5,6,7,8,5,6,2,6,6,5,6,7,5,6,7,7,5,5,6,4,6,0,4,7,7,8,8,7,6,7,5,6,8,7,7,6,7,5,6,7,7,5,6,9,8,5,8,3,6,8,7,5,8,7,8
38,8,8,7,9,9,7,8,7,6,7,7,8,4,6,4,3,2,3,8,3,5,2,2,2,1,3,3,1,2,3,3,3,4,5,2,4,4,0,4,4,5,5,6,7,6,4,5,5,3,6,7,6,9,5,7,3,7,5,5,6,7,7,7,6,7,7,7,5,6,7
39,8,8,6,9,9,7,8,7,9,7,7,6,7,5,7,7,3,6,8,5,4,6,6,3,3,3,6,5,5,6,3,4,6,5,6,3,7,4,0,2,2,2,6,6,4,2,6,2,5,3,4,4,7,3,5,5,7,6,6,3,6,5,6,6,5,4,6,2,5,4
40,7,7,6,8,8,6,7,7,8,6,6,5,6,4,6,7,4,5,7,5,5,6,4,4,3,4,5,3,6,6,4,5,7,6,6,4,7,4,2,0,3,3,6,5,5,2,5,3,3,4,5,5,7,4,5,6,7,6,6,5,6,6,6,7,6,5,6,4,5,6
41,8,8,6,8,8,7,8,5,9,7,7,6,7,6,7,8,4,6,8,6,6,7,6,4,4,4,6,5,6,5,2,5,7,6,7,4,8,5,2,3,0,0,5,5,5,4,5,0,5,5,6,4,6,4,4,4,6,7,5,4,7,6,7,7,7,3,7,4,7,6
42,8,8,6,8,8,7,8,5,9,7,7,6,7,6,7,8,4,6,8,6,6,7,6,4,4,4,6,5,6,5,2,5,7,6,7,4,8,5,2,3,0,0,5,5,5,4,5,0,5,5,6,4,6,4,4,4,6,7,5,4,7,6,7,7,7,3,7,4,7,6
43,7,7,8,9,7,7,7,6,8,7,7,7,6,5,6,5,4,5,8,4,3,6,6,4,5,3,5,6,5,4,6,3,2,1,4,4,7,6,6,6,5,5,0,6,3,7,4,5,5,3,4,4,5,5,6,6,6,3,4,7,7,4,8,3,5,7,7,7,5,6
44,9,9,8,10,8,8,7,7,10,8,8,9,8,7,8,9,7,7,9,6,7,7,6,7,6,6,7,7,7,6,6,8,8,7,8,7,6,7,6,5,5,5,6,0,5,4,2,5,5,7,6,6,3,4,5,8,5,7,6,6,5,6,5,9,8,5,5,8,8,8
45,8,8,9,9,7,8,7,8,9,8,8,6,6,5,6,6,4,5,8,3,2,6,6,4,5,3,5,7,4,5,6,3,3,2,5,2,7,6,4,5,5,5,3,5,0,5,5,5,5,2,3,1,4,3,6,8,8,4,5,4,4,1,6,4,3,7,4,6,5,4
46,9,9,8,10,10,8,9,8,10,8,8,7,8,6,8,7,4,7,9,5,5,4,6,4,3,4,7,5,6,7,5,5,7,6,6,4,5,4,2,2,4,4,7,4,5,0,4,4,5,4,5,5,6,2,4,7,6,6,7,5,4,6,4,7,6,4,4,4,5,6
47,9,9,8,11,8,8,7,7,10,8,8,9,6,5,6,7,5,5,10,4,5,5,4,5,4,4,5,5,5,4,6,6,6,5,6,7,6,5,6,5,5,5,4,2,5,4,0,5,3,7,8,6,5,4,5,6,5,5,4,6,5,6,7,7,7,5,5,7,7,7
48,8,8,6,8,8,7,8,5,9,7,7,6,7,6,7,8,4,6,8,6,6,7,6,4,4,4,6,5,6,5,2,5,7,6,7,4,8,5,2,3,0,0,5,5,5,4,5,0,5,5,6,4,6,4,4,4,6,7,5,4,7,6,7,7,7,3,7,4,7,6
49,7,7,6,9,6,6,5,7,7,6,6,7,3,3,3,5,3,2,8,2,4,5,1,3,2,4,2,2,3,3,5,4,6,5,4,5,7,3,5,3,5,5,5,5,5,5,3,5,0,6,7,5,7,6,7,5,7,5,3,5,6,6,8,6,6,7,6,6,6,6
50,8,8,9,9,8,8,8,8,9,8,8,6,7,5,7,5,4,6,8,4,2,6,7,4,5,4,6,7,5,6,6,3,3,2,4,2,7,6,3,4,5,5,3,7,2,4,7,5,6,0,1,2,5,4,6,8,8,4,6,5,5,3,6,3,3,7,5,5,3,4
51,7,7,8,8,7,7,7,7,8,7,7,7,8,6,8,6,5,7,7,5,3,7,8,5,6,5,7,8,6,7,7,4,4,3,5,3,6,7,4,5,6,6,4,6,3,5,8,6,7,1,0,3,4,5,7,9,7,5,7,6,6,4,5,4,4,8,6,6,4,5
52,8,8,9,8,6,8,7,7,9,8,8,6,6,5,6,6,4,5,8,3,2,6,6,4,5,4,5,7,4,5,6,3,4,3,5,2,7,6,4,5,4,4,4,6,1,5,6,4,5,2,3,0,4,4,6,8,8,5,5,4,4,2,6,4,3,7,4,6,5,4
53,8,8,9,9,7,8,7,7,9,8,8,8,8,7,8,9,7,7,8,6,5,7,8,7,8,7,7,9,7,6,7,6,7,6,8,5,5,9,7,7,6,6,5,3,4,6,5,6,7,5,4,4,0,5,4,9,4,8,6,6,4,5,4,6,6,5,4,9,8,7
54,8,8,8,9,9,7,8,7,9,7,7,6,7,6,7,8,3,6,8,6,5,5,7,3,4,2,6,6,5,6,5,4,5,4,7,3,6,5,3,4,4,4,5,4,3,2,4,4,6,4,5,4,5,0,3,7,5,6,6,5,5,4,5,6,6,4,5,5,7,7
55,8,8,8,9,9,7,8,6,9,7,7,6,7,6,7,9,5,7,9,8,7,7,8,5,6,5,7,7,7,6,5,6,8,7,9,5,7,7,5,5,4,4,6,5,6,4,5,4,7,6,7,6,4,3,0,5,2,7,4,4,4,5,4,5,6,1,4,5,7,7
56,8,8,6,9,9,7,8,6,6,7,7,8,4,6,4,5,4,4,9,6,7,5,4,4,4,5,4,3,4,3,2,5,6,7,5,6,7,3,5,6,4,4,6,8,8,7,6,4,5,8,9,8,9,7,5,0,5,6,3,5,8,7,8,6,7,4,8,4,7,6
57,6,6,6,8,7,5,6,4,7,5,5,8,7,6,7,9,5,7,8,8,7,7,8,5,6,5,7,7,7,6,7,6,8,7,9,7,5,7,7,7,6,6,6,5,8,6,5,6,7,8,7,8,4,5,2,5,0,7,4,6,6,7,4,5,7,3,6,6,8,8
58,8,8,8,10,8,8,8,8,9,8,8,8,7,6,7,3,5,7,10,3,4,5,6,5,4,4,7,6,6,7,8,4,3,2,3,5,6,5,6,6,7,7,3,7,4,6,5,7,5,4,5,5,8,6,7,6,7,0,5,5,4,3,5,2,4,7,4,5,2,4
59,7,7,7,9,6,6,5,5,7,6,6,7,3,3,3,6,3,3,9,4,4,7,4,3,4,4,3,5,3,2,5,4,6,5,6,5,9,5,6,6,5,5,4,6,5,7,4,5,3,6,7,5,6,6,4,3,4,5,0,4,6,4,8,4,4,5,6,5,6,5
60,9,9,7,10,8,8,7,8,10,8,8,7,6,5,6,7,5,6,10,5,5,8,6,5,5,5,6,7,5,6,5,6,7,6,7,5,8,6,3,5,4,4,7,6,4,5,6,4,5,5,6,4,6,5,4,5,6,5,4,0,3,3,5,4,4,3,3,3,5,3
61,10,10,10,11,9,10,9,10,11,10,10,8,8,7,8,6,7,8,11,4,5,5,7,7,6,7,8,8,7,8,8,6,7,6,6,5,5,7,6,6,7,7,7,5,4,4,5,7,6,5,6,4,4,5,4,8,6,4,6,3,0,3,2,4,4,4,0,6,4,4
62,8,8,9,9,7,8,7,8,9,8,8,6,6,5,6,6,5,6,9,4,3,7,7,5,6,4,6,8,5,6,7,4,4,3,6,3,8,7,5,6,6,6,4,6,1,6,6,6,6,3,4,2,5,4,5,7,7,3,4,3,3,0,5,3,2,6,3,5,4,3
63,8,8,8,9,9,8,9,8,9,8,8,8,10,9,10,7,7,10,9,6,7,5,9,7,6,7,10,8,9,10,8,6,8,7,7,5,3,7,6,6,7,7,8,5,6,4,7,7,8,6,5,6,4,5,4,8,4,5,8,5,2,5,0,5,6,4,2,6,5,6
64,7,7,8,9,7,7,7,7,8,7,7,7,6,5,6,4,4,6,9,4,3,6,7,4,5,4,6,7,5,6,8,3,3,2,4,4,6,6,6,7,7,7,3,9,4,7,7,7,6,3,4,4,6,6,5,6,5,2,4,4,4,3,5,0,3,6,4,5,3,4
65,8,8,9,9,7,8,7,8,9,8,8,7,6,4,6,6,5,6,9,4,2,7,7,5,6,5,6,8,5,6,8,4,5,4,6,4,8,7,5,6,7,7,5,8,3,6,7,7,6,3,4,3,6,6,6,7,7,4,4,4,4,2,6,3,0,7,4,3,2,1
66,9,9,7,10,10,8,9,7,10,8,8,7,8,7,8,9,6,8,10,8,8,7,8,6,6,6,8,7,8,7,4,7,9,8,9,6,7,7,4,5,3,3,7,5,7,4,5,3,7,7,8,7,5,4,1,4,3,7,5,3,4,6,4,6,7,0,4,4,7,6
67,10,10,10,11,9,10,9,10,11,10,10,8,8,7,8,6,7,8,11,4,5,5,7,7,6,7,8,8,7,8,8,6,7,6,6,5,5,7,6,6,7,7,7,5,4,4,5,7,6,5,6,4,4,5,4,8,6,4,6,3,0,3,2,4,4,4,0,6,4,4
68,8,8,6,9,9,7,8,7,9,7,7,7,7,5,7,7,4,7,9,6,5,7,7,4,4,4,7,6,6,7,5,5,7,6,7,5,8,5,2,4,4,4,7,8,6,4,7,4,6,5,6,6,9,5,5,4,6,5,5,3,6,5,6,5,3,4,6,0,3,2
69,9,9,9,10,9,9,9,9,10,9,9,8,8,6,8,4,6,8,10,4,4,6,7,6,5,6,8,7,7,8,8,5,5,4,4,5,7,6,5,5,7,7,5,8,5,5,7,7,6,3,4,5,8,7,7,7,8,2,6,5,4,4,5,3,2,7,4,3,0,2
70,9,9,8,10,8,9,8,9,10,9,9,8,7,5,7,6,6,7,10,4,3,7,7,6,6,6,7,8,6,7,7,5,6,5,6,5,8,7,4,6,6,6,6,8,4,6,7,6,6,4,5,4,7,7,7,6,8,4,5,3,4,3,6,4,1,6,4,2,2,0
