Country,Code,LandArea,Population,Energy,Rural,Military,Health,HIV,Internet,BirthRate,ElderlyPop,LifeExpectancy,CO2,GDP,Cell,Electricity,Electric_use
"Egypt, Arab Rep.",EGY,995450,81.527,70710,57.3,7.6,5.9,0.1,16.6,24.7,4.5,70.1,2.685290206,2698.365074,87.10560512,1548.593578,low
El Salvador,ESA,20720,6.134,4882,39.3,2.9,11.9,0.8,10.6,20.2,7,71.3,0.997269165,3425.597284,124.3394914,845.07184,low
Estonia,EST,42390,1.341,5398,30.5,6.9,11.9,1.2,70.6,12,17,73.8,13.64312455,14344.51075,123.3765487,5950.289158,high
Finland,FIN,303900,5.313,35255,36.7,3.8,12.6,0.1,83.5,11.2,16.5,79.6,10.63577891,44512.01191,156.4240894,15241.61194,high
France,FRA,547660,62.277,266495,22.6,5.2,16,0.4,70.4,12.9,16.6,80.9,5.87313281,39459.5474,96.49084911,7488.434522,high
Georgia,GEO,69490,4.307,2988,47.3,29.3,7.3,0.1,23.8,12.1,14.5,71.5,1.187004813,2620.233836,71.70795904,1585.199964,low
Germany,GER,348630,82.11,335284,26.4,4.5,18,0.1,78.1,8.3,20,79.7,9.58054535,40152.21893,127.976768,6778.661314,high
Ghana,GHA,227540,23.351,9459,50,1.9,8.5,1.8,4.3,32.4,3.6,56.6,0.36931379,1283.45845,71.48686263,265.1063393,low
Greece,GRE,128900,11.237,30419,39,7.7,13,0.1,40.8,10.5,18.2,79.9,8.704524319,26599.69686,108.6020308,5540.222428,high
Guatemala,GUA,107160,13.686,8072,51.4,3.6,15.9,0.8,14.3,33,4.4,70.3,0.870222556,2862.36698,125.5685534,548.1122017,low
Honduras,HON,111890,7.319,4624,52.1,3.8,15.5,0.8,9.6,27.5,4.2,72.2,1.187561467,2026.218134,125.0581013,678.2620438,low
Hungary,HUN,89610,10.038,26458,32.5,2.7,10.2,0.1,60.9,9.9,16.1,73.7,5.443044103,12851.97834,120.013782,3773.153807,moderate
Iceland,ISL,100250,0.317,5255,7.7,0.1,13.1,0.3,90.5,15.2,11.7,81.3,7.024063211,39616.84031,109.6620017,51259.18763,high
India,IND,2973190,1139.965,620973,70.5,14.7,4.4,0.3,4.5,22.8,4.8,63.7,1.52872926,1474.980824,64.23824319,596.8220763,low
Indonesia,INA,1811570,227.345,198679,48.5,5.3,6.2,0.2,7.9,18.6,5.9,70.8,1.728140373,2945.576691,91.71598809,590.1535203,low
Ireland,IRL,68890,4.426,14981,38.7,1.6,16,0.2,65.5,17,11.1,79.1,9.852557673,47170.20427,104.9101291,6033.942581,high
Israel,ISR,21640,7.309,22009,8.3,17.1,10,0.2,47.9,21.5,10,81,5.153206682,28504.1457,129.514991,6607.619964,high
Italy,ITA,294140,59.832,176032,31.9,4.2,13.6,0.3,44.4,9.6,20.1,81.2,7.439454863,33916.87718,135.5741178,5270.539626,high
Jamaica,JAM,10830,2.687,4387,46.7,1.6,5.7,1.7,57.3,16.7,7.7,71.8,4.541446859,5274.036851,114.8393591,1901.617451,moderate
Kazakhstan,KAZ,2699700,15.674,70921,42.1,7.9,8.3,0.1,10.9,22.8,7.4,67,15.11766117,9135.722896,121.1598395,4495.133438,moderate
Kenya,KEN,569140,38.765,18021,78.4,8.9,5.8,6.3,8.7,38.8,2.7,54.2,0.270242232,775.2790328,61.63228344,147.4322711,low
"Korea, Rep.",KOR,96920,48.607,226946,18.5,13.6,12.3,0.1,80.2,9.4,10.4,79.8,10.47524603,20756.68866,103.8715928,8979.711572,high
Kyrgyz Republic,KGZ,191800,5.278,2860,63.7,21.4,11.5,0.2,16.1,24.4,5.4,67.4,1.17626916,860.3952866,91.3298607,1401.898614,low
Latvia,LAT,62190,2.266,4484,31.9,6.4,10.2,0.6,63.2,10.6,17.2,72.4,3.34968011,10704.67216,102.8170471,2874.712728,moderate
Lebanon,LBN,10230,4.194,5242,13,13.1,12.3,0.1,22.5,15.7,7.3,72,4.103568467,9226.570859,68.00000095,3130.100381,low
Lithuania,LTU,62670,3.358,9177,33,4.9,12.8,0.1,54.6,10.4,16,71.8,4.505516339,10933.49752,147.2895416,3430.79831,moderate
Malaysia,MAS,328550,27.014,72748,29.6,9.8,6.9,0.5,55.8,20.4,4.6,74.4,7.572802139,8372.830966,121.3195992,3613.530812,moderate
Malta,MLT,320,0.412,819,5.7,1.5,12.3,0.1,49.5,10,14,79.4,6.213292875,19991.3046,110.2801475,4423.044351,moderate
Moldova,MDA,32890,3.633,3150,58.2,1.9,13,0.4,23.4,12.3,11.1,68.4,1.337336388,1630.739775,88.85448934,1018.06062,low
Morocco,MAR,446300,31.606,14977,44,10.9,6.6,0.1,32.6,20.4,5.3,71.3,1.529484855,2795.542399,100.0966061,755.5669243,low
Netherlands,NED,33760,16.446,79681,18.2,3.5,16.2,0.2,87.9,11.2,14.7,80.3,10.56512793,46914.65799,116.2397809,6895.663913,high
Nicaragua,NCA,120340,5.667,3520,43.3,3.2,18.7,0.2,3.3,24.6,4.4,73.1,0.76846204,1131.824114,65.14173841,459.5261487,low
Nigeria,NGR,910770,151.212,111156,51.6,10.8,6.4,3.6,15.9,39.8,3.1,47.9,0.635555086,1222.477264,55.10417598,120.5076855,low
Norway,NOR,305470,4.768,29670,22.5,4.2,16.7,0.1,90.5,12.7,14.6,80.6,10.48447741,84538.2426,113.098599,23549.68992,high
Pakistan,PAK,770880,166.111,82839,63.8,18,3.1,0.1,11.1,30.1,4,66.5,0.974531967,1018.872762,59.20582065,449.3227627,low
Paraguay,PAR,397300,6.238,4360,39.7,5.8,12.3,0.3,14.3,24.6,5,71.9,0.66097609,2840.349596,91.63633147,1055.994016,low
Peru,PER,1280000,28.837,14710,28.6,6.5,15.6,0.4,24.7,21.1,5.7,73.3,1.424113293,5401.370135,100.1328805,1135.714097,low
Philippines,PHI,298170,90.348,41067,35.1,4.9,6.1,0.1,6.2,24.7,4.1,71.8,0.922187693,2140.121591,85.66905679,593.4587373,low
Poland,POL,304220,38.126,97881,38.7,5.7,10.9,0.1,53.1,10.9,13.3,75.5,8.290092376,12293.03516,120.458303,3590.832081,moderate
Portugal,POR,91470,10.622,24159,40.5,4.8,15.4,0.5,44.4,9.8,17.5,78.5,5.301097971,21504.81416,142.7710327,4814.586096,moderate
Romania,ROU,229900,21.514,39380,45.8,4.4,11.8,0.1,32.2,10.3,14.9,72.6,4.400000056,7537.709739,114.9145892,2266.71746,low
Russian Federation,RUS,16376870,141.95,686757,27.2,16.3,9.2,1,32,12.1,13.3,67.8,12.03700823,10439.64243,167.6819922,6135.572788,high
Serbia,SRB,88360,7.35,16032,48,6.1,14.1,0.1,49.8,9.4,14.5,73.6,6.793474509,5268.817254,135.9649967,4224.397665,moderate
Singapore,SIN,700,4.839,18523,0,26.7,7.8,0.1,69.6,10.2,9.4,80.7,6.673403521,41122.18947,143.9379912,7948.913305,high
Slovak Republic,SVK,48100,5.407,18304,43.4,4.6,15.4,0.1,71.2,10.6,12,74.7,6.946552989,16061.25062,109.0468387,4924.712887,high
Slovenia,SVN,20140,2.021,7735,51.4,4.1,12.9,0.1,57.5,10.8,16,78.8,8.488476319,22850.66651,103.3675123,6103.441294,high
South Africa,RSA,1214470,48.793,134489,39.3,4.3,10.4,17.9,8.6,22,4.4,51.5,8.933202682,7275.343964,100.7615325,4532.021902,moderate
Spain,ESP,499110,45.556,138793,22.9,4.6,15.2,0.4,58.2,11.4,16.9,81.9,7.228195009,30541.60646,111.7424114,6006.34818,high
Sri Lanka,SRI,62710,20.156,8935,84.9,18.5,7.9,0.1,5.8,18.8,7.3,74.1,0.574575144,2375.449302,83.21838179,408.4833323,low
Switzerland,SUI,40000,7.648,26701,26.5,4.7,19.9,0.4,68.9,10,16.7,82,5.281605848,67463.71114,121.0825018,8021.094469,high
Thailand,THA,510890,67.386,107199,66.7,8.3,14.2,1.3,23.9,14.5,7.4,68.9,4.185456075,4608.101417,100.811367,2044.825059,low
Togo,TOG,54390,6.459,2563,58,13,8,3.2,5.4,32.9,3.5,62.5,0.245658481,523.1430943,40.68538793,110.8125423,low
Tunisia,TUN,155360,10.328,9178,33.5,4.4,10.4,0.1,27.1,17.7,6.7,74.3,2.4216138210000002,4198.542583,105.356912,1311.257136,low
Turkey,TUR,769630,73.914,98502,31.3,9.7,12.8,0.1,34.4,18.2,5.8,71.9,4.004016907,10094.03441,84.90400135,2297.796855,low
Ukraine,UKR,579320,46.258,136143,32,7.2,8.6,1.1,22.5,11,15.9,68.3,6.994048104,3006.915296,117.5670526,3200.465548,moderate
United Kingdom,GBR,241930,61.407,208450,10.1,5.8,15.1,0.2,78.2,12.9,16.3,79.6,8.516461012,36143.93798,129.8627596,5692.476745,high
United States,USA,9147420,304.375,2283722,18.3,18.6,18.7,0.6,75.8,14.3,12.6,78.4,17.94172893,47198.50445,90.24405876,12903.80675,high
Uruguay,URU,175020,3.334,4181,7.7,5.2,13.8,0.5,40.2,14.6,13.7,76,2.497788577,11995.82431,132.1926697,2670.901523,low
