"decision" "idealism" "relativism" "gender" "scenario"
"261" "continue" 3.2 7.2 "male" "medical"
"262" "continue" 5.6 5.3 "male" "medical"
"263" "continue" 5.8 6.8 "female" "medical"
"264" "stop" 8.5 7.1 "male" "medical"
"265" "continue" 5 6 "male" "medical"
"266" "continue" 6.7 5.9 "male" "medical"
"267" "continue" 5.8 6.9 "male" "medical"
"268" "stop" 7.2 6.3 "male" "medical"
"269" "stop" 7.1 4.5 "female" "medical"
"270" "continue" 5.2 4.4 "female" "medical"
"271" "continue" 6.4 7 "male" "medical"
"272" "stop" 7.2 5 "female" "medical"
"273" "stop" 7.7 5.1 "female" "medical"
"274" "continue" 6.2 5.2 "female" "medical"
"275" "stop" 7.5 6.5 "female" "medical"
"276" "stop" 4.9 5.6 "female" "medical"
"277" "continue" 6.8 4.7 "male" "medical"
"278" "stop" 6.5 5 "female" "medical"
"279" "stop" 8 5.8 "female" "medical"
"280" "stop" 6 5.7 "female" "medical"
"281" "stop" 8.7 7.8 "female" "medical"
"282" "continue" 5.8 6 "female" "medical"
"283" "continue" 6.1 7.1 "female" "medical"
"284" "continue" 5.2 7.7 "female" "medical"
"285" "continue" 6.5 6.9 "male" "medical"
"286" "continue" 8 7.9 "male" "medical"
"287" "continue" 4.8 6.8 "female" "medical"
"288" "stop" 4.7 5.7 "female" "medical"
"289" "stop" 8.9 8.6 "female" "medical"
"290" "stop" 5.4 7.1 "male" "medical"
"291" "continue" 4.5 6.1 "female" "medical"
"292" "stop" 5.8 5.8 "female" "medical"
"293" "continue" 5.6 8 "male" "medical"
"294" "continue" 6 6.9 "female" "medical"
"295" "stop" 7.8 8.2 "female" "medical"
"296" "stop" 6.8 5.9 "male" "medical"
"297" "continue" 6.2 6.3 "female" "medical"
"298" "continue" 6.7 4.7 "female" "medical"
"299" "continue" 7.3 7.1 "male" "medical"
"300" "continue" 4.3 6.4 "male" "medical"
"301" "stop" 8.6 5.7 "female" "medical"
"302" "continue" 5.6 7.1 "female" "medical"
"303" "stop" 5 4.4 "male" "medical"
"304" "stop" 8.8 7.8 "female" "medical"
"305" "continue" 7.2 6 "male" "medical"
"306" "stop" 8.5 5.2222222222 "female" "medical"
"307" "continue" 4.8 6 "female" "medical"
"308" "stop" 6.8 6 "female" "medical"
"309" "continue" 6.2 6 "male" "medical"
"310" "continue" 4.8 6.2 "female" "medical"
"311" "stop" 7.5 6 "female" "medical"
"312" "continue" 5.4 6.1 "female" "medical"
"313" "continue" 4 6.6 "female" "medical"
"314" "stop" 3.2 6.7 "female" "medical"
"315" "continue" 5.4 5.8 "female" "medical"
