Date,Total.Steps,Aerobic.Steps,Aerobic.Walking.Time,Calories,Distance,Season,Weekday
2013-07-12,6171,1176,11,381,2.82,Summer,Fri
2013-07-13,3371,0,0,208,1.54,Summer,Sat
2013-07-14,2647,0,0,158,1.21,Summer,Sun
2013-07-15,6414,2238,21,381,2.93,Summer,Mon
2013-07-16,5992,2237,20,349,2.74,Summer,Tue
2013-07-17,6648,1886,18,388,3.04,Summer,Wed
2013-07-18,10041,1779,16,612,4.59,Summer,Thu
2013-07-19,7616,3315,31,456,3.48,Summer,Fri
2013-07-20,1908,0,0,93,0.87,Summer,Sat
2013-07-21,4058,931,10,216,1.85,Summer,Sun
2013-07-22,9044,1135,10,523,4.13,Summer,Mon
2013-07-23,6385,0,0,363,2.92,Summer,Tue
2013-07-24,8931,0,0,529,4.08,Summer,Wed
2013-07-25,8658,1113,10,509,3.96,Summer,Thu
2013-07-26,4273,0,0,206,1.95,Summer,Fri
2013-07-27,6393,0,0,369,2.92,Summer,Sat
2013-07-28,5578,0,0,318,2.55,Summer,Sun
2013-07-29,12952,0,0,773,5.92,Summer,Mon
2013-07-30,6092,1794,18,341,2.78,Summer,Tue
2013-07-31,7361,3853,36,438,3.36,Summer,Wed
2013-08-01,6903,0,0,418,3.15,Summer,Thu
2013-08-02,8937,1705,16,522,4.09,Summer,Fri
2013-08-03,9048,0,0,564,4.14,Summer,Sat
2013-08-04,15565,8174,75,1002,7.12,Summer,Sun
2013-08-05,11101,0,0,706,5.08,Summer,Mon
2013-08-06,17334,7353,74,1094,7.93,Summer,Tue
2013-08-07,9785,1266,12,610,4.47,Summer,Wed
2013-08-08,13001,5433,55,824,5.95,Summer,Thu
2013-08-09,6285,0,0,353,2.87,Summer,Fri
2013-08-10,2865,0,0,134,1.31,Summer,Sat
2013-08-11,2363,0,0,139,1.08,Summer,Sun
2013-08-12,10464,5722,50,636,4.78,Summer,Mon
2013-08-13,6266,1445,13,356,2.86,Summer,Tue
2013-08-14,6164,1853,17,373,2.82,Summer,Wed
2013-08-15,10058,1020,10,590,4.6,Summer,Thu
2013-08-16,3442,0,0,181,1.57,Summer,Fri
2013-08-17,6061,1510,14,339,2.77,Summer,Sat
2013-08-18,3640,0,0,200,1.66,Summer,Sun
2013-08-19,6132,1442,13,357,2.8,Summer,Mon
2013-08-20,6109,1622,15,363,2.79,Summer,Tue
2013-08-21,6314,0,0,351,2.88,Summer,Wed
2013-08-22,7183,3027,28,422,3.28,Summer,Thu
2013-08-23,8465,4331,43,524,3.87,Summer,Fri
2013-08-24,10020,0,0,609,4.58,Summer,Sat
2013-08-25,2766,0,0,154,1.26,Summer,Sun
2013-08-26,6005,1690,15,346,2.74,Summer,Mon
2013-08-27,6043,1782,16,353,2.76,Summer,Tue
2013-08-28,6414,2117,20,393,2.93,Summer,Wed
2013-08-29,6168,1645,15,357,2.82,Summer,Thu
2013-08-30,6894,1078,10,414,3.15,Summer,Fri
2013-08-31,8394,0,0,494,3.84,Summer,Sat
2013-09-01,2671,0,0,129,1.22,Fall,Sun
2013-09-02,7274,0,0,447,3.32,Fall,Mon
2013-09-03,6990,1807,17,422,3.19,Fall,Tue
2013-09-04,6018,1684,15,349,2.75,Fall,Wed
2013-09-05,6041,0,0,339,2.76,Fall,Thu
2013-09-06,6212,0,0,349,2.84,Fall,Fri
2013-09-07,3593,0,0,179,1.64,Fall,Sat
2013-09-08,3671,0,0,212,1.68,Fall,Sun
2013-09-09,10375,2997,27,620,4.74,Fall,Mon
2013-09-10,6215,2783,26,365,2.84,Fall,Tue
2013-09-11,6203,0,0,366,2.83,Fall,Wed
2013-09-12,6003,1342,12,328,2.74,Fall,Thu
2013-09-13,6278,1119,10,369,2.87,Fall,Fri
2013-09-14,2034,0,0,105,0.93,Fall,Sat
2013-09-15,3703,0,0,215,1.69,Fall,Sun
2013-09-16,6925,1413,13,402,3.16,Fall,Mon
2013-09-17,6146,2776,25,349,2.81,Fall,Tue
2013-09-18,6221,0,0,374,2.84,Fall,Wed
2013-09-19,6342,1749,16,370,2.9,Fall,Thu
2013-09-20,6362,3105,29,359,2.91,Fall,Fri
2013-09-21,4703,0,0,259,2.15,Fall,Sat
2013-09-22,3050,0,0,182,1.39,Fall,Sun
2013-09-23,5938,0,0,345,2.71,Fall,Mon
2013-09-24,6457,1559,14,384,2.95,Fall,Tue
2013-09-25,6305,2772,25,384,2.88,Fall,Wed
2013-09-26,6528,1593,14,391,2.98,Fall,Thu
2013-09-27,2132,0,0,104,0.97,Fall,Fri
2013-09-28,6301,1401,13,355,2.88,Fall,Sat
2013-09-29,3935,0,0,226,1.8,Fall,Sun
2013-09-30,9943,3830,35,599,4.55,Fall,Mon
2013-10-01,6217,1737,16,359,2.84,Fall,Tue
2013-10-02,6207,0,0,361,2.84,Fall,Wed
2013-10-03,6397,1723,16,367,2.92,Fall,Thu
2013-10-04,7557,4108,39,441,3.45,Fall,Fri
2013-10-05,5853,0,0,347,2.67,Fall,Sat
2013-10-06,2482,0,0,116,1.13,Fall,Sun
2013-10-07,6357,1668,16,361,2.9,Fall,Mon
2013-10-08,7202,4224,40,402,3.29,Fall,Tue
2013-10-09,6249,3119,28,376,2.86,Fall,Wed
2013-10-10,6421,1406,12,397,2.93,Fall,Thu
2013-10-11,6599,1590,15,372,3.02,Fall,Fri
2013-10-12,1946,0,0,97,0.89,Fall,Sat
2013-10-13,2714,0,0,157,1.24,Fall,Sun
2013-10-14,9732,4306,39,601,4.45,Fall,Mon
2013-10-15,7502,1825,17,437,3.43,Fall,Tue
2013-10-16,6482,1900,18,379,2.96,Fall,Wed
2013-10-17,6896,4193,39,405,3.15,Fall,Thu
2013-10-18,7434,1718,16,445,3.4,Fall,Fri
2013-10-19,5402,0,0,313,2.47,Fall,Sat
2013-10-20,3019,0,0,170,1.38,Fall,Sun
2013-10-21,8175,2446,23,476,3.74,Fall,Mon
2013-10-22,6559,1214,11,358,3,Fall,Tue
2013-10-23,297,0,0,11,0.13,Fall,Wed
2013-10-24,6686,1733,16,384,3.06,Fall,Thu
2013-10-25,7261,2852,27,410,3.32,Fall,Fri
2013-10-26,4107,0,0,210,1.87,Fall,Sat
2013-10-27,5102,0,0,293,2.33,Fall,Sun
2013-10-28,6745,1226,11,414,3.08,Fall,Mon
2013-10-29,6008,4201,36,346,2.74,Fall,Tue
2013-10-30,6023,1212,12,355,2.75,Fall,Wed
2013-10-31,7710,0,0,469,3.52,Fall,Thu
2013-11-01,8459,4081,39,489,3.87,Fall,Fri
2013-11-02,2641,0,0,126,1.2,Fall,Sat
2013-11-03,2257,0,0,128,1.03,Fall,Sun
2013-11-04,6094,2203,21,353,2.78,Fall,Mon
2013-11-05,6081,2640,23,364,2.78,Fall,Tue
2013-11-06,6250,1555,14,367,2.86,Fall,Wed
2013-11-07,6228,2714,25,356,2.85,Fall,Thu
2013-11-08,4716,1735,16,277,2.15,Fall,Fri
2013-11-09,6603,1514,15,373,3.02,Fall,Sat
2013-11-10,3532,0,0,201,1.61,Fall,Sun
2013-11-11,6292,1020,10,350,2.87,Fall,Mon
2013-11-12,6091,0,0,354,2.78,Fall,Tue
2013-11-13,5605,1099,10,317,2.56,Fall,Wed
2013-11-14,6494,3153,28,385,2.97,Fall,Thu
2013-11-15,6885,0,0,402,3.15,Fall,Fri
2013-11-16,3959,0,0,196,1.81,Fall,Sat
2013-11-17,2613,0,0,127,1.19,Fall,Sun
2013-11-18,8484,1697,15,479,3.88,Fall,Mon
2013-11-19,6053,0,0,335,2.77,Fall,Tue
2013-11-20,7191,0,0,427,3.29,Fall,Wed
2013-11-21,6806,0,0,419,3.11,Fall,Thu
2013-11-22,6010,0,0,365,2.75,Fall,Fri
2013-11-23,1924,0,0,82,0.88,Fall,Sat
2013-11-24,3739,0,0,211,1.71,Fall,Sun
2013-11-25,6270,1728,16,358,2.86,Fall,Mon
2013-11-26,6069,1475,13,378,2.77,Fall,Tue
2013-11-27,6865,3050,28,397,3.14,Fall,Wed
2013-11-28,6015,2941,26,338,2.75,Fall,Thu
2013-11-29,6260,0,0,351,2.86,Fall,Fri
2013-11-30,2086,0,0,74,0.95,Fall,Sat
2013-12-01,2571,0,0,151,1.17,Winter,Sun
2013-12-02,6025,1677,15,355,2.75,Winter,Mon
2013-12-03,6514,1737,16,380,2.98,Winter,Tue
2013-12-04,5219,0,0,288,2.38,Winter,Wed
2013-12-05,6696,1183,13,403,3.06,Winter,Thu
2013-12-06,6278,2119,19,380,2.87,Winter,Fri
2013-12-07,5540,0,0,316,2.53,Winter,Sat
2013-12-08,4919,0,0,278,2.25,Winter,Sun
2013-12-09,7085,1490,15,420,3.24,Winter,Mon
2013-12-10,6027,0,0,367,2.75,Winter,Tue
2013-12-11,6194,1104,11,350,2.83,Winter,Wed
2013-12-12,3891,0,0,216,1.78,Winter,Thu
2013-12-13,6160,1598,16,342,2.81,Winter,Fri
2013-12-14,6118,0,0,350,2.8,Winter,Sat
2013-12-15,2338,0,0,106,1.07,Winter,Sun
2013-12-16,6443,1678,15,387,2.94,Winter,Mon
2013-12-17,6100,2756,24,345,2.79,Winter,Tue
2013-12-18,6483,1367,12,378,2.96,Winter,Wed
2013-12-19,6209,0,0,341,2.84,Winter,Thu
2013-12-20,9243,914,11,514,4.23,Winter,Fri
2013-12-21,7245,0,0,420,3.31,Winter,Sat
2013-12-22,2032,0,0,111,0.93,Winter,Sun
2013-12-23,6014,0,0,342,2.75,Winter,Mon
2013-12-24,9387,0,0,544,4.29,Winter,Tue
2013-12-25,2417,0,0,107,1.1,Winter,Wed
2013-12-26,6129,3334,31,364,2.8,Winter,Thu
2013-12-27,6838,1517,14,413,3.12,Winter,Fri
2013-12-28,6017,1500,13,324,2.75,Winter,Sat
2013-12-29,4186,1150,11,237,1.91,Winter,Sun
2013-12-30,6027,1972,18,339,2.75,Winter,Mon
2013-12-31,6007,1994,20,357,2.74,Winter,Tue
2014-01-01,6207,3276,30,356,2.84,Winter,Wed
2014-01-02,5474,0,0,322,2.5,Winter,Thu
2014-01-03,6354,1120,11,373,2.9,Winter,Fri
2014-01-04,8271,1506,15,475,3.78,Winter,Sat
2014-01-05,4287,0,0,255,1.96,Winter,Sun
2014-01-06,6060,2551,23,360,2.77,Winter,Mon
2014-01-07,6267,2847,27,359,2.86,Winter,Tue
2014-01-08,6224,2338,21,371,2.84,Winter,Wed
2014-01-09,6025,1691,15,343,2.75,Winter,Thu
2014-01-10,6070,1643,15,358,2.77,Winter,Fri
2014-01-11,1484,0,0,72,0.67,Winter,Sat
2014-01-12,3325,0,0,183,1.52,Winter,Sun
2014-01-13,6039,2757,25,364,2.76,Winter,Mon
2014-01-14,6277,2310,22,375,2.87,Winter,Tue
2014-01-15,6146,3224,28,379,2.81,Winter,Wed
2014-01-16,6326,3263,29,368,2.89,Winter,Thu
2014-01-17,7053,1462,13,406,3.22,Winter,Fri
2014-01-18,2917,0,0,163,1.33,Winter,Sat
2014-01-19,3315,0,0,181,1.51,Winter,Sun
2014-01-20,6811,3786,34,384,3.11,Winter,Mon
2014-01-21,6026,3247,31,355,2.75,Winter,Tue
2014-01-22,6182,2962,28,342,2.82,Winter,Wed
2014-01-23,8467,2892,26,517,3.87,Winter,Thu
2014-01-24,7102,3090,28,420,3.25,Winter,Fri
2014-01-25,2296,0,0,102,1.05,Winter,Sat
2014-01-26,4403,0,0,254,2.01,Winter,Sun
2014-01-27,6099,1509,15,360,2.79,Winter,Mon
2014-01-28,6145,4008,37,364,2.81,Winter,Tue
2014-01-29,6052,0,0,352,2.77,Winter,Wed
2014-01-30,6105,2787,26,352,2.79,Winter,Thu
2014-01-31,7277,0,0,442,3.33,Winter,Fri
2014-02-01,2225,0,0,116,1.01,Winter,Sat
2014-02-02,3042,0,0,145,1.39,Winter,Sun
2014-02-03,6015,1934,18,368,2.75,Winter,Mon
2014-02-04,6188,1743,16,356,2.83,Winter,Tue
2014-02-05,6181,1583,14,374,2.82,Winter,Wed
2014-02-06,6107,1975,18,366,2.79,Winter,Thu
2014-02-07,6027,1725,15,350,2.75,Winter,Fri
2014-02-08,3510,0,0,189,1.6,Winter,Sat
2014-02-09,4193,0,0,236,1.91,Winter,Sun
2014-02-10,6123,2213,20,376,2.8,Winter,Mon
2014-02-11,7543,4195,39,471,3.45,Winter,Tue
2014-02-12,6029,1088,10,344,2.75,Winter,Wed
2014-02-13,7400,4320,39,433,3.38,Winter,Thu
2014-02-14,7078,1183,11,425,3.23,Winter,Fri
2014-02-15,2025,0,0,90,0.92,Winter,Sat
2014-02-16,3190,0,0,172,1.46,Winter,Sun
2014-02-17,7198,2606,27,415,3.29,Winter,Mon
2014-02-18,2751,0,0,148,1.25,Winter,Tue
2014-02-19,6034,1058,10,350,2.76,Winter,Wed
2014-02-20,7391,4720,44,452,3.38,Winter,Thu
2014-02-21,6092,1196,11,373,2.78,Winter,Fri
2014-02-22,3981,0,0,225,1.82,Winter,Sat
2014-02-23,3531,0,0,188,1.61,Winter,Sun
2014-02-24,2855,0,0,179,1.3,Winter,Mon
2014-02-25,4030,0,0,224,1.84,Winter,Tue
2014-02-26,5258,0,0,327,2.4,Winter,Wed
2014-02-27,6024,0,0,370,2.75,Winter,Thu
2014-02-28,6825,3513,33,410,3.12,Winter,Fri
2014-03-01,3366,0,0,168,1.54,Spring,Sat
2014-03-02,2423,0,0,126,1.1,Spring,Sun
2014-03-03,3663,0,0,238,1.67,Spring,Mon
2014-03-04,7019,0,0,426,3.21,Spring,Tue
2014-03-05,3379,0,0,201,1.54,Spring,Wed
2014-03-06,6044,1793,17,357,2.76,Spring,Thu
2014-03-07,6006,0,0,361,2.74,Spring,Fri
2014-03-08,766,0,0,23,0.35,Spring,Sat
2014-03-09,5366,0,0,316,2.45,Spring,Sun
2014-03-10,7814,0,0,449,3.57,Spring,Mon
2014-03-11,3391,0,0,201,1.55,Spring,Tue
2014-03-12,4895,2024,20,295,2.24,Spring,Wed
2014-03-13,4740,0,0,281,2.16,Spring,Thu
2014-03-14,4802,0,0,280,2.19,Spring,Fri
2014-03-15,2451,0,0,121,1.12,Spring,Sat
2014-03-16,2607,0,0,132,1.19,Spring,Sun
2014-03-17,8451,3263,29,533,3.86,Spring,Mon
2014-03-18,6041,0,0,367,2.76,Spring,Tue
2014-03-19,5049,1982,18,319,2.31,Spring,Wed
2014-03-20,6013,1236,12,357,2.75,Spring,Thu
2014-03-21,3210,0,0,186,1.46,Spring,Fri
2014-03-22,4908,0,0,302,2.24,Spring,Sat
2014-03-23,2320,0,0,126,1.06,Spring,Sun
2014-03-24,3749,0,0,203,1.71,Spring,Mon
2014-03-25,6019,1010,10,367,2.75,Spring,Tue
2014-03-26,6028,3196,30,363,2.75,Spring,Wed
2014-03-27,6677,0,0,407,3.05,Spring,Thu
2014-03-28,4800,0,0,264,2.19,Spring,Fri
2014-03-29,1530,0,0,46,0.7,Spring,Sat
2014-03-30,3134,0,0,151,1.43,Spring,Sun
2014-03-31,5063,1091,10,304,2.31,Spring,Mon
2014-04-01,2175,0,0,107,0.99,Spring,Tue
2014-04-02,2948,0,0,160,1.34,Spring,Wed
2014-04-03,5151,1913,17,290,2.35,Spring,Thu
