Player,Team,TotalMoney,YearlySalary,Position
Bennett Jackson,Ravens,0.495,0.495,defensive_back
Bennie Fowler,Giants,0.805,0.805,receiver
Benson Mayowa,Raiders,1.1,1.1,defensive_line
Bilal Nichols,Bears,2.759,0.69,defensive_line
Bilal Powell,Jets,1.02,1.02,running_back
Billy Brown,Colts,1.08,0.54,tight_end
Billy Price,Bengals,11.712,2.928,offensive_line
Billy Turner,Packers,28,7,offensive_line
Billy Winn,Broncos,1.825,0.913,defensive_line
Blaine Gabbert,Buccaneers,1.6,1.6,quarterback
Blake Bell,Chiefs,0.895,0.895,tight_end
Blake Bortles,Rams,1,1,quarterback
Blake Cashman,Jets,2.824,0.706,linebacker
Blake Countess,Jets,1.67,0.835,defensive_back
Blake Jarwin,Cowboys,1.692,0.564,tight_end
Blake Martinez,Packers,2.453,0.613,linebacker
Blessuan Austin,Jets,2.683,0.671,defensive_back
Blidi Wreh-Wilson,Falcons,0.895,0.895,defensive_back
Bobby Evans,Rams,3.514,0.878,offensive_line
Bobby Hart,Bengals,16.15,5.383,offensive_line
Bobby Massie,Bears,32,8,offensive_line
Bobby McCain,Dolphins,27,6.75,defensive_back
Bobby Okereke,Colts,3.622,0.906,linebacker
Bobby Wagner,Seahawks,54,18,linebacker
Boston Scott,Eagles,1.23,0.615,running_back
Braden Smith,Colts,7.194,1.798,offensive_line
Bradley Bozeman,Ravens,2.578,0.645,offensive_line
Bradley Chubb,Broncos,27.271,6.818,linebacker
Bradley McDougald,Seahawks,13.5,4.5,defensive_back
Bradley Pinion,Buccaneers,11,2.75,kicker
Bradley Roby,Texans,10,10,defensive_back
Bradley Sowell,Bears,1.45,1.45,tight_end
Branden Jackson,Seahawks,0.72,0.72,defensive_line
Brandin Cooks,Rams,81,16.2,receiver
Brandon Allen,Broncos,0.645,0.645,quarterback
Brandon Bolden,Patriots,3.7,1.85,running_back
Brandon Brooks,Eagles,40,8,offensive_line
Brandon Carr,Ravens,24,6,defensive_back
Brandon Copeland,Jets,1.75,1.75,linebacker
Brandon Dunn,Texans,2.025,2.025,defensive_line
Brandon Facyson,Chargers,1.72,0.573,defensive_back
Brandon Graham,Eagles,40,13.333,defensive_line
Brandon Greene,Panthers,0.505,0.505,offensive_line
Brandon King,Patriots,3.5,1.75,linebacker
Brandon Knight,Cowboys,1.76,0.587,offensive_line
Brandon Linder,Jaguars,51.703,10.341,offensive_line
Brandon Marshall,Raiders,0.805,0.805,linebacker
Brandon McManus,Broncos,11.254,3.751,kicker
Brandon Mebane,Chargers,9.3,4.65,defensive_line
Brandon Parker,Raiders,4.095,1.024,offensive_line
Brandon Powell,Falcons,1.08,0.54,receiver
Brandon Scherff,Redskins,21.216,5.304,offensive_line
Brandon Shell,Jets,2.576,0.644,offensive_line
Brandon Thomas,Jaguars,1.125,0.563,offensive_line
Brandon Watson,Jaguars,1.755,0.585,defensive_back
Brandon Williams,Ravens,52.5,10.5,defensive_line
Brandon Williams,Cardinals,3.083,0.771,defensive_back
Brandon Wilson,Bengals,0.645,0.645,defensive_back
Brandon Zylstra,Panthers,1.71,0.57,receiver
Braxton Berrios,Jets,2.578,0.645,receiver
Breeland Speaks,Chiefs,6.101,1.525,defensive_line
Brennan Scarlett,Texans,3.75,3.75,linebacker
Brent Qvale,Jets,1.4,1.4,offensive_line
Brent Urban,Bears,0.805,0.805,defensive_line
Breon Borders,Jaguars,1.125,0.563,defensive_back
Breshad Perriman,Buccaneers,4,4,receiver
Brett Hundley,Cardinals,1.875,1.875,quarterback
Brett Jones,Vikings,0.72,0.72,offensive_line
Brett Kern,Titans,12.55,3.183,kicker
Brett Maher,Cowboys,1.05,0.525,kicker
Brett Rypien,Broncos,0.495,0.495,quarterback
Brett Toth,Cardinals,1.755,0.585,offensive_line
Brian Allen,Rams,3.147,0.787,offensive_line
Brian Burns,Panthers,13.54,3.385,defensive_line
Brian Hill,Falcons,1.2,0.6,running_back
Brian Hoyer,Colts,12,4,quarterback
Brian O'Neill,Vikings,4.407,1.102,offensive_line
Brian Poole,Jets,3,3,defensive_back
Brian Winters,Jets,29,7.25,offensive_line
Briean Boddy-Calhoun,Texans,0.72,0.72,defensive_back
Britton Colquitt,Vikings,0.93,0.93,kicker
Brooks Reed,Cardinals,1.625,1.625,linebacker
Bruce Irvin,Panthers,4,4,defensive_line
Bryan Anger,Texans,0.93,0.93,kicker
Bryan Bulaga,Packers,33.75,6.75,offensive_line
Bryan Cox Jr.,Panthers,0.645,0.645,defensive_line
Bryan Witzmann,Panthers,0.72,0.72,offensive_line
Bryant Mitchell,Buccaneers,0.495,0.495,receiver
Bryce Callahan,Broncos,21,7,defensive_back
Bryce Hager,Rams,0.805,0.805,linebacker
Bryce Love,Redskins,3.274,0.819,running_back
Brynden Trawick,Ravens,0.805,0.805,defensive_back
Buck Allen,Giants,0.805,0.805,running_back
Bud Dupree,Steelers,18.454,3.691,linebacker
Budda Baker,Cardinals,6.83,1.707,defensive_back
Buddy Howell,Texans,1.718,0.573,running_back
Buster Skrine,Bears,16.5,5.5,defensive_back
Byron Cowart,Patriots,2.821,0.705,defensive_line
Byron Jones,Cowboys,8.602,2.15,defensive_back
Byron Murphy,Cardinals,7.989,1.997,defensive_back
Byron Pringle,Chiefs,1.08,0.54,receiver
C.J. Beathard,49ers,3.529,0.882,quarterback
C.J. Board,Jaguars,1.08,0.54,receiver
C.J. Goodwin,Cowboys,1.35,0.675,defensive_back
C.J. Ham,Vikings,0.645,0.645,running_back
C.J. Moore,Lions,1.762,0.587,defensive_back
C.J. Mosley,Jets,85,17,linebacker
C.J. Prosise,Seahawks,3.112,0.778,running_back
Calais Campbell,Jaguars,60,15,defensive_line
Caleb Brantley,Redskins,1.2,0.6,defensive_line
Calvin Anderson,Broncos,1.08,0.54,offensive_line
Calvin Ridley,Falcons,10.901,2.725,receiver
Cam Newton,Panthers,103.8,20.76,quarterback
Cam Robinson,Jaguars,7.018,1.755,offensive_line
Cameron Batson,Titans,1.05,0.525,receiver
Cameron Brate,Buccaneers,40.8,6.8,tight_end
Cameron Erving,Chiefs,8.279,4.14,offensive_line
Cameron Fleming,Cowboys,7.5,3.75,offensive_line
Cameron Heyward,Steelers,52.281,10.456,defensive_line
Cameron Hunt,Raiders,0.57,0.57,offensive_line
Cameron Johnston,Eagles,1.065,0.533,kicker
Cameron Jordan,Saints,52.6,17.533,defensive_line
Cameron Sutton,Steelers,3.217,0.804,defensive_back
Cameron Tom,Saints,0.645,0.645,offensive_line
Cameron Wake,Titans,23,7.667,linebacker
Carl Granderson,Saints,1.77,0.59,defensive_line
Carl Lawson,Bengals,3.053,0.763,defensive_line
Carl Nassib,Buccaneers,3.599,0.9,linebacker
Carlos Dunlap,Bengals,40.5,13.5,defensive_line
Carlos Hyde,Texans,2.8,2.8,running_back
Carlos Watkins,Texans,2.82,0.705,defensive_line
Carlton Davis,Buccaneers,4.393,1.098,defensive_back
Carson Wentz,Eagles,128,32,quarterback
Case Keenum,Redskins,7.5,7.5,quarterback
Casey Hayward,Chargers,34.25,11.417,defensive_back
Casey Kreiter,Broncos,1,1,offensive_line
Cassius Marsh,Cardinals,1,1,defensive_line
Cedric Ogbuehi,Jaguars,0.895,0.895,offensive_line
Cedrick Wilson,Cowboys,1.08,0.54,receiver
Cethan Carter,Bengals,1.671,0.557,tight_end
Chad Beebe,Vikings,1.71,0.57,receiver
Chad Henne,Chiefs,6.7,3.35,quarterback
Chad Slade,Giants,0.57,0.57,offensive_line
Chad Thomas,Browns,4.082,1.021,defensive_line
Chandler Cox,Dolphins,2.611,0.653,running_back
Chandler Jones,Cardinals,82.5,16.5,linebacker
Chandon Sullivan,Packers,0.57,0.57,defensive_back
Charles Clay,Cardinals,2,2,tight_end
Charles Harris,Dolphins,10.844,2.711,defensive_line
"Charles Leno, Jr.",Bears,37,9.25,offensive_line
Charles Omenihu,Texans,2.816,0.704,defensive_line
Charles Tapper,Jets,1.38,0.69,linebacker
Charles Washington,Cardinals,0.645,0.645,defensive_back
Charley Hughlett,Browns,6.37,1.062,offensive_line
Charvarius Ward,Chiefs,1.715,0.572,defensive_back
Chase Allen,Dolphins,1.675,0.558,linebacker
Chase Daniel,Bears,10,5,quarterback
Chase Edmonds,Cardinals,2.912,0.728,running_back
Chase Hansen,Saints,1.76,0.587,linebacker
Chase Roullier,Redskins,2.547,0.637,offensive_line
Chase Winovich,Patriots,3.827,0.957,defensive_line
"Chauncey Gardner-Johnson, Jr.",Saints,3.307,0.827,defensive_back
Chester Rogers,Colts,3.095,3.095,receiver
Chidobe Awuzie,Cowboys,4.284,1.071,defensive_back
Chris Banjo,Cardinals,0.805,0.805,defensive_back
Chris Board,Ravens,1.714,0.571,linebacker
Chris Boswell,Steelers,16.806,4.202,kicker
Chris Carson,Seahawks,2.465,0.616,running_back
Chris Clark,Texans,0.93,0.93,offensive_line
Chris Conley,Jaguars,4.595,2.298,receiver
Chris Godwin,Buccaneers,3.284,0.821,receiver
"Chris Harris, Jr.",Broncos,12.05,12.05,defensive_back
Chris Hogan,Panthers,1.45,1.45,receiver
Chris Hubbard,Browns,36.5,7.3,offensive_line
Chris Jones,Cowboys,8.7,2.175,kicker
Chris Jones,Chiefs,6.231,1.558,defensive_line
Chris Lammons,Dolphins,1.08,0.54,defensive_back
Chris Landrum,Texans,1.38,0.69,defensive_line
Chris Lindstrom,Falcons,14.709,3.677,offensive_line
Chris Manhertz,Panthers,2.3,1.15,tight_end
Chris Milton,Titans,1.5,1.5,defensive_back
Chris Moore,Ravens,2.936,0.734,receiver
Chris Peace,Giants,1.755,0.585,defensive_line
Chris Reed,Dolphins,2.975,1.488,offensive_line
Chris Smith,Browns,12,4,defensive_line
Chris Thompson,Redskins,7,3.5,running_back
Chris Westry,Cowboys,1.765,0.588,defensive_back
Chris Wormley,Ravens,3.56,0.89,defensive_line
Christian Blake,Falcons,1.08,0.54,receiver
Christian Covington,Cowboys,1.75,1.75,defensive_line
Christian Jones,Lions,6.35,3.175,linebacker
Christian Kirk,Cardinals,5.895,1.474,receiver
Christian Kirksey,Browns,38,9.5,linebacker
Christian McCaffrey,Panthers,17.241,4.31,running_back
Christian Miller,Panthers,3.257,0.814,linebacker
Christian Wilkins,Dolphins,15.439,3.86,defensive_line
Christopher Herndon IV,Jets,3.171,0.793,tight_end
Chuck Clark,Ravens,2.575,0.644,defensive_back
Chukwuma Okorafor,Steelers,3.407,0.852,offensive_line
Chuma Edoga,Jets,3.587,0.897,offensive_line
CJ Uzomah,Bengals,18.3,6.1,tight_end
Clark Harris,Bengals,2.295,1.148,offensive_line
Clay Matthews,Rams,9.25,4.625,linebacker
Clayton Fejedelem,Bengals,2.404,0.601,defensive_back
Clayton Geathers,Colts,2.75,2.75,defensive_back
Clelin Ferrell,Raiders,31.361,7.84,defensive_line
Clinton McDonald,Cardinals,1.25,1.25,defensive_line
Clive Walford,Dolphins,0.72,0.72,tight_end
Cody Barton,Seahawks,3.626,0.907,linebacker
Cody Brown,Jaguars,1.755,0.585,defensive_back
Cody Core,Giants,2.468,0.617,receiver
Cody Davis,Jaguars,5,2.5,defensive_back
Cody Ford,Bills,7.507,1.877,offensive_line
Cody Kessler,Patriots,0.72,0.72,quarterback
Cody Latimer,Giants,1.5,1.5,receiver
Cody Whitehair,Bears,51.25,10.25,offensive_line
Cody Wichmann,Cowboys,1.38,0.69,offensive_line
Colby Wadman,Broncos,1.71,0.57,kicker
Cole Beasley,Bills,29,7.25,receiver
Cole Holcomb,Redskins,2.755,0.689,linebacker
Cole Madison,Packers,2.784,0.696,offensive_line
Cole Mazza,Chargers,1.755,0.585,offensive_line
Coleman Shelton,Rams,0.495,0.495,offensive_line
Colin Jones,Panthers,2.6,1.3,defensive_back
Colt McCoy,Redskins,6.5,3.25,quarterback
Colton Jumper,Saints,0.495,0.495,linebacker
Connor McGovern,Cowboys,3.618,0.905,offensive_line
Connor McGovern,Broncos,2.604,0.651,offensive_line
Connor Williams,Cowboys,5.489,1.372,offensive_line
Conor McDermott,Jets,2.535,0.634,offensive_line
Cooper Kupp,Rams,3.832,0.958,receiver
Cooper Rush,Cowboys,1.67,0.557,quarterback
Cordarrelle Patterson,Bears,10,5,receiver
Cordrea Tankersley,Dolphins,3.176,0.794,defensive_back
Cordy Glenn,Bengals,60,12,offensive_line
Corey Ballentine,Giants,2.706,0.676,defensive_back
Corey Bojorquez,Bills,1.71,0.57,kicker
Corey Clement,Eagles,1.675,0.558,running_back
Corey Coleman,Giants,0.72,0.72,receiver
Corey Davis,Titans,25.395,6.349,receiver
Corey Linsley,Packers,25.5,8.5,offensive_line
Corey Liuget,Bills,0.93,0.93,defensive_line
Corey Nelson,Broncos,0.805,0.805,linebacker
Corey Peters,Cardinals,12,4,defensive_line
Corey Thompson,Bills,1.71,0.57,linebacker
Cornelius Lucas,Bears,0.84,0.84,offensive_line
Cornell Armstrong,Texans,1.23,0.615,defensive_back
Cortez Broughton,Chargers,2.598,0.65,defensive_line
Cory Littleton,Rams,3.095,3.095,linebacker
Coty Sensabaugh,Broncos,0.93,0.93,defensive_back
Courtland Sutton,Broncos,6.842,1.71,receiver
Craig James,Eagles,0.57,0.57,defensive_back
Craig Robertson,Saints,4.1,2.05,linebacker
Cre'Von LeBlanc,Eagles,1.3,1.3,defensive_back
Cullen Gillaspia,Texans,2.624,0.656,running_back
Curtis Bolton,Packers,1.762,0.587,linebacker
Curtis Riley,Raiders,0.81,0.81,defensive_back
Curtis Samuel,Panthers,6.454,1.613,receiver
Cyrus Jones,Ravens,1.811,0.905,defensive_back
D'Andre Walker,Titans,2.788,0.697,linebacker
D'Angelo Ross,Patriots,1.758,0.585,defensive_back
D'Cota Dixon,Buccaneers,1.756,0.585,defensive_back
D'ernest Johnson,Browns,1.755,0.585,running_back
D.J. Foster,Cardinals,0.645,0.645,running_back
D.J. Hayden,Jaguars,19,6.333,defensive_back
D.J. Jones,49ers,2.548,0.637,defensive_line
D.J. Killings,Raiders,0.495,0.495,defensive_back
D.J. Montgomery,Browns,1.758,0.586,receiver
D.J. Moore,Panthers,11.171,2.793,receiver
D.J. Reader,Texans,3.87,0.968,defensive_line
D.J. Reed,49ers,2.771,0.693,defensive_back
D.K. Metcalf,Seahawks,4.586,1.147,receiver
Da'Ron Payne,Redskins,14.418,3.605,defensive_line
Da'Shawn Hand,Lions,3.142,0.785,defensive_line
DaeSean Hamilton,Broncos,3.143,0.786,receiver
Daeshon Hall,Eagles,1.935,0.645,defensive_line
Dak Prescott,Cowboys,2.723,0.681,quarterback
Dakota Dozier,Vikings,0.895,0.895,offensive_line
Dallas Goedert,Eagles,5.624,1.406,tight_end
Dallin Leavitt,Raiders,0.975,0.488,defensive_back
Dalton Risner,Broncos,7.142,1.786,offensive_line
Dalton Schultz,Cowboys,2.912,0.728,tight_end
Dalvin Cook,Vikings,6.353,1.588,running_back
Dalvin Tomlinson,Giants,4.572,1.143,defensive_line
Damarious Randall,Browns,7.916,1.979,defensive_back
Damien Harris,Patriots,3.631,0.908,running_back
Damien Williams,Chiefs,5.1,2.55,running_back
Damien Wilson,Chiefs,5.835,2.918,linebacker
Damiere Byrd,Cardinals,0.72,0.72,receiver
Damion Ratley,Browns,2.654,0.663,receiver
Damion Square,Chargers,2,2,defensive_line
Damon Harrison,Lions,11.25,11.25,defensive_line
Damontae Kazee,Falcons,2.689,0.672,defensive_back
Dan Arnold,Saints,1.23,0.615,receiver
Dan Bailey,Vikings,1,1,kicker
Dan Feeney,Chargers,3.732,0.933,offensive_line
Dan Skipper,Texans,1.08,0.54,offensive_line
Dan Vitale,Packers,1.35,0.675,running_back
Dane Cruikshank,Titans,2.748,0.687,defensive_back
Daniel Brown,Jets,0.895,0.895,tight_end
Daniel Brunskill,49ers,0.495,0.495,offensive_line
Daniel Carlson,Raiders,0.57,0.57,kicker
Daniel Ekuale,Browns,1.08,0.54,defensive_line
Daniel Jones,Giants,25.664,6.416,quarterback
Daniel Kilgore,Dolphins,11.75,3.925,offensive_line
Daniel McCullers,Steelers,2.75,1.375,defensive_line
Daniel Ross,Cowboys,0.645,0.645,defensive_line
Daniel Sorensen,Chiefs,16,4,defensive_back
Danielle Hunter,Vikings,72,14.4,defensive_line
Danny Amendola,Lions,4.5,4.5,receiver
Danny Isidora,Dolphins,2.602,0.65,offensive_line
Danny Johnson,Redskins,1.72,0.573,defensive_back
Danny Shelton,Patriots,1.03,1.03,defensive_line
Danny Trevathan,Bears,28,7,linebacker
"Dante Fowler, Jr.",Rams,12,12,linebacker
Dante Pettis,49ers,6.401,1.6,receiver
DaQuan Jones,Titans,21,7,defensive_line
Dare Ogunbowale,Buccaneers,1.08,0.54,running_back
Daren Bates,Titans,6,2,linebacker
Darian Stewart,Buccaneers,0.93,0.93,defensive_back
Darian Thompson,Cowboys,0.72,0.72,defensive_back
Darious Williams,Rams,1.718,0.573,defensive_back
Darius Harris,Chiefs,1.765,0.588,linebacker
Darius Kilgo,Lions,0.72,0.72,defensive_line
Darius Leonard,Colts,7.248,1.812,linebacker
Darius Phillips,Bengals,2.678,0.669,defensive_back
Darius Slay,Lions,48,12,defensive_back
Darius Slayton,Giants,2.755,0.689,receiver
Darnell Savage Jr.,Packers,12.518,3.129,defensive_back
Darqueze Dennard,Bengals,4.5,4.5,defensive_back
Darrel Williams,Chiefs,1.725,0.575,running_back
Darrell Daniels,Cardinals,1.38,0.69,tight_end
Darrell Henderson,Rams,4.212,1.053,running_back
Darren Fells,Texans,1.5,1.5,tight_end
Darren Sproles,Eagles,1.33,1.33,running_back
Darron Lee,Chiefs,10.222,2.555,linebacker
Darryl Johnson Jr.,Bills,2.618,0.655,defensive_line
Darryl Roberts,Jets,18,6,defensive_back
Darwin Thompson,Chiefs,2.677,0.669,running_back
Daryl Williams,Panthers,6,6,offensive_line
Daryl Worley,Raiders,3.095,3.095,defensive_back
Daurice Fountain,Colts,1.05,0.525,receiver
Davante Adams,Packers,58,14.5,receiver
David Andrews,Patriots,9,3,offensive_line
David Bakhtiari,Packers,48,12,offensive_line
David Blough,Lions,1.775,0.592,quarterback
David DeCastro,Steelers,50,10,offensive_line
David Edwards,Rams,2.785,0.696,offensive_line
David Fales,Jets,0.805,0.805,quarterback
David Fluellen,Titans,0.72,0.72,running_back
David Johnson,Cardinals,39,13,running_back
David Long,Rams,3.801,0.95,defensive_back
David Long Jr.,Titans,2.69,0.673,linebacker
David Mayo,Giants,0.805,0.805,linebacker
David Montgomery,Bears,4.015,1.004,running_back
David Moore,Seahawks,0.645,0.645,receiver
David Morgan,Vikings,2.475,0.619,tight_end
David Njoku,Browns,9.525,2.381,tight_end
David Onyemata,Saints,2.882,0.721,defensive_line
David Sharpe,Raiders,1.2,0.6,offensive_line
David Steinmetz,Texans,1.08,0.54,offensive_line
David Wells,Chiefs,0.495,0.495,tight_end
Davion Davis,Vikings,1.08,0.54,receiver
