School,Minority,Sex,SES,MathAch
77,Yes,Male,0.292,16.449
77,No,Female,-1.218,2.881
77,No,Female,0.492,20.93
77,No,Male,1.152,22.086
77,No,Female,-0.758,7.653
77,No,Female,-0.298,8.082
77,No,Female,-0.478,5.503
77,No,Female,0.192,9.004
77,No,Male,-0.738,12.063
126,No,Male,0.812,12.907
126,No,Male,1.332,18.496
126,No,Male,-0.338,20.323
126,No,Male,1.082,22.682
126,No,Male,0.542,14.198
126,No,Male,0.382,24.044
126,No,Male,0.592,19.571
126,No,Male,0.852,22.183
126,No,Male,-0.368,16.676
126,No,Male,1.022,23.327
126,No,Male,0.712,16.394
126,No,Male,0.272,23.032
126,No,Male,1.182,18.586
126,No,Male,-0.588,15.246
126,No,Male,1.282,20.731
126,No,Male,0.942,20.447
126,No,Male,1.512,23.572
126,No,Male,0.222,17.571
126,No,Male,0.992,24.993
126,No,Male,1.362,24.421
126,No,Male,0.482,11.478
126,No,Male,1.292,24.812
126,No,Male,1.072,22.093
126,No,Male,0.562,18.716
126,No,Male,-0.218,23.392
126,No,Male,1.512,15.992
126,No,Male,0.772,13.254
126,No,Male,0.952,24.812
126,No,Male,1.392,22.086
126,Yes,Male,1.002,24.479
126,No,Male,0.932,16.724
126,No,Male,-0.458,20.628
126,No,Male,-0.198,14.544
126,No,Male,0.952,19.033
126,No,Male,1.072,18.727
127,No,Male,0.222,24.133
127,No,Male,-0.078,18.77
127,No,Male,1.512,21.803
127,No,Male,0.212,9.561
127,No,Female,0.792,15.132
127,No,Female,1.342,22.387
127,No,Male,0.242,22.578
127,No,Male,-0.298,18.763
127,No,Male,-1.038,18.301
127,No,Male,0.682,15.879
127,No,Male,0.802,20.424
127,No,Male,0.952,23.072
127,No,Female,1.002,13.12
127,No,Male,1.142,18.844
127,No,Female,0.482,17.495
127,No,Female,1.512,15.615
127,No,Female,0.242,11.001
127,No,Female,1.222,17.103
127,No,Female,-0.298,21.56
127,No,Male,-0.338,19.419
127,No,Female,1.042,18.471
127,No,Male,0.672,22.868
127,No,Male,0.732,14.138
127,No,Male,0.822,23.271
127,No,Male,0.362,13.472
127,No,Male,-0.318,17.465
127,No,Male,0.682,16.038
127,No,Male,0.712,22.455
127,No,Male,0.542,18.984
127,No,Male,0.252,12.535
127,No,Female,0.482,16.568
127,No,Male,-0.028,22.592
127,No,Male,0.252,16.886
127,No,Male,0.702,22.985
127,No,Female,0.212,6.798
127,No,Female,0.342,5.51
127,No,Male,1.342,24.479
127,No,Female,1.512,18.827
127,No,Female,1.212,20.268
127,No,Male,1.122,24.993
127,No,Male,0.272,15.06
127,No,Female,0.782,20.818
127,No,Male,-0.018,18.33
127,No,Male,0.772,18.14
128,No,Female,0.042,12.962
128,No,Female,1.282,24.545
128,No,Female,1.122,13.314
128,No,Female,1.172,16.929
128,No,Female,-1.108,3.796
128,No,Female,0.822,14.581
128,No,Female,0.482,18.719
128,No,Female,0.902,12.595
128,No,Female,1.022,17.326
128,No,Female,0.602,15.918
128,No,Male,1.272,23.088
128,No,Male,1.352,18.259
128,No,Male,1.422,23.517
128,No,Male,-0.108,14.157
128,No,Male,-0.358,17.999
128,No,Female,1.202,18.858
128,No,Male,-0.778,22.183
128,No,Female,1.102,24.993
128,No,Female,1.012,20.928
128,No,Male,1.262,22.461
128,No,Male,1.392,18.322
128,No,Female,-0.258,2.895
128,No,Male,0.932,21.007
128,No,Male,1.062,18.471
128,No,Male,1.212,24.48
128,No,Female,0.982,18.471
128,No,Female,0.462,18.831
128,No,Female,0.532,18.114
128,No,Male,1.062,22.685
128,No,Male,0.172,-0.338
128,No,Female,0.492,21.09
128,Yes,Male,-0.668,-2.832
128,No,Female,1.262,17.483
67,Yes,Male,0.162,1.967
67,Yes,Male,-0.758,7.718
67,Yes,Male,-0.708,19.043
67,Yes,Male,-0.818,20.133
67,Yes,Male,-1.918,22.289
67,Yes,Male,-0.948,14.277
67,Yes,Male,-0.798,10.189
67,Yes,Male,-1.458,9.607
67,Yes,Male,-0.158,6.125
67,Yes,Male,-0.378,23.818
67,Yes,Male,-1.068,6.34
67,Yes,Male,-0.808,9.437
67,Yes,Male,-1.648,8.168
67,Yes,Male,-0.288,4.31
67,Yes,Male,-0.328,6.986
67,Yes,Male,-0.498,21.452
67,Yes,Male,-0.158,9.167
67,Yes,Male,-0.728,9.625
67,Yes,Male,-0.948,0.722
67,Yes,Male,-0.728,3.115
67,Yes,Male,-1.508,23.066
67,Yes,Male,-0.088,4.518
67,Yes,Male,-0.638,5.337
67,Yes,Male,-0.358,4.103
67,Yes,Male,-0.658,15.794
67,Yes,Male,-0.958,1.975
67,Yes,Male,-1.208,2.693
67,Yes,Male,-0.378,13.809
67,Yes,Male,-0.918,7.964
67,Yes,Male,0.222,2.142
67,Yes,Male,0.312,6.035
67,Yes,Male,-0.488,17.996
67,No,Male,0.302,20.792
67,Yes,Male,-0.868,9.909
67,Yes,Male,-0.708,5.189
67,Yes,Male,-1.178,7.772
67,Yes,Male,-0.498,12.074
67,Yes,Male,0.032,15.103
67,Yes,Male,-1.318,11.252
67,Yes,Male,-1.948,1.283
67,Yes,Male,-0.738,16.975
67,Yes,Male,-0.558,8.762
67,Yes,Male,-0.518,6.789
67,Yes,Male,-1.098,12.283
67,Yes,Male,-0.778,11.479
67,Yes,Male,-1.068,9.071
67,Yes,Male,-0.388,9.474
67,Yes,Male,0.222,12.089
67,Yes,Male,0.112,16.534
67,Yes,Male,-0.528,6.331
67,Yes,Male,-0.398,10.386
67,Yes,Male,-0.358,8.163
67,Yes,Male,-0.598,18.801
67,Yes,Male,-1.708,22.581
67,Yes,Male,-0.268,16.095
67,Yes,Male,-2.058,5.321
67,Yes,Male,0.402,3.819
120,No,Female,-0.178,14.15
120,No,Male,-0.108,3.976
120,No,Male,0.262,3.846
120,Yes,Male,-0.358,5.238
120,No,Female,0.982,9.349
120,No,Female,0.462,23.765
120,No,Male,-0.208,22.84
120,No,Male,0.812,1.606
120,No,Female,-0.388,19.269
120,No,Male,0.282,17.191
120,No,Male,0.012,16.288
120,No,Male,0.392,7.106
120,No,Male,-1.068,20.714
120,No,Male,0.662,18.171
120,No,Female,0.002,21.951
120,No,Male,-0.388,-2.832
120,No,Male,1.222,20.246
120,Yes,Female,-0.368,21.75
120,No,Female,-0.588,16.337
120,No,Female,0.642,16.061
120,No,Female,0.892,11.724
120,No,Female,1.152,19.401
120,No,Female,-0.518,2.186
120,No,Female,0.002,23.204
120,No,Male,0.202,12.755
120,No,Male,1.512,14.076
120,No,Male,-0.238,22.493
120,No,Male,0.022,22.714
120,No,Male,0.562,11.031
120,No,Female,-0.658,18.777
120,No,Male,0.352,24.107
120,No,Female,0.702,23.004
120,Yes,Male,-0.588,8.136
120,No,Female,0.152,10.714
120,No,Female,-0.218,12.59
120,No,Male,0.932,14.732
120,No,Female,1.312,22.396
120,No,Male,0.352,16.304
120,No,Male,-0.748,16.19
120,No,Female,0.652,7.275
120,No,Female,0.652,14.809
120,No,Male,0.042,-0.203
120,No,Male,-0.808,17.967
120,No,Male,1.342,24.247
120,No,Female,1.512,6.946
120,No,Male,0.492,17.791
120,No,Female,0.152,8.856
120,No,Male,-0.818,10.349
120,No,Female,-0.918,9.44
120,No,Female,1.072,4.999
120,No,Female,0.252,7.873
120,No,Male,-0.548,17.007
120,No,Male,0.072,16.262
120,No,Female,-1.408,0.466
120,No,Male,0.052,18.887
120,No,Male,-0.118,24.812
120,No,Male,1.212,15.245
120,No,Female,-0.268,14.958
120,No,Male,-0.248,12.508
120,No,Male,0.632,21.853
120,No,Female,-0.158,20.844
120,No,Female,-0.208,5.418
55,No,Female,-0.678,5.608
55,No,Female,-0.158,18.352
55,No,Female,-0.468,5.949
55,Yes,Female,-0.148,-1.462
55,Yes,Female,-0.928,4.087
55,No,Female,-0.218,10.258
55,No,Male,0.662,21.791
55,No,Male,-0.228,1.365
55,No,Female,-0.368,1.73
55,Yes,Female,0.342,5.093
55,No,Male,0.692,17.572
55,Yes,Male,-0.898,11.211
55,Yes,Female,-0.578,6.018
55,No,Female,-1.178,6.394
55,Yes,Male,-1.608,14.681
55,Yes,Male,-1.048,11.868
55,Yes,Female,0.382,2.404
55,No,Female,-0.958,2.042
55,Yes,Female,0.432,11.685
55,Yes,Male,-1.808,-0.818
55,Yes,Female,-1.068,6.718
55,No,Female,-0.008,13.72
55,No,Male,0.222,21.907
55,No,Female,-0.498,-2.195
55,No,Female,-0.258,8.519
55,Yes,Female,-1.788,1.679
55,No,Female,-0.648,-1.744
55,No,Female,-0.178,6.795
55,Yes,Female,-1.078,4.179
55,No,Male,-0.398,7.709
55,No,Female,0.832,5.35
55,Yes,Female,-0.678,0.259
55,Yes,Male,-0.348,7.983
55,No,Male,0.192,9.901
55,Yes,Female,-1.468,2.497
55,No,Female,0.362,23.542
55,Yes,Female,-0.328,13.571
55,No,Female,-0.148,21.421
55,No,Female,-0.938,3.676
55,Yes,Male,-0.018,4.856
55,No,Female,0.842,14.056
55,Yes,Male,-1.598,1.67
55,No,Male,-0.218,8.401
55,Yes,Male,-1.068,10.964
55,No,Male,-0.628,11.955
55,Yes,Female,-1.068,1.647
55,No,Female,-1.118,4.267
55,No,Male,-0.228,5.376
55,No,Male,0.282,6.672
55,Yes,Female,-1.818,8.532
55,No,Female,0.542,5.681
55,Yes,Male,-1.718,2.727
55,No,Male,0.102,7.88
129,No,Male,-0.158,4.213
129,Yes,Male,-0.658,10.524
129,No,Male,0.622,5.571
129,Yes,Female,-1.748,4.062
129,No,Male,0.232,9.826
129,Yes,Female,-0.368,-0.538
129,Yes,Female,-0.388,7.032
129,Yes,Male,-1.238,-1.437
129,No,Male,-0.968,3.77
129,Yes,Female,-0.498,6.689
129,Yes,Female,-0.028,-2.832
129,Yes,Male,-1.688,1.74
129,Yes,Female,-0.648,4.814
129,Yes,Female,-0.688,7.723
129,Yes,Female,-1.408,3.595
129,No,Male,0.742,24.993
129,Yes,Male,-1.948,17.621
129,No,Female,-0.688,18.052
129,Yes,Female,-1.518,7.138
129,Yes,Female,-0.758,2.202
129,No,Female,-1.278,6.065
129,Yes,Female,-1.548,11.613
129,Yes,Female,-0.708,-1.211
129,Yes,Female,0.242,14.536
129,Yes,Male,-1.748,-2.374
129,No,Female,0.362,20.394
129,Yes,Male,-0.568,5.87
100,Yes,Female,0.132,14.449
100,No,Female,0.382,20.455
100,No,Female,1.082,22.826
100,No,Female,-0.538,16.801
100,Yes,Female,0.992,9.995
100,No,Female,-0.588,23.482
100,No,Male,0.822,17.985
100,No,Male,0.702,14.63
100,No,Male,1.012,16.667
100,No,Male,0.602,14.171
100,No,Female,-0.298,20.115
100,No,Female,-0.518,4.805
100,No,Male,0.592,22.107
100,No,Female,0.382,21.122
100,No,Female,0.152,10.484
100,No,Female,-0.088,21.028
100,No,Male,0.202,24.457
100,No,Male,-0.278,0.901
100,Yes,Male,-0.508,13.83
100,No,Male,1.512,23.345
100,No,Male,1.122,22.222
100,No,Male,1.512,7.865
100,No,Female,-0.068,14.798
100,No,Female,0.462,11.586
100,No,Female,0.362,7.297
100,No,Male,1.082,21.556
100,No,Female,1.512,18.386
100,No,Male,0.802,23.062
100,No,Male,0.272,12.15
100,No,Male,1.152,24.247
100,No,Female,1.122,18.531
100,No,Male,-0.138,4.94
100,No,Female,0.292,7.663
100,No,Male,0.272,16.426
100,No,Female,-0.138,24.479
100,No,Male,1.292,22.59
100,No,Male,1.422,18.189
100,No,Male,0.952,15.602
100,Yes,Male,0.002,11.04
100,No,Female,0.532,12.916
100,No,Female,1.512,6.992
100,No,Female,1.012,24.479
100,No,Male,-0.378,8.609
100,No,Female,0.632,12.152
100,No,Female,0.892,21.572
100,No,Female,1.292,17.926
100,Yes,Male,0.282,-1.603
100,No,Male,0.102,23.231
100,No,Female,1.012,10.257
100,No,Female,-0.048,20.194
100,No,Female,1.012,16.312
100,No,Male,0.412,17.127
100,No,Male,-0.188,20.66
74,No,Male,0.482,12.165
74,No,Female,0.272,18.478
74,No,Female,-1.288,7.892
74,No,Male,0.762,8.645
74,No,Female,0.642,17.342
74,No,Male,1.172,8.357
74,No,Female,0.182,13.907
74,No,Male,0.972,23.096
74,No,Male,-0.028,7.539
74,No,Male,1.022,23.286
74,No,Female,0.892,14.593
74,No,Male,-0.018,22.053
74,No,Male,-0.478,12.5
74,No,Male,1.512,23.93
74,No,Female,-0.138,4.605
74,No,Female,-0.718,15.322
74,No,Male,-0.738,5.69
74,No,Female,-0.148,18.638
74,No,Female,0.892,17.06
74,No,Male,0.532,19.385
74,No,Male,-0.178,17.416
74,No,Male,-0.118,20.664
74,No,Female,0.312,22.585
74,No,Male,-0.258,16
74,No,Male,0.682,7.327
74,No,Male,0.332,12.279
74,No,Male,1.362,8.132
74,No,Female,-0.968,4.967
130,No,Female,0.802,16.387
130,No,Female,1.072,24.993
130,No,Female,0.702,21.084
130,Yes,Male,0.922,22.337
130,No,Male,1.372,12.398
130,No,Male,0.412,24.041
130,No,Male,1.162,23.856
130,No,Male,-0.568,20.514
130,No,Female,1.282,23.023
130,No,Female,0.052,11.015
130,No,Male,0.552,15.63
130,No,Female,1.052,23.613
130,No,Female,1.192,16.903
130,No,Male,0.312,13.926
130,No,Male,1.152,17.344
130,No,Female,0.212,20.979
130,No,Male,0.902,11.204
130,No,Male,1.032,22.116
130,No,Female,0.002,9.468
130,No,Female,0.132,18.211
130,No,Male,-0.298,22.681
130,No,Female,0.442,21.991
130,No,Female,0.642,14.13
130,No,Female,1.242,20.088
130,No,Male,1.192,24.479
130,No,Female,0.442,22.288
130,No,Female,1.512,3.209
130,No,Female,0.532,14.702
130,No,Male,0.322,12.606
131,No,Male,1.002,24.993
131,No,Female,-0.308,9.154
131,No,Male,1.312,19.017
131,No,Male,0.882,21.062
131,No,Male,0.012,18.04
131,Yes,Male,1.382,11.075
131,No,Male,-0.278,7.84
131,No,Male,0.462,22.326
131,No,Female,0.052,1.755
131,Yes,Female,-1.068,7.341
131,No,Female,0.762,23.834
131,No,Male,0.462,4.784
131,No,Male,0.102,8.755
131,No,Female,0.172,7.833
131,No,Female,0.062,11.71
131,No,Male,0.492,22.986
131,No,Female,-0.758,16.863
131,No,Female,0.632,2.913
131,Yes,Male,-1.058,21.883
131,No,Female,-0.648,6.358
131,No,Female,-0.118,7.938
131,No,Female,-1.378,7.937
131,No,Female,0.492,22.254
131,No,Male,-1.248,8.375
131,Yes,Male,0.402,18.362
131,No,Female,0.312,12.624
131,No,Female,-0.588,14.393
131,No,Male,-0.008,19.117
131,No,Male,0.012,22.354
131,No,Female,-0.458,17.672
131,No,Female,-1.398,3.605
131,No,Female,-0.128,7.778
131,No,Male,0.792,14.635
131,No,Female,-0.248,10.79
131,No,Male,-0.158,6.149
131,No,Female,-0.138,4.468
131,No,Female,-0.318,3.209
131,No,Male,0.802,11.625
131,No,Male,-0.138,19.622
93,Yes,Male,0.382,16.028
93,No,Male,0.862,12.927
93,No,Female,0.072,9.733
93,No,Female,0.782,20.932
93,No,Female,1.512,7.054
93,No,Male,1.022,4.461
93,No,Male,1.182,18.399
93,No,Male,1.202,15.332
93,No,Male,-0.218,11.536
93,No,Male,0.402,15.893
93,No,Male,-0.458,5.912
93,No,Female,0.552,23.108
93,No,Male,0.932,5.129
93,No,Female,-0.828,9.32
93,No,Male,-0.918,8.255
93,No,Female,-0.118,4.756
93,No,Female,0.972,9.184
93,No,Male,-0.878,6.21
93,No,Male,0.472,14.699
93,No,Male,1.512,15.463
93,No,Female,-0.188,2.796
93,No,Female,-0.538,15.564
93,No,Male,-0.538,13.452
93,No,Female,0.712,16.257
93,No,Male,0.172,19.887
93,No,Female,-1.178,11.883
93,Yes,Male,0.172,2.731
93,No,Male,0.982,4.696
93,No,Female,1.142,1.227
93,No,Male,0.702,15.608
93,No,Male,1.072,24.297
93,No,Female,1.042,2.625
93,No,Male,0.282,22.167
93,No,Male,-0.648,10.916
93,No,Male,-0.178,5.366
93,No,Male,0.212,9.004
93,No,Female,0.932,13.732
93,No,Female,0.502,19.118
93,No,Male,0.272,23.736
93,Yes,Female,-0.078,4.328
93,No,Female,0.242,6.72
93,No,Female,0.112,12.692
93,No,Male,-0.118,19.624
93,No,Male,1.302,16.604
93,No,Female,0.212,16.569
93,No,Female,0.352,11.47
93,No,Male,0.042,10.275
118,No,Male,0.702,20.633
118,No,Female,0.002,17.075
118,No,Female,-0.318,5.958
118,No,Male,1.022,12.663
118,No,Female,-0.268,13.684
118,No,Female,-0.148,17.699
118,No,Male,1.652,16.658
118,No,Male,1.202,23.449
118,No,Male,0.012,23.822
118,No,Female,-0.478,7.847
118,No,Female,1.392,18.46
118,No,Male,1.122,22.136
118,No,Male,0.842,21.007
118,No,Female,1.152,23.141
118,No,Female,0.202,7.237
118,No,Female,0.662,22.057
118,No,Female,-0.298,4.206
118,No,Male,0.772,17.56
118,No,Female,0.792,12.281
118,No,Female,1.392,17.706
118,No,Female,0.432,20.026
118,No,Female,-0.108,21.744
118,No,Male,0.982,17.163
118,No,Male,0.852,11.373
118,No,Male,-0.188,6.795
118,No,Male,-0.598,23.159
118,No,Female,0.562,14.315
118,No,Female,0.182,3.51
118,No,Female,-0.118,10.983
118,No,Male,0.632,13.021
118,No,Female,-0.438,7.956
118,No,Male,0.202,8.782
118,No,Female,1.002,7.155
118,No,Female,0.572,17.536
118,No,Female,0.182,4.786
118,No,Female,0.482,14.15
118,No,Female,-0.068,19.604
118,No,Male,-0.348,16.841
118,No,Female,-0.908,17.839
118,No,Female,0.772,6.078
118,No,Male,0.702,11.21
118,No,Male,0.932,12.497
118,No,Female,0.932,23.529
118,No,Male,-0.468,18.196
118,No,Female,-0.118,16.353
118,No,Male,0.792,20.628
118,No,Male,0.202,24.707
118,No,Female,0.212,21.009
118,No,Male,0.142,21.89
118,No,Male,0.112,22.16
118,No,Male,-0.368,8.438
118,No,Male,0.782,9.796
118,No,Male,1.182,23.955
118,No,Female,1.122,16.76
118,No,Female,1.202,16.302
118,No,Female,0.682,19.196
118,No,Female,0.802,11.457
118,No,Female,1.032,20.3
118,No,Female,0.242,14.845
118,No,Female,-0.218,2.957
25,Yes,Female,-0.718,3.472
25,Yes,Female,1.762,4.261
25,Yes,Female,-1.258,6.328
25,Yes,Female,-0.678,10.308
25,Yes,Female,-0.708,4.097
25,No,Female,-0.598,10.24
25,Yes,Female,-1.148,8.089
25,No,Female,-0.798,6.932
25,Yes,Female,-1.378,20.906
25,Yes,Female,-0.398,3.522
25,No,Female,-0.548,13.643
25,Yes,Female,-0.948,12.865
25,Yes,Female,-0.138,8.642
25,Yes,Female,-1.198,5.252
25,Yes,Female,-1.008,15.778
25,Yes,Female,-0.858,10.371
25,Yes,Female,-0.468,3.235
25,Yes,Female,-0.678,4.782
25,Yes,Female,-0.188,3.677
25,No,Female,-0.218,18.532
25,Yes,Female,0.502,1.938
25,Yes,Female,-0.208,8.293
25,Yes,Female,-0.768,12.412
25,Yes,Female,-0.988,16.13
25,No,Female,-1.448,2.891
25,Yes,Female,-1.718,6.701
25,Yes,Female,0.052,12.075
25,Yes,Female,-0.178,10.425
25,Yes,Female,-1.308,12.573
25,Yes,Female,-1.648,9.146
25,Yes,Female,-1.058,4.559
25,No,Female,-1.158,2.38
25,Yes,Female,-0.778,8.309
25,Yes,Female,0.582,6.061
25,Yes,Female,-0.428,6.098
25,Yes,Female,-1.458,16.248
25,Yes,Female,-1.178,2.462
25,Yes,Female,-1.498,4.069
25,Yes,Female,-1.278,15.922
25,No,Female,-0.398,18.118
25,Yes,Female,0.562,13.484
25,Yes,Female,-0.528,4.579
25,Yes,Female,-1.438,14.009
25,No,Female,-0.898,-1.722
25,Yes,Female,0.122,4.322
25,No,Female,-1.208,10.92
25,Yes,Female,-1.128,5.081
25,No,Female,0.442,5.449
25,Yes,Female,-1.058,12.725
25,Yes,Female,-0.858,14.231
25,Yes,Female,-1.078,8.338
25,Yes,Female,-1.028,18.592
25,No,Female,-1.328,14.476
