Year  Country	Magnitude
1899	JAPAN	7.1
1899	USA	7
1900	PAPUA_NEW_GUINEA	6.8
1900	PAPUA_NEW_GUINEA	7.5
1900	INDONESIA	7.8
1900	VENEZUELA	8.4
1901	USA	6.7
1901	JAPAN	6
1901	JAPAN	7.5
1901	VANUATU	7.9
1901	JAPAN	7.9
1901	JAPAN	6.1
1901	JAPAN	7.4
1901	PHILIPPINES	7
1901	USA	7.8
1901	USA	7.1
1902	GREECE	6.6
1903	INDONESIA	6.5
1903	USA	8.3
1903	CHILE	6.5
1904	COSTA_RICA	7.9
1904	RUSSIA	8.1
1904	RUSSIA	6.2
1904	NEW_ZEALAND	7.2
1904	PACIFIC_OCEAN	7.2
1905	INDIA	8.6
1905	JAPAN	7.8
1905	JAPAN	7
1905	RUSSIA	5.1
1905	PHILIPPINES	6.5
1906	COLOMBIA	8.9
1906	ECUADOR	8.2
1906	USA	7.8
1906	INDONESIA	7.5
1906	CHILE	8.6
1906	INDONESIA	8
1906	SOLOMON_SEA	8
1906	PERU	7.9
1906	SOLOMON_SEA	7.5
1906	SOLOMON_SEA	7.7
1906	PERU	7.9
1907	INDONESIA	7.6
1907	JAMAICA	6.5
1907	CELEBES_SEA	7.2
1907	MEXICO	8
1907	MEXICO	8
1907	PAPUA_NEW_GUINEA	7.1
1907	SAMOA_ISLANDS	7
1907	USA	5.5
1907	PAPUA_NEW_GUINEA	7.4
1908	INDONESIA	7.5
1908	USA	6
1908	TIMOR_SEA	6.6
1908	USA	6.8
1908	PERU	8.2
1908	ITALY	7.5
1909	JAPAN	6.7
1909	JAPAN	7.5
1909	INDONESIA	7.7
1909	CHILE	7.6
1909	CHILE	7.6
1909	MEXICO	7.8
1909	MEXICO	7.3
1909	JAPAN	6.9
1909	CELEBES_SEA	7.2
1909	GUAM	8.1
1910	PAPUA_NEW_GUINEA	6
1910	INDONESIA	6.7
1910	PHILIPPINES	6.2
1911	GHANA	6.6
1911	JAPAN	8
1911	PHILIPPINES	7.7
1911	CHILE	7.3
1911	USA	6.9
1912	JAPAN	6.6
1912	RUSSIA	6.7
1912	MICRONESIA,_FED._STATES_OF	6.9
1912	MICRONESIA,_FED._STATES_OF	7
1913	TASMAN_SEA	6.8
1913	PHILIPPINES	8.3
1913	PERU	7
1913	PERU	7.9
1913	PAPUA_NEW_GUINEA	7.8
1914	JAPAN	7.1
1914	BOLIVIA	7.2
1914	JAPAN	7.2
1914	INDONESIA	7.9
1914	INDONESIA	7.5
1914	GREECE	6.3
1915	GREECE	6.7
1915	GUATEMALA	7.9
1915	JAPAN	7.5
1915	INDONESIA	6
1915	PHILIPPINES	6.4
1916	PAPUA_NEW_GUINEA	7.9
1916	PANAMA	7.6
1917	INDONESIA	6.5
1917	SOUTH_CHINA_SEA	6.2
1917	RUSSIA	7.6
1917	CELEBES_SEA	6.4
1917	NEW_ZEALAND	8
1917	SOUTH_CHINA_SEA	5.8
1917	TONGA	8.3
1917	SAMOA_ISLANDS	8.3
1917	PAPUA_NEW_GUINEA	7.7
1917	TONGA	7.5
1918	CHINA	7.5
1918	CHILE	7.9
1918	CELEBES_SEA	8.3
1918	RUSSIA	8.2
1918	USA	7.5
1918	RUSSIA	7.8
1918	CHILE	7.8
1919	TONGA	8.3
1919	PHILIPPINES	7.4
1919	TONGA	8.3
1919	PAPUA_NEW_GUINEA	7.7
1919	PAPUA_NEW_GUINEA	7.8
1920	PAPUA_NEW_GUINEA	7.7
1920	CHILE	7
1920	VANUATU	8
1920	ALBANIA	6.3
1920	ALBANIA	5.8
1921	INDONESIA	6.3
1921	INDONESIA	7.5
1921	PHILIPPINES	7.5
1921	PHILIPPINES	7.5
1922	PERU	7.2
1922	PAPUA_NEW_GUINEA	7.5
1922	PHILIPPINES	6.3
1922	PHILIPPINES	6
1922	JAPAN	7.6
1922	CHILE	7
1922	CHILE	8.3
1922	NEW_ZEALAND	6.2
1923	USA	7.2
1923	RUSSIA	8.3
1923	CELEBES_SEA	6.7
1923	INDONESIA	7.2
1923	CELEBES_SEA	7.2
1923	RUSSIA	7.2
1923	CHILE	7
1923	CHILE	7
1923	CHILE	7
1923	JAPAN	7.3
1923	PHILIPPINES	5.5
1923	JAPAN	7.9
1923	JAPAN	7.7
1923	PAPUA_NEW_GUINEA	7.2
1923	PAPUA_NEW_GUINEA	7.2
1924	RUSSIA	7
1924	RUSSIA	7
1924	PHILIPPINES	8.3
1924	PHILIPPINES	8.3
1924	SOUTH_CHINA_SEA	6.9
1924	SOUTH_CHINA_SEA	6.5
1924	AUSTRALIA	7.8
1924	PHILIPPINES	7.2
1924	RUSSIA	5.3
1924	RUSSIA	6.8
1925	USA	6
1925	USA	6
1925	PHILIPPINES	6.8
1925	CHILE	7.1
1925	PHILIPPINES	6.2
1925	USA	7.1
1925	PHILIPPINES	7.2
1925	MEXICO	7
1926	SOLOMON_SEA	7.4
1926	COOK_ISLANDS	6
1926	INDONESIA	6.7
1926	SOLOMON_ISLANDS	7.1
1926	SOLOMON_ISLANDS	7
1926	CHILE	6
1927	USA	5.7
1927	JAPAN	7.5
1927	UKRAINE	6
1927	INDONESIA	6.7
1927	JAPAN	6.9
1927	JAPAN	6.4
1927	UKRAINE	6.5
1927	UKRAINE	6.8
1927	UKRAINE	4.9
1927	USA	7.1
1927	USA	7.3
1927	CHILE	7.1
1927	CELEBES_SEA	6.3
1927	RUSSIA	7.3
1928	CANADA	5.8
1928	MEXICO	7.7
1928	GREECE	6.5
1928	PERU	6.9
1928	GREECE	6.3
1928	GREECE	5.2
1928	PERU	6.7
1928	TURKEY	6.2
1928	JAPAN	7
1928	PHILIPPINES	7
1928	MEXICO	8.1
1928	MEXICO	7.8
1928	PERU	7
1928	INDONESIA	3
1928	CANADA	7.2
1928	CHILE	7.1
1928	CHILE	8.4
1928	CELEBES_SEA	7.3
1929	VENEZUELA	6.9
1929	USA	8.1
1929	JAPAN	7.1
1929	JAPAN	6.8
1929	CANADA	7
1929	PHILIPPINES	7.2
1929	TASMAN_SEA	7.7
1929	CANADA	7.2
1930	INDONESIA	6
1930	INDONESIA	6.5
1930	USA	5.2
1930	PAPUA_NEW_GUINEA	7
1930	PAPUA_NEW_GUINEA	7
1930	PAPUA_NEW_GUINEA	5.8
1930	CHILE	6
1931	NEW_ZEALAND	7.7
1931	NEW_ZEALAND	7.1
1931	JAPAN	7.6
1931	CHILE	7.1
1931	PAPUA_NEW_GUINEA	7.1
1931	INDONESIA	7.5
1931	SOLOMON_ISLANDS	7.9
1931	JAPAN	7.1
1932	CUBA	6.7
1932	MEXICO	8.1
1932	MEXICO	7
1932	MEXICO	7.7
1932	MEXICO	7
1932	INDONESIA	6.2
1932	NEW_ZEALAND	7
1932	GREECE	7
1933	RUSSIA	6
1933	CHILE	7.6
1933	CHILE	7.6
1933	JAPAN	8.3
1933	USA	6.3
1933	JAPAN	7.1
1933	ECUADOR	6.9
1934	INDIA	8.4
1934	PHILIPPINES	7.6
1934	ICELAND	6.2
1934	COSTA_RICA	7.8
1934	VANUATU	8.2
1934	INDONESIA	7
1934	VANUATU	7.3
1934	CHILE	6.9
1935	INDIA	7.5
1935	PHILIPPINES	6.2
1935	JAPAN	6.5
1935	JAPAN	6.9
1935	PAPUA_NEW_GUINEA	7
1935	JAPAN	7.2
1935	JAPAN	7
1935	USA	6.2
1935	INDIA	6.5
1935	INDONESIA	7.9
1936	INDONESIA	7.7
1936	CHILE	7.3
1936	MALAYSIA	7.3
1936	JAPAN	7.7
1936	RUSSIA	7.2
1937	PHILIPPINES	7.5
1937	RUSSIA	5.7
1937	USA	5.8
1937	RUSSIA	5.8
1937	INDONESIA	6
1938	INDONESIA	8.2
1938	CANADA	6.3
1938	PAPUA_NEW_GUINEA	7.5
1938	CHINA	6
1938	INDONESIA	7.6
1938	JAPAN	7.1
1938	JAPAN	6
1938	JAPAN	6.1
1938	JAPAN	7.7
1938	JAPAN	7.7
1938	JAPAN	7.7
1938	JAPAN	7.5
1938	JAPAN	7.6
1938	JAPAN	7.1
1938	JAPAN	6.5
1938	USA	8.3
1938	JAPAN	7
1938	JAPAN	7
1938	JAPAN	6.9
1938	JAPAN	6.9
1938	JAPAN	7
1939	CHILE	8.3
1939	SOLOMON_ISLANDS	7.9
1939	JAPAN	6.6
1939	CHILE	7.4
1939	SOLOMON_ISLANDS	8
1939	JAPAN	7
1939	PHILIPPINES	6.5
1939	GHANA	6.5
1939	INDONESIA	8.6
1939	TURKEY	8
1940	PERU	8.2
1940	JAPAN	7.5
1940	JAPAN	7
1940	CHILE	7.3
1940	CHILE	7
1941	PAPUA_NEW_GUINEA	7
1941	USA	6.6
1941	INDIA	8.1
1941	JAPAN	7.4
1941	COSTA_RICA	7.5
1941	COSTA_RICA	7
1942	COLOMBIA	5.8
1942	PERU	8.6
1943	CHILE	8.3
1943	JAPAN	7.1
1944	JAPAN	8
1944	JAPAN	8.2
1945	JAPAN	7.1
1945	JAPAN	7.3
1945	ARABIAN_SEA	8.3
1946	USA	7.3
1946	CANADA	7.3
1946	DOMINICAN_REPUBLIC	8.1
1946	DOMINICAN_REPUBLIC	7.9
1946	CHILE	7.9
1946	PERU	7
1946	USA	7
1946	JAPAN	8.1
1947	NEW_ZEALAND	6
1947	PAPUA_NEW_GUINEA	7.6
1947	NEW_ZEALAND	5.6
1947	GREECE	7
1947	JAPAN	7.1
1948	PHILIPPINES	8.3
1948	PHILIPPINES	8.2
1948	GREECE	7.1
1948	JAPAN	7.2
1948	GREECE	6.5
1948	MALAYSIA	6.5
1948	TONGA	7.8
1948	MEXICO	6.9
1948	CHILE	7
1949	RUSSIA	5.9
1949	USA	6.9
1949	CHILE	7.3
1949	MALAYSIA	6.7
1949	CANADA	8.1
1949	PHILIPPINES	6
1949	USA	6.7
1949	PAPUA_NEW_GUINEA	7.5
1949	PHILIPPINES	6
1949	CHILE	7.7
1949	PHILIPPINES	7.2
1949	GREECE	6.7
1950	CHILE	7
1950	NEW_ZEALAND	5.8
1950	VENEZUELA	6.8
1950	INDIA	8.7
1950	COSTA_RICA	7.7
1950	INDONESIA	7.6
1950	GUATEMALA	7.1
1950	SOLOMON_SEA	7.2
1950	PERU	7
1950	MEXICO	7.3
1951	USA	6.9
1952	JAPAN	8.1
1952	JAPAN	7
1952	USA	4.5
1952	PHILIPPINES	7.9
1952	COSTA_RICA	6.9
1952	PACIFIC_OCEAN	7.2
1952	RUSSIA	8.2
1953	PERU	5.5
1953	RUSSIA	5.7
1953	RUSSIA	5.8
1953	PAPUA_NEW_GUINEA	7.5
1953	CHILE	7.6
1953	DOMINICAN_REPUBLIC	7.2
1953	FIJI	6.8
1953	JAPAN	7.4
1953	PERU	7.3
1954	JAPAN	6.1
1955	VENEZUELA	5.5
1955	CHILE	7.1
1955	MALAYSIA	7.2
1955	SOLOMON_ISLANDS	6.5
1955	PAPUA_NEW_GUINEA	7.1
1956	CHILE	7.1
1956	JAPAN	6.3
1956	GREECE	7.5
1956	JAPAN	6.5
1956	JAPAN	6.5
1956	GREECE	5.8
1956	CHILE	7
1957	CONGO	6.3
1957	USA	8.3
1957	INDONESIA	7.3
1957	MEXICO	7.9
1957	CHILE	7
1957	INDONESIA	5.5
1957	INDONESIA	6
1958	ECUADOR	7.5
1958	WEST_INDIES	6.8
1958	INDONESIA	6.5
1958	USA	7.9
1958	PACIFIC_OCEAN	6
1958	RUSSIA	8.1
1958	RUSSIA	7
1959	JAPAN	6.8
1959	PERU	7.2
1959	RUSSIA	6
1959	RUSSIA	8
1959	USA	7.1
1959	SOLOMON_ISLANDS	7.2
1959	JAPAN	6.7
1959	RUSSIA	7.2
1960	BOLIVIA	6.2
1960	PERU	7.8
1960	MOROCCO	6.8
1960	JAPAN	7.7
1960	JAPAN	6.7
1960	JAPAN	7.6
1960	CHILE	7.3
1960	CHILE	8.6
1960	CHILE	6.7
1960	SOLOMON_SEA	6.5
1960	JAPAN	6.7
1960	CHILE	7.4
1960	PERU	6.8
1960	PERU	6.8
1961	RUSSIA	7.1
1961	JAPAN	6.8
1961	JAPAN	6.4
1961	JAPAN	6.5
1961	RUSSIA	6.6
1961	JAPAN	7.6
1961	TURKEY	6.5
1961	JAPAN	6.6
1961	VANUATU	7
1961	VANUATU	7
1961	PAPUA_NEW_GUINEA	6.6
1961	JAPAN	7
1961	RUSSIA	7
1961	CHILE	6.5
1961	JAPAN	6.9
1962	COSTA_RICA	6.8
1962	JAPAN	6.8
1962	JAPAN	7
1962	MEXICO	7.2
1962	MEXICO	7.2
1962	RUSSIA	5.7
1962	USA	6.8
1963	GREECE	3
1963	TAIWAN	7.3
1963	RUSSIA	7.3
1963	CANADA	6.1
1963	NEW_ZEALAND	6
1963	RUSSIA	7
1963	PERU	7
1963	RUSSIA	6.3
1963	RUSSIA	8.1
1963	RUSSIA	6.7
1963	INDONESIA	6.5
1963	TONGA	7.2
1964	USA	8.5
1964	INDONESIA	7
1964	MALAYSIA	7
1964	JAPAN	7.1
1964	JAPAN	6.6
1964	JAPAN	7.5
1964	RUSSIA	6.4
1964	PAPUA_NEW_GUINEA	7.6
1964	JAPAN	6.3
1965	INDONESIA	7.6
1965	USA	8.2
1965	CHILE	7
1965	CHILE	6
1965	USA	7.4
1965	JAPAN	6
1965	CELEBES_SEA	7.6
1965	RUSSIA	6.4
1965	USA	7
1965	GREECE	6.9
1965	VANUATU	7
1965	VANUATU	7
1965	MEXICO	7.8
1965	JAPAN	7.2
1965	CHILE	6.5
1966	TAIWAN	7.8
1966	SOLOMON_ISLANDS	7.6
1966	BLACK_SEA	5.8
1966	PERU	8
1966	CHILE	7.8
1967	VANUATU	8.1
1967	RUSSIA	6.5
1967	INDONESIA	5.5
1967	MALAYSIA	7.5
1967	PAPUA_NEW_GUINEA	6.4
1967	PERU	7
1967	CHILE	6.2
1967	CHILE	7.5
1967	CHILE	7.5
1968	RUSSIA	6.9
1968	GREECE	7.1
1968	JAPAN	7.5
1968	JAPAN	7.8
1968	JAPAN	7.9
1968	JAPAN	7
1968	JAPAN	7.2
1968	NEW_ZEALAND	7
1968	PHILIPPINES	7.3
1968	JAPAN	6.5
1968	JAPAN_SEA	6.5
1968	INDONESIA	7.3
1968	INDONESIA	7.8
1968	CELEBES_SEA	7.8
1968	VENEZUELA	6.2
1968	MEXICO	7
1968	BLACK_SEA	6.6
1969	INDONESIA	6.9
1969	PORTUGAL	8
1969	JAPAN	6.5
1969	PAPUA_NEW_GUINEA	6.4
1969	JAPAN	7.8
1969	RUSSIA	7.3
1969	RUSSIA	7.1
1969	WEST_INDIES	7.6
1970	PHILIPPINES	7.3
1970	PHILIPPINES	6.5
1970	PERU	7.6
1970	CHILE	6.6
1970	CHILE	7
1970	JAPAN	6.8
1970	JAPAN	6.7
1970	NEW_ZEALAND	5.1
1970	PHILIPPINES	5.3
1970	PAPUA_NEW_GUINEA	7
1970	PAPUA_NEW_GUINEA	7
1970	CHILE	6
1970	RUSSIA	5.1
1971	USA	7.1
1971	INDONESIA	6.3
1971	CHILE	6.6
1971	PAPUA_NEW_GUINEA	7.9
1971	PAPUA_NEW_GUINEA	7.9
1971	JAPAN	7
1971	RUSSIA	7.1
1971	RUSSIA	7.1
1971	RUSSIA	7.1
1971	RUSSIA	6
1971	PAPUA_NEW_GUINEA	6.3
1971	USA	5.7
1971	RUSSIA	7.8
1972	TAIWAN	7.5
1972	JAPAN	7.4
1972	RUSSIA	7
1972	CHILE	6.6
1972	USA	7.6
1972	USA	7.2
1972	SOLOMON_SEA	7
1972	JAPAN	5.2
1972	PHILIPPINES	7.4
1972	JAPAN	7.2
1972	CHILE	6
1973	MEXICO	7.5
1973	RUSSIA	7.2
1973	RUSSIA	7.4
1973	RUSSIA	7.5
1973	CHILE	6.5
1974	SOLOMON_ISLANDS	7
1974	SOLOMON_ISLANDS	7.4
1974	JAPAN	6.9
1974	CHILE	7
1974	RUSSIA	6.6
1974	PERU	8.1
1974	PERU	8.1
1974	PAKISTAN	6.2
1975	INDONESIA	5.9
1975	INDONESIA	6.5
1975	CHILE	6.7
1975	RUSSIA	7
1975	SOLOMON_ISLANDS	7.8
1975	PHILIPPINES	7.6
1975	USA	7.2
1975	TONGA	7.8
1976	NEW_ZEALAND	7.7
1976	NEW_ZEALAND	8
1976	RUSSIA	6.5
1976	GUATEMALA	7.5
1976	PHILIPPINES	7.8
1976	PHILIPPINES	6.8
1977	TONGA	7.6
1977	SOLOMON_ISLANDS	7.5
1977	SOLOMON_ISLANDS	6.5
1977	TONGA	7.2
1977	INDONESIA	8
1977	PAPUA_NEW_GUINEA	5.5
1977	PAPUA_NEW_GUINEA	5.5
1977	TONGA	7.2
1978	JAPAN	7
1978	RUSSIA	6.5
1978	RUSSIA	7.1
1978	RUSSIA	6.4
1978	RUSSIA	7.1
1978	RUSSIA	7.1
1978	RUSSIA	7
