Serial_Number,Response,Branch,Occupation,Age,Sex,Pleasant_Ambiance,Comfortable_seating_arrangement,Immediate_attenttion,Good_Response_on_Phone,Errors_in_Passbook_entries,Time_to_issue_cheque_book,Time_to_sanction_loan,Time_to_clear_outstation_cheques,Issue_of_clean_currency_notes,Facility_to_pay_bills,Distance_to_residence,Distance_to_workplace,Courteous_staff_behaviour,Enough_parking_place
34,0,B2,3,5,1,9,8,8,8,7,10,8,8,7,8,6,8,10,5
35,0,B2,6,2,2,6,5,6,3,5,5,5,3,3,4,6,5,6,5
36,0,B2,NA,3,1,6,7,6,9,5,7,6,5,5,8,5,8,6,5
37,0,B2,2,4,1,8,10,5,7,7,7,6,7,6,5,8,8,8,6
38,0,B2,2,2,2,5,5,5,7,5,8,5,6,7,6,7,6,5,5
39,0,B2,2,3,NA,6,5,6,6,6,8,4,5,5,6,5,6,7,5
40,0,B2,2,2,1,9,5,5,7,8,8,6,6,6,8,9,8,8,8
41,0,B2,6,3,2,7,4,4,8,9,8,5,4,6,7,9,9,9,8
42,0,B2,1,2,1,7,6,6,5,9,8,4,7,8,7,9,9,9,9
43,0,B2,1,3,1,8,6,7,9,7,9,5,7,8,9,9,8,9,8
44,0,B3,1,3,1,7,6,4,5,7,8,6,6,7,7,8,6,8,8
45,0,B3,3,3,1,6,2,1,8,8,4,2,1,6,8,9,8,8,8
46,0,B3,0,5,1,7,5,5,8,9,8,5,7,9,7,9,9,9,8
47,0,B3,0,4,1,8,6,5,6,7,8,5,5,6,6,7,7,8,6
48,0,B3,3,5,2,7,6,5,6,8,6,7,6,8,7,9,9,8,8
49,0,B3,0,5,1,6,6,4,6,8,8,6,6,6,6,8,6,6,8
50,0,B3,1,4,1,9,8,9,10,8,6,10,10,8,10,9,10,10,10
51,0,B3,6,4,2,9,6,6,7,7,9,4,3,7,8,8,10,9,7
52,0,B3,1,3,1,10,10,9,4,8,10,4,10,7,9,10,10,10,8
53,0,B3,0,5,1,10,8,9,10,10,9,9,10,10,7,9,10,9,7
54,0,B3,0,5,2,8,4,3,6,8,8,5,4,8,7,9,9,9,9
55,0,B3,0,5,1,9,10,8,10,10,10,9,8,10,0,7,10,9,-1
56,0,B3,2,2,2,7,7,10,10,9,8,9,9,8,7,8,9,8,7
57,0,B3,6,4,2,7,6,10,7,7,10,10,8,10,10,8,6,5,8
58,0,B3,2,3,1,8,6,4,6,8,8,6,6,8,8,5,8,7,8
59,0,B3,1,4,1,8,7,4,9,8,7,6,6,8,7,8,8,9,8
60,0,B3,1,3,1,6,8,7,8,7,5,8,6,6,5,10,10,9,9
61,0,B3,1,2,2,8,9,10,8,7,7,9,8,6,5,9,10,8,9
62,0,B3,0,5,2,5,3,5,2,6,0,0,3,5,8,8,7,4,7
63,0,B3,2,2,1,10,5,7,8,6,7,7,8,10,8,10,10,10,9
64,0,B3,1,4,1,9,8,10,10,10,8,9,7,6,7,9,8,9,10
65,0,B4,3,4,1,10,7,10,8,8,9,7,8,8,9,10,10,9,10
66,0,B4,3,5,1,9,8,10,10,8,7,10,10,5,8,10,9,10,5
67,0,B4,3,5,2,8,7,7,8,8,4,8,7,5,6,7,7,7,6
68,0,B4,0,5,1,10,10,8,8,10,8,10,10,8,9,9,8,5,10
69,0,B4,1,5,1,9,3,8,5,6,8,6,6,7,6,7,8,8,8
70,0,B4,3,4,1,8,5,5,6,7,8,5,6,7,7,8,8,8,7
71,0,B4,2,4,1,6,5,7,5,7,9,6,7,8,7,8,8,8,8
72,0,B4,6,4,2,8,5,6,5,8,5,6,8,6,8,9,9,9,9
73,0,B4,0,4,2,6,8,6,8,10,5,8,6,8,9,6,5,8,6
74,0,B4,2,3,1,7,8,9,6,5,8,7,7,9,6,10,10,6,9
75,0,B4,1,4,1,7,6,5,6,7,8,7,7,7,8,8,9,8,8
76,0,B4,2,3,1,9,7,6,6,8,9,6,8,7,7,8,9,9,8
77,0,B4,0,2,2,7,7,4,6,8,8,5,8,8,9,8,8,8,8
78,0,B4,2,3,2,8,5,5,6,9,8,5,8,8,8,9,7,8,8
79,0,B4,6,4,2,8,6,5,6,8,8,5,8,8,8,8,9,8,7
80,0,B4,1,3,1,9,8,6,9,7,8,8,9,8,9,10,10,7,7
81,0,B4,1,5,1,8,9,7,7,6,7,5,7,5,8,10,10,9,8
82,0,B4,1,2,1,7,7,8,7,5,8,6,6,6,7,9,10,7,8
83,0,B4,2,2,1,6,9,10,8,6,7,5,7,7,6,10,10,9,9
84,0,B5,0,4,NA,6,4,5,8,6,8,8,7,5,4,9,10,7,8
85,0,B5,3,2,1,6,6,5,8,7,9,8,6,9,7,-1,10,9,2
86,0,B5,6,3,2,7,8,7,8,7,8,6,6,8,6,7,10,8,7
87,0,B5,0,5,1,6,5,4,6,10,8,5,6,7,8,10,5,10,10
88,0,B5,5,4,1,5,2,9,10,5,7,2,6,2,5,2,9,8,6
89,0,B5,6,4,2,10,10,8,8,8,4,6,3,10,8,8,10,7,3
90,0,B5,6,3,2,5,5,6,6,5,5,5,5,5,6,6,6,6,5
91,0,B5,4,2,1,7,6,7,8,5,6,8,8,6,6,7,8,7,-1
92,0,B5,4,1,2,10,10,10,8,8,8,10,8,8,8,8,8,10,10
93,0,B5,1,5,1,6,5,5,7,8,8,6,5,6,6,7,5,7,6
94,0,B5,0,5,1,7,7,6,8,4,6,6,6,7,6,7,7,8,7
95,0,B5,6,2,2,9,2,7,8,8,10,5,1,3,7,3,10,10,5
96,0,B5,2,4,1,5,5,6,4,6,4,4,5,2,6,5,7,4,3
97,0,B5,0,2,1,7,1,8,8,8,8,9,7,7,8,8,7,8,8
98,0,B5,3,3,1,8,7,10,4,10,8,9,8,8,10,10,9,9,10
99,0,B5,1,4,2,10,9,7,8,5,5,3,9,7,3,9,10,9,10
100,0,B5,0,4,1,6,5,6,5,6,6,7,7,6,6,6,6,6,-1
101,0,B5,0,4,2,6,5,7,6,5,5,5,6,4,4,5,5,5,-1
102,0,B5,0,5,1,7,5,6,5,6,5,6,5,6,6,6,6,6,-1
103,0,B5,0,3,2,5,6,5,5,5,5,4,5,5,5,7,5,5,-1
104,0,B6,2,4,1,5,5,4,6,6,5,4,4,6,5,7,5,7,5
105,0,B6,6,4,2,9,9,9,9,6,9,6,9,9,9,7,9,9,9
106,0,B6,6,4,2,8,7,7,8,7,7,5,7,7,8,7,7,8,7
107,0,B6,3,4,1,9,8,7,7,8,10,2,-1,-1,-1,9,5,-1,5
108,0,B6,3,4,1,8,7,6,8,8,7,6,6,6,7,7,7,8,7
109,0,B6,3,4,1,7,8,7,7,6,7,8,9,6,7,9,8,7,6
110,0,B6,3,4,1,5,7,7,2,5,3,5,5,5,3,7,7,7,5
111,0,B6,1,3,1,5,7,7,10,7,8,7,8,7,7,7,7,9,8
112,0,B6,2,5,1,6,8,7,4,7,5,5,6,7,6,6,6,8,8
113,0,B6,3,4,2,7,7,6,6,5,6,5,5,6,-1,7,7,7,6
114,0,B6,3,2,2,5,5,4,6,6,5,4,4,5,-1,6,6,6,5
115,0,B6,0,5,1,5,6,3,8,10,8,5,8,8,4,10,10,10,9
116,0,B6,0,5,1,5,6,8,7,8,7,7,6,6,7,6,7,8,6
117,0,B6,1,4,1,7,6,8,7,7,7,7,6,6,7,7,7,8,7
118,0,B6,6,4,2,8,3,5,4,10,9,5,8,5,8,10,6,10,7
119,0,B6,1,2,1,10,10,8,6,10,8,7,10,8,10,10,10,10,9
120,0,B6,6,2,2,2,6,6,9,10,7,8,7,7,10,10,9,5,8
121,0,B6,6,3,2,8,8,8,9,5,9,9,5,8,9,9,8,9,5
122,0,B6,6,4,2,8,8,5,5,8,8,5,8,8,5,8,8,5,8
123,0,B6,1,5,1,8,8,8,9,5,9,9,5,8,9,9,8,9,5
124,0,B7,3,4,2,8,5,6,8,8,8,6,8,8,7,7,7,7,8
125,0,B7,1,4,2,6,6,5,6,6,6,6,6,5,6,7,7,7,5
126,0,B7,6,3,2,6,6,6,6,6,6,6,6,-1,-1,-1,-1,7,7
127,0,B7,0,2,1,5,5,4,6,6,6,5,5,6,6,6,6,6,5
128,0,B7,6,3,2,7,6,8,7,7,6,5,7,6,5,8,7,6,-1
129,0,B7,3,4,1,6,7,6,8,7,6,3,5,6,5,7,5,6,5
130,0,B7,6,3,2,7,6,7,8,6,7,6,8,8,7,9,8,7,8
131,0,B7,6,2,2,7,9,7,9,6,8,6,7,5,7,8,7,9,9
132,0,B7,0,1,1,4,2,5,6,9,7,3,6,6,5,9,8,8,9
133,0,B7,6,4,2,5,7,9,8,4,7,6,4,4,8,8,9,8,4
134,0,B7,6,2,2,8,5,6,7,4,-1,3,6,4,3,6,4,7,-1
135,0,B7,2,3,1,8,5,6,8,6,4,5,3,5,8,9,7,4,7
136,0,B7,6,4,2,8,8,6,7,8,6,8,8,8,7,7,8,6,7
137,0,B7,6,3,2,6,7,7,6,8,6,4,6,6,7,6,5,9,6
138,0,B7,2,3,1,7,6,8,9,5,9,6,8,8,5,7,6,5,4
139,0,B7,2,3,1,5,6,9,8,5,9,8,6,8,7,10,7,10,9
140,0,B7,6,3,2,4,5,8,9,7,7,6,8,7,6,6,6,5,6
141,0,B7,2,2,1,8,8,10,10,10,8,10,8,7,8,8,9,8,8
142,0,B7,6,3,2,6,7,7,7,7,9,7,7,6,8,8,7,10,6
143,0,B7,3,3,1,6,5,6,7,5,7,6,7,7,6,8,7,8,7
144,0,B7,1,3,1,7,6,7,7,6,7,7,6,6,6,9,8,8,7
145,0,B7,6,4,2,7,8,9,8,7,6,4,3,6,9,10,7,9,8
146,0,B7,0,5,1,4,2,4,8,6,6,2,2,3,5,9,7,9,7
147,0,B7,1,4,1,5,8,5,9,5,3,5,7,5,5,10,8,10,10
148,0,B8,0,5,1,5,7,6,5,8,8,6,6,7,7,7,7,7,8
149,0,B8,1,5,1,6,7,8,7,7,8,7,7,8,7,7,6,8,8
150,0,B8,0,5,1,7,7,8,8,7,8,7,6,8,5,8,7,8,-1
151,0,B8,2,4,1,6,5,5,6,7,6,4,5,6,7,6,8,6,6
152,0,B8,1,4,1,4,2,8,9,5,7,4,2,6,5,9,4,4,5
153,0,B8,1,4,1,9,9,6,6,7,5,6,4,8,8,9,7,9,9
154,0,B8,0,5,1,5,6,9,7,9,5,7,4,8,6,7,3,7,6
155,0,B8,0,5,1,7,6,8,9,3,-1,8,5,4,6,5,7,6,4
156,0,B8,6,4,2,6,4,5,6,6,7,6,8,7,5,8,7,6,7
157,0,B8,1,4,1,5,6,6,5,6,6,6,7,7,6,8,8,9,7
158,0,B8,0,5,1,7,5,6,7,7,7,5,5,7,6,6,7,7,8
159,0,B8,0,5,1,7,6,5,6,5,9,4,6,5,8,7,7,9,5
160,0,B8,0,5,1,10,10,10,10,10,10,10,10,10,-1,10,-1,-1,10
161,0,B8,0,5,1,2,5,4,7,7,7,6,3,8,7,9,8,9,5
162,0,B8,0,5,NA,3,5,6,9,8,8,4,2,7,9,9,8,3,7
163,0,B8,1,3,1,8,6,5,7,7,9,6,4,8,7,7,8,9,9
164,0,B8,0,5,1,7,6,6,8,7,8,8,6,9,7,8,6,4,6
165,0,B8,6,4,2,9,7,9,9,8,9,5,3,6,8,7,8,7,8
166,0,B8,6,5,2,5,5,7,3,6,7,5,7,7,8,2,7,9,6
167,0,B8,3,5,1,5,0,5,4,3,5,3,4,0,5,3,4,6,2
168,0,B9,1,3,1,0,0,5,5,8,0,0,3,1,2,8,6,10,0
169,0,B9,1,5,NA,9,10,5,6,8,5,10,6,7,6,5,8,7,6
170,0,B9,1,2,2,10,10,10,10,5,10,10,9,5,10,10,10,8,2
171,0,B9,4,2,1,3,6,5,6,5,4,5,4,4,6,8,5,6,5
172,0,B9,3,4,1,9,5,2,6,5,2,0,2,2,5,2,5,5,-1
173,0,B9,2,3,1,4,8,8,6,6,8,6,6,7,7,8,-1,9,9
174,0,B9,3,3,1,4,7,6,7,4,4,5,5,5,5,7,6,6,5
175,0,B9,2,2,1,7,6,5,6,8,3,9,4,8,6,9,9,10,5
176,0,B9,0,5,1,9,8,10,9,10,8,5,8,8,9,9,9,9,10
177,0,B9,1,3,2,9,8,8,9,9,6,10,9,7,9,10,9,10,9
178,0,B9,1,4,1,8,8,7,8,7,7,8,7,8,7,7,9,9,9
179,0,B9,2,3,2,10,10,9,8,10,10,9,8,10,9,8,10,10,9
180,0,B9,1,3,1,7,8,8,7,8,8,8,7,6,8,8,7,9,9
181,0,B9,6,4,2,8,7,6,5,10,7,8,7,8,6,8,9,8,8
182,0,B9,1,4,1,6,7,8,7,7,8,7,7,9,7,7,7,8,9
183,0,B9,4,2,1,8,6,7,6,8,8,7,5,5,6,7,8,7,7
184,0,B9,6,4,2,7,7,8,8,8,6,8,8,8,7,9,8,8,8
185,0,B9,1,3,1,2,5,3,4,1,5,0,2,2,2,4,3,6,4
186,0,B9,2,3,1,7,7,6,7,2,6,6,8,3,7,7,7,7,7
187,0,B9,2,2,2,2,5,6,7,5,7,3,6,3,7,4,2,-1,7
188,0,B10,2,3,1,9,9,10,10,5,10,9,10,5,7,8,10,10,8
189,0,B10,0,5,1,7,6,8,5,7,9,8,4,6,9,7,9,8,7
190,0,B10,1,2,1,4,8,4,7,10,2,8,7,5,4,8,10,5,6
191,0,B10,0,5,1,5,5,5,6,5,5,5,5,6,5,5,4,6,6
192,0,B10,1,3,1,7,6,6,7,5,5,5,6,5,4,6,4,6,5
193,0,B10,2,4,2,8,8,5,4,2,6,8,4,0,8,4,7,2,4
194,0,B10,0,5,1,6,7,8,7,8,6,8,6,6,8,7,7,6,5
195,0,B10,6,3,2,5,6,6,5,5,5,5,6,5,6,6,6,7,6
196,0,B10,6,3,2,4,7,5,6,7,5,7,8,6,7,8,7,9,6
197,0,B10,6,2,2,4,7,5,9,10,3,9,7,9,4,9,8,9,7
198,0,B10,0,5,1,5,7,7,7,-1,7,7,8,7,6,7,7,10,6
199,0,B10,3,4,1,4,6,6,7,8,6,5,6,9,6,7,7,8,7
200,0,B10,2,5,2,5,7,6,6,9,4,9,8,9,6,7,9,10,8
201,0,B10,0,5,1,4,6,6,7,6,5,7,6,5,6,8,4,4,7
202,0,B10,0,5,1,10,9,10,10,9,8,8,8,10,10,9,10,10,9
203,0,B10,3,3,1,7,10,10,10,7,5,9,10,10,6,10,10,10,10
204,0,B10,6,2,2,9,8,7,8,8,7,8,8,8,7,7,8,9,7
205,0,B10,3,4,2,7,5,6,5,6,7,7,6,7,7,6,6,7,6
206,0,B10,2,4,2,5,5,-1,10,5,8,10,10,10,-1,10,5,10,-1
207,0,B10,6,2,2,5,3,3,8,8,9,4,8,3,8,5,6,7,6
208,0,B10,1,2,1,6,2,3,1,6,-1,1,7,2,0,0,5,9,9
209,1,B10,0,3,1,10,10,8,10,10,6,8,7,10,9,9,6,9,7
210,1,B10,2,2,2,8,7,-1,8,5,9,8,8,5,7,10,7,9,2
211,1,B10,1,2,1,5,9,7,10,10,6,2,7,3,7,6,8,9,6
212,1,B3,4,1,2,10,7,-1,8,6,9,4,7,10,8,9,10,9,8
213,1,B3,2,2,1,9,9,4,0,10,2,10,9,8,7,5,7,9,9
214,1,B5,3,4,1,9,8,6,10,10,3,7,8,8,6,5,8,9,8
215,1,B5,6,4,2,9,8,8,10,0,4,8,10,9,-1,0,10,10,10
216,1,B5,3,3,1,10,5,-1,10,10,10,10,2,10,10,10,10,10,10
217,1,B5,2,2,1,5,0,5,0,5,5,0,2,0,5,2,6,10,5
218,1,B5,2,3,1,9,9,5,8,6,4,9,7,2,1,6,8,8,6
219,1,B5,2,3,1,6,6,10,9,8,10,7,4,6,10,8,8,10,8
220,1,B1,6,5,2,10,3,10,5,5,5,5,10,3,5,0,10,10,5
221,1,B1,6,5,2,5,0,2,2,10,0,0,0,0,5,5,10,10,0
222,1,B2,1,4,2,8,5,10,7,4,6,-1,5,5,7,8,8,8,7
223,1,B2,1,4,1,8,8,9,6,8,7,7,8,-3,7,8,7,7,8
224,1,B2,1,3,1,5,1,3,5,1,3,1,1,1,3,3,1,1,1
225,1,B9,1,2,1,8,7,7,7,10,8,10,7,6,7,8,8,8,7
226,1,B9,3,3,1,8,7,0,9,8,7,5,10,7,8,5,8,4,8
227,1,B8,6,2,2,8,7,8,9,7,8,7,6,7,8,8,7,7,8
228,1,B8,6,5,2,8,8,7,6,8,7,6,7,6,7,8,7,5,7
229,1,B8,6,5,2,10,5,10,8,10,10,4,10,10,10,10,10,10,10
230,1,B8,1,3,1,7,8,6,7,7,7,7,6,7,8,8,6,5,7
231,1,B8,0,5,1,8,4,8,6,8,4,4,6,4,8,0,7,10,6
232,1,B8,6,3,2,4,0,9,5,7,0,0,7,0,6,1,6,8,7
233,1,B8,6,4,2,7,3,5,4,4,8,3,3,4,5,8,8,8,6
234,1,B8,1,4,2,4,4,7,4,7,7,5,4,4,-1,0,8,7,-1
235,1,B8,1,2,1,3,3,7,2,7,7,7,7,5,5,7,9,9,7
236,1,B7,6,2,2,5,2,2,2,4,5,3,2,2,5,6,5,7,5
237,1,B7,2,2,1,10,10,10,2,10,10,10,10,10,8,10,8,5,10
238,1,B7,1,4,1,2,4,6,7,4,4,4,6,3,7,8,3,4,6
239,1,B6,0,5,1,10,6,10,9,5,9,5,3,4,8,8,5,5,4
240,1,B6,0,4,1,2,4,2,0,2,6,1,1,4,5,6,4,6,1
241,1,B6,2,2,1,10,10,9,10,9,10,9,10,8,10,10,9,10,9
242,1,B6,1,3,1,9,8,9,9,4,8,6,7,8,9,10,9,9,8
243,1,B6,1,3,1,8,8,5,6,9,9,8,9,7,7,6,6,10,9
244,1,B6,3,4,NA,7,6,5,7,5,7,6,7,7,6,7,7,6,5
245,1,B6,6,3,2,7,5,7,6,5,-1,5,7,5,5,6,5,5,5
