date,time,no,no2,pm10,co2,temp,humi
2013-01-04,02:00,4,30,36,467,20.1,47.1
2013-01-04,03:00,2,25,27,470,20.3,45.7
2013-01-04,04:00,3,27,13,456,20,47
2013-01-04,05:00,3,27,6,468,19.9,46.9
2013-01-04,06:00,5,36,34,493,20.3,45.7
2013-01-04,07:00,13,43,67,526,20.4,45.3
2013-01-04,08:00,20,49,92,606,20.6,45.5
2013-01-04,09:00,NA,NA,108,NA,21.2,45.7
2013-01-04,10:00,46,50,121,605,21.1,46
2013-01-04,11:00,45,53,110,625,21.2,45.7
2013-01-04,12:00,46,54,103,671,21.3,46.4
2013-01-04,13:00,39,50,100,678,21.4,45.9
2013-01-04,14:00,40,51,106,675,21.4,44.9
2013-01-04,15:00,36,48,129,717,21.4,44.7
2013-01-04,16:00,21,43,141,758,21.6,44.2
2013-01-04,17:00,25,44,136,865,22.1,44
2013-01-04,18:00,31,47,137,833,22,44.3
2013-01-04,19:00,48,49,123,797,22.1,44.1
2013-01-04,20:00,33,51,101,695,21.8,43.4
2013-01-04,21:00,12,39,92,568,21.3,42.5
2013-01-04,22:00,5,32,77,535,21.1,42.6
2013-01-04,23:00,8,35,77,534,21.1,43.6
2013-01-05,00:00,10,38,82,511,21,44.4
2013-01-05,01:00,8,37,62,465,20.4,45.3
2013-01-05,02:00,4,26,32,409,19.6,46.4
2013-01-05,03:00,4,26,6,402,18.6,48.4
2013-01-05,04:00,2,19,5,399,18.3,48.4
2013-01-05,05:00,2,14,6,398,18.8,45.8
2013-01-05,06:00,2,18,34,411,19.7,42.9
2013-01-05,07:00,2,23,45,415,19.9,42.5
2013-01-05,08:00,6,31,64,440,20,43.2
2013-01-05,09:00,4,28,73,474,20.2,43.9
2013-01-05,10:00,4,27,80,527,20.6,44.4
2013-01-05,11:00,4,25,82,555,20.7,45
2013-01-05,12:00,7,29,97,581,20.8,44.9
2013-01-05,13:00,11,32,94,628,21.1,44.8
2013-01-05,14:00,9,30,100,637,21.1,44.9
2013-01-05,15:00,11,32,119,702,21.2,45
2013-01-05,16:00,16,37,126,771,21.3,44.7
2013-01-05,17:00,14,34,134,794,21.3,44.5
2013-01-05,18:00,15,35,126,788,21.4,44.7
2013-01-05,19:00,24,38,118,754,21.4,44
2013-01-05,20:00,28,41,116,658,21.1,43.4
2013-01-05,21:00,21,35,103,585,20.9,43.3
2013-01-05,22:00,14,33,89,550,20.7,43.1
2013-01-05,23:00,10,31,82,541,20.5,42.8
2013-01-06,00:00,5,26,74,521,20.5,41.8
2013-01-06,01:00,4,22,59,484,19.9,42.5
2013-01-06,02:00,15,27,48,427,19.1,44.5
2013-01-06,03:00,53,35,10,417,19,45.7
2013-01-06,04:00,28,33,5,414,19.2,45
2013-01-06,05:00,4,26,7,429,19,44.5
2013-01-06,06:00,4,26,34,435,19.3,43.4
2013-01-06,07:00,7,30,39,433,19.5,42.9
2013-01-06,08:00,8,33,42,442,19.5,43
2013-01-06,09:00,13,33,52,461,19.6,43.2
2013-01-06,10:00,6,25,58,486,19.7,43.5
2013-01-06,11:00,7,27,51,518,19.6,43.3
2013-01-06,12:00,5,25,58,544,19.8,42.6
2013-01-06,13:00,10,32,60,559,19.9,42.1
2013-01-06,14:00,13,33,74,567,20.1,41.9
2013-01-06,15:00,18,35,89,609,20.2,42.2
2013-01-06,16:00,29,40,96,622,20.1,42.3
2013-01-06,17:00,23,40,96,645,20.3,41.5
2013-01-06,18:00,33,45,95,663,20.4,40.7
2013-01-06,19:00,39,45,102,606,20.5,40
2013-01-06,20:00,29,42,93,567,20.2,39.7
2013-01-06,21:00,15,36,87,512,20,39.6
2013-01-06,22:00,10,32,72,491,19.9,39.5
2013-01-06,23:00,7,32,68,468,19.6,40
2013-01-07,00:00,7,32,56,450,19.7,39.5
2013-01-07,01:00,3,26,38,418,18.8,42
2013-01-07,02:00,2,21,24,404,19.1,41.7
2013-01-07,03:00,2,21,81,416,18.6,48
2013-01-07,04:00,3,18,104,417,17.9,50.9
2013-01-07,05:00,3,20,10,418,17.8,47.1
2013-01-07,06:00,10,29,36,449,18.8,42.8
2013-01-07,07:00,21,36,68,519,19.3,41.7
2013-01-07,08:00,35,42,115,646,19.7,41.8
2013-01-07,09:00,47,49,128,684,20.1,40.5
2013-01-07,10:00,39,48,107,593,20.2,39.1
2013-01-07,11:00,35,47,102,589,20.3,38.3
2013-01-07,12:00,31,47,103,601,20.4,38.1
2013-01-07,13:00,36,49,95,647,20.4,38.2
2013-01-07,14:00,31,48,102,621,20.4,37.8
2013-01-07,15:00,34,47,112,646,20.5,37.7
2013-01-07,16:00,42,51,117,701,20.6,37.9
2013-01-07,17:00,64,52,133,804,21,38
2013-01-07,18:00,42,50,137,797,21.2,37.5
2013-01-07,19:00,43,49,128,726,21.1,37.2
2013-01-07,20:00,29,47,105,601,20.7,36.7
2013-01-07,21:00,24,46,77,525,20.3,37.4
2013-01-07,22:00,17,41,71,498,19.9,38.2
2013-01-07,23:00,16,39,61,483,19.7,38
2013-01-08,00:00,12,34,60,440,19.6,37.7
2013-01-08,01:00,11,30,41,405,19.1,39.4
2013-01-08,02:00,10,27,107,398,19,41.6
2013-01-08,03:00,12,22,162,397,18.9,46.5
2013-01-08,04:00,5,21,19,390,18.5,45.9
2013-01-08,05:00,3,21,16,400,18.1,43.2
2013-01-08,06:00,8,29,60,424,18.5,40.6
2013-01-08,07:00,32,42,74,497,18.9,39.9
2013-01-08,08:00,46,43,108,635,19.4,40.1
2013-01-08,09:00,57,42,125,689,20,39.1
2013-01-08,10:00,68,46,108,587,19.7,38.4
2013-01-08,11:00,69,45,98,558,19.6,38.1
2013-01-08,12:00,59,42,102,593,19.8,37.8
2013-01-08,13:00,61,43,101,605,19.9,37.4
2013-01-08,14:00,45,39,93,594,19.9,36.8
2013-01-08,15:00,37,38,101,603,19.9,35.7
2013-01-08,16:00,36,42,126,671,20.1,35.7
2013-01-08,17:00,27,40,128,766,20.4,36
2013-01-08,18:00,42,41,119,773,20.6,35.8
2013-01-08,19:00,64,47,121,728,20.5,36
2013-01-08,20:00,44,45,98,597,20,35.8
2013-01-08,21:00,26,40,73,507,19.6,35.5
2013-01-08,22:00,16,34,70,476,19.4,35.5
2013-01-08,23:00,14,33,54,472,19,35.9
2013-01-09,00:00,14,29,46,442,18.6,36.3
2013-01-09,01:00,7,24,27,403,18,38
2013-01-09,02:00,8,22,30,408,18.6,38.3
2013-01-09,03:00,5,22,6,409,18.7,38.2
2013-01-09,04:00,3,18,5,404,18.2,38.1
2013-01-09,05:00,3,19,5,414,18.1,37.5
2013-01-09,06:00,13,29,77,435,18.5,36.3
2013-01-09,07:00,35,35,92,504,18.7,36.9
2013-01-09,08:00,56,40,123,613,19.1,37.4
2013-01-09,09:00,71,45,137,650,19.5,36.9
2013-01-09,10:00,63,44,105,585,19.7,35
2013-01-09,11:00,56,40,99,592,19.6,36.1
2013-01-09,12:00,51,40,103,626,19.7,35.5
2013-01-09,13:00,63,45,93,670,19.9,35.5
2013-01-09,14:00,63,44,104,706,20.2,36.3
2013-01-09,15:00,56,37,103,730,20.2,39.1
2013-01-09,16:00,79,42,127,813,20.3,41.1
2013-01-09,17:00,82,37,139,947,20.8,42.3
2013-01-09,18:00,78,34,133,899,20.8,42.1
2013-01-09,19:00,76,34,126,804,20.5,42
2013-01-09,20:00,81,39,104,672,20.2,41.4
2013-01-09,21:00,64,35,83,569,19.8,41.9
2013-01-09,22:00,40,29,63,523,19.3,42.3
2013-01-09,23:00,39,31,51,517,18.9,43.5
2013-01-10,00:00,38,27,43,488,18.8,43.6
2013-01-10,01:00,21,22,33,428,18.1,45.7
2013-01-10,02:00,17,18,14,427,18.7,45.5
2013-01-10,03:00,17,18,7,426,18.5,45.5
2013-01-10,04:00,19,17,7,423,17.8,47.3
2013-01-10,05:00,22,17,12,435,17.9,47.3
2013-01-10,06:00,31,20,62,460,18.5,45
2013-01-10,07:00,70,28,91,537,19,44.3
2013-01-10,08:00,89,28,115,686,19.6,45.1
2013-01-10,09:00,142,35,121,760,20.1,44.9
2013-01-10,10:00,125,34,109,659,20.1,43.8
2013-01-10,11:00,101,31,99,645,20.1,43.4
2013-01-10,12:00,96,31,109,690,20.2,45
2013-01-10,13:00,72,27,103,675,20.4,44.9
2013-01-10,14:00,74,31,105,684,20.4,45.9
2013-01-10,15:00,57,31,110,703,20.5,46.5
2013-01-10,16:00,50,35,106,778,20.8,46.1
2013-01-10,17:00,58,39,125,859,21.1,47
2013-01-10,18:00,59,43,123,895,21.5,46.5
2013-01-10,19:00,57,48,116,797,21.3,45.5
2013-01-10,20:00,46,49,102,651,21.1,44.3
2013-01-10,21:00,25,46,78,552,20.6,43.6
2013-01-10,22:00,12,37,70,523,20.4,43.4
2013-01-10,23:00,8,31,53,508,19.9,43.4
2013-01-11,00:00,11,28,47,480,19.7,43.9
2013-01-11,01:00,4,24,28,426,18.5,45.7
2013-01-11,02:00,4,21,18,414,18.1,47.3
2013-01-11,03:00,5,21,21,407,18.1,47.2
2013-01-11,04:00,3,21,6,400,17.7,46.5
2013-01-11,05:00,4,29,5,407,17.6,43.5
2013-01-11,06:00,13,39,28,436,18.5,39.7
2013-01-11,07:00,34,45,54,515,18.7,38.4
2013-01-11,08:00,35,45,102,591,19.2,37
2013-01-11,09:00,37,44,119,665,19.7,35.8
2013-01-11,10:00,31,41,112,568,19.6,33.2
2013-01-11,11:00,27,42,101,568,19.7,32.9
2013-01-11,12:00,46,46,133,625,19.9,34.1
2013-01-11,13:00,74,49,202,663,20.1,35.9
2013-01-11,14:00,80,52,224,691,20.4,36.3
2013-01-11,15:00,75,48,232,764,20.6,36.3
2013-01-11,16:00,67,49,227,804,20.8,36.7
2013-01-11,17:00,69,47,267,924,21.1,38
2013-01-11,18:00,84,50,237,965,21.2,38.1
2013-01-11,19:00,99,53,262,824,21.2,38.6
2013-01-11,20:00,92,52,263,735,21.1,39.5
2013-01-11,21:00,76,53,189,613,20.7,38.9
2013-01-11,22:00,70,51,179,578,20.6,38.5
2013-01-11,23:00,91,54,161,581,20.3,38.5
2013-01-12,00:00,144,62,174,587,20.1,38.3
2013-01-12,01:00,143,55,153,544,19.5,39
2013-01-12,02:00,109,50,109,479,18.5,39.2
2013-01-12,03:00,69,43,25,440,18,39.2
2013-01-12,04:00,45,38,12,430,17.8,39.7
2013-01-12,05:00,36,36,12,436,17.8,40.5
2013-01-12,06:00,35,34,81,446,18.3,39.8
2013-01-12,07:00,25,34,123,440,18.4,39.6
2013-01-12,08:00,29,35,122,463,18.6,39.1
2013-01-12,09:00,29,34,156,502,19,39
2013-01-12,10:00,27,34,160,564,19.4,38.3
2013-01-12,11:00,28,35,162,612,19.7,38.7
2013-01-12,12:00,33,35,172,665,20.2,38.9
2013-01-12,13:00,43,39,181,684,20.2,38.9
2013-01-12,14:00,42,39,194,713,20.4,38.1
2013-01-12,15:00,36,37,243,760,20.7,38.4
2013-01-12,16:00,42,40,259,817,21,38.2
2013-01-12,17:00,38,41,215,862,20.9,37.7
2013-01-12,18:00,40,45,131,831,20.9,37.1
2013-01-12,19:00,46,44,131,779,20.7,37.1
2013-01-12,20:00,35,42,114,684,20.6,36.3
2013-01-12,21:00,45,45,98,580,20,36.9
2013-01-12,22:00,30,40,90,543,19.7,37.1
2013-01-12,23:00,24,39,80,535,19.7,37.6
2013-01-13,00:00,29,39,86,531,19.5,38.7
2013-01-13,01:00,23,36,77,498,18.8,39.8
2013-01-13,02:00,19,34,47,425,17.9,40.9
2013-01-13,03:00,8,27,13,394,17.6,41.3
2013-01-13,04:00,3,22,5,NA,17.4,41.5
2013-01-13,05:00,5,27,7,NA,17.3,41.9
2013-01-13,06:00,8,27,37,405,17.9,40.1
2013-01-13,07:00,7,26,45,394,17.8,39.4
2013-01-13,08:00,6,25,49,405,18.1,38.4
2013-01-13,09:00,7,23,53,433,18.3,38.2
2013-01-13,10:00,8,23,78,466,18.5,38.1
2013-01-13,11:00,8,20,82,488,18.6,37.6
2013-01-13,12:00,10,21,70,533,18.8,37
2013-01-13,13:00,10,22,79,548,19,36.2
2013-01-13,14:00,9,22,86,577,19,35.9
2013-01-13,15:00,9,22,85,599,19.1,35.3
2013-01-13,16:00,7,20,101,638,19.2,35.3
2013-01-13,17:00,10,21,118,687,19.4,35.9
2013-01-13,18:00,17,23,114,687,19.2,36.6
2013-01-13,19:00,16,25,101,602,19,35.6
2013-01-13,20:00,13,25,77,521,18.4,33.5
2013-01-13,21:00,13,29,62,479,17.8,32.3
2013-01-13,22:00,14,29,67,460,17.5,31.4
2013-01-13,23:00,8,27,54,442,16.9,30.6
2013-01-14,00:00,6,26,42,409,16.8,29.1
2013-01-14,01:00,5,26,25,NA,15.5,29.8
2013-01-14,02:00,8,25,71,NA,16.6,34.3
2013-01-14,03:00,6,23,98,NA,15,42.2
2013-01-14,04:00,7,23,14,NA,13.6,41.7
2013-01-14,05:00,11,24,5,NA,15.5,33.7
2013-01-14,06:00,21,25,70,418,16.3,31
2013-01-14,07:00,30,27,77,473,16.4,30.2
2013-01-14,08:00,28,27,104,560,16.8,29.8
2013-01-14,09:00,48,31,128,627,17.3,29.6
2013-01-14,10:00,63,38,120,543,17.3,28.1
2013-01-14,11:00,75,42,119,539,17.4,27.3
2013-01-14,12:00,80,45,117,564,17.5,26.7
2013-01-14,13:00,51,48,101,580,17.6,24.7
2013-01-14,14:00,59,49,104,606,17.9,24.7
2013-01-14,15:00,47,45,109,624,18,25
2013-01-14,16:00,47,44,136,665,18.4,25.6
2013-01-14,17:00,50,46,149,774,18.6,26.3
2013-01-14,18:00,43,41,145,769,19,27.1
2013-01-14,19:00,40,41,139,684,18.8,28.3
2013-01-14,20:00,36,42,119,576,18.1,32.1
2013-01-14,21:00,23,35,92,467,17.4,34.1
2013-01-14,22:00,22,34,74,442,17.1,35.8
2013-01-14,23:00,14,31,68,426,17.2,36.3
2013-01-15,00:00,18,33,53,392,17,36.7
2013-01-15,01:00,5,27,39,NA,16,40.1
2013-01-15,02:00,2,23,14,NA,16.5,39.8
2013-01-15,03:00,2,22,28,NA,15.9,42
2013-01-15,04:00,2,24,8,NA,14.4,42.9
2013-01-15,05:00,3,30,5,NA,14.9,40.8
2013-01-15,06:00,10,43,28,NA,16.1,37.7
2013-01-15,07:00,25,50,74,444,17.1,35.9
2013-01-15,08:00,56,59,116,593,17.6,37
2013-01-15,09:00,53,56,134,639,18,37.6
2013-01-15,10:00,51,49,121,515,17.9,36.7
2013-01-15,11:00,43,42,110,491,17.9,35.6
2013-01-15,12:00,32,37,107,524,17.9,36.1
2013-01-15,13:00,24,35,112,542,18,35.7
2013-01-15,14:00,24,34,111,540,18.3,34.2
2013-01-15,15:00,22,32,192,569,18.4,33.2
2013-01-15,16:00,23,33,137,631,18.6,31.5
2013-01-15,17:00,28,40,99,779,18.3,30.9
2013-01-15,18:00,38,42,112,799,18.6,31
2013-01-15,19:00,51,46,106,692,18.1,31
2013-01-15,20:00,36,47,98,559,17.6,33.1
2013-01-15,21:00,27,45,68,465,16.9,34.3
2013-01-15,22:00,41,50,57,455,16.8,34.2
2013-01-15,23:00,19,40,38,443,16.3,33.4
2013-01-16,00:00,12,36,47,407,16.2,33.5
2013-01-16,01:00,12,33,45,NA,15.7,36
2013-01-16,02:00,13,26,73,NA,16.7,36.1
2013-01-16,03:00,8,22,136,NA,16,37.2
2013-01-16,04:00,4,25,132,NA,15.4,36.9
2013-01-16,05:00,4,27,11,NA,15.8,31.7
2013-01-16,06:00,12,39,50,NA,15.3,29.4
2013-01-16,07:00,45,53,44,476,15.7,28.2
2013-01-16,08:00,69,55,88,599,16.2,28.5
2013-01-16,09:00,89,55,101,610,16,28.9
2013-01-16,10:00,67,53,91,528,16.2,27
2013-01-16,11:00,56,53,88,529,16.2,26.1
2013-01-16,12:00,33,49,82,551,16.3,24.4
2013-01-16,13:00,41,53,89,600,16.5,22.9
2013-01-16,14:00,50,53,106,607,16.6,23.7
2013-01-16,15:00,36,47,114,655,17.1,23.5
2013-01-16,16:00,36,49,112,678,17,23.1
2013-01-16,17:00,54,52,125,823,17.4,24.2
2013-01-16,18:00,40,52,117,864,17.8,24.4
2013-01-16,19:00,41,52,115,767,17.3,24.1
2013-01-16,20:00,43,52,93,638,16.8,24
2013-01-16,21:00,36,51,91,507,15.9,24.8
2013-01-16,22:00,29,48,96,469,15.6,25.6
2013-01-16,23:00,31,49,80,461,15.2,26.4
2013-01-17,00:00,27,47,73,426,14.8,26.5
2013-01-17,01:00,26,43,63,NA,14.6,27.4
2013-01-17,02:00,27,38,163,NA,15.2,30.7
2013-01-17,03:00,28,38,314,NA,15.2,30.6
2013-01-17,04:00,31,51,79,NA,14.9,32
2013-01-17,05:00,39,52,28,NA,14.7,29.9
2013-01-17,06:00,77,57,55,418,14.4,27.5
2013-01-17,07:00,103,65,71,492,14.6,27.1
2013-01-17,08:00,150,67,115,639,15.3,28.2
2013-01-17,09:00,165,68,134,685,16.1,27.5
2013-01-17,10:00,164,75,120,579,15.8,26
2013-01-17,11:00,146,70,117,568,15.5,26.1
2013-01-17,12:00,125,64,120,616,16.1,26
2013-01-17,13:00,132,71,130,619,16.1,25.9
2013-01-17,14:00,91,61,115,614,16.2,25
2013-01-17,15:00,81,59,116,657,16.6,24.9
2013-01-17,16:00,66,56,119,685,16.6,25
2013-01-17,17:00,73,59,140,806,17.1,25.8
2013-01-17,18:00,64,60,138,800,17.3,25.9
2013-01-17,19:00,61,60,120,734,17,25.8
2013-01-17,20:00,54,63,98,604,16.2,24.1
2013-01-17,21:00,72,66,100,528,15.8,24.2
2013-01-17,22:00,102,70,95,519,15.1,25.5
2013-01-17,23:00,105,67,95,534,15,26.3
2013-01-18,00:00,136,69,87,513,14.6,26.8
2013-01-18,01:00,NA,NA,NA,515,13.8,26.5
2013-01-18,02:00,NA,NA,NA,522,12.9,28.4
2013-01-18,03:00,118,57,6,525,12.9,27.8
2013-01-18,04:00,77,49,7,505,12.4,27
2013-01-18,05:00,46,44,8,496,12.1,27.8
2013-01-18,06:00,53,47,35,521,12.3,27.7
2013-01-18,07:00,109,61,69,623,13,27.3
2013-01-18,08:00,97,60,89,734,13.6,28.1
2013-01-18,09:00,101,56,118,810,14.6,28.5
2013-01-18,10:00,89,53,117,694,14.3,28
2013-01-18,11:00,91,50,121,688,14.6,28.3
2013-01-18,12:00,82,50,114,729,14.6,28.4
2013-01-18,13:00,79,51,121,776,14.7,28.1
2013-01-18,14:00,76,52,122,791,14.9,28.2
2013-01-18,15:00,60,49,123,832,15.2,28.9
2013-01-18,16:00,63,48,142,919,15.6,29.5
2013-01-18,17:00,65,47,173,NA,16.1,30.7
2013-01-18,18:00,69,46,181,NA,16.2,32
2013-01-18,19:00,59,45,172,976,16,34.4
2013-01-18,20:00,46,42,141,846,15.6,36
2013-01-18,21:00,31,41,104,742,15,36.3
2013-01-18,22:00,21,39,91,667,14.4,36.8
2013-01-18,23:00,15,37,86,650,14.4,36.9
2013-01-19,00:00,16,36,90,641,14.3,36.8
2013-01-19,01:00,11,35,77,566,13.5,37.2
2013-01-19,02:00,7,34,48,481,13.1,34.9
2013-01-19,03:00,5,31,24,460,12.6,35.3
2013-01-19,04:00,6,31,14,460,12.4,35.8
2013-01-19,05:00,8,32,27,502,12.7,36.2
2013-01-19,06:00,15,35,48,507,12.7,35.9
2013-01-19,07:00,18,35,57,511,12.7,36.2
2013-01-19,08:00,27,38,67,555,13.2,36
2013-01-19,09:00,30,37,87,590,13.4,36.5
2013-01-19,10:00,34,38,95,654,13.7,36.9
2013-01-19,11:00,32,38,101,681,14,37.3
2013-01-19,12:00,27,39,103,736,14.7,37.2
2013-01-19,13:00,24,40,108,750,14.6,36.4
2013-01-19,14:00,20,39,123,807,15.1,36.7
2013-01-19,15:00,25,41,140,939,15.6,37.3
2013-01-19,16:00,26,43,133,918,15.5,37.1
2013-01-19,17:00,22,43,144,942,15.7,36.6
2013-01-19,18:00,26,45,139,935,15.7,35.9
2013-01-19,19:00,27,46,130,870,15.6,35
2013-01-19,20:00,25,46,134,806,15.4,34.7
2013-01-19,21:00,18,44,96,686,14.7,34.8
2013-01-19,22:00,23,41,95,647,14.9,34.5
2013-01-19,23:00,12,39,84,642,14.5,35.3
2013-01-20,00:00,12,37,84,649,14.5,35.2
2013-01-20,01:00,13,37,85,611,14,35.3
2013-01-20,02:00,12,39,57,494,13.2,34.8
2013-01-20,03:00,7,35,25,470,12.8,34.1
2013-01-20,04:00,4,33,17,467,12.6,33.3
2013-01-20,05:00,4,31,28,520,12.8,34.1
2013-01-20,06:00,4,30,43,503,12.6,35.3
2013-01-20,07:00,4,31,47,498,12.6,34.8
2013-01-20,08:00,7,32,49,518,12.7,34.8
2013-01-20,09:00,6,32,55,541,12.7,34
2013-01-20,10:00,11,35,66,597,13,34.2
2013-01-20,11:00,12,35,64,644,13.3,33.9
2013-01-20,12:00,15,36,80,732,13.8,34.5
2013-01-20,13:00,14,36,85,742,14.2,34.1
2013-01-20,14:00,15,37,101,774,14.4,33.8
2013-01-20,15:00,16,39,103,793,14.6,33.9
2013-01-20,16:00,15,40,106,796,14.5,35.1
2013-01-20,17:00,19,45,111,836,14.9,35.5
2013-01-20,18:00,21,45,107,847,15.3,36.1
2013-01-20,19:00,22,45,101,774,15,36.5
2013-01-20,20:00,23,45,107,695,14.6,38.3
2013-01-20,21:00,24,44,95,622,14.5,38.6
2013-01-20,22:00,14,40,78,576,14.2,38.6
2013-01-20,23:00,8,36,73,560,14,39
2013-01-21,00:00,7,35,60,531,13.8,38.7
2013-01-21,01:00,3,31,40,472,13.1,39.6
2013-01-21,02:00,3,31,25,460,13.3,39.5
2013-01-21,03:00,4,31,26,461,13.1,40.3
2013-01-21,04:00,2,28,21,457,13.2,40
2013-01-21,05:00,3,27,24,475,13.2,40.9
2013-01-21,06:00,10,35,47,511,13.5,40.8
2013-01-21,07:00,59,51,74,615,14.3,40.1
2013-01-21,08:00,99,56,112,780,15.1,40.3
2013-01-21,09:00,121,54,126,840,15.5,40.3
2013-01-21,10:00,90,52,112,707,15.7,38.1
2013-01-21,11:00,52,54,107,671,15.5,38.1
2013-01-21,12:00,58,58,104,720,15.9,38.8
2013-01-21,13:00,46,56,106,748,15.8,39.6
2013-01-21,14:00,41,55,112,744,16,39.4
2013-01-21,15:00,41,54,124,799,16,41.1
2013-01-21,16:00,76,62,133,858,16.1,41.1
2013-01-21,17:00,105,67,145,962,16.6,41.3
2013-01-21,18:00,85,63,140,964,16.6,41.7
2013-01-21,19:00,56,58,123,854,16.4,40.2
2013-01-21,20:00,39,54,119,701,15.7,39.9
2013-01-21,21:00,30,53,82,613,15.3,39.3
2013-01-21,22:00,20,47,73,573,14.9,39.2
2013-01-21,23:00,18,44,73,554,14.7,39.9
2013-01-22,00:00,15,43,49,527,14.2,39.8
2013-01-22,01:00,23,45,54,484,13.7,42.1
2013-01-22,02:00,15,36,33,483,13.7,44
2013-01-22,03:00,11,37,15,479,13.7,43.4
2013-01-22,04:00,10,37,15,476,13.6,42.9
2013-01-22,05:00,10,36,11,479,13.6,41.6
2013-01-22,06:00,17,43,43,511,13.7,41.1
2013-01-22,07:00,52,57,58,596,14.3,40.7
2013-01-22,08:00,83,56,110,751,15.1,41.6
2013-01-22,09:00,87,56,131,808,15.7,40
2013-01-22,10:00,73,55,124,682,15.7,38.8
2013-01-22,11:00,72,58,117,662,15.6,38.9
2013-01-22,12:00,63,56,115,704,15.8,39.5
2013-01-22,13:00,64,54,125,792,16.4,40.8
2013-01-22,14:00,59,54,124,747,16.2,41.7
2013-01-22,15:00,49,53,135,766,16.4,41.6
2013-01-22,16:00,50,54,129,853,16.7,41.1
2013-01-22,17:00,70,59,143,958,17,41.1
2013-01-22,18:00,64,57,154,1000,17.4,40.4
2013-01-22,19:00,63,57,169,872,17.4,39.7
2013-01-22,20:00,60,55,125,748,16.8,39.9
