year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1767,56.6,73.2,49.8,38.4,72.9,61.7,103.4,87.4,45.5,58.4,35.8,13.5
1768,45.5,58.2,2.8,85.9,28.4,124.2,69.3,100.8,144.8,83.1,62.2,59.7
1769,46.2,46.5,22.9,38.4,56.6,90.9,49.3,59.9,127.8,31.7,41.9,52.6
1770,26.2,30.7,40.6,58.2,40.4,110,46,25.7,68.1,60.7,127.5,89.7
1771,48.5,22.1,24.9,26.9,35.6,69.3,39.9,114.6,32.8,83.1,20.6,69.3
1772,87.9,84.8,51.6,51.8,40.9,18.3,19.8,52.6,65,64,74.7,28.4
1773,36.8,38.6,6.3,38.1,98.6,77.5,34.5,107.7,74.2,50.3,116.6,49.8
1774,78.5,69.6,56.4,31.7,49.8,49.5,63.5,90.7,103.4,35.1,47.5,50.5
1775,49.3,58.9,54.9,27.2,21.8,36.1,127,46.2,147.3,66,62.2,17.8
1776,35.3,105.7,41.9,9.1,44.7,53.6,53.3,69.1,80.5,19.8,54.6,38.6
1777,27.9,39.1,38.4,25.9,140,96.3,109.7,28.2,17,94.2,27.2,21.8
1778,61,16.8,36.8,21.6,31.7,32,107.4,17,20.6,78.5,105.4,74.9
1779,6.3,7.1,15,35.3,53.6,71.6,178.1,32,67.6,83.3,81.3,140.7
1780,20.6,23.6,37.1,76.7,25.9,26.4,41.4,16,86.4,82.5,72.9,10.2
1781,53.1,52.6,2.3,12.2,19.6,31.5,29.2,85.9,53.1,8.6,93.2,41.9
1782,70.9,14.7,72.1,61,110.5,20.6,184.1,118.1,63,54.9,28.2,24.6
1783,41.4,81.5,25.4,16.3,64.8,109.5,21.3,61,117.9,19.8,44.7,33.3
1784,76.5,40.1,71.1,69.1,36.8,93.5,49.5,62,44.4,22.4,85.1,60.5
1785,48.8,32.8,9.7,9.4,22.1,55.9,47.5,83.3,75.4,73.7,37.1,41.9
1786,67.8,29.7,30.5,33.5,26.7,61.5,23.6,32.5,60.5,101.6,63.2,83.8
1787,14.5,40.9,43.9,28.2,41.4,20.6,111.5,27.9,27.2,64.5,43.4,103.6
1788,16.5,53.1,14.7,16.5,19.6,80.5,52.1,104.4,108.2,2.8,17,0
1789,55.6,61.5,57.9,33,56.6,105.2,79.8,57.7,62,103.4,37.8,40.6
1790,36.6,4.3,5.1,59.2,100.1,21.1,61.7,64.8,13.5,42.2,89.4,78.5
1791,72.6,45.5,24.6,46.5,23.9,13.5,73.7,31.2,11.9,66.3,89.9,38.6
1792,68.1,19.6,61.5,73.4,55.1,52.6,59.7,68.8,75.9,71.6,15.2,63.5
1793,51.8,49.5,51.1,32.5,27.4,17,49,43.9,79.5,34.5,80,69.8
1794,17,22.4,40.9,47.8,65.3,6.6,11.4,43.9,110.2,98.8,118.4,48.8
1795,16.8,42.4,58.9,16.5,9.4,112.8,47,62.5,3,85.6,82,32.8
1796,68.8,37.1,2.3,9.9,71.9,17.5,61.5,17.3,49.8,58.4,39.4,42.4
1797,48.5,5.6,39.9,62.2,55.1,90.4,64.5,92.7,140.5,57.1,50.5,59.9
1798,50,13,21.1,40.4,37.8,31.7,93,49,80.5,98,106.7,32.5
1799,57.7,62,26.2,62.7,54.9,8.6,68.6,72.6,106.7,73.7,48,21.8
1800,97.3,7.9,29.2,71.1,51.3,30.5,0,65.3,73.7,32,112.3,74.7
1801,36.1,22.4,40.1,15,64,22.9,113.5,41.7,50.5,41.7,101.9,82.8
1802,13.2,43.9,10.9,19,49.8,68.3,52.3,54.4,17,56.4,40.4,55.1
1803,46.2,25.9,17.5,41.7,47.2,115.3,24.4,31.5,16.8,13.2,99.1,114.3
1804,63.2,37.1,69.8,45.7,47.2,10.4,103.4,82.3,9.7,85.1,116.8,23.1
1805,62.5,31.5,30.2,60.7,32.8,93,94.5,68.8,51.3,57.4,27.9,62
1806,59.7,29.7,55.4,32.5,27.7,19.6,141.2,38.4,57.1,32,91.7,95.5
1807,18.5,32.8,17,11.2,74.7,24.6,21.6,49,75.9,59.2,96.3,21.8
1808,32.8,23.1,10.4,59.7,41.7,38.6,82,84.8,81.5,96,62.7,30.7
1809,112.3,53.8,31.2,93.5,11.7,37.1,114.6,69.6,82,5.1,42.4,53.6
1810,10.2,40.9,69.1,43.9,24.1,21.3,93.7,82.5,40.4,53.1,156.2,75.9
1811,28.7,41.1,15,32.3,86.1,55.1,103.9,54.4,37.8,84.6,62.2,46
1812,41.1,95.5,55.1,41.7,71.9,77,55.1,34.3,16.3,112,58.4,11.7
1813,18.8,80,20.6,37.8,61,32.3,54.6,25.1,43.2,131.1,31.5,17.5
1814,64.5,8.4,34.3,50.3,66.5,58.7,58.9,52.1,32,61,61.7,87.6
1815,22.4,20.6,50.3,31.2,38.6,42.2,35.3,41.1,31.2,75.4,33.5,42.2
1816,64.3,41.4,43.7,56.1,58.7,73.2,102.4,73.9,50,62.2,59.4,88.4
1817,79.2,21.8,56.6,1.5,93,28.7,76.2,71.6,29.7,34.5,31.7,78.7
1818,57.1,46,82.5,80.3,47,10.7,13.5,2.8,65.5,33.8,66.8,38.6
1819,53.1,55.6,31,61.7,72.9,49.8,35.3,37.1,95.5,43.4,47,48.3
1820,48,22.6,6.9,36.1,65.3,58.7,69.3,59.2,79,58.7,29.7,38.9
1821,57.1,5.3,69.6,64.8,44.2,52.6,72.1,64.8,60.7,87.6,128.8,131.3
1822,9.7,25.7,37.8,78,40.4,15.2,74.9,36.6,31,109,105.2,54.6
1823,44.2,80.5,31.5,48.8,30.7,35.3,76.2,65,47.8,71.1,40.4,84.1
1824,29,71.9,44.2,48.3,91.2,79,48.5,91.9,84.6,79.5,105.7,89.7
1825,24.6,23.1,26.4,59.2,68.8,22.4,2.8,82.3,70.9,67.3,88.4,66
1826,6.9,43.7,41.4,22.6,61,9.7,52.8,51.1,95,54.6,73.9,45.2
1827,19.3,20.3,64.5,18.3,57.9,21.1,33.8,42.9,87.4,105.2,27.4,79.8
1828,95,24.1,15,62.5,35.8,49.5,112.3,111.3,103.1,30.2,28.7,45.2
1829,7.9,28.2,19.6,118.1,13.7,62.2,137.4,106.9,97.3,41.9,48.8,3.8
1830,40.4,34.3,4.8,74.2,64.5,68.6,38.1,79.8,83.8,25.7,79.8,40.4
1831,26.2,58.4,49,50.5,56.9,35.3,64.8,40.9,108.2,98,43.7,61.2
1832,33.5,5.8,38.1,24.1,54.9,73.4,22.6,91.9,28.4,78.5,49.3,47.8
1833,13.5,103.1,31.7,70.4,17.5,68.1,40.4,50,40.1,61.5,61.7,111.3
1834,74.4,9.7,22.4,16.8,31,42.4,164.3,70.9,21.6,11.2,45.5,19.3
1835,19,68.8,51.8,27.9,88.9,52.3,10.9,4.8,120.9,106.7,51.1,6.6
1836,52.1,41.7,85.3,74.4,26.2,42.9,46,51.1,98.3,93.5,93.2,38.4
1837,80.3,53.1,14.2,29.7,28.2,34.5,47,80.5,24.1,63.2,34.8,35.6
1838,6.9,56.4,21.8,13.2,23.4,92.7,55.6,31.2,52.8,59.9,90.2,43.7
1839,32.8,56.6,43.4,37.8,21.1,77.5,75.4,47.8,101.3,57.7,110.5,59.9
1840,64.3,32.3,7.4,1.5,56.4,38.4,43.4,41.9,63.5,35.1,93,11.7
1841,67.3,19.6,34.3,40.9,55.9,63.5,92.2,69.6,96,119.4,88.1,54.9
1842,27.4,34.3,46.7,3.8,44.7,40.9,39.4,72.6,87.6,44.2,114.6,19.6
1843,34.3,60.7,12.2,41.9,136.1,41.9,43.2,84.8,25.4,108.5,55.1,15
1844,58.2,58.7,63.2,8.6,6.3,25.1,54.4,47.5,33.8,106.9,79.2,10.2
1845,77,24.1,32.3,24.6,74.7,35.3,59.7,72.1,45.7,36.1,54.6,67.6
1846,73.7,38.1,28.2,101.9,35.1,20.6,46,116.6,45.5,143.5,37.1,31.2
1847,33.8,34.8,10.7,23.9,41.1,33.8,20.6,38.9,42.9,45.2,58.4,47
1848,30,80.8,79,79.2,7.4,82.8,57.1,121.7,56.9,75.9,23.4,52.6
1849,44.7,65.3,22.1,57.1,91.4,8.1,72.9,41.4,64.5,56.4,34.3,33
1850,37.1,24.6,3.3,46.2,47.5,36.3,69.3,25.1,61.2,40.1,52.6,29.7
1851,79.5,23.4,92.5,42.7,19,34.3,100.8,52.6,10.9,52.1,14.2,16
1852,70.4,27.4,6.3,13.5,45,121.4,58.9,96,91.7,100.1,160.5,51.1
1853,55.4,15.2,38.4,66.8,41.4,65.8,107.9,48.5,62.2,97.8,23.6,7.9
1854,49.8,20.1,10.9,7.9,104.4,39.6,62.2,45.7,15,67.6,33.8,32.8
1855,2.5,34.8,45.2,6.9,50.3,38.4,163.1,37.6,29.7,159.3,34.8,28.7
1856,45.5,26.9,24.1,56.4,106.4,22.6,30,80,48.8,65,26.7,49.5
1857,65.5,10.7,31,53.1,16.8,44.4,31.7,70.6,96.3,113.3,37.3,8.6
1858,24.4,45.7,35.3,60.2,55.1,29.2,66,37.3,27.2,46.7,9.7,43.9
1859,17.5,34,37.3,65.3,47,81,59.7,50.3,111.5,64.3,66,45
1860,59.9,26.2,42.2,35.6,65,135.9,71.6,124.2,51.3,31,49.8,36.8
1861,11.7,38.4,58.4,27.4,26.9,58.2,53.3,15,46.5,19,100.6,23.6
1862,41.7,10.4,113.5,65.5,95.8,60.2,52.1,68.3,66,81.8,23.1,40.1
1863,63.2,13,17.3,7.6,35.3,105.9,19.3,44.4,71.6,51.8,48.8,28.4
1864,24.4,18.5,66.8,21.8,40.4,52.3,17,31.7,63.5,32.5,49,12.4
1865,78.7,49.5,20.6,11.4,83.1,40.1,46.2,110.2,11.9,156.2,47.2,16.5
1866,87.1,86.1,31.2,43.7,33.5,102.1,30.5,58.7,91.2,41.4,32.3,43.2
1867,56.1,31.7,50.3,42.9,31,34.5,91.7,52.3,57.4,41.1,19.8,32.8
1868,85.1,27.4,24.1,37.6,19.6,10.9,41.1,64,56.9,57.7,23.4,132.1
1869,58.4,49.3,26.9,32,77.7,26.4,22.4,29.7,95.2,36.6,57.7,62.5
1870,31.2,32.3,45.2,10.2,20.8,14.2,16.5,51.3,34.8,65.3,34.5,66.3
1871,44.7,24.6,25.1,71.9,20.6,81.3,84.1,24.4,99.3,33.3,12.4,27.9
1872,87.6,20.1,44.2,40.4,72.4,36.1,50.8,40.1,34.8,110.7,71.4,95
1873,55.1,39.4,34.3,9.9,34.3,75.9,52.6,52.3,59.7,72.6,49,10.2
1874,24.9,28.2,10.9,32.3,15.2,64.5,32,32.8,71.1,94.7,55.1,38.4
1875,87.1,23.6,15.5,40.9,37.3,58.7,129.8,16.5,50.5,97.3,74.4,23.9
1876,20.8,44.7,70.1,52.1,19.8,37.3,22.9,49,62.2,38.1,67.3,146.6
1877,127.5,44.4,55.9,68.6,44.4,41.4,81.5,71.9,17.8,50.5,87.1,34.3
1878,30.2,28.2,28.4,98.3,104.1,69.8,59.7,165.6,24.9,53.3,62.2,33
1879,68.8,104.4,24.6,77.5,99.8,96.3,111,128.3,66.8,24.6,19.6,19.3
1880,11.2,55.6,17.5,51.1,7.4,54.1,122.9,17.5,112.5,151.1,45.5,83.6
1881,29.5,64.8,50.3,19.6,28.7,41.1,49,121.2,56.1,61.2,59.9,67.3
1882,32.5,33.5,31.2,65.8,33.3,51.6,56.1,28.7,59.9,147.1,59.7,50.3
1883,59.2,84.6,25.9,40.9,46.5,29.7,51.6,23.1,83.1,44.7,63.8,17.5
1884,53.6,40.1,31.2,32,16,55.6,56.6,18,49,28.2,41.9,57.4
1885,35.1,76.5,37.3,45.2,73.7,47,11.9,27.7,110,98,74.9,29.5
1886,87.6,16.5,36.6,38.1,99.3,26.2,60.7,17.5,45.2,53.1,78,88.1
1887,37.3,14.2,38.9,27.4,41.4,30.7,20.8,67.8,55.1,36.8,77.5,34.8
1888,21.8,22.9,77.7,56.1,28.7,59.7,112.5,75.4,36.6,33.8,98.6,35.3
1889,23.1,52.6,34.5,56.6,77.5,32.5,77.5,55.1,39.9,99.1,20.6,30.5
1890,54.9,23.1,38.9,43.9,35.8,84.1,115.1,49.5,15,26.2,38.9,14
1891,40.9,2.3,33.5,25.1,64.3,40.4,74.9,102.4,26.2,150.6,48.8,73.9
1892,11.4,35.3,26.7,27.2,37.3,70.9,52.6,83.3,77.2,95.8,68.8,29.7
1893,33.3,66,10.7,2.5,35.6,21.8,46,40.6,27.9,104.4,46.5,59.4
1894,74.4,39.9,30.7,37.3,39.9,55.9,111,64,34.8,98.8,75.7,50.5
1895,36.3,3.3,31.2,41.4,8.4,8.4,114.3,72.9,38.9,75.9,86.9,50
1896,15,6.9,73.2,14.7,4.8,41.4,32.8,40.1,136.1,60.7,27.7,79
1897,44.2,59.7,90.9,35.3,24.1,69.3,23.6,66.8,49.5,14.5,22.9,54.4
1898,21.6,33.8,29.7,26.2,62.2,35.3,17,28.2,10.7,84.8,52.3,61.2
1899,60.7,51.3,14.2,60.2,37.3,34.3,22.1,11.4,53.6,51.6,101.1,31.7
1900,74.4,80.5,23.6,23.6,25.1,53.3,31.7,67.3,26.4,40.9,43.4,64.8
1901,21.6,22.6,51.3,53.6,11.4,32.8,53.1,47.5,38.6,48,11.9,82.3
1902,18.5,21.6,44.4,12.4,62.2,94.2,28.7,87.6,64,35.3,39.9,35.1
1903,55.6,25.1,59.7,44.7,85.1,183.1,108.5,99.8,82,139.4,45.5,40.9
1904,60.2,56.9,32.5,23.9,67.3,27.9,51.6,42.2,42.9,41.4,44.2,47.2
1905,27.4,17,80.8,38.9,19,103.1,42.9,71.1,44.4,31,78.7,18.8
1906,85.3,42.9,26.2,11.2,45.7,72.1,26.2,19.6,44.4,80.8,98.6,47
1907,17.3,29.2,22.6,79.8,42.7,71.4,45.7,45.5,13.5,92.7,52.8,91.7
1908,46.2,30.5,61.2,58.7,33.8,49.5,62,61.7,35.8,55.1,17.3,52.8
1909,18.8,7.9,69.3,44.7,40.6,86.6,68.1,33.3,63.2,91.4,17.8,59.2
1910,42.7,70.1,24.4,26.9,46.7,67.6,63.2,70.9,11.4,55.1,79,89.7
1911,30.2,33.3,33.3,47.8,39.4,50.3,21.1,20.6,34.5,76.2,86.4,113
1912,87.9,34.3,69.1,3.8,32.8,81,42.7,134.4,54.4,57.9,42.4,68.3
1913,65,19.8,53.1,65.3,45,10.9,48.5,31.5,48,85.9,57.4,24.9
1914,14,61.7,100.1,22.1,44.4,58.2,49,44.7,25.4,30.2,75.7,166.6
1915,106.4,84.1,20.3,32,80.3,14.7,106.9,82.5,59.2,49,60.2,136.9
1916,31,78.5,100.3,25.9,42.2,54.9,35.3,99.6,41.1,93.2,99.3,57.1
1917,28.7,20.1,44.2,54.6,51.8,94.2,114.3,106.2,52.3,86.6,33.5,30
1918,74.7,21.3,22.9,80.3,46.2,29.5,121.4,35.6,145,28.7,53.3,53.6
1919,89.7,56.1,77.7,59.4,9.1,30,67.3,53.6,36.8,14.5,26.7,95
1920,55.1,10.4,29.7,67.8,38.4,78,111.8,37.8,62.2,42.7,33.5,49.3
1921,51.8,4.8,33.8,26.9,24.9,5.1,3.8,25.1,44.7,11.2,43.2,33
1922,56.6,47.5,42.9,66,25.9,24.9,83.8,52.6,39.6,19,36.1,71.9
1923,32.8,71.4,52.6,39.9,52.3,6.3,82.8,39.9,35.1,135.4,37.3,52.1
1924,63.8,10.4,21.6,86.1,61.5,87.6,95.2,63.5,74.9,92.2,57.9,72.1
1925,44.7,81.3,11.2,50.3,48.5,1,99.8,65.5,63.5,78,37.6,67.8
1926,59.2,57.9,4.8,67.6,43.9,86.1,43.7,14.7,37.3,51.8,130,6.1
1927,48.5,86.4,55.6,45.2,27.7,64.3,76.2,103.4,114,32.3,68.3,94.2
1928,78.7,35.6,43.9,35.8,44.7,56.9,52.3,65.8,26.2,92.2,46,59.7
1929,18.5,13,0.8,27.2,32.3,22.4,65.8,54.9,4.1,69.3,122.7,112.5
1930,68.8,14.7,37.6,47.5,88.1,33.3,46.7,71.6,64.3,27.2,97.8,46.2
1931,27.2,37.3,8.1,93,63,42.2,73.9,123.2,53.1,16.5,54.4,13.7
1932,40.9,4.3,32.8,56.6,102.4,6.6,62.2,29.7,58.9,127,25.7,11.7
1933,34,67.3,55.1,16.8,46.5,49,44.2,12.7,69.1,36.6,23.9,8.1
1934,30.5,5.6,53.8,37.3,11.2,25.4,81,45,32,22.1,44.7,112.3
1935,22.6,58.4,9.4,68.3,35.3,85.6,41.4,50.5,64.8,50.3,110.5,54.6
1936,99.3,40.9,22.9,42.7,13,89.7,59.7,12.2,71.4,45.5,70.9,35.1
1937,95.5,102.9,70.1,50.3,54.6,46,24.1,75.7,51.6,60.2,35.1,87.4
1938,56.6,7.9,6.6,2.3,33,8.9,25.9,68.6,49.3,52.1,66,83.6
1939,109.5,20.3,25.4,56.1,35.3,29.2,45.5,87.1,23.1,124.7,112.5,21.3
1940,62.7,40.6,86.1,40.9,30.7,30.7,68.3,2.3,34.8,61.2,171.7,28.4
1941,62.5,49,81.5,43.7,47.5,49,103.1,149.9,8.9,19.3,64.3,39.6
1942,55.6,22.4,42.2,20.6,76.2,36.1,44.2,56.1,26.4,87.1,50.3,55.6
1943,120.4,36.6,8.6,18.5,47.8,32.5,36.6,35.6,57.2,64,33.3,35.3
1944,39.6,17,2.3,33.3,17.5,38.4,42.4,50,56.6,68.8,86.9,30.2
1945,42.2,35.3,20.3,28.7,61.2,44.7,68.3,32,42.7,52.8,7.4,68.3
1946,35.3,57.4,29.7,48.5,87.9,70.6,79,95,87.9,33.8,103.1,49.3
1947,34.3,30.2,118.4,42.7,34.3,80.5,35.8,10.2,29.7,3.8,27.2,54.4
1948,90.7,36.3,14.7,31.5,56.4,42.4,30.2,72.9,31.5,46.5,40.4,51.3
1949,30.5,22.4,23.4,37.1,58.4,12.7,28.4,38.1,8.9,133.1,54.9,37.3
1950,22.1,80.3,16.5,62,43.7,47,80.3,59.2,62.2,14.5,104.6,40.1
1951,77,127,73,59,51,24,25,85,53,21,134,37
1952,46,20,69,30,60,44,14,89,65,68,89,60
1953,21,29,11,56,39,47,92,44,51,58,38,13
1954,23,50,49,10,45,102,59,80,40,44,94,50
1955,49,29,23,8,94,55,10,18,45,60,23,45
1956,94,5,19,24,6,47,151,93,51,54,10,65
1957,39,74,26,9,27,25,83,100,61,47,58,44
1958,49,59,28,32.5,60,104,63,86.6,101,51,48,75
1959,54,2,40,52,13,15,40,29,3,48,60,80
1960,43,42,40,13,42,31,86,46,87,132.3,96.3,50
1961,62,55,4,52,24,35,30,58,54.4,53.6,46.2,87.4
1962,72,16,34,42,40,7,59,62,72,55,51,58
1963,20,6,58,40.6,47,49,33,55.9,57,38,114,17
1964,13,18,83,80,43,98,50,46,10,31,34,34
1965,50,9,46,36,35,41,55,59,107,21,72,94
1966,31,69,11,92,49,66,70,77,28,100,33,74
1967,31,52,36,48,98,53,56,41,57,90,35,54
1968,58,24,23,56,64,52,72,78,122,52,38,71
1969,65,39,56,15,53,26,75,93,3,4,81,42
1970,57,36,43,62,20,31,66,54,57,15,157,38
1971,68,13,42,36,67,131,25,85,15,54,67,18
1972,54,46,50,40,25,18,21,11,28,16,56,59
1973,14,13,14,47,57.4,68,54,43,71,25,29,38
1974,61,64,30,10,25,62,34,62,124,69,138,35
1975,84,26,72,37,67,17,26,13,120,21,64,28
1976,15,21,9,9,22,8,25,13,107,95,82,67
1977,65,62,50,26,36,55,11,127,13,54,52,59
1978,79,42,53,48,89,41,66,34,17,2,13,114
1979,61,46,90,79,101,43,17,33,18,68,53,93
1980,32,37,65,17,30,103,73,47,25,102,27,34
1981,31,11,92,25,76,37,60,58,90,81,37,77
1982,37,29,52,22,64,97,26,43,49,113,71,60
1983,49,31,38,102,80,10,113,19,44,39,41,53
1984,78,26,66,10,76,34,21,25,80,81,71,53
1985,44,24,38,33,59,89,36,78,9,15,44,85
1986,107,16,47,64,56,17,50,72,26,78,79,63
1987,11,30,49,37,52,85,79,69,49,158,52,15
1988,116.3,31.8,66.6,31.5,62.2,31,74.2,39.9,31.9,56.8,18.1,11.1
1989,28.2,41.9,60.5,65.8,8,33.1,35.5,57.8,9.5,47.2,23.1,119.6
1990,78,93,5,40,2,44,8,38,22,44,35,63
1991,68.9,43.2,25.6,62.6,16.9,96.4,84.3,20.7,66.9,19,56.9,17.5
1992,13.2,21.2,40.7,58.7,68,74,66.2,76.4,77.8,67.6,94.2,36.1
1993,69.3,4.7,18.7,83,40.2,49.8,54.4,27.6,127.2,84,34.6,73.1
1994,81.4,44.8,46.9,56.5,85.7,18.2,20.5,69.3,75.5,85.5,39.8,63.2
1995,120.8,68.5,51.8,15.4,39.8,20.9,28.9,0.5,83.8,14.1,26.3,93.2
1996,42.2,44.4,29.1,27.1,27.4,9.5,28.6,46.2,19.2,37.2,103.4,14.7
1997,10.3,55.1,11.4,9.8,28.2,78.6,34.6,70.5,6.8,44.9,47.1,48.8
