Index,Time,Elevation,Leg.Dist,Leg.Time,Speed,Direction,LatLon,Lat,Lon,Distance,Time2,Time3
22,2007-08-21T17:47:04Z,4552,117,28,3,21,N40.78520 W111.88382,40.7852,-111.88382,1793,411,411
23,2007-08-21T17:47:32Z,4558,166,44,3,49,N40.78550 W111.88367,40.7855,-111.88367,1910,439,439
24,2007-08-21T17:48:16Z,4569,159,30,4,42,N40.78580 W111.88322,40.7858,-111.88322,2076,483,483
25,2007-08-21T17:48:46Z,4574,73,21,2,14,N40.78612 W111.88283,40.78612,-111.88283,2235,513,513
26,2007-08-21T17:49:07Z,4588,105,24,3,13,N40.78631 W111.88277,40.78631,-111.88277,2308,534,534
27,2007-08-21T17:49:31Z,4593,114,28,3,47,N40.78659 W111.88268,40.78659,-111.88268,2413,558,558
28,2007-08-21T17:49:59Z,4591,85,22,3,34,N40.78681 W111.88238,40.78681,-111.88238,2527,586,586
29,2007-08-21T17:50:21Z,4591,56,15,3,32,N40.78700 W111.88221,40.787,-111.88221,2612,608,608
30,2007-08-21T17:50:36Z,4599,24,5,3,49,N40.78713 W111.88210,40.78713,-111.8821,2668,623,623
31,2007-08-21T17:50:41Z,4599,90,22,3,59,N40.78717 W111.88204,40.78717,-111.88204,2692,628,628
32,2007-08-21T17:51:03Z,4604,62,17,2,50,N40.78730 W111.88176,40.7873,-111.88176,2782,650,650
33,2007-08-21T17:51:20Z,4607,85,19,3,34,N40.78741 W111.88159,40.78741,-111.88159,2844,667,667
34,2007-08-21T17:51:39Z,4611,79,19,3,37,N40.78760 W111.88142,40.7876,-111.88142,2929,686,686
35,2007-08-21T17:51:58Z,4619,98,20,3,29,N40.78777 W111.88125,40.78777,-111.88125,3008,705,705
36,2007-08-21T17:52:18Z,4626,183,39,3,31,N40.78801 W111.88107,40.78801,-111.88107,3106,725,725
37,2007-08-21T17:52:57Z,4626,148,35,3,26,N40.78844 W111.88073,40.78844,-111.88073,3289,764,764
38,2007-08-21T17:53:32Z,4627,118,27,3,37,N40.78880 W111.88050,40.7888,-111.8805,3437,799,799
39,2007-08-21T17:53:59Z,4632,105,25,3,35,N40.78906 W111.88024,40.78906,-111.88024,3555,826,826
40,2007-08-21T17:54:24Z,4627,95,22,3,34,N40.78930 W111.88002,40.7893,-111.88002,3660,851,851
41,2007-08-21T17:54:46Z,4632,48,11,3,99,N40.78951 W111.87983,40.78951,-111.87983,3755,873,873
42,2007-08-21T17:54:57Z,4634,14,5,2,123,N40.78949 W111.87966,40.78949,-111.87966,3803,884,884
43,2007-08-21T17:55:02Z,4634,79,19,3,184,N40.78947 W111.87962,40.78947,-111.87962,3817,889,889
44,2007-08-21T17:55:21Z,4637,92,19,3,211,N40.78925 W111.87964,40.78925,-111.87964,3896,908,908
45,2007-08-21T17:55:40Z,4645,79,19,3,207,N40.78904 W111.87981,40.78904,-111.87981,3988,927,927
46,2007-08-21T17:55:59Z,4656,86,18,3,204,N40.78885 W111.87994,40.78885,-111.87994,4067,946,946
47,2007-08-21T17:56:17Z,4660,80,14,4,193,N40.78863 W111.88007,40.78863,-111.88007,4153,964,964
48,2007-08-21T17:56:31Z,4654,177,31,4,213,N40.78842 W111.88013,40.78842,-111.88013,4233,978,978
49,2007-08-21T17:57:02Z,4654,73,23,2,194,N40.78801 W111.88047,40.78801,-111.88047,4410,1009,1009
50,2007-08-21T17:57:25Z,4651,112,22,3,205,N40.78782 W111.88054,40.78782,-111.88054,4483,1032,1032
51,2007-08-21T17:57:47Z,4649,108,24,3,210,N40.78754 W111.88071,40.78754,-111.88071,4595,1054,1054
52,2007-08-21T17:58:11Z,4656,79,20,3,217,N40.78728 W111.88090,40.78728,-111.8809,4703,1078,1078
53,2007-08-21T17:58:31Z,4656,92,18,3,211,N40.78711 W111.88107,40.78711,-111.88107,4782,1098,1098
54,2007-08-21T17:58:49Z,4657,95,20,3,214,N40.78689 W111.88125,40.78689,-111.88125,4874,1116,1116
55,2007-08-21T17:59:09Z,4660,121,27,3,213,N40.78668 W111.88144,40.78668,-111.88144,4969,1136,1136
56,2007-08-21T17:59:36Z,4665,105,24,3,193,N40.78640 W111.88168,40.7864,-111.88168,5090,1163,1163
57,2007-08-21T18:00:00Z,4668,87,20,3,172,N40.78612 W111.88176,40.78612,-111.88176,5195,1187,1187
58,2007-08-21T18:00:20Z,4667,99,22,3,162,N40.78588 W111.88172,40.78588,-111.88172,5282,1207,1207
59,2007-08-21T18:00:42Z,4667,106,24,3,164,N40.78563 W111.88161,40.78563,-111.88161,5381,1229,1229
60,2007-08-21T18:01:06Z,4667,110,26,3,158,N40.78535 W111.88150,40.78535,-111.8815,5487,1253,1253
61,2007-08-21T18:01:32Z,4671,101,21,3,159,N40.78507 W111.88135,40.78507,-111.88135,5597,1279,1279
62,2007-08-21T18:01:53Z,4671,115,24,3,162,N40.78481 W111.88123,40.78481,-111.88123,5698,1300,1300
63,2007-08-21T18:02:17Z,4675,110,25,3,180,N40.78451 W111.88110,40.78451,-111.8811,5813,1324,1324
64,2007-08-21T18:02:42Z,4675,101,22,3,201,N40.78421 W111.88110,40.78421,-111.8811,5923,1349,1349
65,2007-08-21T18:03:04Z,4684,86,22,3,204,N40.78395 W111.88123,40.78395,-111.88123,6024,1371,1371
66,2007-08-21T18:03:26Z,4676,89,20,3,208,N40.78374 W111.88135,40.78374,-111.88135,6110,1393,1393
67,2007-08-21T18:03:46Z,4681,92,22,3,211,N40.78352 W111.88150,40.78352,-111.8815,6199,1413,1413
68,2007-08-21T18:04:08Z,4682,108,23,3,210,N40.78331 W111.88168,40.78331,-111.88168,6291,1435,1435
69,2007-08-21T18:04:31Z,4694,119,25,3,189,N40.78305 W111.88187,40.78305,-111.88187,6399,1458,1458
70,2007-08-21T18:04:56Z,4689,95,22,3,187,N40.78273 W111.88193,40.78273,-111.88193,6518,1483,1483
71,2007-08-21T18:05:18Z,4687,133,28,3,183,N40.78247 W111.88198,40.782470000000004,-111.88198,6613,1505,1505
72,2007-08-21T18:05:46Z,4690,39,9,3,180,N40.78211 W111.88200,40.78211,-111.882,6746,1533,1533
73,2007-08-21T18:05:55Z,4692,129,28,3,193,N40.78200 W111.88200,40.782,-111.882,6785,1542,1542
74,2007-08-21T18:06:23Z,4697,110,25,3,180,N40.78166 W111.88210,40.78166,-111.8821,6914,1570,1570
75,2007-08-21T18:06:48Z,4692,110,22,3,183,N40.78136 W111.88210,40.78136,-111.8821,7024,1595,1595
76,2007-08-21T18:07:10Z,4686,72,16,3,170,N40.78106 W111.88213,40.78106,-111.88213,7134,1617,1617
77,2007-08-21T18:07:26Z,4675,98,23,3,104,N40.78086 W111.88208,40.78086,-111.88208,7206,1633,1633
78,2007-08-21T18:07:49Z,4671,125,28,3,94,N40.78080 W111.88174,40.7808,-111.88174,7304,1656,1656
79,2007-08-21T18:08:17Z,4667,113,24,3,90,N40.78078 W111.88129,40.78078,-111.88129,7429,1684,1684
80,2007-08-21T18:08:41Z,4667,94,22,3,109,N40.78078 W111.88088,40.78078,-111.88088,7542,1708,1708
81,2007-08-21T18:09:03Z,4668,31,8,3,105,N40.78069 W111.88056,40.78069,-111.88056,7636,1730,1730
82,2007-08-21T18:09:11Z,4668,118,26,3,180,N40.78067 W111.88045,40.78067,-111.88045,7667,1738,1738
83,2007-08-21T18:09:37Z,4670,110,25,3,180,N40.78035 W111.88045,40.78035,-111.88045,7785,1764,1764
84,2007-08-21T18:10:02Z,4668,126,29,3,183,N40.78005 W111.88045,40.78005,-111.88045,7895,1789,1789
85,2007-08-21T18:10:31Z,4660,86,21,3,176,N40.77971 W111.88047,40.77971,-111.88047,8021,1818,1818
86,2007-08-21T18:10:52Z,4640,95,23,3,173,N40.77947 W111.88045,40.77947,-111.88045,8107,1839,1839
87,2007-08-21T18:11:15Z,4621,44,15,2,111,N40.77921 W111.88041,40.77921,-111.88041,8202,1862,1862
88,2007-08-21T18:11:30Z,4613,36,14,2,90,N40.77917 W111.88026,40.77917,-111.88026,8246,1877,1877
89,2007-08-21T18:11:44Z,4611,NA,NA,NA,NA,N40.77917 W111.88013,40.77917,-111.88013,8282,1891,1891
