y,gender,age,culture,majority_first
minority,girl,8,C1,no
majority,girl,9,C1,yes
majority,girl,5,C1,yes
majority,boy,12,C1,yes
minority,boy,5,C1,no
majority,boy,6,C1,no
minority,boy,7,C1,no
minority,girl,5,C1,no
minority,girl,7,C1,no
minority,girl,5,C1,yes
minority,girl,4,C1,no
unchosen,girl,5,C1,no
minority,girl,9,C1,no
majority,boy,10,C1,yes
minority,boy,5,C1,yes
unchosen,girl,5,C1,no
unchosen,girl,5,C1,yes
unchosen,girl,4,C1,no
majority,boy,5,C1,no
majority,girl,5,C1,yes
minority,girl,5,C1,no
majority,boy,5,C1,yes
minority,boy,5,C1,no
minority,boy,11,C1,no
majority,boy,4,C1,yes
majority,girl,8,C1,yes
unchosen,girl,6,C1,yes
majority,girl,9,C1,yes
minority,boy,5,C1,no
majority,boy,5,C1,yes
majority,girl,9,C1,no
majority,boy,5,C1,yes
minority,boy,8,C1,no
unchosen,boy,4,C1,no
minority,boy,10,C1,no
majority,boy,5,C1,yes
majority,boy,5,C1,yes
majority,boy,6,C1,no
unchosen,girl,5,C1,yes
minority,boy,5,C1,no
majority,boy,8,C1,yes
minority,boy,9,C1,yes
majority,boy,7,C1,yes
majority,boy,7,C1,yes
majority,boy,6,C1,yes
majority,boy,5,C1,no
minority,boy,5,C1,no
unchosen,boy,8,C1,no
minority,boy,8,C1,no
minority,girl,6,C1,no
minority,boy,8,C1,no
unchosen,girl,6,C1,no
unchosen,girl,8,C1,no
majority,boy,8,C1,yes
majority,boy,7,C1,yes
unchosen,girl,5,C1,yes
majority,girl,10,C1,yes
minority,girl,6,C3,no
minority,boy,6,C3,no
majority,girl,7,C3,yes
minority,girl,5,C3,no
minority,boy,6,C3,no
majority,girl,6,C3,yes
majority,girl,8,C3,no
majority,girl,8,C3,no
majority,boy,8,C3,yes
minority,boy,4,C3,no
minority,girl,6,C3,no
majority,girl,4,C3,yes
majority,girl,9,C3,no
minority,girl,4,C3,no
majority,girl,6,C3,yes
majority,girl,8,C3,yes
majority,girl,9,C3,yes
minority,girl,7,C3,no
minority,boy,5,C3,no
minority,boy,7,C3,no
majority,girl,4,C3,no
majority,boy,5,C3,no
majority,girl,8,C3,yes
majority,girl,4,C3,yes
majority,boy,4,C3,yes
majority,boy,4,C3,no
minority,boy,5,C3,no
majority,boy,9,C3,yes
minority,boy,9,C3,no
majority,boy,5,C3,yes
unchosen,boy,5,C3,no
majority,girl,5,C3,yes
unchosen,boy,8,C3,no
minority,boy,8,C3,no
unchosen,girl,5,C3,no
majority,girl,5,C3,yes
majority,girl,8,C3,no
majority,girl,7,C3,no
majority,boy,9,C3,yes
minority,boy,6,C3,no
majority,boy,8,C3,no
majority,boy,7,C3,yes
unchosen,boy,9,C3,yes
majority,boy,5,C3,yes
majority,boy,8,C3,yes
minority,boy,7,C3,no
majority,boy,8,C3,no
unchosen,girl,7,C3,no
unchosen,girl,8,C3,yes
minority,girl,7,C3,no
majority,boy,6,C3,yes
unchosen,boy,6,C3,yes
majority,boy,8,C3,yes
minority,girl,5,C3,no
majority,girl,5,C3,yes
unchosen,girl,8,C3,no
majority,boy,9,C3,no
majority,boy,5,C3,yes
minority,girl,8,C3,no
minority,girl,6,C3,no
majority,girl,4,C3,yes
majority,girl,6,C3,yes
majority,girl,5,C3,yes
majority,boy,7,C3,yes
majority,boy,9,C3,yes
majority,boy,6,C3,no
minority,girl,6,C3,no
majority,boy,7,C3,yes
majority,girl,6,C3,yes
minority,girl,6,C3,no
unchosen,girl,7,C3,no
minority,boy,5,C3,no
majority,girl,8,C3,yes
unchosen,girl,8,C3,yes
majority,boy,5,C3,yes
minority,girl,7,C3,yes
majority,girl,8,C3,yes
minority,girl,5,C3,no
majority,girl,5,C3,yes
majority,boy,5,C3,yes
unchosen,girl,5,C3,no
majority,boy,5,C3,yes
minority,girl,7,C3,yes
unchosen,girl,5,C3,no
majority,boy,5,C3,yes
minority,girl,6,C3,no
majority,girl,9,C3,yes
minority,boy,6,C3,no
minority,boy,8,C3,no
unchosen,girl,6,C3,yes
majority,girl,5,C3,yes
minority,boy,8,C3,no
minority,boy,6,C3,no
majority,boy,5,C3,yes
minority,boy,8,C3,no
minority,boy,8,C3,no
majority,boy,4,C3,yes
majority,boy,9,C3,yes
majority,boy,7,C3,no
majority,boy,5,C3,yes
minority,boy,8,C3,no
majority,girl,4,C3,no
minority,boy,7,C3,no
minority,girl,9,C3,no
majority,girl,7,C3,yes
majority,boy,5,C3,no
minority,girl,8,C3,no
majority,girl,8,C3,yes
majority,girl,6,C3,yes
minority,girl,9,C3,no
majority,boy,6,C3,yes
unchosen,boy,7,C3,yes
majority,girl,9,C3,no
minority,girl,8,C3,yes
majority,boy,13,C6,no
unchosen,boy,9,C6,yes
minority,girl,6,C6,yes
majority,boy,10,C6,no
majority,girl,6,C6,no
minority,boy,13,C6,no
majority,boy,5,C6,no
majority,boy,12,C6,yes
minority,boy,13,C6,no
minority,boy,7,C6,yes
majority,boy,6,C6,yes
majority,boy,5,C6,yes
majority,boy,11,C6,no
unchosen,girl,10,C6,no
majority,girl,13,C6,no
minority,girl,8,C6,yes
minority,boy,7,C6,no
minority,boy,7,C6,no
majority,boy,7,C6,no
minority,girl,13,C6,no
majority,girl,13,C6,no
minority,girl,10,C6,yes
unchosen,girl,10,C6,yes
majority,girl,5,C6,no
majority,boy,9,C6,yes
majority,boy,7,C6,yes
majority,boy,8,C6,no
majority,boy,10,C6,yes
majority,boy,12,C6,yes
minority,girl,7,C6,no
unchosen,girl,12,C6,yes
minority,girl,6,C6,no
minority,girl,7,C6,no
majority,boy,10,C6,yes
majority,boy,13,C6,yes
majority,girl,8,C6,no
unchosen,boy,12,C6,yes
majority,girl,8,C6,yes
majority,boy,10,C6,no
majority,girl,12,C6,yes
majority,girl,13,C6,yes
minority,girl,11,C6,yes
minority,girl,11,C6,yes
majority,boy,12,C6,no
minority,girl,10,C6,yes
minority,boy,11,C6,yes
unchosen,boy,10,C6,no
majority,boy,5,C6,yes
majority,boy,10,C6,yes
unchosen,boy,12,C6,no
unchosen,girl,10,C6,yes
minority,girl,10,C6,no
majority,girl,12,C6,yes
minority,boy,12,C6,yes
unchosen,boy,10,C6,yes
minority,girl,10,C6,no
unchosen,girl,8,C6,no
majority,girl,6,C6,yes
unchosen,boy,5,C6,no
unchosen,girl,12,C6,no
majority,girl,12,C6,no
unchosen,girl,7,C6,yes
majority,girl,10,C6,no
unchosen,girl,6,C6,yes
majority,girl,13,C6,no
majority,girl,7,C6,yes
unchosen,boy,9,C6,no
majority,boy,5,C6,no
unchosen,boy,10,C6,yes
minority,boy,5,C4,no
majority,boy,7,C4,no
majority,boy,9,C4,yes
unchosen,girl,9,C4,no
majority,girl,5,C4,yes
unchosen,girl,9,C4,yes
unchosen,boy,9,C4,no
majority,girl,9,C4,no
minority,girl,7,C4,no
minority,girl,9,C4,yes
minority,girl,7,C4,yes
unchosen,boy,7,C4,yes
minority,boy,9,C4,yes
unchosen,girl,9,C4,no
minority,girl,5,C4,no
unchosen,girl,9,C4,no
minority,girl,9,C4,yes
unchosen,boy,9,C4,no
unchosen,boy,9,C4,no
unchosen,boy,9,C4,no
minority,girl,7,C4,no
unchosen,boy,9,C4,no
minority,girl,7,C4,no
majority,girl,7,C4,no
majority,girl,7,C4,yes
unchosen,girl,9,C4,yes
majority,girl,5,C4,yes
unchosen,girl,7,C4,yes
minority,girl,7,C4,yes
unchosen,girl,5,C4,yes
majority,girl,7,C4,no
minority,boy,9,C4,yes
majority,boy,9,C4,no
unchosen,boy,5,C4,yes
minority,boy,7,C4,no
minority,boy,5,C4,no
unchosen,boy,7,C4,no
majority,girl,5,C4,yes
majority,girl,7,C4,yes
unchosen,girl,5,C4,no
majority,boy,5,C4,yes
majority,boy,5,C4,yes
majority,girl,9,C4,no
minority,girl,5,C4,no
unchosen,girl,5,C4,yes
majority,boy,5,C4,yes
minority,boy,7,C4,yes
minority,boy,5,C4,no
unchosen,girl,9,C4,yes
majority,boy,7,C4,no
unchosen,boy,9,C4,yes
minority,girl,5,C4,yes
unchosen,girl,7,C4,no
minority,girl,5,C4,no
minority,boy,5,C4,no
minority,girl,5,C4,no
majority,boy,9,C4,yes
majority,boy,7,C4,yes
minority,girl,9,C4,no
majority,girl,7,C4,yes
minority,boy,5,C4,no
majority,girl,9,C4,yes
unchosen,boy,7,C4,no
minority,boy,7,C4,yes
minority,boy,5,C4,no
minority,boy,7,C4,yes
unchosen,boy,9,C4,yes
majority,boy,5,C4,yes
unchosen,boy,7,C4,no
unchosen,girl,5,C4,no
minority,boy,7,C4,yes
majority,boy,5,C4,yes
majority,boy,10,C5,yes
minority,girl,7,C5,no
majority,girl,8,C5,yes
unchosen,girl,8,C5,no
majority,girl,8,C5,no
minority,boy,9,C5,yes
majority,girl,10,C5,yes
minority,boy,9,C5,no
majority,girl,5,C5,no
majority,girl,8,C5,yes
majority,boy,8,C5,no
unchosen,boy,10,C5,no
unchosen,boy,6,C5,no
minority,boy,7,C5,yes
majority,boy,7,C5,yes
unchosen,boy,6,C5,no
minority,boy,5,C5,yes
minority,boy,7,C5,no
minority,boy,10,C5,no
minority,boy,8,C5,yes
minority,boy,6,C5,yes
unchosen,boy,10,C5,no
minority,boy,8,C5,yes
majority,boy,6,C5,no
majority,boy,7,C5,yes
majority,boy,7,C5,yes
majority,boy,9,C5,no
majority,boy,9,C5,yes
minority,boy,7,C5,no
majority,girl,10,C5,yes
unchosen,girl,5,C5,no
majority,boy,6,C5,yes
majority,girl,9,C5,no
minority,girl,9,C5,yes
minority,girl,7,C5,no
majority,girl,7,C5,yes
minority,girl,5,C5,no
majority,girl,7,C5,no
unchosen,girl,7,C5,no
unchosen,girl,9,C5,yes
minority,girl,7,C5,no
majority,girl,10,C5,no
minority,girl,7,C5,yes
majority,girl,10,C5,no
majority,girl,8,C5,yes
unchosen,girl,7,C5,yes
minority,girl,9,C5,yes
minority,girl,7,C5,yes
unchosen,girl,6,C5,yes
majority,girl,7,C5,yes
majority,girl,8,C5,no
unchosen,boy,7,C5,yes
majority,boy,8,C5,no
majority,boy,5,C5,yes
minority,boy,5,C5,no
majority,boy,10,C5,yes
majority,girl,9,C5,no
unchosen,girl,10,C5,no
majority,boy,8,C5,no
minority,girl,8,C5,yes
minority,girl,8,C5,no
unchosen,girl,8,C5,yes
minority,girl,10,C5,yes
minority,girl,10,C5,no
majority,boy,10,C5,yes
majority,boy,9,C5,no
minority,boy,6,C5,no
minority,girl,7,C7,yes
minority,girl,6,C7,no
minority,girl,5,C7,no
majority,girl,6,C7,yes
majority,girl,5,C7,yes
minority,girl,5,C7,no
minority,boy,8,C7,no
majority,boy,6,C7,yes
majority,girl,8,C7,yes
minority,boy,8,C7,no
majority,boy,6,C7,no
majority,girl,5,C7,yes
majority,boy,6,C7,yes
majority,boy,6,C7,yes
minority,girl,8,C7,no
unchosen,boy,6,C7,no
majority,boy,6,C7,yes
minority,boy,5,C7,yes
majority,girl,5,C7,no
minority,girl,5,C7,no
minority,boy,6,C7,yes
unchosen,boy,5,C7,no
unchosen,girl,5,C7,yes
majority,boy,6,C7,no
majority,boy,9,C8,yes
unchosen,boy,10,C8,no
majority,girl,7,C8,no
minority,boy,11,C8,no
minority,boy,4,C8,no
minority,girl,6,C8,yes
majority,boy,9,C8,no
majority,girl,14,C8,no
majority,girl,5,C8,no
minority,boy,9,C8,no
minority,boy,11,C8,no
majority,boy,9,C8,yes
majority,boy,7,C8,yes
unchosen,boy,7,C8,no
minority,boy,9,C8,yes
minority,girl,6,C8,no
majority,boy,9,C8,yes
majority,boy,12,C8,yes
minority,boy,7,C8,yes
minority,girl,10,C8,no
majority,boy,8,C8,no
minority,girl,5,C8,yes
minority,girl,8,C8,yes
majority,girl,11,C8,no
unchosen,boy,11,C8,yes
majority,girl,8,C8,yes
unchosen,girl,6,C8,no
minority,boy,8,C8,no
minority,girl,10,C8,no
unchosen,boy,5,C8,yes
minority,boy,9,C8,no
majority,boy,13,C8,no
minority,girl,7,C8,no
unchosen,boy,11,C8,no
majority,girl,4,C8,no
majority,boy,9,C8,yes
minority,girl,7,C8,no
minority,girl,7,C8,no
unchosen,boy,10,C8,no
minority,girl,9,C8,yes
majority,girl,10,C3,no
minority,girl,10,C3,yes
unchosen,girl,10,C3,no
unchosen,girl,10,C3,yes
minority,girl,10,C3,no
majority,girl,10,C3,yes
unchosen,girl,10,C3,no
unchosen,girl,10,C3,yes
majority,girl,10,C3,yes
unchosen,girl,10,C3,no
majority,girl,10,C3,yes
majority,boy,10,C3,yes
majority,boy,10,C3,no
majority,boy,10,C3,yes
majority,boy,10,C3,yes
majority,boy,10,C3,no
minority,boy,10,C3,yes
unchosen,boy,10,C3,no
majority,boy,10,C3,yes
majority,boy,10,C3,no
unchosen,boy,10,C3,no
majority,boy,10,C3,yes
majority,boy,10,C3,no
unchosen,girl,11,C3,no
majority,girl,11,C3,yes
unchosen,girl,11,C3,no
majority,girl,11,C3,no
majority,girl,11,C3,yes
minority,girl,11,C3,no
majority,girl,11,C3,yes
unchosen,girl,11,C3,no
minority,girl,11,C3,yes
majority,girl,11,C3,yes
minority,girl,11,C3,no
majority,girl,11,C3,yes
majority,girl,11,C3,yes
minority,boy,11,C3,no
majority,boy,11,C3,yes
majority,boy,11,C3,no
majority,boy,11,C3,yes
unchosen,boy,11,C3,no
unchosen,boy,11,C3,yes
unchosen,boy,11,C3,no
unchosen,boy,11,C3,no
majority,boy,11,C3,yes
minority,boy,11,C3,no
majority,girl,10,C3,no
majority,boy,11,C3,yes
minority,girl,12,C3,no
unchosen,boy,12,C3,no
majority,girl,13,C3,no
majority,girl,13,C3,no
majority,boy,13,C3,no
minority,girl,12,C3,yes
majority,boy,12,C3,yes
majority,girl,13,C3,yes
unchosen,boy,13,C3,yes
minority,girl,12,C3,no
minority,boy,12,C3,no
unchosen,girl,13,C3,no
minority,boy,13,C3,no
unchosen,girl,11,C3,yes
majority,boy,12,C3,yes
unchosen,girl,13,C3,yes
majority,boy,13,C3,yes
minority,girl,12,C3,yes
majority,girl,13,C3,yes
unchosen,boy,13,C3,yes
minority,girl,12,C3,no
minority,boy,11,C3,no
minority,girl,13,C3,no
minority,boy,13,C3,no
unchosen,girl,12,C3,no
unchosen,boy,12,C3,no
minority,girl,13,C3,no
minority,boy,13,C3,no
unchosen,girl,12,C3,yes
minority,boy,12,C3,yes
majority,girl,13,C3,yes
majority,boy,13,C3,yes
minority,girl,12,C3,no
minority,boy,12,C3,no
majority,girl,13,C3,no
majority,boy,13,C3,no
majority,girl,11,C3,yes
majority,boy,12,C3,yes
unchosen,girl,12,C3,yes
unchosen,boy,13,C3,yes
unchosen,girl,11,C3,no
minority,boy,12,C3,no
majority,girl,13,C3,no
unchosen,boy,13,C3,no
majority,girl,12,C3,yes
unchosen,boy,12,C3,yes
unchosen,girl,13,C3,yes
majority,boy,13,C3,yes
unchosen,girl,12,C3,no
majority,boy,13,C3,no
majority,boy,12,C3,yes
majority,boy,13,C3,yes
majority,boy,12,C3,yes
