iid,gender,department,level,sentiment,intention,departure_date,how_long
d9cd58b40589f8a935ecbc3f117c30db,M,IT,Medium,8,3,NA,731
177edd825ea005ee2c320e6065b78641,M,Finance,Medium,8,4,NA,731
2e42f5f1f993163e535c48afedeb224e,M,HR,Medium,8,6,2019-05-31,151
9cbe36dbb21d0039f4ab76eb07e0caeb,M,HR,Low,8,3,NA,731
8473a206642e484da20386535daf363c,M,Finance,Medium,7,4,NA,731
dfd80f832a9fe571ba9fcf66f4aa0073,M,HR,Low,7,2,NA,731
fcca75f0336b054733bd8b716e092d5d,F,HR,Low,10,3,NA,731
aafd574b288abb10612ef001cbd29bde,M,HR,Low,8,1,NA,731
7d3061234fdc11bc3ee6112edba8043c,M,HR,Medium,8,8,2019-07-31,212
45fb7962d3a6501fc7abf3df5f5368a8,M,Finance,Low,4,4,2019-06-30,181
a6a9a5706c46d1a42fe5d8d3a2eb2a42,M,HR,Low,8,7,2020-05-31,517
70bb1dd0e6c5e1fc3a20e46a8c249ae3,M,Finance,Low,3,7,NA,731
c076e9cec50c9e84e36c3bb4492b6f8c,F,HR,Low,6,7,NA,731
3175dad8996cb026700e2944d3714c9a,F,HR,Low,7,5,NA,731
5324aa0fc450c05e7c3428d4c220da7a,M,Finance,Low,8,5,NA,731
9f81c1c14c27e6687c7078e88c39d693,M,HR,Medium,8,5,2020-10-31,670
4995c747bab348a19992e8f8813303fb,M,IT,Low,8,4,NA,731
bf21c6b49fcaae60c18be840792b30f5,F,HR,Low,8,2,NA,731
9958bbd0a73dd963fbd584f2111aeead,M,HR,High,10,4,NA,731
32f682cba204bf68806223baf2742c70,M,R&D,Low,8,4,NA,731
af1d5504a6f37776aab949e8c7713a90,M,Finance,Medium,7,1,NA,731
4a320244b55b8f11e636d1b70e53a018,M,Finance,Medium,8,8,2019-08-31,243
635e60f3a60a695025fc44eeacb6ed06,M,Sales/Marketing,High,8,5,NA,731
85270eb882c006e1018e770249899c23,M,Sales/Marketing,Low,8,3,NA,731
eca95f0f01c219d1526539bb92c4bb2f,M,R&D,High,8,3,NA,731
ca16d44dc686edaa260a4c92c987299a,F,HR,Low,1,10,2019-09-30,273
2b9566fdf1fa62fc41e7d96c290f12ce,M,HR,Low,7,7,2020-01-31,396
19079eeb831e93de98dcbae52de3c2f3,F,Finance,Low,9,4,2020-08-31,609
7832cbce5fbf8dfe1de33f1b20a6d8a3,F,HR,Low,10,3,2019-07-31,212
6f21fa8601165182ba95378c375e4d6f,M,Sales/Marketing,Medium,8,9,2020-03-31,456
e6e58a65e41ab7bc799bbb5dd9139b5e,M,Sales/Marketing,Low,7,2,NA,731
eabdc225a14fb06791304f406183aede,F,Finance,Low,8,3,NA,731
fd1ec16051954c352d28a307b7f2329a,M,HR,Medium,10,3,NA,731
6d843f937d336f4cfebf48d3245100aa,M,Sales/Marketing,Medium,9,3,NA,731
77814cc5095847378f66cd7ba5d58bb0,M,HR,Medium,7,4,2020-11-30,700
b7f1ea5caa1014ce9c8a64edcb804ee3,M,HR,High,8,3,NA,731
a8b763f485d4a1815e2e98f9f265a213,M,Finance,High,8,1,2020-10-31,670
a754f73c0bbc80248c72df702c86900d,M,HR,Low,8,4,2020-12-31,731
9ac132f889ac43297b1e04ee1433d195,F,HR,Low,9,5,2020-05-31,517
9d968e7256c658e385c2ed65c3f36d11,M,HR,Low,8,9,2019-10-31,304
62ea37f118291c99dc79cf9d3fe371ba,M,Finance,Low,10,1,2019-07-31,212
37566a56adda4191acf6c96b77d536a2,M,Finance,High,10,2,NA,731
6cd70332a2ac774c5a45a23cfd1af1c5,M,HR,Medium,8,7,NA,731
4c421ed6bab70aa7c35c0724114e5272,M,HR,Medium,7,8,NA,731
1061456637b8a99e284ead6013f2de18,M,IT,High,9,1,NA,731
0e922ccdab1fb84e6a1aba591ce3e889,M,Strategy & Operations,Low,7,2,NA,731
b86aeb77a3580916d91a895ab5294e10,M,HR,Low,9,1,NA,731
c1a3b2f8815000f3e62acd4c505903e0,M,Finance,Low,8,3,NA,731
cdee0dceabe13e77f4f700d2b7cb714f,F,Sales/Marketing,Low,10,7,NA,731
3b9fee4c7af349b773bf52902a978abc,M,HR,Medium,7,4,NA,731
bbe2323159ebca36dd40f545b07e2714,F,Finance,Low,7,5,2020-01-31,396
982c06773ff0ad66f57dab8730fae36a,M,HR,Low,7,6,NA,731
664adf06d569668cc3a5ce19fbe8ee03,M,Strategy & Operations,Medium,8,7,NA,731
ea0d2d0186fc81c72180a38138cdddb9,F,HR,Low,7,2,NA,731
2126a529f20f7ab1f7fd859c35eb367d,F,R&D,Low,7,2,NA,731
8dc62a39e36d5ebe292b1bfa2f8f2da4,M,Strategy & Operations,High,10,5,NA,731
e8717ba0f730cf598d815d057dd6b043,M,Finance,Low,10,3,2020-07-31,578
0ad97bbb6a3e7e1e280f7f3ca9c748cd,F,HR,Medium,10,2,2020-06-30,547
c7ef1c6004be0b130de2ad6c2ddc1aba,M,HR,Low,7,5,2020-11-30,700
3dee13e910bd854ec154671ce08327eb,F,IT,Low,7,3,NA,731
f16f4ba12f8b0da8e1c21be9d321b838,M,HR,Low,7,4,NA,731
b1ca5d958ba367fb4476a8c37aa98458,F,IT,Low,2,4,NA,731
fb28f6cf5b0ffd11dfc1b2878a951f86,F,IT,Low,5,7,NA,731
79fe6e2ad1215a44908dc545f2da68f5,M,Sales/Marketing,Low,8,5,2019-10-31,304
f0d395ac7dd1391631a3f12f24527eb2,M,R&D,Low,10,3,NA,731
60f26c52cb19d0de3974a53d61e50798,F,HR,Low,8,3,NA,731
f39d79fc3659f64c7cf0ffb1866af402,M,HR,High,9,3,NA,731
38a192b1d3fd88c175b664660399d9a4,M,Finance,Low,9,5,2020-11-30,700
c85a9cd995189d8dc5cd61ecdd41e528,F,Finance,High,8,5,NA,731
e434bf4c3c4c8f5e403a83688cdb5f57,M,R&D,Low,7,8,2020-06-30,547
a173b9bc8c6fc3a30e52edb1e153678b,F,Sales/Marketing,Low,8,8,2020-01-31,396
2aaeb0709a82224501810a02d139a5e7,M,Finance,Medium,10,7,NA,731
ae30761e49699e9ed212c95e1cd1dcb4,M,Finance,Low,8,3,NA,731
b5a5e76b6136bf286c5eb11ff1f061e8,M,Finance,Low,8,3,NA,731
9f22da74a0aaffb412b908986b8d73a4,M,HR,Medium,8,2,NA,731
2746baa8eefc66936633c99e1b845e17,M,HR,Low,7,3,NA,731
4a68dc2d1ee230dd7780fbc58e6e9327,F,Finance,Low,7,4,2020-11-30,700
cc34d0f3072931f2c57ec82404472c80,M,IT,Low,7,5,NA,731
2d4db18ad0a38f533238a532c13e3fd8,F,Finance,Low,6,4,NA,731
9b48750a7fb844988da948c15633cb59,M,Strategy & Operations,Low,7,5,NA,731
6fc67a80754a3825c440b1a7017430b3,M,HR,High,9,3,NA,731
d84f9498134953af90cb78cebb17e891,M,Sales/Marketing,Medium,10,3,2020-06-30,547
5bec48bf39bd0bbb6db307becaf576c0,F,Finance,Medium,10,4,NA,731
85bee351e145b578d9bada1c31f89889,F,IT,Low,8,4,NA,731
30ae1b9538f3195b2c1edf8714a5a431,M,R&D,Low,4,6,NA,731
989af00972ba5ed0af73c170a7206780,F,Finance,Low,7,7,2019-11-30,334
5db33a9194fb53e047372147ef59f372,M,HR,Low,8,3,NA,731
a8361c0fb4cbe5f8891e7353aa47622a,M,Finance,Low,7,2,NA,731
7e421440b91e9e9e714984eb6fb1fc0c,M,HR,Medium,7,4,NA,731
6a6027dfdc3a0da3c57fd34dc7fb73a7,M,Finance,High,8,3,NA,731
81378dafc5bb477640f41c2239260549,M,HR,Low,9,1,NA,731
6623874c340c38876875275e972b579d,M,IT,Low,8,4,2019-03-31,90
271843ef32021753d386263beaa54a9d,M,HR,Low,7,3,2020-09-30,639
70163bd3949dcdbb9d63a490cd5174a6,M,HR,Low,8,5,NA,731
1b847e842c3d4b98930b68b7a98dad9a,M,HR,Low,5,3,NA,731
99e4d505d92bd0bb5b86e9ab5e63623d,M,Finance,Low,9,1,2020-03-31,456
c1118d8c9c66d1deb14cd0ba2f970b1c,F,Finance,Low,8,4,2019-10-31,304
ee26a25165c614b54044669f96e54816,M,Finance,Low,8,8,2020-05-31,517
9e1866bca7080d6276e712f12d29a478,M,Strategy & Operations,Low,8,2,NA,731
48ed072b6d68ca5a2e32d5f4ec5391d2,M,HR,Medium,5,6,NA,731
d2639c93db9213e215dc9b2a8963a220,M,HR,Low,7,3,NA,731
5e333ba73286c0e2a75090eb2b430e28,M,HR,High,9,4,2019-05-31,151
717b7f1e034d9844e376b0751fcd7cac,M,HR,Low,8,5,NA,731
f61e655d7c221cb698cc1e8a8b6ab265,F,HR,Low,7,7,NA,731
3b1a3c474ece4809824c22095b21d62f,F,HR,Low,8,8,NA,731
1871daf0052d526fa0058688e500d854,F,Finance,Medium,9,6,NA,731
64c60fbabf3998645e0782604c8cf796,F,R&D,Low,7,2,NA,731
0a3428179bea8734896ef17555892773,M,Sales/Marketing,Low,4,3,NA,731
4ecf015fbab3ec8cc30cab535a913e4e,F,HR,Low,7,6,2019-08-31,243
865c40f24ecd1ea803798062038d3dc1,M,HR,Low,8,4,NA,731
d5532c85007a7f5cfada44a8de9bb462,M,HR,Low,8,5,NA,731
853ceded07c1a3b883ba82cc9e890e22,M,Finance,Low,7,4,2020-08-31,609
d49e213ce65b0e18e2da1456a50cbf11,M,HR,Low,10,3,NA,731
f113bec38dabc826133079389ec85629,F,Finance,Medium,8,2,NA,731
02c55d3f9cfad8f3ce04ae74a43d7159,M,Strategy & Operations,Low,7,6,NA,731
f2788bd0666cc70e5bc332f3f7b0976b,M,HR,Low,9,3,NA,731
6ae8cff9cde18efa606d92278b01a0c2,M,HR,Low,7,1,NA,731
c9cebda87945d12101a613af683b32be,M,HR,Medium,10,2,NA,731
20347de8d6f78917d9964cc24dbb1f62,M,Sales/Marketing,Low,8,3,NA,731
8981d1c710599fabee76d907765c46b8,F,IT,Low,10,2,NA,731
e01c49e669514fae5859e780c51e3e3e,M,Sales/Marketing,Medium,8,3,NA,731
66a2487c228f87b68513c74de43d136a,M,IT,Low,8,4,NA,731
d78f42f7ac1253884c58dc6998fc9dea,M,HR,Low,4,4,NA,731
4aad24d1319f2aa788dc9153364a960c,F,HR,Medium,8,3,2019-08-31,243
ead1e1f554cebf88673285760065a015,M,R&D,Medium,8,2,NA,731
423faf1e78745bd5aa0ccd8939ba2bb8,F,Sales/Marketing,Low,4,4,NA,731
81a988ef73926aad271ebc3f3bf6aadf,F,IT,Medium,4,6,NA,731
7ea458facf955bdfccb1f1d29f7f69f0,F,HR,High,7,5,2019-11-30,334
0a9296a04919e67b623578c6d12e9136,F,Strategy & Operations,Medium,7,6,NA,731
43c5a9bf0c2b07478ace7afffa842af6,M,Finance,Low,8,2,2020-04-30,486
6b664c5b69a74d8b952ff0f0f026ed00,F,Sales/Marketing,Low,8,2,NA,731
b19fda9089445e18a9a119300edcdba7,M,Finance,Medium,7,5,NA,731
1efb94452f3e4dd2d9ec12b64e86413d,F,Finance,Low,7,2,NA,731
ce69844c5095ce9f855c4e5ee30c8295,F,Finance,Low,7,6,NA,731
63b3fc80a81c100a585772c576aab3d6,M,R&D,Low,7,2,2019-05-31,151
26de821021e9047b2ba36cedd97ba5b1,M,Sales/Marketing,Low,8,2,NA,731
75ff88e438a64b260241f68e65bb8a38,M,Finance,Low,3,5,NA,731
bd662866a55b3bbe2d28816958e63af1,F,Finance,High,8,1,NA,731
292aec182d13ef39dbe377b37497c785,F,Finance,Low,7,3,2020-02-29,425
b1069958c1d4d3be04b2008e67a8f2a0,F,IT,Medium,8,4,NA,731
860d819261da742c888b3d1694f71850,M,Finance,Medium,5,6,2020-05-31,517
c15c67c728f6f0ea3d8eb7b3185e10b1,F,Strategy & Operations,Low,8,6,NA,731
628654abb30ab99ef744b73b36efca64,M,HR,Low,7,6,NA,731
886d4befccc6e638da9e70ee09e4639c,F,HR,Low,8,10,NA,731
d3002951044dd64ee932c8e48bb570db,F,Sales/Marketing,High,8,4,NA,731
f39db6069fd21257b5f8decfb04a2571,M,Strategy & Operations,Low,10,3,NA,731
b24cd41ad1f7399122f50a5fbf17add3,F,HR,Medium,9,4,NA,731
ad048a877155e008a2c749f1c9746b62,M,HR,Low,8,2,NA,731
410e24256db88389f52198283f3609cb,M,Finance,Low,4,7,NA,731
3c90ad6ab4f179c0c91eb33e487ab2bb,F,Finance,High,9,7,NA,731
e155fefa3759d67193354eaf8d6d8ee8,M,Finance,High,7,7,NA,731
a4492f1ecf454bf171ba342a23ba92e5,F,Finance,Medium,4,7,2020-01-31,396
3a4f0126fb934a10e7a584556b725725,M,IT,Low,6,1,2020-11-30,700
bfa8e64ea8e879b52a7b6c4a2dc1a9e5,M,HR,Medium,8,3,NA,731
e86032c25ae25f6e8a73a5ee3ef29843,M,IT,Medium,8,3,NA,731
a0b9cdce3f0ebd0fc0832f03ee66e81f,M,Finance,Low,7,2,2019-03-31,90
59bfb1c6c1b8a87ce654ff7bba225981,M,Finance,Low,7,8,2019-04-30,120
b98d9a1dbcdf203da49ad512ed3e1bc6,M,Strategy & Operations,Low,7,7,2020-07-31,578
9c428db26773c5185cf513f9d4f78e71,F,Sales/Marketing,Low,8,5,NA,731
cef5c62011d251feaab3c9d653686dbd,M,Finance,Low,8,3,NA,731
fbadba1f3a4415aa51deb6b82530c0be,M,Finance,High,4,7,NA,731
f6f9eb097d9f417e8b4c1d8988c2d679,M,HR,Low,8,4,NA,731
797f3e9b82d1d8cc7df73692cf2ad6cd,F,Finance,Low,6,4,2020-12-31,731
9fb99dee8d6b1001ff2d67ddc257c4c9,M,HR,High,7,2,NA,731
000f283ae687d31152703a54636492cc,M,Finance,Low,10,5,2019-05-31,151
109e8043b78e5217c8c4c57346534c6c,M,Finance,Low,8,3,2020-04-30,486
26553ef085d2d30ceed2cfe7d46966f6,M,IT,Low,8,3,NA,731
a8a603207a94ca18d4d3e590478e3be3,M,IT,Medium,8,4,2020-05-31,517
a4457bc6def6e5148c33ed1d6566e446,M,HR,Medium,5,4,NA,731
6c148184699ab453a9cc0758e5dafaee,M,HR,Medium,8,3,NA,731
1ba6e74873ad5a0971f5d530db79fe6d,M,HR,Medium,9,2,NA,731
c1dac9ec457b17590612021cdd3ce857,M,Finance,Low,7,7,NA,731
bcd71cbeb18a317da476b30420ad5f8d,M,Finance,Low,9,3,NA,731
75724110e8e61c51caee4acd509ae4ac,F,R&D,Low,6,6,NA,731
d80568dc4b4dd46555e7c8c8a648fa9d,M,HR,Low,8,2,NA,731
9a10bbe86acad7ca6ed77afc12699703,M,Finance,Low,10,2,NA,731
db7a3cf846776b727f13aab67a30beee,F,Finance,Low,10,5,NA,731
7b3b00348264c189d0619f00e603b891,M,HR,Low,7,8,2020-06-30,547
239a19b3fbd9f675bdfe2f96b56fbf71,F,Finance,Low,9,4,NA,731
7c99e5bcb56decd53169e75918527275,M,Finance,Low,8,4,2020-03-31,456
47a1c68c1922017e82daf547e2f1bf06,F,HR,High,7,4,NA,731
42db4d0b0dc023bd31c4e95af63b03d5,M,Sales/Marketing,Low,6,4,2019-09-30,273
98f4b05ef9fa8c3373741d02053d0f75,M,Strategy & Operations,Medium,10,3,NA,731
7df491f8b2fd58728de9bcac4cf14526,M,HR,Low,8,7,2019-12-31,365
c30180a20431bd512ca5b641eee413f7,M,IT,High,7,5,2020-11-30,700
8ac0f9549c3ace3e4b5fce653cae23b1,M,IT,Low,8,2,NA,731
872ebdcade983b6c6a86f44f7a1824c0,M,R&D,High,8,4,NA,731
c4656d92f57486baa9187bc8fc97f4c2,M,R&D,Low,8,5,NA,731
97f92a8acc5e81bae1d03903853c945c,M,HR,Low,10,2,2019-07-31,212
fe6b75851a020c5d60b5b79d28a6781d,M,Finance,Low,9,3,NA,731
eb8716e44127c6c69c9796d22744aafb,F,Finance,Low,7,3,NA,731
ea788e58615aea9a73ccc1cd339c9b48,M,HR,Low,10,4,NA,731
8fe73c3931bfbac50ef0dd384bc0c4d4,M,Finance,Medium,7,3,NA,731
29050a7e1e2b1fe5d6a9a24bdc59ed86,M,Sales/Marketing,High,8,3,NA,731
7e1bd9a9476bfbdbb5e6a4f8c1347c4d,M,Finance,Medium,8,2,NA,731
70de697a6e9a44bc71f8fa955a2117f6,M,HR,Low,10,2,NA,731
c2bb704f76a2176d42d9f83ffc68a5d4,F,Strategy & Operations,Medium,8,6,NA,731
e63424ec662aa39024ef793484ff553e,M,IT,Low,4,8,NA,731
123dd5492c075814afa406da8c1f9286,F,Finance,Low,3,5,NA,731
6cd7fbf42376e3e571f9a98ebd590246,M,HR,High,8,3,NA,731
743fa4a070647b249ae8b80f82379a97,F,Finance,Low,4,1,2020-09-30,639
54deb292d97928c7f6317391ddaebdaa,F,IT,Low,8,8,2020-06-30,547
3d1324a42875bbb974c96795e9597d8b,M,IT,Low,7,8,2019-07-31,212
0ec40b32b9e9384825411fd1a2bb0eb4,M,IT,Medium,4,7,NA,731
d3760b2b75b744eba16f025c54506fbc,M,Finance,Low,7,5,NA,731
b586d857ad1a50aa9a05e6921abd6969,M,HR,Medium,8,9,2019-07-31,212
743041dc2ff3483660c09f3bcc2d8590,F,HR,Low,7,2,2020-05-31,517
5c31f3e6465eba3139e55c851131b7f6,M,IT,Low,10,2,2020-06-30,547
0dbaede2227aaac04b4c743cfb3f3f3e,M,HR,Low,7,2,NA,731
1701afa401ac7b6a3f1556ec03b103b4,M,Finance,High,8,3,2020-09-30,639
4486dcd3141f2dcd81f15e93742c0d0d,M,IT,Low,6,2,NA,731
54a5ae2bac30d56fd23468417b58d5d1,M,Finance,Low,8,4,2020-01-31,396
dd2c75d15c842804441d53d94e5b4eb3,F,HR,Low,9,4,NA,731
183a939af445aedb1fac4ae17ec70426,M,R&D,High,4,9,2019-06-30,181
f292ea088b5da2f2f084ce17f9e9edf2,M,Sales/Marketing,Low,8,3,2020-03-31,456
722770c5e8acf5295562d969e3a13ff8,M,Sales/Marketing,Low,10,3,NA,731
99e50dbad96215fa7040e94a45ee3ecd,M,HR,Low,8,4,2019-12-31,365
56178d3b12f702f27eaafa0334d95eaf,M,Finance,High,9,4,NA,731
f83562b5f1698f14df0e89b5434c7419,M,R&D,Low,7,4,NA,731
276a1d049406c3e29bf3e447e544b9ce,F,R&D,Low,10,1,NA,731
378bb557b6be0d4d3f021b826c002869,M,Sales/Marketing,Medium,7,7,NA,731
76d435898c310178f9e3f29082168529,M,Finance,High,10,3,NA,731
b5ab6e240e1485b38d286c84e04ad326,M,Finance,Low,7,5,NA,731
588f39fb9dd2c7f6094d1af2fc8de87c,F,Finance,Low,8,8,2019-09-30,273
486d93410c7e2e78c4360eb3aa3db59a,M,IT,Low,1,10,2020-03-31,456
d53f64adec1f2cbb10ebff1fa3f30011,M,HR,Low,3,4,2019-08-31,243
08cb6ce1b6e9cb9975bb40867360f5ff,F,Finance,Low,8,4,2019-07-31,212
d961974046313c19fcba7ca1cda89080,F,IT,Low,7,7,2020-05-31,517
a75b115a0fd4e0ba31bbff070ca1eec5,M,HR,Medium,8,4,NA,731
4d109019862d4d035ceea7e545174672,M,Finance,Low,3,6,NA,731
8a0af3c3089e286386c4db216df8f296,M,Finance,Low,7,7,NA,731
82f5aa061d4c49c0f127d9dc5dd1441e,M,Sales/Marketing,Low,9,3,NA,731
f3bc414b528c824422dcd19fd88d6bc1,M,IT,High,8,3,NA,731
4b03f58b67dcedb389ef61b8c1fbd3fe,F,HR,Low,7,10,NA,731
d5ec4595dd3ca91101f6fa5c207db156,M,Finance,Low,8,3,2020-04-30,486
90d2e31101a715b93884651454b2e9eb,M,Finance,Low,7,3,NA,731
b8df58b816e0685018fc13972313d775,F,IT,Low,3,4,NA,731
f4c63f3ef5470f7edcc6c91ddbb6b870,M,HR,High,8,3,NA,731
0f083f7b7ec09bc23dc33bea48691b67,M,HR,Low,10,7,2019-11-30,334
b90935891a4aa3cbfeb101bfa47bd893,M,Finance,Low,4,6,NA,731
36a0e351213ab92d955cd79f43b03e94,F,HR,Low,8,1,NA,731
d71382aeb5724bd9435f8bd84dd93934,M,Finance,Low,10,2,NA,731
98c1f7aa059b6a20b0596f78cb8d4f40,F,HR,Low,9,3,2019-11-30,334
a4c495b4ae9161c31d5e0979b0f6691b,F,Finance,Low,2,10,2019-12-31,365
c27acf9a9503556a1c2089d362756db6,M,HR,Medium,8,7,NA,731
908a2f57f16ec82811102222f6670d31,M,IT,Medium,1,9,2019-09-30,273
270eb1b3e8143e1e3fe85fa2fb073602,M,HR,Low,8,3,2020-04-30,486
fa567358843e439e003500de333a25a2,M,IT,Low,6,4,2019-09-30,273
680c88515a1be01c253fe430e28dd9f8,M,Sales/Marketing,Low,6,4,NA,731
8086b2a3691b5f7d6010a4cff15ca684,F,HR,Medium,3,1,2019-08-31,243
2f9ec5e5d9746c0a335788981e94c180,M,IT,Low,7,2,NA,731
2b04cfd7e5b014403de15788540ce5ad,F,Finance,Low,8,4,NA,731
f98efaa3967194844c8950b6c55486e6,F,HR,Medium,8,3,NA,731
68499ffaacc5144d64cc2ceea28e269c,M,IT,Medium,8,6,NA,731
a33818b89ec152ab9bf378a2e5f0cbee,M,IT,Low,10,1,NA,731
95432bef21414425d9b101e3043203e0,F,IT,Low,9,1,NA,731
eac6153e282da98bdedb3eac59d3ebb9,M,Finance,High,7,3,NA,731
1517c2d49e0af4f7510622fcb6119547,M,HR,Low,8,1,2020-03-31,456
72109fe87b99e303d215e87c3d6c3271,F,R&D,Medium,7,8,2020-02-29,425
30b3f803484d4f1f1262c015d614ccf3,F,Finance,Low,7,3,NA,731
eef6ffa7669a0f9f93254251a25ff531,M,HR,Low,6,3,2019-07-31,212
5acf3e079ad24e63d0a8b34114c15b80,M,Finance,Low,8,4,2019-08-31,243
5ea601ce573d85f43252dd68810001d7,M,HR,Medium,8,2,2019-11-30,334
71fce23e2d6e5d7634b18f965ef9ebc8,M,IT,Low,7,4,NA,731
6f156129633c7ba4ba78641782c0412f,M,HR,Low,7,2,NA,731
208edb2d8aad392c2888a8b46fcd2a14,M,IT,Medium,10,3,NA,731
80afa79dd40751af59634c379cadf082,M,HR,Low,8,3,2019-07-31,212
01904f608de589f8224515b6e4d60db8,M,Finance,Low,8,3,NA,731
7bca36eafc9ad875b2d7a499d09e2637,F,HR,Low,7,4,2020-09-30,639
e6fde94b3ccfe16eb6ed5ae54cdf79a9,F,Finance,Medium,8,8,NA,731
70f817cd04eb747f93896f3842f2c17b,F,Finance,Low,7,2,NA,731
69eb7e4c13ed1c440db9cef9fe3ead43,M,HR,Medium,9,3,NA,731
23dfe6cbccf6d745a42fbf9c4433cacd,F,HR,Low,7,3,NA,731
