subject,gender,age,trait,stereotype
55,male,5,nice,0.111111111
56,female,5,nice,0.888888889
57,male,7,nice,0.888888889
58,male,5,nice,0.777777778
59,female,6,nice,0.777777778
60,male,6,nice,0.111111111
61,male,5,nice,0.833333333
62,male,5,nice,0.777777778
63,female,5,nice,0.777777778
64,male,7,nice,0.666666667
65,female,6,nice,0.555555556
66,male,5,nice,0.888888889
67,male,6,nice,0.611111111
68,male,6,nice,0.166666667
69,male,6,nice,0.333333333
70,female,6,nice,0.388888889
71,male,6,nice,0.111111111
72,female,6,nice,0.5
73,male,7,nice,0.388888889
74,female,5,nice,0.888888889
75,female,7,nice,0.833333333
76,male,6,nice,0.388888889
77,female,6,nice,0.722222222
78,male,6,nice,0.333333333
79,male,7,nice,0.444444444
80,male,6,nice,0.111111111
81,male,5,nice,0.722222222
82,male,5,nice,0.611111111
83,male,6,nice,0.555555556
84,female,7,nice,0.5
85,female,6,nice,0.888888889
86,female,6,nice,0.722222222
87,female,7,nice,0.888888889
88,male,7,nice,0
89,male,7,nice,0.611111111
90,male,7,nice,0
91,male,7,nice,0.444444444
92,male,7,nice,0.5
93,male,6,nice,0.888888889
94,male,5,nice,0.888888889
95,female,5,nice,0.611111111
96,female,7,nice,0.777777778
