id "score" "gender" "courses"
"234" 15 "Male" "alg+geom"
"235" 16 "Male" "alg+geom"
"236" 10 "Male" "alg+geom"
"237" 22 "Male" "alg+geom"
"238" 17 "Male" "alg+geom"
"239" 16 "Male" "alg+geom"
"240" 14 "Male" "alg+geom"
"241" 17 "Male" "alg+geom"
"242" 16 "Male" "alg+geom"
"243" 17 "Male" "alg+geom"
"244" 13 "Male" "alg+geom"
"245" 16 "Male" "alg+geom"
"246" 22 "Male" "alg+geom"
"247" 14 "Male" "alg+geom"
"248" 15 "Male" "alg+geom"
"249" 18 "Male" "alg+geom"
"250" 20 "Male" "alg+geom"
"251" 17 "Male" "alg+geom"
"252" 17 "Male" "alg+geom"
"253" 18 "Male" "alg+geom"
"254" 20 "Male" "alg+geom"
"255" 15 "Male" "alg+geom"
"256" 22 "Male" "alg+geom"
"257" 26 "Male" "alg+geom"
"258" 14 "Male" "alg+geom"
"259" 27 "Male" "alg+geom"
"260" 13 "Male" "alg+geom"
"261" 14 "Male" "alg+geom"
"262" 16 "Male" "alg+geom"
"263" 13 "Male" "alg+geom"
"264" 14 "Male" "alg+geom"
"265" 5 "Male" "alg+geom"
"266" 13 "Male" "alg+geom"
"267" 20 "Male" "alg+geom"
"268" 19 "Male" "alg+geom"
"269" 18 "Male" "alg+geom"
"270" 23 "Male" "alg+geom"
"271" 6 "Male" "alg+geom"
"272" 11 "Male" "alg+geom"
"273" 18 "Male" "alg+geom"
"274" 15 "Male" "alg+geom"
"275" 12 "Male" "alg+geom"
"276" 15 "Male" "alg+geom"
"277" 24 "Male" "alg+geom"
"278" 19 "Male" "alg+geom"
"279" 12 "Male" "alg+geom"
"280" 18 "Male" "alg+geom"
"281" 14 "Male" "alg+geom"
"282" 11 "Male" "alg+geom"
"283" 11 "Male" "alg+geom"
"284" 11 "Male" "alg+geom"
"285" 17 "Male" "alg+geom"
"286" 10 "Male" "alg+geom"
"287" 26 "Male" "alg+geom"
"288" 15 "Male" "alg+geom"
"289" 9 "Male" "alg+geom"
"290" 11 "Male" "alg+geom"
"291" 10 "Male" "alg+geom"
"292" 20 "Male" "alg+geom"
"293" 12 "Male" "alg+geom"
"294" 10 "Male" "alg+geom"
"295" 21 "Male" "alg+geom"
"296" 15 "Male" "alg+geom"
"297" 28 "Male" "alg+geom"
"298" 18 "Male" "alg+geom"
"299" 19 "Male" "alg+geom"
"300" 8 "Male" "alg+geom"
"301" 20 "Male" "alg+geom"
"302" 23 "Male" "alg+geom"
"303" 20 "Male" "alg+geom"
"304" 16 "Male" "alg+geom"
"305" 14 "Male" "alg+geom"
"306" 17 "Male" "alg+geom"
"307" 18 "Male" "alg+geom"
"308" 17 "Male" "alg+geom"
"309" 5 "Male" "alg+geom"
"310" 13 "Male" "alg+geom"
"311" 7 "Male" "alg+geom"
"312" 11 "Male" "alg+geom"
"313" 19 "Male" "alg+geom"
"314" 8 "Male" "alg+geom"
"315" 2 "Male" "alg+geom"
"316" 14 "Male" "alg+geom"
"317" 15 "Male" "alg+geom"
"318" 18 "Male" "alg+geom"
"319" 10 "Male" "alg+geom"
"320" 21 "Male" "alg+geom"
"321" 24 "Male" "alg+geom"
"322" 7 "Male" "alg+geom"
"323" 19 "Male" "alg+geom"
"324" 24 "Male" "alg+geom"
"325" 13 "Male" "alg+geom"
"326" 21 "Male" "alg+geom"
"327" 16 "Male" "alg+geom"
"328" 14 "Male" "alg+geom"
"329" 17 "Male" "alg+geom"
"330" 14 "Male" "alg+geom"
"331" 11 "Male" "alg+geom"
"332" 10 "Male" "alg+geom"
"333" 21 "Male" "alg+geom"
"334" 13 "Male" "alg+geom"
"335" 29 "Male" "alg+geom"
"336" 15 "Male" "alg+geom"
"337" 15 "Male" "alg+geom"
"338" 20 "Male" "alg+geom"
"339" 23 "Male" "alg+geom"
"340" 16 "Male" "alg+geom"
"341" 17 "Male" "alg+geom"
"342" 14 "Male" "alg+geom"
"343" 22 "Male" "alg+geom"
"344" 12 "Male" "alg+geom"
"345" 20 "Male" "alg+geom"
"346" 28 "Male" "alg+geom"
"347" 15 "Male" "alg+geom"
"348" 12 "Male" "alg+geom"
"349" 26 "Male" "alg+geom"
"350" 18 "Male" "alg+geom"
"351" 22 "Male" "alg+geom"
"352" 19 "Male" "alg+geom"
"353" 15 "Male" "alg+geom"
"354" 12 "Female" "alg+geom"
"355" 15 "Female" "alg+geom"
"356" 14 "Female" "alg+geom"
"357" 15 "Female" "alg+geom"
"358" 20 "Female" "alg+geom"
"359" 21 "Female" "alg+geom"
"360" 21 "Female" "alg+geom"
"361" 13 "Female" "alg+geom"
"362" 7 "Female" "alg+geom"
"363" 11 "Female" "alg+geom"
"364" 13 "Female" "alg+geom"
"365" 16 "Female" "alg+geom"
"366" 10 "Female" "alg+geom"
"367" 25 "Female" "alg+geom"
"368" 13 "Female" "alg+geom"
"369" 13 "Female" "alg+geom"
"370" 6 "Female" "alg+geom"
"371" 19 "Female" "alg+geom"
"372" 8 "Female" "alg+geom"
"373" 7 "Female" "alg+geom"
"374" 3 "Female" "alg+geom"
"375" 22 "Female" "alg+geom"
"376" 18 "Female" "alg+geom"
"377" 19 "Female" "alg+geom"
"378" 14 "Female" "alg+geom"
"379" 22 "Female" "alg+geom"
"380" 11 "Female" "alg+geom"
"381" 20 "Female" "alg+geom"
"382" 11 "Female" "alg+geom"
"383" 14 "Female" "alg+geom"
"384" 24 "Female" "alg+geom"
"385" 16 "Female" "alg+geom"
"386" 15 "Female" "alg+geom"
"387" 24 "Female" "alg+geom"
"388" 18 "Female" "alg+geom"
"389" 9 "Female" "alg+geom"
"390" 22 "Female" "alg+geom"
"391" 11 "Female" "alg+geom"
"392" 12 "Female" "alg+geom"
"393" 16 "Female" "alg+geom"
"394" 14 "Female" "alg+geom"
"395" 16 "Female" "alg+geom"
"396" 14 "Female" "alg+geom"
"397" 21 "Female" "alg+geom"
"398" 13 "Female" "alg+geom"
"399" 17 "Female" "alg+geom"
"400" 9 "Female" "alg+geom"
"401" 15 "Female" "alg+geom"
"402" 17 "Female" "alg+geom"
"403" 22 "Female" "alg+geom"
"404" 20 "Female" "alg+geom"
"405" 16 "Female" "alg+geom"
"406" 15 "Female" "alg+geom"
"407" 11 "Female" "alg+geom"
"408" 14 "Female" "alg+geom"
"409" 16 "Female" "alg+geom"
"410" 11 "Female" "alg+geom"
"411" 17 "Female" "alg+geom"
"412" 11 "Female" "alg+geom"
"413" 16 "Female" "alg+geom"
"414" 5 "Female" "alg+geom"
"415" 9 "Female" "alg+geom"
"416" 7 "Female" "alg+geom"
"417" 7 "Female" "alg+geom"
"418" 25 "Female" "alg+geom"
"419" 23 "Female" "alg+geom"
"420" 9 "Female" "alg+geom"
"421" 10 "Female" "alg+geom"
"422" 18 "Female" "alg+geom"
"423" 11 "Female" "alg+geom"
"424" 16 "Female" "alg+geom"
"425" 21 "Female" "alg+geom"
"426" 20 "Female" "alg+geom"
"427" 15 "Female" "alg+geom"
"428" 18 "Female" "alg+geom"
"429" 12 "Female" "alg+geom"
"430" 21 "Female" "alg+geom"
"431" 21 "Female" "alg+geom"
"432" 15 "Female" "alg+geom"
"433" 8 "Female" "alg+geom"
"434" 8 "Female" "alg+geom"
"435" 8 "Female" "alg+geom"
"436" 10 "Female" "alg+geom"
"437" 16 "Female" "alg+geom"
"438" 16 "Female" "alg+geom"
"439" 18 "Female" "alg+geom"
"440" 15 "Female" "alg+geom"
"441" 19 "Female" "alg+geom"
"442" 14 "Female" "alg+geom"
"443" 16 "Female" "alg+geom"
"444" 8 "Female" "alg+geom"
"445" 4 "Female" "alg+geom"
"446" 11 "Female" "alg+geom"
"447" 17 "Female" "alg+geom"
"448" 13 "Female" "alg+geom"
"449" 22 "Female" "alg+geom"
"450" 12 "Female" "alg+geom"
"451" 14 "Female" "alg+geom"
"452" 12 "Female" "alg+geom"
"453" 15 "Female" "alg+geom"
"454" 17 "Female" "alg+geom"
"455" 8 "Female" "alg+geom"
"456" 14 "Female" "alg+geom"
"457" 13 "Female" "alg+geom"
"458" 11 "Female" "alg+geom"
"459" 14 "Female" "alg+geom"
"460" 16 "Female" "alg+geom"
"461" 9 "Female" "alg+geom"
"462" 17 "Female" "alg+geom"
"463" 17 "Female" "alg+geom"
"464" 13 "Female" "alg+geom"
"465" 21 "Female" "alg+geom"
"466" 12 "Female" "alg+geom"
"467" 15 "Female" "alg+geom"
"468" 6 "Female" "alg+geom"
"469" 17 "Female" "alg+geom"
"470" 12 "Female" "alg+geom"
"471" 18 "Female" "alg+geom"
"472" 14 "Female" "alg+geom"
"473" 14 "Female" "alg+geom"
"474" 8 "Female" "alg+geom"
"475" 13 "Female" "alg+geom"
"476" 11 "Female" "alg+geom"
"477" 17 "Female" "alg+geom"
"478" 11 "Female" "alg+geom"
"479" 10 "Female" "alg+geom"
"480" 8 "Female" "alg+geom"
"481" 16 "Female" "alg+geom"
"482" 10 "Female" "alg+geom"
"483" 11 "Female" "alg+geom"
"484" 4 "Female" "alg+geom"
"485" 14 "Female" "alg+geom"
"486" 10 "Female" "alg+geom"
"487" 13 "Female" "alg+geom"
"488" 22 "Female" "alg+geom"
"489" 9 "Female" "alg+geom"
"490" 7 "Female" "alg+geom"
"491" 11 "Female" "alg+geom"
"492" 10 "Female" "alg+geom"
"493" 19 "Female" "alg+geom"
"494" 16 "Female" "alg+geom"
"495" 8 "Female" "alg+geom"
"496" 14 "Female" "alg+geom"
"497" 10 "Female" "alg+geom"
"498" 18 "Female" "alg+geom"
"499" 9 "Female" "alg+geom"
"500" 25 "Female" "alg+geom"
"501" 13 "Female" "alg+geom"
"502" 22 "Female" "alg+geom"
"503" 16 "Female" "alg+geom"
"504" 13 "Female" "alg+geom"
"505" 19 "Female" "alg+geom"
"506" 14 "Female" "alg+geom"
"507" 18 "Female" "alg+geom"
"508" 12 "Female" "alg+geom"
"509" 12 "Female" "alg+geom"
"510" 10 "Female" "alg+geom"
"511" 0 "Female" "alg+geom"
"512" 14 "Female" "alg+geom"
"513" 15 "Female" "alg+geom"
"514" 13 "Female" "alg+geom"
"515" 11 "Female" "alg+geom"
"516" 9 "Female" "alg+geom"
"517" 12 "Female" "alg+geom"
"518" 15 "Female" "alg+geom"
"519" 14 "Female" "alg+geom"
"520" 8 "Female" "alg+geom"
"521" 20 "Female" "alg+geom"
"522" 16 "Female" "alg+geom"
"523" 10 "Female" "alg+geom"
"524" 22 "Female" "alg+geom"
"525" 23 "Female" "alg+geom"
"526" 20 "Female" "alg+geom"
"527" 11 "Female" "alg+geom"
"528" 12 "Female" "alg+geom"
"529" 20 "Female" "alg+geom"
"530" 0 "Female" "alg+geom"
"531" 14 "Female" "alg+geom"
"532" 15 "Female" "alg+geom"
"533" 13 "Female" "alg+geom"
"534" 9 "Female" "alg+geom"
"535" 15 "Female" "alg+geom"
"536" 19 "Female" "alg+geom"
"537" 9 "Female" "alg+geom"
"538" 13 "Female" "alg+geom"
"539" 17 "Female" "alg+geom"
"540" 17 "Female" "alg+geom"
"541" 23 "Female" "alg+geom"
"542" 14 "Female" "alg+geom"
"543" 18 "Female" "alg+geom"
"544" 13 "Female" "alg+geom"
"545" 14 "Female" "alg+geom"
"546" 3 "Female" "alg+geom"
"547" 15 "Female" "alg+geom"
"548" 13 "Female" "alg+geom"
"549" 14 "Female" "alg+geom"
"550" 11 "Female" "alg+geom"
"551" 21 "Female" "alg+geom"
"552" 14 "Female" "alg+geom"
"553" 18 "Female" "alg+geom"
"554" 22 "Female" "alg+geom"
"555" 20 "Female" "alg+geom"
"556" 12 "Female" "alg+geom"
"557" 20 "Female" "alg+geom"
"558" 19 "Female" "alg+geom"
"559" 14 "Female" "alg+geom"
"560" 14 "Female" "alg+geom"
"561" 15 "Female" "alg+geom"
"562" 12 "Female" "alg+geom"
"563" 17 "Female" "alg+geom"
"564" 11 "Female" "alg+geom"
"565" 12 "Female" "alg+geom"
"566" 22 "Female" "alg+geom"
"567" 10 "Female" "alg+geom"
"568" 9 "Female" "alg+geom"
"569" 15 "Female" "alg+geom"
"570" 21 "Female" "alg+geom"
"571" 19 "Female" "alg+geom"
"572" 11 "Female" "alg+geom"
"573" 15 "Female" "alg+geom"
"574" 19 "Female" "alg+geom"
"575" 13 "Female" "alg+geom"
"576" 12 "Female" "alg+geom"
"577" 19 "Female" "alg+geom"
"578" 11 "Female" "alg+geom"
"579" 15 "Female" "alg+geom"
"580" 16 "Female" "alg+geom"
"581" 22 "Female" "alg+geom"
"582" 7 "Female" "alg+geom"
"583" 22 "Female" "alg+geom"
"584" 11 "Female" "alg+geom"
"585" 14 "Female" "alg+geom"
"586" 11 "Female" "alg+geom"
"587" 10 "Female" "alg+geom"
"588" 20 "Female" "alg+geom"
"589" 17 "Female" "alg+geom"
"590" 16 "Female" "alg+geom"
"591" 11 "Female" "alg+geom"
"592" 17 "Female" "alg+geom"
"593" 4 "Female" "alg+geom"
"594" 4 "Female" "alg+geom"
"595" 25 "Female" "alg+geom"
"596" 9 "Female" "alg+geom"
"597" 18 "Female" "alg+geom"
"598" 15 "Female" "alg+geom"
"599" 11 "Female" "alg+geom"
"600" 14 "Female" "alg+geom"
"601" 9 "Female" "alg+geom"
"602" 22 "Female" "alg+geom"
"603" 13 "Female" "alg+geom"
"604" 11 "Female" "alg+geom"
"605" 17 "Female" "alg+geom"
"606" 6 "Female" "alg+geom"
"607" 22 "Female" "alg+geom"
"608" 16 "Female" "alg+geom"
"609" 16 "Female" "alg+geom"
"610" 14 "Female" "alg+geom"
"611" 11 "Female" "alg+geom"
"612" 14 "Female" "alg+geom"
"613" 11 "Female" "alg+geom"
"614" 7 "Female" "alg+geom"
"615" 13 "Female" "alg+geom"
"616" 7 "Female" "alg+geom"
"617" 4 "Female" "alg+geom"
"618" 8 "Female" "alg+geom"
"619" 16 "Female" "alg+geom"
"620" 18 "Female" "alg+geom"
"621" 18 "Female" "alg+geom"
"622" 7 "Female" "alg+geom"
"623" 14 "Female" "alg+geom"
"624" 5 "Female" "alg+geom"
"625" 12 "Female" "alg+geom"
"626" 22 "Female" "alg+geom"
"627" 21 "Female" "alg+geom"
"628" 10 "Female" "alg+geom"
"629" 17 "Female" "alg+geom"
"630" 15 "Female" "alg+geom"
"631" 20 "Female" "alg+geom"
"632" 20 "Female" "alg+geom"
"633" 11 "Female" "alg+geom"
"634" 14 "Female" "alg+geom"
"635" 10 "Female" "alg+geom"
"636" 18 "Female" "alg+geom"
"637" 17 "Female" "alg+geom"
"638" 14 "Female" "alg+geom"
"639" 18 "Female" "alg+geom"
"640" 16 "Female" "alg+geom"
"641" 17 "Female" "alg+geom"
"642" 13 "Female" "alg+geom"
"643" 6 "Female" "alg+geom"
"644" 12 "Female" "alg+geom"
"645" 21 "Female" "alg+geom"
"646" 20 "Female" "alg+geom"
"647" 28 "Female" "alg+geom"
"648" 22 "Female" "alg+geom"
"649" 14 "Female" "alg+geom"
"650" 10 "Female" "alg+geom"
"651" 12 "Female" "alg+geom"
"652" 12 "Female" "alg+geom"
"653" 9 "Female" "alg+geom"
"654" 16 "Female" "alg+geom"
"655" 9 "Female" "alg+geom"
"656" 14 "Female" "alg+geom"
"657" 18 "Female" "alg+geom"
"658" 15 "Female" "alg+geom"
"659" 26 "Female" "alg+geom"
"660" 6 "Female" "alg+geom"
"661" 16 "Female" "alg+geom"
"662" 13 "Female" "alg+geom"
"663" 12 "Female" "alg+geom"
"664" 20 "Female" "alg+geom"
"665" 2 "Female" "alg+geom"
"666" 9 "Female" "alg+geom"
"667" 20 "Female" "alg+geom"
"668" 16 "Female" "alg+geom"
"669" 14 "Female" "alg+geom"
"670" 20 "Female" "alg+geom"
"671" 8 "Female" "alg+geom"
"672" 14 "Female" "alg+geom"
"673" 11 "Female" "alg+geom"
"674" 12 "Female" "alg+geom"
"675" 4 "Female" "alg+geom"
"676" 27 "Female" "alg+geom"
"677" 17 "Female" "alg+geom"
"678" 19 "Female" "alg+geom"
"679" 17 "Female" "alg+geom"
"680" 9 "Female" "alg+geom"
"681" 1 "Female" "alg+geom"
"682" 15 "Female" "alg+geom"
"683" 11 "Female" "alg+geom"
"684" 15 "Female" "alg+geom"
"685" 18 "Female" "alg+geom"
"686" 16 "Female" "alg+geom"
"687" 11 "Female" "alg+geom"
"688" 6 "Female" "alg+geom"
"689" 15 "Female" "alg+geom"
"690" 10 "Female" "alg+geom"
"691" 17 "Female" "alg+geom"
"692" 12 "Female" "alg+geom"
"693" 13 "Female" "alg+geom"
"694" 20 "Female" "alg+geom"
"695" 21 "Female" "alg+geom"
"696" 11 "Female" "alg+geom"
"697" 15 "Female" "alg+geom"
"698" 11 "Female" "alg+geom"
"699" 10 "Female" "alg+geom"
"700" 14 "Female" "alg+geom"
"701" 13 "Female" "alg+geom"
"702" 12 "Female" "alg+geom"
"703" 17 "Female" "alg+geom"
"704" 7 "Female" "alg+geom"
"705" 17 "Female" "alg+geom"
"706" 16 "Female" "alg+geom"
"707" 20 "Female" "alg+geom"
"708" 17 "Female" "alg+geom"
"709" 15 "Female" "alg+geom"
"710" 19 "Female" "alg+geom"
"711" 5 "Female" "alg+geom"
"712" 17 "Female" "alg+geom"
"713" 22 "Female" "alg+geom"
"714" 12 "Female" "alg+geom"
"715" 2 "Female" "alg+geom"
"716" 14 "Female" "alg+geom"
"717" 1 "Female" "alg+geom"
"718" 9 "Female" "alg+geom"
"719" 9 "Female" "alg+geom"
"720" 13 "Female" "alg+geom"
"721" 14 "Female" "alg+geom"
"722" 18 "Female" "alg+geom"
"723" 10 "Female" "alg+geom"
"724" 9 "Female" "alg+geom"
"725" 5 "Female" "alg+geom"
"726" 13 "Female" "alg+geom"
"727" 7 "Female" "alg+geom"
"728" 10 "Female" "alg+geom"
"729" 13 "Female" "alg+geom"
"730" 13 "Female" "alg+geom"
"731" 9 "Female" "alg+geom"
"732" 15 "Female" "alg+geom"
"733" 8 "Female" "alg+geom"
"734" 17 "Female" "alg+geom"
"735" 19 "Female" "alg+geom"
"736" 17 "Female" "alg+geom"
"737" 11 "Female" "alg+geom"
"738" 10 "Female" "alg+geom"
"739" 10 "Female" "alg+geom"
"740" 8 "Female" "alg+geom"
"741" 32 "Male" "calc"
"742" 20 "Male" "calc"
"743" 18 "Male" "calc"
"744" 22 "Male" "calc"
"745" 27 "Male" "calc"
"746" 24 "Male" "calc"
"747" 30 "Male" "calc"
"748" 25 "Male" "calc"
"749" 24 "Male" "calc"
"750" 36 "Male" "calc"
"751" 24 "Male" "calc"
"752" 24 "Male" "calc"
"753" 26 "Male" "calc"
"754" 23 "Male" "calc"
"755" 13 "Male" "calc"
"756" 17 "Male" "calc"
"757" 27 "Male" "calc"
"758" 17 "Male" "calc"
"759" 26 "Male" "calc"
"760" 26 "Male" "calc"
"761" 26 "Male" "calc"
"762" 31 "Male" "calc"
"763" 32 "Male" "calc"
"764" 31 "Male" "calc"
"765" 36 "Male" "calc"
"766" 24 "Male" "calc"
"767" 33 "Male" "calc"
"768" 19 "Male" "calc"
"769" 22 "Male" "calc"
"770" 28 "Male" "calc"
"771" 31 "Male" "calc"
"772" 21 "Male" "calc"
"773" 32 "Male" "calc"
"774" 22 "Male" "calc"
"775" 20 "Male" "calc"
"776" 27 "Male" "calc"
"777" 34 "Male" "calc"
"778" 27 "Male" "calc"
"779" 21 "Male" "calc"
"780" 32 "Male" "calc"
"781" 25 "Male" "calc"
"782" 28 "Male" "calc"
"783" 22 "Male" "calc"
"784" 25 "Male" "calc"
"785" 17 "Male" "calc"
"786" 23 "Male" "calc"
"787" 25 "Male" "calc"
"788" 30 "Male" "calc"
"789" 34 "Male" "calc"
"790" 18 "Male" "calc"
"791" 18 "Male" "calc"
"792" 23 "Male" "calc"
"793" 32 "Male" "calc"
"794" 24 "Male" "calc"
"795" 30 "Male" "calc"
"796" 35 "Male" "calc"
"797" 24 "Male" "calc"
"798" 33 "Male" "calc"
"799" 23 "Male" "calc"
"800" 18 "Male" "calc"
"801" 31 "Male" "calc"
"802" 26 "Male" "calc"
"803" 18 "Male" "calc"
"804" 20 "Male" "calc"
"805" 24 "Male" "calc"
"806" 16 "Male" "calc"
"807" 32 "Male" "calc"
"808" 20 "Female" "calc"
"809" 22 "Female" "calc"
