id "class" "age" "sex" "vote"
"170" "upper middle" "26-40" "male" "labour"
"171" "upper middle" "26-40" "male" "labour"
"172" "upper middle" "26-40" "male" "labour"
"173" "upper middle" "26-40" "male" "labour"
"174" "upper middle" "26-40" "male" "labour"
"175" "upper middle" "26-40" "male" "labour"
"176" "upper middle" "26-40" "male" "labour"
"177" "upper middle" "26-40" "male" "labour"
"178" "upper middle" "26-40" "male" "labour"
"179" "upper middle" "26-40" "female" "conservative"
"180" "upper middle" "26-40" "female" "conservative"
"181" "upper middle" "26-40" "female" "conservative"
"182" "upper middle" "26-40" "female" "conservative"
"183" "upper middle" "26-40" "female" "conservative"
"184" "upper middle" "26-40" "female" "conservative"
"185" "upper middle" "26-40" "female" "conservative"
"186" "upper middle" "26-40" "female" "conservative"
"187" "upper middle" "26-40" "female" "conservative"
"188" "upper middle" "26-40" "female" "conservative"
"189" "upper middle" "26-40" "female" "conservative"
"190" "upper middle" "26-40" "female" "conservative"
"191" "upper middle" "26-40" "female" "conservative"
"192" "upper middle" "26-40" "female" "conservative"
"193" "upper middle" "26-40" "female" "conservative"
"194" "upper middle" "26-40" "female" "conservative"
"195" "upper middle" "26-40" "female" "conservative"
"196" "upper middle" "26-40" "female" "conservative"
"197" "upper middle" "26-40" "female" "conservative"
"198" "upper middle" "26-40" "female" "conservative"
"199" "upper middle" "26-40" "female" "conservative"
"200" "upper middle" "26-40" "female" "conservative"
"201" "upper middle" "26-40" "female" "conservative"
"202" "upper middle" "26-40" "female" "conservative"
"203" "upper middle" "26-40" "female" "conservative"
"204" "upper middle" "26-40" "female" "conservative"
"205" "upper middle" "26-40" "female" "conservative"
"206" "upper middle" "26-40" "female" "conservative"
"207" "upper middle" "26-40" "female" "labour"
"208" "upper middle" "26-40" "female" "labour"
"209" "upper middle" "26-40" "female" "labour"
"210" "upper middle" "26-40" "female" "labour"
"211" "upper middle" "26-40" "female" "labour"
"212" "upper middle" "26-40" "female" "labour"
"213" "upper middle" "26-40" "female" "labour"
"214" "upper middle" "26-40" "female" "labour"
"215" "upper middle" "26-40" "female" "labour"
"216" "upper middle" "<26" "male" "conservative"
"217" "upper middle" "<26" "male" "conservative"
"218" "upper middle" "<26" "male" "conservative"
"219" "upper middle" "<26" "male" "conservative"
"220" "upper middle" "<26" "male" "conservative"
"221" "upper middle" "<26" "male" "conservative"
"222" "upper middle" "<26" "male" "conservative"
"223" "upper middle" "<26" "male" "labour"
"224" "upper middle" "<26" "male" "labour"
"225" "upper middle" "<26" "male" "labour"
"226" "upper middle" "<26" "male" "labour"
"227" "upper middle" "<26" "male" "labour"
"228" "upper middle" "<26" "male" "labour"
"229" "upper middle" "<26" "female" "conservative"
"230" "upper middle" "<26" "female" "conservative"
"231" "upper middle" "<26" "female" "conservative"
"232" "upper middle" "<26" "female" "conservative"
"233" "upper middle" "<26" "female" "conservative"
"234" "upper middle" "<26" "female" "conservative"
"235" "upper middle" "<26" "female" "conservative"
"236" "upper middle" "<26" "female" "labour"
"237" "upper middle" "<26" "female" "labour"
"238" "upper middle" "<26" "female" "labour"
"239" "lower middle" ">75" "male" "conservative"
"240" "lower middle" ">75" "male" "conservative"
"241" "lower middle" ">75" "male" "conservative"
"242" "lower middle" ">75" "male" "conservative"
"243" "lower middle" ">75" "male" "conservative"
"244" "lower middle" ">75" "male" "conservative"
"245" "lower middle" ">75" "male" "conservative"
"246" "lower middle" ">75" "male" "conservative"
"247" "lower middle" ">75" "male" "labour"
"248" "lower middle" ">75" "male" "labour"
"249" "lower middle" ">75" "male" "labour"
"250" "lower middle" ">75" "male" "labour"
"251" "lower middle" ">75" "female" "conservative"
"252" "lower middle" ">75" "female" "conservative"
"253" "lower middle" ">75" "female" "conservative"
"254" "lower middle" ">75" "female" "conservative"
"255" "lower middle" ">75" "female" "conservative"
"256" "lower middle" ">75" "female" "conservative"
"257" "lower middle" ">75" "female" "conservative"
"258" "lower middle" ">75" "female" "conservative"
"259" "lower middle" ">75" "female" "conservative"
"260" "lower middle" ">75" "female" "labour"
"261" "lower middle" ">75" "female" "labour"
"262" "lower middle" "51-75" "male" "conservative"
"263" "lower middle" "51-75" "male" "conservative"
"264" "lower middle" "51-75" "male" "conservative"
"265" "lower middle" "51-75" "male" "conservative"
"266" "lower middle" "51-75" "male" "conservative"
"267" "lower middle" "51-75" "male" "conservative"
"268" "lower middle" "51-75" "male" "conservative"
"269" "lower middle" "51-75" "male" "conservative"
"270" "lower middle" "51-75" "male" "conservative"
"271" "lower middle" "51-75" "male" "conservative"
"272" "lower middle" "51-75" "male" "conservative"
"273" "lower middle" "51-75" "male" "conservative"
"274" "lower middle" "51-75" "male" "conservative"
"275" "lower middle" "51-75" "male" "conservative"
"276" "lower middle" "51-75" "male" "conservative"
"277" "lower middle" "51-75" "male" "conservative"
"278" "lower middle" "51-75" "male" "conservative"
"279" "lower middle" "51-75" "male" "conservative"
"280" "lower middle" "51-75" "male" "conservative"
"281" "lower middle" "51-75" "male" "conservative"
"282" "lower middle" "51-75" "male" "conservative"
"283" "lower middle" "51-75" "male" "labour"
"284" "lower middle" "51-75" "male" "labour"
"285" "lower middle" "51-75" "male" "labour"
"286" "lower middle" "51-75" "male" "labour"
"287" "lower middle" "51-75" "male" "labour"
"288" "lower middle" "51-75" "male" "labour"
"289" "lower middle" "51-75" "male" "labour"
"290" "lower middle" "51-75" "male" "labour"
"291" "lower middle" "51-75" "male" "labour"
"292" "lower middle" "51-75" "male" "labour"
"293" "lower middle" "51-75" "male" "labour"
"294" "lower middle" "51-75" "male" "labour"
"295" "lower middle" "51-75" "male" "labour"
"296" "lower middle" "51-75" "female" "conservative"
"297" "lower middle" "51-75" "female" "conservative"
"298" "lower middle" "51-75" "female" "conservative"
"299" "lower middle" "51-75" "female" "conservative"
"300" "lower middle" "51-75" "female" "conservative"
"301" "lower middle" "51-75" "female" "conservative"
"302" "lower middle" "51-75" "female" "conservative"
"303" "lower middle" "51-75" "female" "conservative"
"304" "lower middle" "51-75" "female" "conservative"
"305" "lower middle" "51-75" "female" "conservative"
"306" "lower middle" "51-75" "female" "conservative"
"307" "lower middle" "51-75" "female" "conservative"
"308" "lower middle" "51-75" "female" "conservative"
"309" "lower middle" "51-75" "female" "conservative"
"310" "lower middle" "51-75" "female" "conservative"
"311" "lower middle" "51-75" "female" "conservative"
"312" "lower middle" "51-75" "female" "conservative"
"313" "lower middle" "51-75" "female" "conservative"
"314" "lower middle" "51-75" "female" "conservative"
"315" "lower middle" "51-75" "female" "conservative"
"316" "lower middle" "51-75" "female" "conservative"
"317" "lower middle" "51-75" "female" "conservative"
"318" "lower middle" "51-75" "female" "conservative"
"319" "lower middle" "51-75" "female" "conservative"
"320" "lower middle" "51-75" "female" "conservative"
"321" "lower middle" "51-75" "female" "conservative"
"322" "lower middle" "51-75" "female" "conservative"
"323" "lower middle" "51-75" "female" "conservative"
"324" "lower middle" "51-75" "female" "conservative"
"325" "lower middle" "51-75" "female" "conservative"
"326" "lower middle" "51-75" "female" "conservative"
"327" "lower middle" "51-75" "female" "conservative"
"328" "lower middle" "51-75" "female" "conservative"
"329" "lower middle" "51-75" "female" "labour"
"330" "lower middle" "51-75" "female" "labour"
"331" "lower middle" "51-75" "female" "labour"
"332" "lower middle" "51-75" "female" "labour"
"333" "lower middle" "51-75" "female" "labour"
"334" "lower middle" "51-75" "female" "labour"
"335" "lower middle" "51-75" "female" "labour"
"336" "lower middle" "51-75" "female" "labour"
"337" "lower middle" "41-50" "male" "conservative"
"338" "lower middle" "41-50" "male" "conservative"
"339" "lower middle" "41-50" "male" "conservative"
"340" "lower middle" "41-50" "male" "conservative"
"341" "lower middle" "41-50" "male" "conservative"
"342" "lower middle" "41-50" "male" "conservative"
"343" "lower middle" "41-50" "male" "conservative"
"344" "lower middle" "41-50" "male" "conservative"
"345" "lower middle" "41-50" "male" "conservative"
"346" "lower middle" "41-50" "male" "conservative"
"347" "lower middle" "41-50" "male" "conservative"
"348" "lower middle" "41-50" "male" "conservative"
"349" "lower middle" "41-50" "male" "conservative"
"350" "lower middle" "41-50" "male" "conservative"
"351" "lower middle" "41-50" "male" "conservative"
"352" "lower middle" "41-50" "male" "conservative"
"353" "lower middle" "41-50" "male" "conservative"
"354" "lower middle" "41-50" "male" "conservative"
"355" "lower middle" "41-50" "male" "conservative"
"356" "lower middle" "41-50" "male" "conservative"
"357" "lower middle" "41-50" "male" "conservative"
"358" "lower middle" "41-50" "male" "conservative"
"359" "lower middle" "41-50" "male" "conservative"
"360" "lower middle" "41-50" "male" "conservative"
"361" "lower middle" "41-50" "male" "conservative"
"362" "lower middle" "41-50" "male" "conservative"
"363" "lower middle" "41-50" "male" "conservative"
"364" "lower middle" "41-50" "male" "labour"
"365" "lower middle" "41-50" "male" "labour"
"366" "lower middle" "41-50" "male" "labour"
"367" "lower middle" "41-50" "male" "labour"
"368" "lower middle" "41-50" "male" "labour"
"369" "lower middle" "41-50" "male" "labour"
"370" "lower middle" "41-50" "male" "labour"
"371" "lower middle" "41-50" "male" "labour"
"372" "lower middle" "41-50" "male" "labour"
"373" "lower middle" "41-50" "male" "labour"
"374" "lower middle" "41-50" "male" "labour"
"375" "lower middle" "41-50" "male" "labour"
"376" "lower middle" "41-50" "female" "conservative"
"377" "lower middle" "41-50" "female" "conservative"
"378" "lower middle" "41-50" "female" "conservative"
"379" "lower middle" "41-50" "female" "conservative"
"380" "lower middle" "41-50" "female" "conservative"
"381" "lower middle" "41-50" "female" "conservative"
"382" "lower middle" "41-50" "female" "conservative"
"383" "lower middle" "41-50" "female" "conservative"
"384" "lower middle" "41-50" "female" "conservative"
"385" "lower middle" "41-50" "female" "conservative"
"386" "lower middle" "41-50" "female" "conservative"
"387" "lower middle" "41-50" "female" "conservative"
"388" "lower middle" "41-50" "female" "conservative"
"389" "lower middle" "41-50" "female" "conservative"
"390" "lower middle" "41-50" "female" "conservative"
"391" "lower middle" "41-50" "female" "conservative"
"392" "lower middle" "41-50" "female" "conservative"
"393" "lower middle" "41-50" "female" "conservative"
"394" "lower middle" "41-50" "female" "conservative"
"395" "lower middle" "41-50" "female" "conservative"
"396" "lower middle" "41-50" "female" "conservative"
"397" "lower middle" "41-50" "female" "conservative"
"398" "lower middle" "41-50" "female" "conservative"
"399" "lower middle" "41-50" "female" "conservative"
"400" "lower middle" "41-50" "female" "conservative"
"401" "lower middle" "41-50" "female" "conservative"
"402" "lower middle" "41-50" "female" "conservative"
"403" "lower middle" "41-50" "female" "conservative"
"404" "lower middle" "41-50" "female" "conservative"
"405" "lower middle" "41-50" "female" "labour"
"406" "lower middle" "41-50" "female" "labour"
"407" "lower middle" "41-50" "female" "labour"
"408" "lower middle" "41-50" "female" "labour"
"409" "lower middle" "26-40" "male" "conservative"
"410" "lower middle" "26-40" "male" "conservative"
"411" "lower middle" "26-40" "male" "conservative"
"412" "lower middle" "26-40" "male" "conservative"
"413" "lower middle" "26-40" "male" "conservative"
"414" "lower middle" "26-40" "male" "conservative"
"415" "lower middle" "26-40" "male" "conservative"
"416" "lower middle" "26-40" "male" "conservative"
"417" "lower middle" "26-40" "male" "conservative"
"418" "lower middle" "26-40" "male" "conservative"
"419" "lower middle" "26-40" "male" "conservative"
"420" "lower middle" "26-40" "male" "conservative"
"421" "lower middle" "26-40" "male" "conservative"
"422" "lower middle" "26-40" "male" "conservative"
"423" "lower middle" "26-40" "male" "labour"
"424" "lower middle" "26-40" "male" "labour"
"425" "lower middle" "26-40" "male" "labour"
"426" "lower middle" "26-40" "male" "labour"
"427" "lower middle" "26-40" "male" "labour"
"428" "lower middle" "26-40" "male" "labour"
"429" "lower middle" "26-40" "male" "labour"
"430" "lower middle" "26-40" "male" "labour"
"431" "lower middle" "26-40" "male" "labour"
"432" "lower middle" "26-40" "male" "labour"
"433" "lower middle" "26-40" "male" "labour"
"434" "lower middle" "26-40" "male" "labour"
"435" "lower middle" "26-40" "male" "labour"
"436" "lower middle" "26-40" "male" "labour"
"437" "lower middle" "26-40" "male" "labour"
"438" "lower middle" "26-40" "female" "conservative"
"439" "lower middle" "26-40" "female" "conservative"
"440" "lower middle" "26-40" "female" "conservative"
"441" "lower middle" "26-40" "female" "conservative"
"442" "lower middle" "26-40" "female" "conservative"
"443" "lower middle" "26-40" "female" "conservative"
"444" "lower middle" "26-40" "female" "conservative"
"445" "lower middle" "26-40" "female" "conservative"
"446" "lower middle" "26-40" "female" "conservative"
"447" "lower middle" "26-40" "female" "conservative"
"448" "lower middle" "26-40" "female" "conservative"
"449" "lower middle" "26-40" "female" "conservative"
"450" "lower middle" "26-40" "female" "conservative"
"451" "lower middle" "26-40" "female" "conservative"
"452" "lower middle" "26-40" "female" "conservative"
"453" "lower middle" "26-40" "female" "conservative"
"454" "lower middle" "26-40" "female" "conservative"
"455" "lower middle" "26-40" "female" "labour"
"456" "lower middle" "26-40" "female" "labour"
"457" "lower middle" "26-40" "female" "labour"
"458" "lower middle" "26-40" "female" "labour"
"459" "lower middle" "26-40" "female" "labour"
"460" "lower middle" "26-40" "female" "labour"
"461" "lower middle" "26-40" "female" "labour"
"462" "lower middle" "26-40" "female" "labour"
"463" "lower middle" "26-40" "female" "labour"
"464" "lower middle" "26-40" "female" "labour"
"465" "lower middle" "26-40" "female" "labour"
"466" "lower middle" "26-40" "female" "labour"
"467" "lower middle" "26-40" "female" "labour"
"468" "lower middle" "<26" "male" "conservative"
"469" "lower middle" "<26" "male" "conservative"
"470" "lower middle" "<26" "male" "conservative"
"471" "lower middle" "<26" "male" "conservative"
"472" "lower middle" "<26" "male" "conservative"
"473" "lower middle" "<26" "male" "conservative"
"474" "lower middle" "<26" "male" "conservative"
"475" "lower middle" "<26" "male" "conservative"
"476" "lower middle" "<26" "male" "conservative"
"477" "lower middle" "<26" "male" "labour"
"478" "lower middle" "<26" "male" "labour"
"479" "lower middle" "<26" "male" "labour"
"480" "lower middle" "<26" "male" "labour"
"481" "lower middle" "<26" "male" "labour"
"482" "lower middle" "<26" "male" "labour"
"483" "lower middle" "<26" "male" "labour"
"484" "lower middle" "<26" "male" "labour"
"485" "lower middle" "<26" "male" "labour"
"486" "lower middle" "<26" "female" "conservative"
"487" "lower middle" "<26" "female" "conservative"
"488" "lower middle" "<26" "female" "conservative"
"489" "lower middle" "<26" "female" "conservative"
"490" "lower middle" "<26" "female" "conservative"
"491" "lower middle" "<26" "female" "conservative"
"492" "lower middle" "<26" "female" "conservative"
"493" "lower middle" "<26" "female" "conservative"
"494" "lower middle" "<26" "female" "conservative"
"495" "lower middle" "<26" "female" "conservative"
"496" "lower middle" "<26" "female" "conservative"
"497" "lower middle" "<26" "female" "conservative"
"498" "lower middle" "<26" "female" "conservative"
"499" "lower middle" "<26" "female" "labour"
"500" "lower middle" "<26" "female" "labour"
"501" "lower middle" "<26" "female" "labour"
"502" "lower middle" "<26" "female" "labour"
"503" "lower middle" "<26" "female" "labour"
"504" "lower middle" "<26" "female" "labour"
"505" "lower middle" "<26" "female" "labour"
"506" "working" ">75" "male" "conservative"
"507" "working" ">75" "male" "conservative"
"508" "working" ">75" "male" "conservative"
"509" "working" ">75" "male" "conservative"
"510" "working" ">75" "male" "conservative"
"511" "working" ">75" "male" "conservative"
"512" "working" ">75" "male" "conservative"
"513" "working" ">75" "male" "conservative"
"514" "working" ">75" "male" "labour"
"515" "working" ">75" "male" "labour"
"516" "working" ">75" "male" "labour"
"517" "working" ">75" "male" "labour"
"518" "working" ">75" "male" "labour"
"519" "working" ">75" "male" "labour"
"520" "working" ">75" "male" "labour"
"521" "working" ">75" "male" "labour"
"522" "working" ">75" "male" "labour"
"523" "working" ">75" "male" "labour"
"524" "working" ">75" "male" "labour"
"525" "working" ">75" "male" "labour"
"526" "working" ">75" "male" "labour"
"527" "working" ">75" "male" "labour"
"528" "working" ">75" "male" "labour"
"529" "working" ">75" "female" "conservative"
"530" "working" ">75" "female" "conservative"
"531" "working" ">75" "female" "conservative"
"532" "working" ">75" "female" "conservative"
"533" "working" ">75" "female" "conservative"
"534" "working" ">75" "female" "conservative"
"535" "working" ">75" "female" "conservative"
"536" "working" ">75" "female" "conservative"
"537" "working" ">75" "female" "conservative"
"538" "working" ">75" "female" "conservative"
"539" "working" ">75" "female" "conservative"
"540" "working" ">75" "female" "conservative"
"541" "working" ">75" "female" "conservative"
"542" "working" ">75" "female" "conservative"
"543" "working" ">75" "female" "conservative"
"544" "working" ">75" "female" "conservative"
"545" "working" ">75" "female" "conservative"
"546" "working" ">75" "female" "labour"
"547" "working" ">75" "female" "labour"
"548" "working" ">75" "female" "labour"
"549" "working" ">75" "female" "labour"
"550" "working" "51-75" "male" "conservative"
"551" "working" "51-75" "male" "conservative"
"552" "working" "51-75" "male" "conservative"
"553" "working" "51-75" "male" "conservative"
"554" "working" "51-75" "male" "conservative"
"555" "working" "51-75" "male" "conservative"
"556" "working" "51-75" "male" "conservative"
"557" "working" "51-75" "male" "conservative"
"558" "working" "51-75" "male" "conservative"
"559" "working" "51-75" "male" "conservative"
"560" "working" "51-75" "male" "conservative"
"561" "working" "51-75" "male" "conservative"
"562" "working" "51-75" "male" "conservative"
"563" "working" "51-75" "male" "conservative"
"564" "working" "51-75" "male" "conservative"
"565" "working" "51-75" "male" "conservative"
"566" "working" "51-75" "male" "conservative"
"567" "working" "51-75" "male" "conservative"
"568" "working" "51-75" "male" "conservative"
"569" "working" "51-75" "male" "conservative"
"570" "working" "51-75" "male" "conservative"
"571" "working" "51-75" "male" "conservative"
"572" "working" "51-75" "male" "conservative"
"573" "working" "51-75" "male" "conservative"
"574" "working" "51-75" "male" "conservative"
"575" "working" "51-75" "male" "conservative"
"576" "working" "51-75" "male" "conservative"
"577" "working" "51-75" "male" "conservative"
"578" "working" "51-75" "male" "conservative"
"579" "working" "51-75" "male" "conservative"
"580" "working" "51-75" "male" "conservative"
"581" "working" "51-75" "male" "conservative"
"582" "working" "51-75" "male" "conservative"
"583" "working" "51-75" "male" "conservative"
"584" "working" "51-75" "male" "conservative"
"585" "working" "51-75" "male" "labour"
"586" "working" "51-75" "male" "labour"
"587" "working" "51-75" "male" "labour"
"588" "working" "51-75" "male" "labour"
"589" "working" "51-75" "male" "labour"
"590" "working" "51-75" "male" "labour"
"591" "working" "51-75" "male" "labour"
"592" "working" "51-75" "male" "labour"
"593" "working" "51-75" "male" "labour"
"594" "working" "51-75" "male" "labour"
"595" "working" "51-75" "male" "labour"
"596" "working" "51-75" "male" "labour"
"597" "working" "51-75" "male" "labour"
"598" "working" "51-75" "male" "labour"
"599" "working" "51-75" "male" "labour"
"600" "working" "51-75" "male" "labour"
"601" "working" "51-75" "male" "labour"
"602" "working" "51-75" "male" "labour"
"603" "working" "51-75" "male" "labour"
"604" "working" "51-75" "male" "labour"
"605" "working" "51-75" "male" "labour"
"606" "working" "51-75" "male" "labour"
"607" "working" "51-75" "male" "labour"
"608" "working" "51-75" "male" "labour"
"609" "working" "51-75" "male" "labour"
"610" "working" "51-75" "male" "labour"
"611" "working" "51-75" "male" "labour"
"612" "working" "51-75" "male" "labour"
"613" "working" "51-75" "male" "labour"
"614" "working" "51-75" "male" "labour"
"615" "working" "51-75" "male" "labour"
"616" "working" "51-75" "male" "labour"
"617" "working" "51-75" "male" "labour"
"618" "working" "51-75" "male" "labour"
"619" "working" "51-75" "male" "labour"
"620" "working" "51-75" "male" "labour"
"621" "working" "51-75" "male" "labour"
"622" "working" "51-75" "male" "labour"
"623" "working" "51-75" "male" "labour"
"624" "working" "51-75" "male" "labour"
"625" "working" "51-75" "male" "labour"
"626" "working" "51-75" "male" "labour"
"627" "working" "51-75" "male" "labour"
"628" "working" "51-75" "male" "labour"
"629" "working" "51-75" "male" "labour"
"630" "working" "51-75" "male" "labour"
"631" "working" "51-75" "male" "labour"
"632" "working" "51-75" "male" "labour"
"633" "working" "51-75" "male" "labour"
"634" "working" "51-75" "male" "labour"
"635" "working" "51-75" "male" "labour"
"636" "working" "51-75" "male" "labour"
"637" "working" "51-75" "male" "labour"
"638" "working" "51-75" "male" "labour"
"639" "working" "51-75" "male" "labour"
"640" "working" "51-75" "male" "labour"
