home,rating
suburban,1
suburban,1
suburban,1
suburban,1
suburban,1
suburban,1
suburban,1
suburban,1
suburban,1
suburban,1
suburban,1
suburban,1
suburban,1
suburban,1
suburban,1
suburban,1
suburban,1
suburban,1
suburban,1
suburban,1
suburban,1
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,2
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,3
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,4
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,5
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
suburban,6
